window_id,left_out_year_index,left_out_year,object,v9_observed_peak_day,loo_peak_day,loo_peak_shift,loo_peak_score,influence_flag,method_role
W113,22,2001,Je,111.0,111.0,0.0,17.265446470153655,low_shift,leave_one_year_out_influence_diagnostic
W113,22,2001,Jw,104.0,108.0,4.0,26.665505131356852,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,23,2002,P,113.0,112.0,-1.0,27.18068089826538,low_shift,leave_one_year_out_influence_diagnostic
W113,23,2002,V,114.0,114.0,0.0,19.756348061196277,low_shift,leave_one_year_out_influence_diagnostic
W113,23,2002,H,115.0,115.0,0.0,33.7100648454834,low_shift,leave_one_year_out_influence_diagnostic
W113,23,2002,Je,111.0,110.0,-1.0,16.294387757131528,low_shift,leave_one_year_out_influence_diagnostic
W113,23,2002,Jw,104.0,108.0,4.0,27.335361504156282,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,24,2003,P,113.0,113.0,0.0,24.76605953316826,low_shift,leave_one_year_out_influence_diagnostic
W113,24,2003,V,114.0,114.0,0.0,20.065260600834677,low_shift,leave_one_year_out_influence_diagnostic
W113,24,2003,H,115.0,115.0,0.0,34.05621428533283,low_shift,leave_one_year_out_influence_diagnostic
W113,24,2003,Je,111.0,111.0,0.0,16.11821225087094,low_shift,leave_one_year_out_influence_diagnostic
W113,24,2003,Jw,104.0,104.0,0.0,24.616009574539483,low_shift,leave_one_year_out_influence_diagnostic
W113,25,2004,P,113.0,113.0,0.0,25.55098170628616,low_shift,leave_one_year_out_influence_diagnostic
W113,25,2004,V,114.0,114.0,0.0,18.539600558058382,low_shift,leave_one_year_out_influence_diagnostic
W113,25,2004,H,115.0,115.0,0.0,33.88047371208425,low_shift,leave_one_year_out_influence_diagnostic
W113,25,2004,Je,111.0,111.0,0.0,15.877046418949043,low_shift,leave_one_year_out_influence_diagnostic
W113,25,2004,Jw,104.0,105.0,1.0,25.135251215203372,low_shift,leave_one_year_out_influence_diagnostic
W113,26,2005,P,113.0,113.0,0.0,29.051882997866937,low_shift,leave_one_year_out_influence_diagnostic
W113,26,2005,V,114.0,114.0,0.0,22.179241237371574,low_shift,leave_one_year_out_influence_diagnostic
W113,26,2005,H,115.0,115.0,0.0,36.871496514789676,low_shift,leave_one_year_out_influence_diagnostic
W113,26,2005,Je,111.0,112.0,1.0,17.146619304039806,low_shift,leave_one_year_out_influence_diagnostic
W113,26,2005,Jw,104.0,107.0,3.0,26.182159343030975,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,27,2006,P,113.0,112.0,-1.0,27.733307599148446,low_shift,leave_one_year_out_influence_diagnostic
W113,27,2006,V,114.0,114.0,0.0,20.78053686561124,low_shift,leave_one_year_out_influence_diagnostic
W113,27,2006,H,115.0,115.0,0.0,35.43459598270532,low_shift,leave_one_year_out_influence_diagnostic
W113,27,2006,Je,111.0,109.0,-2.0,18.133715865425845,low_shift,leave_one_year_out_influence_diagnostic
W113,27,2006,Jw,104.0,109.0,5.0,25.89068862092697,shift_ge_5_days,leave_one_year_out_influence_diagnostic
W113,28,2007,P,113.0,112.0,-1.0,26.93821817310282,low_shift,leave_one_year_out_influence_diagnostic
W113,28,2007,V,114.0,114.0,0.0,19.986817034266295,low_shift,leave_one_year_out_influence_diagnostic
W113,28,2007,H,115.0,115.0,0.0,34.441719994327734,low_shift,leave_one_year_out_influence_diagnostic
W113,28,2007,Je,111.0,110.0,-1.0,16.90526636470897,low_shift,leave_one_year_out_influence_diagnostic
W113,28,2007,Jw,104.0,108.0,4.0,24.2402560221512,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,29,2008,P,113.0,112.0,-1.0,27.623103072898957,low_shift,leave_one_year_out_influence_diagnostic
W113,29,2008,V,114.0,114.0,0.0,20.367465738911875,low_shift,leave_one_year_out_influence_diagnostic
W113,29,2008,H,115.0,115.0,0.0,34.76455442804033,low_shift,leave_one_year_out_influence_diagnostic
W113,29,2008,Je,111.0,109.0,-2.0,17.701623191203883,low_shift,leave_one_year_out_influence_diagnostic
W113,29,2008,Jw,104.0,103.0,-1.0,26.502963384095935,low_shift,leave_one_year_out_influence_diagnostic
W113,30,2009,P,113.0,113.0,0.0,30.43080791828352,low_shift,leave_one_year_out_influence_diagnostic
W113,30,2009,V,114.0,114.0,0.0,18.75748603773568,low_shift,leave_one_year_out_influence_diagnostic
W113,30,2009,H,115.0,114.0,-1.0,32.311381886785895,low_shift,leave_one_year_out_influence_diagnostic
W113,30,2009,Je,111.0,111.0,0.0,16.339327699241792,low_shift,leave_one_year_out_influence_diagnostic
W113,30,2009,Jw,104.0,108.0,4.0,25.0025646636716,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,31,2010,P,113.0,113.0,0.0,24.459042084521656,low_shift,leave_one_year_out_influence_diagnostic
W113,31,2010,V,114.0,114.0,0.0,20.21006999745797,low_shift,leave_one_year_out_influence_diagnostic
W113,31,2010,H,115.0,115.0,0.0,35.84834740007217,low_shift,leave_one_year_out_influence_diagnostic
W113,31,2010,Je,111.0,112.0,1.0,16.947427557952533,low_shift,leave_one_year_out_influence_diagnostic
W113,31,2010,Jw,104.0,103.0,-1.0,23.58257864057408,low_shift,leave_one_year_out_influence_diagnostic
W113,32,2011,P,113.0,112.0,-1.0,29.915218846846592,low_shift,leave_one_year_out_influence_diagnostic
W113,32,2011,V,114.0,114.0,0.0,20.697565205737597,low_shift,leave_one_year_out_influence_diagnostic
W113,32,2011,H,115.0,114.0,-1.0,35.666753492532166,low_shift,leave_one_year_out_influence_diagnostic
