window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,day,relative_to_anchor,raw_progress,progress
W003,81,75,86,66,96,66,73,89,96,V,71,-10,0.02818794077887386,0.02818794077887386
W003,81,75,86,66,96,66,73,89,96,V,72,-9,0.06607494834212892,0.06607494834212892
W003,81,75,86,66,96,66,73,89,96,V,73,-8,0.12693350243512044,0.12693350243512044
W003,81,75,86,66,96,66,73,89,96,V,74,-7,0.1849642322446343,0.1849642322446343
W003,81,75,86,66,96,66,73,89,96,V,75,-6,0.26023718608278784,0.26023718608278784
W003,81,75,86,66,96,66,73,89,96,V,76,-5,0.329766573751949,0.329766573751949
W003,81,75,86,66,96,66,73,89,96,V,77,-4,0.39101823539293457,0.39101823539293457
W003,81,75,86,66,96,66,73,89,96,V,78,-3,0.43179671003336684,0.43179671003336684
W003,81,75,86,66,96,66,73,89,96,V,79,-2,0.47989682904115605,0.47989682904115605
W003,81,75,86,66,96,66,73,89,96,V,80,-1,0.5336615853083375,0.5336615853083375
W003,81,75,86,66,96,66,73,89,96,V,81,0,0.582736460599897,0.582736460599897
W003,81,75,86,66,96,66,73,89,96,V,82,1,0.6442152749644755,0.6442152749644755
W003,81,75,86,66,96,66,73,89,96,V,83,2,0.7026502600203612,0.7026502600203612
W003,81,75,86,66,96,66,73,89,96,V,84,3,0.7631306402642278,0.7631306402642278
W003,81,75,86,66,96,66,73,89,96,V,85,4,0.8287775217787714,0.8287775217787714
W003,81,75,86,66,96,66,73,89,96,V,86,5,0.8919013895296154,0.8919013895296154
W003,81,75,86,66,96,66,73,89,96,V,87,6,0.9553752323502616,0.9553752323502616
W003,81,75,86,66,96,66,73,89,96,V,88,7,1.005455185699762,1.0
W003,81,75,86,66,96,66,73,89,96,V,89,8,1.0455685197577098,1.0
W003,81,75,86,66,96,66,73,89,96,V,90,9,1.0628279784612926,1.0
W003,81,75,86,66,96,66,73,89,96,V,91,10,1.0512931623075732,1.0
W003,81,75,86,66,96,66,73,89,96,V,92,11,1.0340891860131505,1.0
W003,81,75,86,66,96,66,73,89,96,V,93,12,1.007560699715255,1.0
W003,81,75,86,66,96,66,73,89,96,V,94,13,0.9711252478589847,0.9711252478589847
W003,81,75,86,66,96,66,73,89,96,V,95,14,0.92938925677356,0.92938925677356
W003,81,75,86,66,96,66,73,89,96,V,96,15,0.8981459491124737,0.8981459491124737
W005,113,107,117,98,128,98,105,121,128,V,98,-15,-0.056674353105719145,0.0
W005,113,107,117,98,128,98,105,121,128,V,99,-14,-0.01703682099118478,0.0
W005,113,107,117,98,128,98,105,121,128,V,100,-13,0.01129262446526194,0.01129262446526194
W005,113,107,117,98,128,98,105,121,128,V,101,-12,0.02618396782056653,0.02618396782056653
W005,113,107,117,98,128,98,105,121,128,V,102,-11,0.02803975868130996,0.02803975868130996
W005,113,107,117,98,128,98,105,121,128,V,103,-10,0.019447671288370435,0.019447671288370435
W005,113,107,117,98,128,98,105,121,128,V,104,-9,0.0012210172762005796,0.0012210172762005796
W005,113,107,117,98,128,98,105,121,128,V,105,-8,-0.012473865434806069,0.0
W005,113,107,117,98,128,98,105,121,128,V,106,-7,-0.0020793881180818648,0.0
W005,113,107,117,98,128,98,105,121,128,V,107,-6,0.02866441577495492,0.02866441577495492
W005,113,107,117,98,128,98,105,121,128,V,108,-5,0.06319631893302796,0.06319631893302796
W005,113,107,117,98,128,98,105,121,128,V,109,-4,0.11092619696978062,0.11092619696978062
W005,113,107,117,98,128,98,105,121,128,V,110,-3,0.17568469485554,0.17568469485554
W005,113,107,117,98,128,98,105,121,128,V,111,-2,0.2457861381279272,0.2457861381279272
W005,113,107,117,98,128,98,105,121,128,V,112,-1,0.31680721718446037,0.31680721718446037
W005,113,107,117,98,128,98,105,121,128,V,113,0,0.3962808371774964,0.3962808371774964
W005,113,107,117,98,128,98,105,121,128,V,114,1,0.49160362854648126,0.49160362854648126
W005,113,107,117,98,128,98,105,121,128,V,115,2,0.5881697230215803,0.5881697230215803
W005,113,107,117,98,128,98,105,121,128,V,116,3,0.6603607025910807,0.6603607025910807
W005,113,107,117,98,128,98,105,121,128,V,117,4,0.7194924768550042,0.7194924768550042
W005,113,107,117,98,128,98,105,121,128,V,118,5,0.77900990687731,0.77900990687731
W005,113,107,117,98,128,98,105,121,128,V,119,6,0.816216407034772,0.816216407034772
W005,113,107,117,98,128,98,105,121,128,V,120,7,0.8327534451519775,0.8327534451519775
W005,113,107,117,98,128,98,105,121,128,V,121,8,0.8580903539780534,0.8580903539780534
W005,113,107,117,98,128,98,105,121,128,V,122,9,0.8908635092820032,0.8908635092820032
W005,113,107,117,98,128,98,105,121,128,V,123,10,0.9421113642377104,0.9421113642377104
W005,113,107,117,98,128,98,105,121,128,V,124,11,1.0021296764014354,1.0
W005,113,107,117,98,128,98,105,121,128,V,125,12,1.0618736367912918,1.0
W005,113,107,117,98,128,98,105,121,128,V,126,13,1.0931168831413756,1.0
W005,113,107,117,98,128,98,105,121,128,V,127,14,1.081285611737432,1.0
W005,113,107,117,98,128,98,105,121,128,V,128,15,1.0705289644306981,1.0
W007,160,155,164,145,175,145,152,168,175,V,145,-15,-0.05753335248237502,0.0
W007,160,155,164,145,175,145,152,168,175,V,146,-14,-0.08840648974364017,0.0
W007,160,155,164,145,175,145,152,168,175,V,147,-13,-0.0827770124671957,0.0
W007,160,155,164,145,175,145,152,168,175,V,148,-12,-0.03638251708459251,0.0
W007,160,155,164,145,175,145,152,168,175,V,149,-11,0.024618206207229838,0.024618206207229838
W007,160,155,164,145,175,145,152,168,175,V,150,-10,0.07090187921318224,0.07090187921318224
W007,160,155,164,145,175,145,152,168,175,V,151,-9,0.08637758041183463,0.08637758041183463
W007,160,155,164,145,175,145,152,168,175,V,152,-8,0.08320170594555662,0.08320170594555662
W007,160,155,164,145,175,145,152,168,175,V,153,-7,0.09908555011208131,0.09908555011208131
W007,160,155,164,145,175,145,152,168,175,V,154,-6,0.15341612410784244,0.15341612410784244
W007,160,155,164,145,175,145,152,168,175,V,155,-5,0.22308773424400838,0.22308773424400838
W007,160,155,164,145,175,145,152,168,175,V,156,-4,0.2763748577995465,0.2763748577995465
W007,160,155,164,145,175,145,152,168,175,V,157,-3,0.30961778760575576,0.30961778760575576
W007,160,155,164,145,175,145,152,168,175,V,158,-2,0.3375638032359834,0.3375638032359834
W007,160,155,164,145,175,145,152,168,175,V,159,-1,0.3830968309542787,0.3830968309542787
W007,160,155,164,145,175,145,152,168,175,V,160,0,0.460382431651909,0.460382431651909
W007,160,155,164,145,175,145,152,168,175,V,161,1,0.5434181071977766,0.5434181071977766
