window_id,k,year_index,year,cluster_id,cluster_size,cluster_label_provisional,cluster_stability,peak_P,relative_peak_P,peak_V,relative_peak_V,peak_H,relative_peak_H,peak_Je,relative_peak_Je,peak_Jw,relative_peak_Jw,method_role
W045,3,32,2011,2,15,k3_cluster2,not_tested_first_pass,43.0,-2.0,49.0,4.0,48.0,3.0,43.0,-2.0,53.0,8.0,provisional_year_type_cluster_not_physical_type
W045,3,33,2012,1,8,k3_cluster1,not_tested_first_pass,43.0,-2.0,42.0,-3.0,39.0,-6.0,41.0,-4.0,38.0,-7.0,provisional_year_type_cluster_not_physical_type
W045,3,34,2013,3,22,k3_cluster3,not_tested_first_pass,50.0,5.0,41.0,-4.0,47.0,2.0,42.0,-3.0,42.0,-3.0,provisional_year_type_cluster_not_physical_type
W045,3,35,2014,2,15,k3_cluster2,not_tested_first_pass,45.0,0.0,51.0,6.0,49.0,4.0,32.0,-13.0,36.0,-9.0,provisional_year_type_cluster_not_physical_type
W045,3,36,2015,3,22,k3_cluster3,not_tested_first_pass,46.0,1.0,46.0,1.0,49.0,4.0,50.0,5.0,38.0,-7.0,provisional_year_type_cluster_not_physical_type
W045,3,37,2016,2,15,k3_cluster2,not_tested_first_pass,47.0,2.0,50.0,5.0,52.0,7.0,42.0,-3.0,44.0,-1.0,provisional_year_type_cluster_not_physical_type
W045,3,38,2017,1,8,k3_cluster1,not_tested_first_pass,42.0,-3.0,40.0,-5.0,44.0,-1.0,45.0,0.0,39.0,-6.0,provisional_year_type_cluster_not_physical_type
W045,3,39,2018,1,8,k3_cluster1,not_tested_first_pass,41.0,-4.0,40.0,-5.0,39.0,-6.0,40.0,-5.0,45.0,0.0,provisional_year_type_cluster_not_physical_type
W045,3,40,2019,3,22,k3_cluster3,not_tested_first_pass,41.0,-4.0,48.0,3.0,48.0,3.0,46.0,1.0,43.0,-2.0,provisional_year_type_cluster_not_physical_type
W045,3,41,2020,2,15,k3_cluster2,not_tested_first_pass,44.0,-1.0,46.0,1.0,40.0,-5.0,46.0,1.0,45.0,0.0,provisional_year_type_cluster_not_physical_type
W045,3,42,2021,3,22,k3_cluster3,not_tested_first_pass,39.0,-6.0,49.0,4.0,53.0,8.0,40.0,-5.0,46.0,1.0,provisional_year_type_cluster_not_physical_type
W045,3,43,2022,3,22,k3_cluster3,not_tested_first_pass,44.0,-1.0,39.0,-6.0,47.0,2.0,49.0,4.0,49.0,4.0,provisional_year_type_cluster_not_physical_type
W045,3,44,2023,2,15,k3_cluster2,not_tested_first_pass,47.0,2.0,46.0,1.0,41.0,-4.0,38.0,-7.0,48.0,3.0,provisional_year_type_cluster_not_physical_type
