bootstrap_id,region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,onset_day,midpoint_day,finish_day,duration,pre_post_separation_label,progress_quality_label
42,1,R2_mid,21.75,28.25,25.0,27,37.0,41.0,51.0,15.0,clear_separation,monotonic_clear_progress
42,2,R3_high,28.5,35.0,31.75,27,37.0,49.0,53.0,17.0,clear_separation,monotonic_clear_progress
43,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
43,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
43,2,R3_high,28.5,35.0,31.75,27,36.0,49.0,52.0,17.0,clear_separation,monotonic_clear_progress
44,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,39.0,4.0,moderate_separation,nonmonotonic_progress
44,1,R2_mid,21.75,28.25,25.0,27,38.0,50.0,52.0,15.0,clear_separation,monotonic_clear_progress
44,2,R3_high,28.5,35.0,31.75,27,42.0,49.0,52.0,11.0,clear_separation,monotonic_clear_progress
45,0,R1_low,15.0,21.5,18.25,27,38.0,49.0,52.0,15.0,clear_separation,nonmonotonic_progress
45,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,41.0,5.0,clear_separation,monotonic_clear_progress
45,2,R3_high,28.5,35.0,31.75,27,37.0,40.0,51.0,15.0,clear_separation,monotonic_clear_progress
46,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,38.0,4.0,moderate_separation,nonmonotonic_progress
46,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
46,2,R3_high,28.5,35.0,31.75,27,35.0,36.0,39.0,5.0,clear_separation,nonmonotonic_progress
47,0,R1_low,15.0,21.5,18.25,27,41.0,46.0,49.0,9.0,clear_separation,monotonic_clear_progress
47,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
47,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,nonmonotonic_progress
48,0,R1_low,15.0,21.5,18.25,27,38.0,40.0,42.0,5.0,clear_separation,monotonic_clear_progress
48,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,41.0,6.0,clear_separation,nonmonotonic_progress
48,2,R3_high,28.5,35.0,31.75,27,37.0,52.0,54.0,18.0,clear_separation,nonmonotonic_progress
49,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,39.0,5.0,moderate_separation,monotonic_clear_progress
49,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,40.0,5.0,clear_separation,nonmonotonic_progress
49,2,R3_high,28.5,35.0,31.75,27,36.0,43.0,53.0,18.0,clear_separation,monotonic_clear_progress
50,0,R1_low,15.0,21.5,18.25,27,39.0,40.0,43.0,5.0,clear_separation,monotonic_clear_progress
50,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,40.0,5.0,clear_separation,nonmonotonic_progress
50,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,50.0,15.0,clear_separation,nonmonotonic_progress
51,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
51,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,50.0,15.0,clear_separation,monotonic_clear_progress
51,2,R3_high,28.5,35.0,31.75,27,36.0,49.0,51.0,16.0,clear_separation,monotonic_clear_progress
52,0,R1_low,15.0,21.5,18.25,27,36.0,39.0,43.0,8.0,clear_separation,nonmonotonic_progress
52,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,43.0,7.0,clear_separation,nonmonotonic_progress
52,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,51.0,15.0,clear_separation,monotonic_clear_progress
53,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,39.0,5.0,clear_separation,nonmonotonic_progress
53,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,52.0,16.0,clear_separation,nonmonotonic_progress
53,2,R3_high,28.5,35.0,31.75,27,38.0,40.0,52.0,15.0,clear_separation,nonmonotonic_progress
54,0,R1_low,15.0,21.5,18.25,27,38.0,40.0,42.0,5.0,clear_separation,nonmonotonic_progress
54,1,R2_mid,21.75,28.25,25.0,27,37.0,38.0,44.0,8.0,clear_separation,nonmonotonic_progress
54,2,R3_high,28.5,35.0,31.75,27,37.0,45.0,50.0,14.0,clear_separation,monotonic_clear_progress
55,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,40.0,6.0,moderate_separation,monotonic_clear_progress
55,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,52.0,16.0,clear_separation,monotonic_clear_progress
55,2,R3_high,28.5,35.0,31.75,27,37.0,41.0,52.0,16.0,clear_separation,monotonic_clear_progress
56,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,38.0,3.0,weak_separation,nonmonotonic_progress
56,1,R2_mid,21.75,28.25,25.0,27,35.0,36.0,38.0,4.0,clear_separation,monotonic_clear_progress
56,2,R3_high,28.5,35.0,31.75,27,35.0,36.0,37.0,3.0,clear_separation,nonmonotonic_progress
57,0,R1_low,15.0,21.5,18.25,27,37.0,41.0,54.0,18.0,clear_separation,nonmonotonic_progress
57,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,43.0,7.0,clear_separation,monotonic_clear_progress
57,2,R3_high,28.5,35.0,31.75,27,37.0,40.0,50.0,14.0,clear_separation,monotonic_clear_progress
58,0,R1_low,15.0,21.5,18.25,27,38.0,39.0,41.0,4.0,clear_separation,monotonic_clear_progress
58,1,R2_mid,21.75,28.25,25.0,27,38.0,40.0,43.0,6.0,clear_separation,monotonic_clear_progress
58,2,R3_high,28.5,35.0,31.75,27,38.0,42.0,53.0,16.0,clear_separation,monotonic_clear_progress
59,0,R1_low,15.0,21.5,18.25,27,52.0,53.0,54.0,3.0,moderate_separation,monotonic_clear_progress
59,1,R2_mid,21.75,28.25,25.0,27,38.0,52.0,54.0,17.0,clear_separation,nonmonotonic_progress
59,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,52.0,16.0,clear_separation,nonmonotonic_progress
60,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,39.0,5.0,moderate_separation,nonmonotonic_progress
60,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,53.0,18.0,clear_separation,nonmonotonic_progress
60,2,R3_high,28.5,35.0,31.75,27,36.0,50.0,52.0,17.0,clear_separation,monotonic_clear_progress
61,0,R1_low,15.0,21.5,18.25,27,35.0,38.0,39.0,5.0,clear_separation,monotonic_clear_progress
61,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
61,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,nonmonotonic_progress
62,0,R1_low,15.0,21.5,18.25,27,39.0,45.0,52.0,14.0,clear_separation,monotonic_clear_progress
62,1,R2_mid,21.75,28.25,25.0,27,39.0,44.0,51.0,13.0,clear_separation,monotonic_clear_progress
62,2,R3_high,28.5,35.0,31.75,27,48.0,51.0,53.0,6.0,clear_separation,nonmonotonic_progress
63,0,R1_low,15.0,21.5,18.25,27,38.0,48.0,52.0,15.0,clear_separation,monotonic_clear_progress
63,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,42.0,6.0,clear_separation,nonmonotonic_progress
63,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,51.0,16.0,clear_separation,monotonic_clear_progress
64,0,R1_low,15.0,21.5,18.25,27,36.0,40.0,53.0,18.0,clear_separation,nonmonotonic_progress
64,1,R2_mid,21.75,28.25,25.0,27,37.0,38.0,41.0,5.0,clear_separation,monotonic_clear_progress
64,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,51.0,15.0,clear_separation,monotonic_clear_progress
65,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,40.0,5.0,clear_separation,monotonic_clear_progress
65,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,41.0,5.0,clear_separation,nonmonotonic_progress
65,2,R3_high,28.5,35.0,31.75,27,36.0,37.0,40.0,5.0,clear_separation,nonmonotonic_progress
66,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,41.0,5.0,clear_separation,nonmonotonic_progress
66,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
66,2,R3_high,28.5,35.0,31.75,27,36.0,52.0,55.0,20.0,clear_separation,monotonic_clear_progress
67,0,R1_low,15.0,21.5,18.25,27,39.0,44.0,49.0,11.0,clear_separation,monotonic_clear_progress
67,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
67,2,R3_high,28.5,35.0,31.75,27,37.0,40.0,51.0,15.0,clear_separation,nonmonotonic_progress
68,0,R1_low,15.0,21.5,18.25,27,36.0,39.0,50.0,15.0,clear_separation,monotonic_clear_progress
68,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
68,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,50.0,15.0,clear_separation,monotonic_clear_progress
69,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,42.0,6.0,moderate_separation,monotonic_clear_progress
69,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,42.0,7.0,clear_separation,monotonic_clear_progress
69,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,monotonic_clear_progress
70,0,R1_low,15.0,21.5,18.25,27,40.0,43.0,47.0,8.0,clear_separation,nonmonotonic_progress
70,1,R2_mid,21.75,28.25,25.0,27,35.0,37.0,38.0,4.0,clear_separation,nonmonotonic_progress
70,2,R3_high,28.5,35.0,31.75,27,36.0,37.0,50.0,15.0,clear_separation,monotonic_clear_progress
71,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,39.0,5.0,clear_separation,monotonic_clear_progress
71,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
71,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,52.0,17.0,clear_separation,nonmonotonic_progress
72,0,R1_low,15.0,21.5,18.25,27,37.0,40.0,53.0,17.0,clear_separation,nonmonotonic_progress
72,1,R2_mid,21.75,28.25,25.0,27,38.0,42.0,54.0,17.0,clear_separation,nonmonotonic_progress
72,2,R3_high,28.5,35.0,31.75,27,37.0,51.0,53.0,17.0,clear_separation,monotonic_clear_progress
73,0,R1_low,15.0,21.5,18.25,27,38.0,40.0,45.0,8.0,clear_separation,nonmonotonic_progress
73,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,52.0,17.0,clear_separation,monotonic_clear_progress
73,2,R3_high,28.5,35.0,31.75,27,38.0,43.0,51.0,14.0,clear_separation,monotonic_clear_progress
74,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,38.0,3.0,clear_separation,monotonic_clear_progress
74,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,monotonic_clear_progress
74,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,monotonic_clear_progress
75,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
75,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,41.0,6.0,clear_separation,nonmonotonic_progress
75,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,53.0,18.0,clear_separation,nonmonotonic_progress
76,0,R1_low,15.0,21.5,18.25,27,40.0,43.0,44.0,5.0,moderate_separation,monotonic_clear_progress
76,1,R2_mid,21.75,28.25,25.0,27,39.0,41.0,45.0,7.0,clear_separation,monotonic_clear_progress
76,2,R3_high,28.5,35.0,31.75,27,39.0,46.0,51.0,13.0,clear_separation,monotonic_clear_progress
77,0,R1_low,15.0,21.5,18.25,27,36.0,39.0,43.0,8.0,clear_separation,monotonic_clear_progress
77,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,43.0,7.0,clear_separation,nonmonotonic_progress
77,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,51.0,15.0,clear_separation,monotonic_clear_progress
78,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
78,1,R2_mid,21.75,28.25,25.0,27,37.0,38.0,42.0,6.0,clear_separation,nonmonotonic_progress
78,2,R3_high,28.5,35.0,31.75,27,37.0,50.0,54.0,18.0,clear_separation,monotonic_clear_progress
79,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
79,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
79,2,R3_high,28.5,35.0,31.75,27,37.0,51.0,54.0,18.0,clear_separation,monotonic_clear_progress
80,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,39.0,4.0,moderate_separation,nonmonotonic_progress
80,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,39.0,4.0,clear_separation,nonmonotonic_progress
80,2,R3_high,28.5,35.0,31.75,27,36.0,37.0,52.0,17.0,clear_separation,nonmonotonic_progress
81,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,40.0,4.0,clear_separation,monotonic_clear_progress
81,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
