object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
V,C0_full_stage,main_full_stage,91,1.9848361714833362,0.45666513280773,0.8129572439690623,0.4873400474196496,0.993272927639118,0.5059328802194685,0.905841471359614,0.012086244512836464,0.008755975489554757,1.2517656667023853,True
V,C0_full_stage,main_full_stage,92,1.9363975571173426,0.39127831692340354,0.8319017173795074,0.4744652859555153,0.9948047090386599,0.5203394230831446,0.9173504488359082,0.01894447341044503,0.011508977476294202,1.2517656667023853,True
V,C0_full_stage,main_full_stage,93,1.8701008042634748,0.306926287703768,0.859015862119374,0.4610070910436265,0.9962063097124386,0.5351992186688121,0.9292215170245843,0.02711414473986662,0.011871068188676115,1.2517656667023853,True
V,C0_full_stage,main_full_stage,94,1.7828041060392477,0.1933085038471363,0.9021773845882951,0.4403207174400409,0.9978347356865963,0.5575140182465554,0.9470481759363347,0.04316152246892113,0.017826658911750393,1.2517656667023853,True
V,C0_full_stage,main_full_stage,95,1.6923871440610934,0.08389042348221983,0.9527717823975874,0.42115859071794526,0.9989055475138703,0.577746956795925,0.9632116952655321,0.05059439780929231,0.01616351932919735,1.2517656667023853,True
V,C0_full_stage,main_full_stage,96,1.6242319388143465,0.05335598871770402,0.9681948183805795,0.40314291145817066,0.9995908134369766,0.596447901978806,0.9781513486530117,0.015423035982992106,0.014939653387479601,1.2517656667023853,True
V,C0_full_stage,main_full_stage,97,1.5885997468884054,0.0932100433302133,0.944577535538013,0.38382056328341474,0.9998618718318218,0.6160413085484071,0.9938039640672188,-0.023617282842566478,0.01565261541420715,1.2517656667023853,True
V,C0_full_stage,main_full_stage,98,1.5559910044805347,0.15599515399620706,0.9088805985820555,0.3550931479332888,0.9994211124573017,0.644327964524013,1.0164013692589777,-0.03569693695595755,0.0225974051917589,1.2517656667023853,True
V,C0_full_stage,main_full_stage,99,1.5212383330727945,0.22683257289874006,0.8702383455248504,0.32973147833659694,0.9980992437867597,0.6683677654501627,1.0356060827014542,-0.038642253057205145,0.01920471344247643,1.2517656667023853,True
V,C0_full_stage,main_full_stage,100,1.5045372887584871,0.28121528989839706,0.8425228146051974,0.3058924860107018,0.9961858355777615,0.6902933495670598,1.0531218084479967,-0.027715530919652953,0.017515725746542588,1.2517656667023853,True
V,C0_full_stage,main_full_stage,101,1.5077793713314782,0.3171983436540649,0.8261905660274994,0.273294843273268,0.9926922394724969,0.7193973961992288,1.0763722037946273,-0.016332248577697994,0.023250395346630537,1.2517656667023853,True
V,C0_full_stage,main_full_stage,102,1.5205594191158676,0.3359344333352551,0.8190489923294269,0.24425543398125607,0.9884913536153289,0.7442359196340729,1.0962149939394297,-0.007141573698072556,0.01984279014480239,1.2517656667023853,True
V,C0_full_stage,main_full_stage,103,1.524796034139468,0.33231886988610715,0.8210563766594323,0.24083258205465746,0.9875104012622661,0.7466778192076087,1.0981657580788302,0.0020073843300054683,0.0019507641394005404,1.2517656667023853,True
V,C0_full_stage,main_full_stage,104,1.533398449806554,0.3077248104537916,0.8328602885554347,0.2543287567138388,0.9892835297439707,0.7349547730301319,1.0888005498059754,0.011803911896002384,-0.009365208272854808,1.2517656667023853,True
