window_id,target_name,mode,phase_group,year,mode_score,q33,q67,targeted_mode_status,phase_group_peak_eligible,performance_gate
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2004,-0.08579085189348412,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2005,0.40657710252107004,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2006,-0.1709158278527024,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2007,-0.5239285450543427,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2008,0.21537858027201856,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2009,0.7528577667079944,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2010,-0.9012014790267815,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2011,0.08432306099543793,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2012,0.0007181387205611968,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2013,-1.05046624068781,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2014,0.634345375556567,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2015,-0.1968738507852311,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2016,-0.7747122746278884,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2017,0.16086368617304225,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2018,0.5066373071588324,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2019,0.21948830898526533,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2020,-0.05483591947699534,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2021,0.8333129462937263,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2022,-0.8756901554480951,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2023,0.020964022637126243,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1979,-0.35260090400353916,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1980,0.5344183299762838,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1981,0.4147360933344123,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1982,0.45520443584700365,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1983,-0.28502015650235796,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_mid,1984,0.12063464659492376,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1985,0.31457616497243546,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_mid,1986,0.1015823836746563,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1987,-0.04332020256927489,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_mid,1988,0.04604266187286753,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1989,0.5339571704755482,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1990,0.3725000371688443,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1991,-0.24873326496987744,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1992,0.2983092760434558,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1993,0.3373868573093186,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_high,1994,0.25944021339561585,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_mid,1995,0.17951962498796367,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1996,-0.12841261747727584,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_mid,1997,0.2134363350473411,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_H_earlier_minus_Jw_earlier,1,target_mode_low,1998,-0.6247344976533755,-0.015704001097472282,0.2450831019316358,not_supported,False,targeted_mode_not_eligible_for_group_peak
