window,source,target,source_family,target_family,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,sample_status,surrogate_mode,T_pos_obs,T_pos_null90,T_pos_null95,T_pos_null99,p_pos_surrogate,T_neg_obs,T_neg_null90,T_neg_null95,T_neg_null99,p_neg_surrogate,T_0_obs,T_0_null90,T_0_null95,T_0_null99,p_0_surrogate,S_pos,S_neg,S_0,strength_excess,strength_ratio,q_pos_global,q_pos_within_window
T3_expand17,V_pos_south_edge_lat,P_total_centroid_lat_10_50,V,P,5,-0.14032351375425656,0.14032351375425656,-1,0.1925628966173008,0.1925628966173008,0.16243848280251377,0.16243848280251377,ok,pooled_window_variable_ar1,0.14032351375425656,0.14517366432343282,0.16998652879789392,0.21126792976684505,0.12087912087912088,0.1925628966173008,0.14228363978071085,0.16373921240848868,0.21578922853208696,0.023976023976023976,0.16243848280251377,0.12583647353241548,0.15276822568603315,0.20102262471269755,0.03496503496503497,-0.02966301504363736,0.028823684208812123,0.009670257116480618,-0.02966301504363736,0.8254978482506381,0.2695277695277695,0.2695277695277695
T3_expand17,V_pos_south_edge_lat,P_main_28_35_mean,V,P,5,-0.054146849713125805,0.054146849713125805,-3,0.06375361000635685,0.06375361000635685,0.02184095932471509,0.02184095932471509,ok,pooled_window_variable_ar1,0.054146849713125805,0.14369180293097347,0.1649460650126743,0.20229511965898397,0.6763236763236763,0.06375361000635685,0.14487182647347166,0.1652075368000398,0.20531376643891738,0.5884115884115884,0.02184095932471509,0.12371146632175564,0.1451696205091805,0.18077729462691128,0.7812187812187812,-0.1107992152995485,-0.10145392679368295,-0.12332866118446541,-0.1107992152995485,0.3282700300183894,0.7062873835025734,0.7062873835025734
T3_expand17,V_pos_south_edge_lat,P_south_10_25_mean,V,P,1,-0.19737160804588819,0.19737160804588819,-1,-0.24777641150411325,0.24777641150411325,-0.23634046667240985,0.23634046667240985,ok,pooled_window_variable_ar1,0.19737160804588819,0.14850148031798055,0.1764797532332625,0.21999839353680775,0.023976023976023976,0.24777641150411325,0.15142785172367487,0.17381699274695567,0.2199008566199869,0.004995004995004995,0.23634046667240985,0.1322546612856031,0.1564420270993495,0.20580098663959828,0.003996003996003996,0.020891854812625676,0.07395941875715759,0.07989843957306034,0.020891854812625676,1.1183810291541592,0.10692010692010692,0.10692010692010692
T3_expand17,V_pos_south_edge_lat,P_scs_10_20_mean,V,P,5,0.17724189776812346,0.17724189776812346,-2,-0.24507891106887647,0.24507891106887647,-0.2084823440620399,0.2084823440620399,ok,pooled_window_variable_ar1,0.17724189776812346,0.14851963994436354,0.17000673191317556,0.21116369485891218,0.04695304695304695,0.24507891106887647,0.14740473678604676,0.1676068803002949,0.20348142711904552,0.001998001998001998,0.2084823440620399,0.12763387559688694,0.1514190093263473,0.18402539832643725,0.004995004995004995,0.007235165854947906,0.07747203076858156,0.057063334735692584,0.007235165854947906,1.0425581138671791,0.15494505494505495,0.15494505494505495
T3_expand17,V_pos_south_edge_lat,P_highlat_40_60_mean,V,P,1,-0.08605665798042755,0.08605665798042755,-5,-0.0901131895738231,0.0901131895738231,-0.08166649676678793,0.08166649676678793,ok,pooled_window_variable_ar1,0.08605665798042755,0.14276885452561566,0.16459631139469103,0.20366529130671587,0.3826173826173826,0.0901131895738231,0.14940089294512665,0.16704979307970685,0.21243472204623953,0.33166833166833165,0.08166649676678793,0.12681095474805487,0.15110994149569473,0.19046474924040174,0.25374625374625376,-0.07853965341426347,-0.07693660350588376,-0.0694434447289068,-0.07853965341426347,0.5228346689621094,0.4521193092621664,0.4521193092621664
T3_expand17,V_pos_south_edge_lat,P_highlat_35_60_mean,V,P,1,-0.09347452774891929,0.09347452774891929,-2,-0.0969318554698956,0.0969318554698956,-0.09522293595256506,0.09522293595256506,ok,pooled_window_variable_ar1,0.09347452774891929,0.14624674999884865,0.16932596351713658,0.20812522166643052,0.35564435564435565,0.0969318554698956,0.1370992402517396,0.1647502593983404,0.20799024270185634,0.2977022977022977,0.09522293595256506,0.12255895838479228,0.14335567192754764,0.19706869957184883,0.21678321678321677,-0.07585143576821729,-0.06781840392844479,-0.04813273597498258,-0.07585143576821729,0.5520389537866662,0.4412129224159299,0.4412129224159299
T3_expand17,V_pos_south_edge_lat,P_highlat_minus_main,V,P,1,-0.03712124830047826,0.03712124830047826,-3,-0.08673794119818873,0.08673794119818873,-0.046550728898096805,0.046550728898096805,ok,pooled_window_variable_ar1,0.03712124830047826,0.14317121358706772,0.1647150769898378,0.202942850798023,0.8301698301698301,0.08673794119818873,0.14658371992139335,0.1690665345966004,0.2098254267629384,0.3966033966033966,0.046550728898096805,0.12586098752823935,0.14711870359217738,0.1842834810919784,0.5364635364635365,-0.12759382868935953,-0.08232859339841167,-0.10056797469408058,-0.12759382868935953,0.22536642655224864,0.8485958485958486,0.8485958485958486
T3_expand17,V_pos_south_edge_lat,P_south_minus_main,V,P,1,-0.14435151710751892,0.14435151710751892,-1,-0.19074462626960964,0.19074462626960964,-0.17785542313267938,0.17785542313267938,ok,pooled_window_variable_ar1,0.14435151710751892,0.15506440475376462,0.1701631888153965,0.2150822986992854,0.12787212787212787,0.19074462626960964,0.14611615180654372,0.17347493890868826,0.22008029417446776,0.027972027972027972,0.17785542313267938,0.13008134414460615,0.16222570713250853,0.20054035225343014,0.026973026973026972,-0.02581167170787757,0.017269687360921382,0.01562971600017085,-0.02581167170787757,0.8483122472752925,0.2813186813186813,0.2813186813186813
T3_expand17,V_pos_south_edge_lat,P_south_plus_highlat_minus_main,V,P,1,-0.15315308749078307,0.15315308749078307,-1,-0.19686226708726368,0.19686226708726368,-0.18448843477488583,0.18448843477488583,ok,pooled_window_variable_ar1,0.15315308749078307,0.1445378850232441,0.16635793536824695,0.2052966588073891,0.07492507492507493,0.19686226708726368,0.1440794085780788,0.16810202528891008,0.20261772259838454,0.015984015984015984,0.18448843477488583,0.12955080989959972,0.14680986539386273,0.1856358401899518,0.011988011988011988,-0.013204847877463871,0.028760241798353597,0.0376785693810231,-0.013204847877463871,0.9206238773748072,0.20266618627274366,0.20266618627274366
T3_expand17,V_pos_band_width,P_main_band_share,V,P,5,0.09669906455235318,0.09669906455235318,-5,0.03743422002279416,0.03743422002279416,-0.0029905789118941854,0.0029905789118941854,ok,pooled_window_variable_ar1,0.09669906455235318,0.17727656562601604,0.19722115187719783,0.2497905508310979,0.4095904095904096,0.03743422002279416,0.16929152009399384,0.2034602669175021,0.25755145013819747,0.8411588411588412,0.0029905789118941854,0.1536139002039627,0.18148048835118832,0.23927929350671348,0.977022977022977,-0.10052208732484465,-0.16602604689470796,-0.17848990943929413,-0.10052208732484465,0.49030777699018835,0.47375701221855065,0.47375701221855065
T3_expand17,V_pos_band_width,P_south_band_share_18_24,V,P,5,-0.09650044283948549,0.09650044283948549,-5,-0.18666197315013733,0.18666197315013733,0.001973954762354656,0.001973954762354656,ok,pooled_window_variable_ar1,0.09650044283948549,0.16642778475166617,0.18865597172155077,0.23829723388242535,0.3836163836163836,0.18666197315013733,0.1557940996211813,0.18032736040795722,0.23900960906311333,0.04295704295704296,0.001973954762354656,0.14585611890922776,0.16432487491475195,0.22225415923512012,0.971028971028971,-0.09215552888206528,0.006334612742180112,-0.1623509201523973,-0.09215552888206528,0.511515442415555,0.4521193092621664,0.4521193092621664
T3_expand17,V_pos_band_width,P_main_minus_south,V,P,5,0.10924253577449407,0.10924253577449407,-5,0.11501300982554401,0.11501300982554401,-0.002886323657786906,0.002886323657786906,ok,pooled_window_variable_ar1,0.10924253577449407,0.17131214246443022,0.19615857890435914,0.2583632749852339,0.3036963036963037,0.11501300982554401,0.16538046167078732,0.18629827857157713,0.2429848778618843,0.2677322677322677,0.002886323657786906,0.14864250137285376,0.17376847081987584,0.23594640015290785,0.972027972027972,-0.08691604312986508,-0.07128526874603312,-0.17088214716208894,-0.08691604312986508,0.5569092944324263,0.4224766829808847,0.4224766829808847
