year,window_id,candidate_id,candidate_start_day,candidate_end_day,candidate_center_day,main_start_day,main_end_day,main_center_day,overlap_days,overlap_ratio,center_distance_days,near_peak_flag,overlap_any_flag,strict_overlap_flag,relation_tier,priority,is_best_relation_for_year_window
1984,W001,Y1984_C01,39,42,40,43,47,45,0,0.0,5,False,False,False,none,0,True
1984,W002,Y1984_C02,71,78,74,76,85,81,3,0.2,7,False,True,False,overlap_any,2,True
1984,W003,Y1984_C03,119,124,122,109,116,113,0,0.0,9,False,False,False,none,0,True
1984,W004,Y1984_C04,133,136,135,135,135,135,1,0.25,0,True,True,False,overlap_any,2,True
1984,W005,Y1984_C05,152,165,155,156,163,160,8,0.5714285714285714,5,False,True,True,strict_overlap,3,True
1985,W001,Y1985_C02,51,56,53,43,47,45,0,0.0,8,False,False,False,none,0,True
1985,W002,Y1985_C03,69,78,72,76,85,81,3,0.17647058823529413,9,False,True,False,overlap_any,2,True
1985,W003,Y1985_C05,110,111,111,109,116,113,2,0.25,2,True,True,False,overlap_any,2,True
1985,W004,Y1985_C06,130,130,130,135,135,135,0,0.0,5,False,False,False,none,0,True
1985,W005,Y1985_C07,167,168,168,156,163,160,0,0.0,8,False,False,False,none,0,True
1986,W001,Y1986_C01,30,34,32,43,47,45,0,0.0,13,False,False,False,none,0,True
1986,W002,Y1986_C02,70,71,71,76,85,81,0,0.0,10,False,False,False,none,0,True
1986,W003,Y1986_C03,112,119,117,109,116,113,5,0.45454545454545453,4,False,True,False,overlap_any,2,True
1986,W004,Y1986_C04,137,142,139,135,135,135,0,0.0,4,False,False,False,none,0,True
1986,W005,Y1986_C05,153,157,155,156,163,160,2,0.18181818181818182,5,False,True,False,overlap_any,2,True
1987,W001,Y1987_C01,46,46,46,43,47,45,1,0.2,1,True,True,False,overlap_any,2,True
1987,W002,Y1987_C02,88,92,89,76,85,81,0,0.0,8,False,False,False,none,0,True
1987,W003,Y1987_C03,128,132,130,109,116,113,0,0.0,17,False,False,False,none,0,True
1987,W004,Y1987_C03,128,132,130,135,135,135,0,0.0,5,False,False,False,none,0,True
1987,W005,Y1987_C04,151,157,154,156,163,160,2,0.15384615384615385,6,False,True,False,overlap_any,2,True
1988,W001,Y1988_C01,26,32,28,43,47,45,0,0.0,17,False,False,False,none,0,True
1988,W002,Y1988_C03,86,93,90,76,85,81,0,0.0,9,False,False,False,none,0,True
1988,W003,Y1988_C04,112,119,115,109,116,113,5,0.45454545454545453,2,True,True,False,overlap_any,2,True
1988,W004,Y1988_C05,131,140,137,135,135,135,1,0.1,2,True,True,False,overlap_any,2,True
1988,W005,Y1988_C06,159,161,159,156,163,160,3,0.375,1,True,True,False,overlap_any,2,True
1989,W001,Y1989_C01,36,36,36,43,47,45,0,0.0,9,False,False,False,none,0,True
1989,W002,Y1989_C03,74,78,76,76,85,81,3,0.25,5,False,True,False,overlap_any,2,True
1989,W003,Y1989_C04,112,118,115,109,116,113,5,0.5,2,True,True,True,strict_overlap,3,True
1989,W004,Y1989_C05,127,130,129,135,135,135,0,0.0,6,False,False,False,none,0,True
1989,W005,Y1989_C06,155,159,157,156,163,160,4,0.4444444444444444,3,True,True,False,overlap_any,2,True
1990,W001,Y1990_C02,41,42,41,43,47,45,0,0.0,4,False,False,False,none,0,True
1990,W002,Y1990_C03,73,76,74,76,85,81,1,0.07692307692307693,7,False,True,False,overlap_any,2,True
1990,W003,Y1990_C05,112,116,114,109,116,113,5,0.625,1,True,True,True,strict_overlap,3,True
1990,W004,Y1990_C06,126,137,134,135,135,135,1,0.08333333333333333,1,True,True,False,overlap_any,2,True
1990,W005,Y1990_C06,126,137,134,156,163,160,0,0.0,26,False,False,False,none,0,True
1991,W001,Y1991_C01,46,51,48,43,47,45,2,0.2222222222222222,3,True,True,False,overlap_any,2,True
1991,W002,Y1991_C02,86,89,88,76,85,81,0,0.0,7,False,False,False,none,0,True
1991,W003,Y1991_C04,119,122,120,109,116,113,0,0.0,7,False,False,False,none,0,True
1991,W004,Y1991_C05,131,134,132,135,135,135,0,0.0,3,True,False,False,near_peak_only,1,True
1991,W005,Y1991_C06,147,151,149,156,163,160,0,0.0,11,False,False,False,none,0,True
1992,W001,Y1992_C02,44,51,48,43,47,45,4,0.4444444444444444,3,True,True,False,overlap_any,2,True
1992,W002,Y1992_C04,79,79,79,76,85,81,1,0.1,2,True,True,False,overlap_any,2,True
1992,W003,Y1992_C05,97,102,100,109,116,113,0,0.0,13,False,False,False,none,0,True
1992,W004,Y1992_C06,132,138,134,135,135,135,1,0.14285714285714285,1,True,True,False,overlap_any,2,True
1992,W005,Y1992_C07,155,160,157,156,163,160,5,0.5555555555555556,3,True,True,True,strict_overlap,3,True
1993,W001,Y1993_C02,47,52,50,43,47,45,1,0.1,5,False,True,False,overlap_any,2,True
1993,W002,Y1993_C03,74,78,76,76,85,81,3,0.25,5,False,True,False,overlap_any,2,True
1993,W003,Y1993_C05,107,112,110,109,116,113,4,0.4,3,True,True,False,overlap_any,2,True
1993,W004,Y1993_C06,144,149,146,135,135,135,0,0.0,11,False,False,False,none,0,True
1993,W005,Y1993_C06,144,149,146,156,163,160,0,0.0,14,False,False,False,none,0,True
1994,W001,Y1994_C01,38,38,38,43,47,45,0,0.0,7,False,False,False,none,0,True
1994,W002,Y1994_C03,80,87,83,76,85,81,6,0.5,2,True,True,True,strict_overlap,3,True
1994,W003,Y1994_C04,105,109,107,109,116,113,1,0.08333333333333333,6,False,True,False,overlap_any,2,True
1994,W004,Y1994_C05,121,126,124,135,135,135,0,0.0,11,False,False,False,none,0,True
1994,W005,Y1994_C06,161,166,164,156,163,160,3,0.2727272727272727,4,False,True,False,overlap_any,2,True
1995,W001,Y1995_C01,30,38,33,43,47,45,0,0.0,12,False,False,False,none,0,True
1995,W002,Y1995_C03,74,77,76,76,85,81,2,0.16666666666666666,5,False,True,False,overlap_any,2,True
1995,W003,Y1995_C05,114,116,115,109,116,113,3,0.375,2,True,True,False,overlap_any,2,True
1995,W004,Y1995_C06,143,145,144,135,135,135,0,0.0,9,False,False,False,none,0,True
1995,W005,Y1995_C07,162,165,164,156,163,160,2,0.2,4,False,True,False,overlap_any,2,True
1996,W001,Y1996_C01,49,63,52,43,47,45,0,0.0,7,False,False,False,none,0,True
1996,W002,Y1996_C02,93,93,93,76,85,81,0,0.0,12,False,False,False,none,0,True
1996,W003,Y1996_C03,108,114,110,109,116,113,6,0.6666666666666666,3,True,True,True,strict_overlap,3,True
1996,W004,Y1996_C04,134,137,136,135,135,135,1,0.25,1,True,True,False,overlap_any,2,True
1996,W005,Y1996_C05,153,161,157,156,163,160,6,0.5454545454545454,3,True,True,True,strict_overlap,3,True
1997,W001,Y1997_C02,41,48,45,43,47,45,5,0.625,0,True,True,True,strict_overlap,3,True
1997,W002,Y1997_C04,84,89,87,76,85,81,2,0.14285714285714285,6,False,True,False,overlap_any,2,True
1997,W003,Y1997_C05,106,111,109,109,116,113,3,0.2727272727272727,4,False,True,False,overlap_any,2,True
1997,W004,Y1997_C06,132,137,135,135,135,135,1,0.16666666666666666,0,True,True,False,overlap_any,2,True
1997,W005,Y1997_C07,160,162,161,156,163,160,3,0.375,1,True,True,False,overlap_any,2,True
1998,W001,Y1998_C01,68,72,70,43,47,45,0,0.0,25,False,False,False,none,0,True
1998,W002,Y1998_C02,82,88,85,76,85,81,4,0.3076923076923077,4,False,True,False,overlap_any,2,True
1998,W003,Y1998_C04,118,121,120,109,116,113,0,0.0,7,False,False,False,none,0,True
1998,W004,Y1998_C04,118,121,120,135,135,135,0,0.0,15,False,False,False,none,0,True
1998,W005,Y1998_C05,159,164,161,156,163,160,5,0.5555555555555556,1,True,True,True,strict_overlap,3,True
1999,W001,Y1999_C01,42,42,42,43,47,45,0,0.0,3,True,False,False,near_peak_only,1,True
1999,W002,Y1999_C03,68,71,70,76,85,81,0,0.0,11,False,False,False,none,0,True
1999,W003,Y1999_C05,103,111,108,109,116,113,3,0.21428571428571427,5,False,True,False,overlap_any,2,True
1999,W004,Y1999_C06,126,143,133,135,135,135,1,0.05555555555555555,2,True,True,False,overlap_any,2,True
1999,W005,Y1999_C07,154,165,163,156,163,160,8,0.6666666666666666,3,True,True,True,strict_overlap,3,True
2000,W001,Y2000_C02,50,56,52,43,47,45,0,0.0,7,False,False,False,none,0,True
2000,W002,Y2000_C03,87,92,90,76,85,81,0,0.0,9,False,False,False,none,0,True
2000,W003,Y2000_C04,116,121,118,109,116,113,1,0.07692307692307693,5,False,True,False,overlap_any,2,True
2000,W004,Y2000_C05,137,141,139,135,135,135,0,0.0,4,False,False,False,none,0,True
2000,W005,Y2000_C06,156,160,158,156,163,160,5,0.625,2,True,True,True,strict_overlap,3,True
2001,W001,Y2001_C01,35,39,36,43,47,45,0,0.0,9,False,False,False,none,0,True
2001,W002,Y2001_C03,86,91,89,76,85,81,0,0.0,8,False,False,False,none,0,True
2001,W003,Y2001_C04,131,135,133,109,116,113,0,0.0,20,False,False,False,none,0,True
2001,W004,Y2001_C04,131,135,133,135,135,135,1,0.2,2,True,True,False,overlap_any,2,True
2001,W005,Y2001_C06,158,164,161,156,163,160,6,0.6666666666666666,1,True,True,True,strict_overlap,3,True
2002,W001,Y2002_C01,48,48,48,43,47,45,0,0.0,3,True,False,False,near_peak_only,1,True
2002,W002,Y2002_C03,89,95,92,76,85,81,0,0.0,11,False,False,False,none,0,True
2002,W003,Y2002_C04,104,109,106,109,116,113,1,0.07692307692307693,7,False,True,False,overlap_any,2,True
2002,W004,Y2002_C05,129,132,130,135,135,135,0,0.0,5,False,False,False,none,0,True
2002,W005,Y2002_C07,161,164,162,156,163,160,3,0.3333333333333333,2,True,True,False,overlap_any,2,True
2003,W001,Y2003_C02,49,54,52,43,47,45,0,0.0,7,False,False,False,none,0,True
2003,W002,Y2003_C03,78,83,80,76,85,81,6,0.6,1,True,True,True,strict_overlap,3,True
2003,W003,Y2003_C04,107,119,116,109,116,113,8,0.6153846153846154,3,True,True,True,strict_overlap,3,True
2003,W004,Y2003_C05,152,155,153,135,135,135,0,0.0,18,False,False,False,none,0,True
2003,W005,Y2003_C05,152,155,153,156,163,160,0,0.0,7,False,False,False,none,0,True
2004,W001,Y2004_C01,44,49,46,43,47,45,4,0.5714285714285714,1,True,True,True,strict_overlap,3,True
2004,W002,Y2004_C02,73,73,73,76,85,81,0,0.0,8,False,False,False,none,0,True
2004,W003,Y2004_C04,108,113,111,109,116,113,5,0.5555555555555556,2,True,True,True,strict_overlap,3,True
2004,W004,Y2004_C05,133,143,141,135,135,135,1,0.09090909090909091,6,False,True,False,overlap_any,2,True
2004,W005,Y2004_C06,167,168,168,156,163,160,0,0.0,8,False,False,False,none,0,True
2005,W001,Y2005_C02,53,53,53,43,47,45,0,0.0,8,False,False,False,none,0,True
2005,W002,Y2005_C03,83,87,85,76,85,81,3,0.25,4,False,True,False,overlap_any,2,True
2005,W003,Y2005_C04,102,108,104,109,116,113,0,0.0,9,False,False,False,none,0,True
2005,W004,Y2005_C05,137,149,140,135,135,135,0,0.0,5,False,False,False,none,0,True
2005,W005,Y2005_C06,160,165,163,156,163,160,4,0.4,3,True,True,False,overlap_any,2,True
2006,W001,Y2006_C02,49,56,52,43,47,45,0,0.0,7,False,False,False,none,0,True
2006,W002,Y2006_C03,72,78,74,76,85,81,3,0.21428571428571427,7,False,True,False,overlap_any,2,True
2006,W003,Y2006_C05,124,127,126,109,116,113,0,0.0,13,False,False,False,none,0,True
2006,W004,Y2006_C06,141,146,143,135,135,135,0,0.0,8,False,False,False,none,0,True
2006,W005,Y2006_C07,155,160,158,156,163,160,5,0.5555555555555556,2,True,True,True,strict_overlap,3,True
2007,W001,Y2007_C02,59,63,61,43,47,45,0,0.0,16,False,False,False,none,0,True
2007,W002,Y2007_C03,73,78,75,76,85,81,3,0.23076923076923078,6,False,True,False,overlap_any,2,True
2007,W003,Y2007_C05,120,126,123,109,116,113,0,0.0,10,False,False,False,none,0,True
2007,W004,Y2007_C05,120,126,123,135,135,135,0,0.0,12,False,False,False,none,0,True
2007,W005,Y2007_C06,147,155,152,156,163,160,0,0.0,8,False,False,False,none,0,True
2008,W001,Y2008_C01,46,51,48,43,47,45,2,0.2222222222222222,3,True,True,False,overlap_any,2,True
2008,W002,Y2008_C02,65,70,68,76,85,81,0,0.0,13,False,False,False,none,0,True
2008,W003,Y2008_C04,116,122,119,109,116,113,1,0.07142857142857142,6,False,True,False,overlap_any,2,True
2008,W004,Y2008_C05,132,137,134,135,135,135,1,0.16666666666666666,1,True,True,False,overlap_any,2,True
2008,W005,Y2008_C06,159,159,159,156,163,160,1,0.125,1,True,True,False,overlap_any,2,True
2009,W001,Y2009_C02,36,41,40,43,47,45,0,0.0,5,False,False,False,none,0,True
2009,W002,Y2009_C03,75,75,75,76,85,81,0,0.0,6,False,False,False,none,0,True
2009,W003,Y2009_C05,112,118,113,109,116,113,5,0.5,0,True,True,True,strict_overlap,3,True
2009,W004,Y2009_C06,131,136,134,135,135,135,1,0.16666666666666666,1,True,True,False,overlap_any,2,True
2009,W005,Y2009_C06,131,136,134,156,163,160,0,0.0,26,False,False,False,none,0,True
2010,W001,Y2010_C01,52,57,54,43,47,45,0,0.0,9,False,False,False,none,0,True
2010,W002,Y2010_C03,85,90,87,76,85,81,1,0.06666666666666667,6,False,True,False,overlap_any,2,True
2010,W003,Y2010_C04,120,124,122,109,116,113,0,0.0,9,False,False,False,none,0,True
2010,W004,Y2010_C05,141,146,143,135,135,135,0,0.0,8,False,False,False,none,0,True
2010,W005,Y2010_C06,162,166,164,156,163,160,2,0.18181818181818182,4,False,True,False,overlap_any,2,True
2011,W001,Y2011_C02,59,63,61,43,47,45,0,0.0,16,False,False,False,none,0,True
2011,W002,Y2011_C03,76,81,78,76,85,81,6,0.6,3,True,True,True,strict_overlap,3,True
2011,W003,Y2011_C05,109,112,110,109,116,113,4,0.5,3,True,True,True,strict_overlap,3,True
2011,W004,Y2011_C06,128,132,130,135,135,135,0,0.0,5,False,False,False,none,0,True
2011,W005,Y2011_C08,157,159,158,156,163,160,3,0.375,2,True,True,False,overlap_any,2,True
2012,W001,Y2012_C01,41,41,41,43,47,45,0,0.0,4,False,False,False,none,0,True
2012,W002,Y2012_C02,80,87,82,76,85,81,6,0.5,1,True,True,True,strict_overlap,3,True
2012,W003,Y2012_C03,106,116,111,109,116,113,8,0.7272727272727273,2,True,True,True,strict_overlap,3,True
2012,W004,Y2012_C04,150,153,152,135,135,135,0,0.0,17,False,False,False,none,0,True
2012,W005,Y2012_C05,162,165,163,156,163,160,2,0.2,3,True,True,False,overlap_any,2,True
2013,W001,Y2013_C01,39,43,41,43,47,45,1,0.1111111111111111,4,False,True,False,overlap_any,2,True
2013,W002,Y2013_C03,78,82,80,76,85,81,5,0.5,1,True,True,True,strict_overlap,3,True
2013,W003,Y2013_C04,88,97,93,109,116,113,0,0.0,20,False,False,False,none,0,True
2013,W004,Y2013_C05,131,136,133,135,135,135,1,0.16666666666666666,2,True,True,False,overlap_any,2,True
2013,W005,Y2013_C07,163,166,165,156,163,160,1,0.09090909090909091,5,False,True,False,overlap_any,2,True
2014,W001,Y2014_C01,33,37,35,43,47,45,0,0.0,10,False,False,False,none,0,True
2014,W002,Y2014_C02,73,78,75,76,85,81,3,0.23076923076923078,6,False,True,False,overlap_any,2,True
2014,W003,Y2014_C04,107,111,108,109,116,113,3,0.3,5,False,True,False,overlap_any,2,True
2014,W004,Y2014_C05,128,134,131,135,135,135,0,0.0,4,False,False,False,none,0,True
2014,W005,Y2014_C06,162,162,162,156,163,160,1,0.125,2,True,True,False,overlap_any,2,True
2015,W001,Y2015_C01,33,38,35,43,47,45,0,0.0,10,False,False,False,none,0,True
2015,W002,Y2015_C03,90,97,93,76,85,81,0,0.0,12,False,False,False,none,0,True
2015,W003,Y2015_C04,106,114,111,109,116,113,6,0.5454545454545454,2,True,True,True,strict_overlap,3,True
2015,W004,Y2015_C05,128,131,130,135,135,135,0,0.0,5,False,False,False,none,0,True
2015,W005,Y2015_C07,159,159,159,156,163,160,1,0.125,1,True,True,False,overlap_any,2,True
2016,W001,Y2016_C02,48,52,50,43,47,45,0,0.0,5,False,False,False,none,0,True
2016,W002,Y2016_C03,75,80,77,76,85,81,5,0.45454545454545453,4,False,True,False,overlap_any,2,True
2016,W003,Y2016_C05,113,118,115,109,116,113,4,0.4,2,True,True,False,overlap_any,2,True
2016,W004,Y2016_C06,128,132,130,135,135,135,0,0.0,5,False,False,False,none,0,True
2016,W005,Y2016_C07,142,164,150,156,163,160,8,0.34782608695652173,10,False,True,False,overlap_any,2,True
2017,W001,Y2017_C01,41,45,43,43,47,45,3,0.42857142857142855,2,True,True,False,overlap_any,2,True
2017,W002,Y2017_C02,58,63,60,76,85,81,0,0.0,21,False,False,False,none,0,True
2017,W003,Y2017_C03,107,113,111,109,116,113,5,0.5,2,True,True,True,strict_overlap,3,True
2017,W004,Y2017_C05,137,142,139,135,135,135,0,0.0,4,False,False,False,none,0,True
2017,W005,Y2017_C06,151,155,153,156,163,160,0,0.0,7,False,False,False,none,0,True
2018,W001,Y2018_C01,41,41,41,43,47,45,0,0.0,4,False,False,False,none,0,True
2018,W002,Y2018_C03,75,82,79,76,85,81,7,0.6363636363636364,2,True,True,True,strict_overlap,3,True
2018,W003,Y2018_C04,98,103,101,109,116,113,0,0.0,12,False,False,False,none,0,True
2018,W004,Y2018_C05,124,130,127,135,135,135,0,0.0,8,False,False,False,none,0,True
2018,W005,Y2018_C06,152,162,155,156,163,160,7,0.5833333333333334,5,False,True,True,strict_overlap,3,True
2019,W001,Y2019_C02,42,42,42,43,47,45,0,0.0,3,True,False,False,near_peak_only,1,True
2019,W002,Y2019_C04,94,95,94,76,85,81,0,0.0,13,False,False,False,none,0,True
2019,W003,Y2019_C04,94,95,94,109,116,113,0,0.0,19,False,False,False,none,0,True
2019,W004,Y2019_C05,133,141,137,135,135,135,1,0.1111111111111111,2,True,True,False,overlap_any,2,True
2019,W005,Y2019_C06,160,160,160,156,163,160,1,0.125,0,True,True,False,overlap_any,2,True
2020,W001,Y2020_C02,43,47,45,43,47,45,5,1.0,0,True,True,True,strict_overlap,3,True
2020,W002,Y2020_C03,61,71,67,76,85,81,0,0.0,14,False,False,False,none,0,True
2020,W003,Y2020_C04,115,120,118,109,116,113,2,0.16666666666666666,5,False,True,False,overlap_any,2,True
2020,W004,Y2020_C05,142,149,146,135,135,135,0,0.0,11,False,False,False,none,0,True
2020,W005,Y2020_C06,159,165,162,156,163,160,5,0.5,2,True,True,True,strict_overlap,3,True
2021,W001,Y2021_C02,44,47,46,43,47,45,4,0.8,1,True,True,True,strict_overlap,3,True
2021,W002,Y2021_C04,88,92,89,76,85,81,0,0.0,8,False,False,False,none,0,True
2021,W003,Y2021_C05,103,109,107,109,116,113,1,0.07142857142857142,6,False,True,False,overlap_any,2,True
2021,W004,Y2021_C06,121,131,128,135,135,135,0,0.0,7,False,False,False,none,0,True
2021,W005,Y2021_C07,156,156,156,156,163,160,1,0.125,4,False,True,False,overlap_any,2,True
2022,W001,Y2022_C02,50,50,50,43,47,45,0,0.0,5,False,False,False,none,0,True
2022,W002,Y2022_C03,77,85,79,76,85,81,9,0.9,2,True,True,True,strict_overlap,3,True
2022,W003,Y2022_C05,116,125,121,109,116,113,1,0.058823529411764705,8,False,True,False,overlap_any,2,True
2022,W004,Y2022_C05,116,125,121,135,135,135,0,0.0,14,False,False,False,none,0,True
2022,W005,Y2022_C06,146,153,150,156,163,160,0,0.0,10,False,False,False,none,0,True
2023,W001,Y2023_C01,37,37,37,43,47,45,0,0.0,8,False,False,False,none,0,True
2023,W002,Y2023_C03,63,68,65,76,85,81,0,0.0,16,False,False,False,none,0,True
2023,W003,Y2023_C05,120,126,124,109,116,113,0,0.0,11,False,False,False,none,0,True
2023,W004,Y2023_C06,142,145,143,135,135,135,0,0.0,8,False,False,False,none,0,True
2023,W005,Y2023_C07,164,166,165,156,163,160,0,0.0,5,False,False,False,none,0,True
