window_id,anchor_day,field,band_id,band_label,feature_indices,lat_values,lat_min,lat_max,lat_center,n_features,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,bootstrap_id,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,3,0.3880592650738927,0.04242788122914365,0.05317496026762944,8.118153372645788,clear_separation,38.0,40.0,43.0,6.0,0.9296665162711372,1,1,1,monotonic_clear_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,3,0.5711770870314932,0.05711638752042011,0.05646219819392765,10.057830592431504,clear_separation,38.0,40.0,42.0,5.0,0.8978613898784216,1,1,1,monotonic_clear_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,3,0.7131924018764167,0.06569249030171152,0.055551203078043856,11.764610298216752,clear_separation,38.0,40.0,42.0,5.0,0.9215209761499467,1,1,1,monotonic_clear_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,3,0.7361530676067157,0.06369765626186906,0.048801139078956106,13.087305786046631,clear_separation,38.0,41.0,44.0,7.0,0.956040156763263,1,1,3,nonmonotonic_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,3,0.6585913233668289,0.05845361630563581,0.041918573014470085,13.122984121693982,clear_separation,38.0,41.0,49.0,12.0,0.9718500848161683,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,3,0.5761836930137456,0.05447531405872674,0.03541526543180685,12.819668006737105,clear_separation,38.0,42.0,50.0,13.0,0.9814462977908051,1,1,1,monotonic_clear_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,3,0.5097028940165883,0.05172495954437011,0.034199587932924914,11.86396458216809,clear_separation,38.0,43.0,51.0,14.0,0.988342133990385,1,3,1,nonmonotonic_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,3,0.47462223010299515,0.05012729009103359,0.03752078142481071,10.830180787408805,clear_separation,38.0,49.0,52.0,15.0,0.9817921154411573,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,4,0.32930480511982146,0.05236276295583919,0.03905212731349174,7.204620694558693,clear_separation,37.0,39.0,41.0,5.0,0.87159750540502,1,1,3,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,4,0.4406376655027528,0.07367367297566799,0.04665349901188855,7.323992714480097,clear_separation,37.0,38.0,42.0,6.0,0.9118420500776266,1,1,3,nonmonotonic_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,4,0.7030763629103443,0.11493774939786398,0.05164542406321716,8.441145024364216,clear_separation,37.0,38.0,43.0,7.0,0.913976705204152,1,1,3,nonmonotonic_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,4,0.8633351130938663,0.13986061300102176,0.050074819157904696,9.090827375088066,clear_separation,37.0,38.0,43.0,7.0,0.9163211466159304,1,1,3,nonmonotonic_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,4,0.8714177002468599,0.13956682890273323,0.0402677712053086,9.691324135774034,clear_separation,37.0,39.0,43.0,7.0,0.91979487408103,1,1,1,monotonic_clear_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,4,0.7253892228317071,0.11816472819778834,0.033070016588412146,9.592891155370308,clear_separation,37.0,39.0,43.0,7.0,0.920334996961808,1,1,1,monotonic_clear_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,4,0.5938831394358651,0.09831858431388454,0.02833745392428598,9.377889087446725,clear_separation,37.0,39.0,43.0,7.0,0.9323745871673645,1,1,3,nonmonotonic_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,4,0.503996617060566,0.08268457539784627,0.027994664907629887,9.107337846924525,clear_separation,37.0,39.0,49.0,13.0,0.959119619143523,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,4,0.46390771378966195,0.07096416704056321,0.030209033830018155,9.170565125717676,clear_separation,37.0,48.0,50.0,14.0,0.9766024523419926,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,5,0.30604088473413815,0.05768004172060705,0.038735969161621336,6.3483415654194,clear_separation,39.0,40.0,54.0,16.0,0.8934976777914608,1,3,1,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,5,0.3239334460163524,0.10103513298010575,0.04641556902933349,4.393786419426088,clear_separation,36.0,38.0,40.0,5.0,0.8762744791616972,1,1,3,nonmonotonic_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,5,0.4663491019840199,0.1415321422062632,0.0493190537130992,4.887044063126255,clear_separation,36.0,37.0,39.0,4.0,0.8113834778279075,1,1,3,nonmonotonic_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,5,0.6040552621792744,0.16197718548296047,0.048036647664430006,5.75252832749915,clear_separation,36.0,37.0,39.0,4.0,0.840503708685307,1,1,3,nonmonotonic_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,5,0.6665461844105494,0.14831926263978082,0.0438789943946651,6.936027357252822,clear_separation,36.0,38.0,42.0,7.0,0.9085748629183563,1,1,3,nonmonotonic_progress,False,False
