mode,year,H_H_E1_strength,H_H_E2_strength,P_E2_CONTROL_strength,P_P45_strength,V_E2_CONTROL_strength,V_V45_strength,H_package_strength,M_combined_strength,joint45_strength_proxy
anomaly,2004,8.901752375217328,15.121529887660204,2.4808840765547204,4.623643414388767,1.1596972699516526,2.461776146921673,-0.8714642366292402,0.6813263137536562,0.6813263137536562
anomaly,2005,14.097929184626057,19.97211504200911,2.364030419783108,3.38396493199537,1.3372495141032943,2.34124113303204,-0.2570755472130465,0.1115666491427143,0.1115666491427143
anomaly,2006,17.65873785041402,27.523268742715857,1.8752585871722656,6.7590857858672555,0.885375425177376,3.0395810997549124,0.45481481043424055,1.9619641389119882,1.9619641389119882
anomaly,2007,21.072101718844007,19.782809856438238,3.0079640831087495,3.4907913111090356,1.3173097867507892,1.3811555057088862,0.10654902330014462,-0.6236922929853584,-0.6236922929853584
anomaly,2008,13.11446619746118,22.27389965131215,3.634824443346049,8.717205374385918,1.8679130774800403,3.266759555757268,-0.1518065193521958,2.8916548152612087,2.8916548152612087
anomaly,2009,16.574800741289444,27.964091783369533,6.553038741590385,3.791361754658787,3.1065551583225313,0.9969744166195801,0.42660758219147776,-0.8196727275583651,-0.8196727275583651
anomaly,2010,19.048632372226063,7.860558397856106,4.012389567884205,4.203846146566502,1.0228977722262365,1.6065990630174474,-0.8230838288780603,-0.16979675068533745,-0.16979675068533745
anomaly,2011,42.366302578997114,13.463668997534896,3.0055907010934106,3.999302267966589,1.8128102607709673,1.0180044786206162,0.8217627527149094,-0.723446556784446,-0.723446556784446
anomaly,2012,17.420931454475195,27.93583038361867,2.004888360608875,3.947265489771004,1.3207987849886687,1.1203611938911584,0.4703594828702763,-0.6605466502813476,-0.6605466502813476
anomaly,2013,12.538916689313044,17.62219459352681,2.460695524644177,4.9647921055202255,1.4488709293804185,1.3964740571380765,-0.5029668346350247,-0.049689647027498146,-0.049689647027498146
anomaly,2014,25.922864629692278,15.202385659331874,3.037445771476789,4.126736220023443,0.9393968734793218,1.596482293117645,0.05334937023097394,-0.20735366489184992,-0.20735366489184992
anomaly,2015,10.599807665987829,7.751303186932982,1.9648008032104083,5.127258648984772,0.6712386600509714,2.194068513287481,-1.286892642821654,0.6568460853074662,0.6568460853074662
anomaly,2016,30.67220586193654,23.298671890104313,2.7498723468085156,2.808265541035006,1.2591941316293542,1.282136228870653,0.8669379265452635,-0.9637768762747783,-0.9637768762747783
anomaly,2017,12.227344182800882,19.597243589558737,2.150029555006012,4.61460238048015,0.9842784111344486,1.3631703247370843,-0.3838935722483715,-0.21003527090241733,-0.21003527090241733
anomaly,2018,30.900039442829407,24.819913234062952,2.2832693022179757,4.624020385607986,0.9764517763735053,2.4604321941007843,0.983916771748113,0.6803837353502231,0.6803837353502231
anomaly,2019,20.620736012309145,18.447778835617314,4.122728412167116,3.0971439233893183,1.6469130995893848,1.8301512982107324,-0.009689144963958639,-0.41079128148952676,-0.41079128148952676
anomaly,2020,21.71263415088333,29.08112178491578,3.072763428852132,3.5819405164886455,0.8878773097002414,1.5352458952319181,0.7809449606748332,-0.4644235845819161,-0.4644235845819161
anomaly,2021,17.309273103860516,17.815370491237704,2.1292462768269127,5.820591934046913,0.6842217045917818,2.739448478517766,-0.23204461839067944,1.361806813070105,1.361806813070105
anomaly,2022,17.636740826317215,11.782498705913932,3.701319816524244,5.667307095331685,1.244997250883861,2.0116359039921288,-0.6294722017086996,0.7151686949127887,0.7151686949127887
anomaly,2023,17.866629683090256,10.416489921999867,2.314096368242461,2.9115420011679394,0.7971224516765795,1.1022315832600107,-0.7110497556418137,-1.069829405931631,-1.069829405931631
local_background_removed,1979,9.650424698472355,12.995985178234424,3.435122698348351,4.450671000876613,1.2990266809651259,1.6935522059554629,-0.4866053852597719,0.43831936688431994,0.43831936688431994
local_background_removed,1980,16.87585759680857,6.818721138812835,4.111824928172145,6.569110445349867,0.9957251810858874,1.921648283545363,-0.3241722655814374,1.6337068934815018,1.6337068934815018
local_background_removed,1981,24.547540494443282,13.291340479967854,3.35246763930541,4.2902575243042955,1.6901028697811167,2.068145262822519,0.8934489082528443,0.7839680738395728,0.7839680738395728
local_background_removed,1982,14.688350913231611,17.50768521826701,3.2784312254746846,2.928029840319615,1.859117433684422,1.9128411653738333,0.3339437134747866,0.005687381834857563,0.005687381834857563
local_background_removed,1983,8.870397572588377,8.194704741665992,2.88378142985552,4.169148069005083,0.8616357528173089,1.5008162741839353,-0.94270266621331,0.09867603430947527,0.09867603430947527
local_background_removed,1984,11.080955801453625,7.487930049898362,3.435995396139062,3.98627032684838,1.1320537683600913,1.3535268490803887,-0.7981191696730997,-0.14654176010809075,-0.14654176010809075
local_background_removed,1985,12.088164170980475,18.503633165214612,2.861007393969591,2.4787826528902897,2.1873787319194036,1.0392618354435617,0.1770775083274763,-1.166312655620576,-1.166312655620576
local_background_removed,1986,13.731882285282413,13.449797027516276,2.870073373778431,3.1099813342077662,1.3026987311918505,1.4057312612615407,-0.07859614841382308,-0.4778873349177602,-0.4778873349177602
local_background_removed,1987,10.058270536542912,16.62467165580151,1.9491617606211245,3.0028142618186386,1.0934736691985876,1.2724560986616897,-0.15844024966209336,-0.6738581910602406,-0.6738581910602406
local_background_removed,1988,14.970102772515018,15.000497881012116,3.2179135724526504,2.7575150951518217,1.7642981892627358,0.7921285092840877,0.15851318345958346,-1.3175071173862265,-1.3175071173862265
local_background_removed,1989,11.22592662045367,9.148798014832908,2.86769722387136,3.449665689135919,0.9270964264084781,1.3808884567251787,-0.6517132893608268,-0.35457171284791433,-0.35457171284791433
local_background_removed,1990,25.4479340155878,13.300935446420029,3.1434268335162265,3.4368187513702524,1.506679858367969,0.8845880792898604,0.9761982880500455,-0.9126897282206462,-0.9126897282206462
local_background_removed,1991,7.928573821260108,9.41319834500407,3.3929108853888112,3.867013338018867,1.8119708755822015,2.035889968439406,-0.9307279431123947,0.5599625114210444,0.5599625114210444
local_background_removed,1992,7.545512596011924,15.999283273689018,2.2835478443236226,2.676513077262892,1.8607868457525651,1.1039798879343905,-0.43738205404178704,-1.0064001162317453,-1.0064001162317453
local_background_removed,1993,8.486817345947276,6.706647424746236,3.4327614874802355,3.8771247594801586,1.2238753389489094,1.7613042439152338,-1.0969737523190801,0.2588280151497556,0.2588280151497556
local_background_removed,1994,12.718670734083865,16.567742356258577,4.2479992634285955,4.006540756283342,1.7753659700904314,2.0305717398143495,0.07922035410140621,0.6160536458551139,0.6160536458551139
local_background_removed,1995,6.859151296481653,17.762417803118765,3.1423202991156103,4.521709350352451,1.2263294768569422,0.9216737228279778,-0.3584659685702335,-0.38925016959657077,-0.38925016959657077
local_background_removed,1996,17.034978858968465,11.83216046421288,5.395372025878814,6.86765799869298,2.197076594064786,2.3108560690847066,0.09240798302691519,2.1996000332328323,2.1996000332328323
local_background_removed,1997,13.015396033847013,23.681519021092633,3.116220102849869,3.3128907370545737,2.7267411474684415,1.1733146238045926,0.6767824693193424,-0.6463996166439437,-0.6463996166439437
local_background_removed,1998,15.563908091799226,11.73642961982726,2.4845728333355432,4.292770036539895,0.6873687055183657,1.1878189957657648,-0.04920927790909771,-0.19476469735463162,-0.19476469735463162
local_background_removed,1999,13.504431734185568,16.516034656111252,4.778392851098373,3.343678424586312,1.6561031364896048,1.2246376907965437,0.14661591709832908,-0.5755912776928549,-0.5755912776928549
local_background_removed,2000,4.8852871677273475,19.352779803110483,3.442351840795498,5.416637015845743,1.7488452990972538,2.05951230276108,-0.4106324535426845,1.2749594601590375,1.2749594601590375
local_background_removed,2001,8.548262363046039,3.73713379226984,2.8828008465796136,2.6580785131148312,1.038571208385199,1.2059235500780217,-1.3295428921788421,-0.9011243914129028,-0.9011243914129028
local_background_removed,2002,20.911891890332637,14.766400687856194,2.827244586045054,3.420087293059101,1.2492333670627538,1.292528884857615,0.6807312428726912,-0.466066179622979,-0.466066179622979
local_background_removed,2003,26.12672464703518,7.828498381214319,3.163277060844475,4.57392547802165,1.3692950122545033,1.3630606577902222,0.5990960364444812,0.12524326841038674,0.12524326841038674
local_background_removed,2004,5.253704395771573,9.824157099288717,2.0841322078536377,4.538096953226464,1.0292349285562867,1.8412235409840716,-1.1413117608645758,0.6415403126620678,0.6415403126620678
local_background_removed,2005,12.560008861964599,16.184782992264022,2.8015999478644016,2.9217360862073973,1.3263443771217507,1.8297004977605165,0.03405990969721623,-0.08964970462482974,-0.08964970462482974
local_background_removed,2006,9.979697402729004,29.178351147298642,3.7127206122741545,6.511895683960927,2.2684285128014996,2.945571783055101,0.8412474058735184,2.7479594434828014,2.7479594434828014
local_background_removed,2007,9.31078433727516,15.472259827881391,2.4117964928962836,2.4472685272793817,0.7125608152498386,0.8298245132476574,-0.3189248269680008,-1.4134333259483007,-1.4134333259483007
local_background_removed,2008,11.067052691203747,16.99388835573597,3.486838369749363,6.8876548400715745,1.7489500132896136,2.2496467941406393,-0.03697949423305641,2.1403581505172435,2.1403581505172435
local_background_removed,2009,15.345180912177218,20.535519929575063,4.900964231180231,3.894785322260789,2.454964595119575,2.0013409664560324,0.6365885205135967,0.5338504448801652,0.5338504448801652
local_background_removed,2010,16.040218014455274,9.748141402709082,4.202698188771021,3.6929286854848895,1.1696376505585817,1.6885430895931086,-0.16530829064608785,0.09597819383023344,0.09597819383023344
local_background_removed,2011,28.064605577950175,27.335843259243738,3.6569857736236226,4.638295204425785,2.076057497633613,1.653679317370856,2.340083820898436,0.4773251514058528,0.4773251514058528
local_background_removed,2012,12.644450300613903,22.10503927150193,2.860122286252387,4.1413568403121195,1.956232264950043,1.6432646053529891,0.5165700032888958,0.24487717372882542,0.24487717372882542
local_background_removed,2013,20.57946764799261,7.820477262816017,3.1393988269397926,4.148201618907872,1.3134941095484483,1.3600663812801173,0.09338109699945152,-0.06729529150938979,-0.06729529150938979
local_background_removed,2014,19.38417818987876,11.128080999004348,3.0890049640066723,2.580774533520694,1.261962146468928,0.9733487979246219,0.24983076378734342,-1.1943487642107466,-1.1943487642107466
local_background_removed,2015,4.836107666359481,10.215753184846895,2.0152732919291125,4.861526686417415,0.9873115674688385,1.841047014892736,-1.1479263353876656,0.7850867075067247,0.7850867075067247
local_background_removed,2016,18.471563343697717,12.539237510171597,2.139270541131155,3.188906549763517,0.9777090328688237,1.5009951866095537,0.2799170516967829,-0.33677659999144316,-0.33677659999144316
local_background_removed,2017,9.94613656425248,30.258699815917307,2.9026162357288725,3.5569623723662183,0.9451620472133009,0.8893063791835044,0.9248388378893604,-0.8540422109483561,-0.8540422109483561
local_background_removed,2018,16.09631031105652,13.083082803328505,1.972668929289284,2.3748992150077455,1.121410761219382,1.57291355394334,0.10727086295826366,-0.618499476297165,-0.618499476297165
local_background_removed,2019,15.190897706337463,22.386321318614886,3.7784834810238412,3.6606629975744496,1.840623995675301,1.4878870431339655,0.7709808661284737,-0.14170247412245954,-0.14170247412245954
local_background_removed,2020,12.045546567409538,27.088398824132003,2.8125109625510802,3.7103768389557876,1.3481196603567505,1.214150298245322,0.8617204279952151,-0.4242913853331329,-0.4242913853331329
local_background_removed,2021,11.054794829605125,11.611130719410692,3.6430852485507126,3.151539955241983,1.4144713054909652,1.5520358720523222,-0.4698083964641271,-0.29657258512907303,-0.29657258512907303
local_background_removed,2022,10.778242133372785,10.5173513932779,3.927086969459116,3.9298221632404973,1.5340554941906666,1.3833831103790422,-0.5827125011148155,-0.1383976038283612,-0.1383976038283612
local_background_removed,2023,13.448947619027553,7.840112769209845,2.774231822834298,2.9284456318648577,1.5219876934452068,1.136707056465614,-0.5542700506376496,-0.8580058919314983,-0.8580058919314983
raw,1979,5814.245571516566,5818.2444896946645,6.284825300424922,9.72545989707921,2.4794701312806464,3.2602333805122408,-0.23074236215751098,1.0567587655986532,1.0567587655986532
raw,1980,5798.838777030958,5831.809898973725,7.1673032891622235,10.220163340476466,2.7900442187652734,3.301773705498983,-0.2032108221193292,1.228649682218525,1.228649682218525
raw,1981,5804.521719664651,5825.647629385402,5.082972448432813,8.653220072989114,2.156141769852552,2.4012388169996606,-0.2535026424302459,0.0445923606101018,0.0445923606101018
