window_id,year,mode,pc_score
W160,1985,3,-0.23010527650525572
W160,1986,3,0.14393368510650506
W160,1987,3,0.5697396777915986
W160,1988,3,-0.93181480172809
W160,1989,3,-0.860433292185639
W160,1990,3,0.5307259255418697
W160,1991,3,0.5533282698225142
W160,1992,3,0.27120046540800175
W160,1993,3,-0.2462006910017167
W160,1994,3,0.9612222518787057
W160,1995,3,1.530512437586427
W160,1996,3,0.23539463325425544
W160,1997,3,1.12368179907228
W160,1998,3,0.08133286269258976
W160,1999,3,-0.7563260852895325
W160,2000,3,0.1673015654729246
W160,2001,3,-0.2764028547209109
W160,2002,3,0.7830019190076439
W160,2003,3,0.25894878455213965
W160,2004,3,-0.4512209739672537
W160,2005,3,-0.6989978719197352
W160,2006,3,0.21039730291414233
W160,2007,3,-0.4256250037450389
W160,2008,3,-0.9333508725010332
W160,2009,3,0.37648559341006194
W160,2010,3,-0.12400850729353917
W160,2011,3,0.380540812802769
W160,2012,3,0.3906292232630464
W160,2013,3,0.08518017658293406
W160,2014,3,-0.22477134892802533
W160,2015,3,-0.31333985864930725
W160,2016,3,-0.4407891164194855
W160,2017,3,0.003579730429070618
W160,2018,3,-0.33126171076789196
W160,2019,3,0.154977247954396
W160,2020,3,0.5412621012222896
W160,2021,3,-0.6149740080033292
W160,2022,3,0.43966071665393863
W160,2023,3,-0.7848982132543044
W160,1979,4,0.6812779061114879
W160,1980,4,-0.2727646688944877
W160,1981,4,-0.5390381327770366
W160,1982,4,0.23503796222576173
W160,1983,4,0.24420741813425118
W160,1984,4,-0.19340244287698619
W160,1985,4,-0.9659386647985182
W160,1986,4,-0.341382400128567
W160,1987,4,0.4222289374349213
W160,1988,4,0.8101851551056447
W160,1989,4,-0.5106466047346467
W160,1990,4,-1.0066893819986957
W160,1991,4,0.2540924854293749
W160,1992,4,-0.8305680581949841
W160,1993,4,-0.19402646599999962
W160,1994,4,0.2320958504696023
W160,1995,4,0.04206587946954884
W160,1996,4,0.7131101816074963
W160,1997,4,-0.0511626156240417
W160,1998,4,0.9214365808137712
W160,1999,4,0.07824793641125671
W160,2000,4,-0.1393353635277233
W160,2001,4,0.3024324719058552
W160,2002,4,0.14045323762575873
W160,2003,4,-0.7292115958893173
W160,2004,4,-0.5641463103219191
W160,2005,4,-0.0013508228140172987
W160,2006,4,0.4405228204838465
W160,2007,4,0.8439253964395075
W160,2008,4,0.5890394663318854
W160,2009,4,-0.3575548812075581
W160,2010,4,-0.5515600340854689
W160,2011,4,0.07304612939780945
W160,2012,4,0.10885091134819684
W160,2013,4,0.9349012175891885
W160,2014,4,-0.513152207815056
W160,2015,4,0.20353724111617083
W160,2016,4,0.7517053576621511
W160,2017,4,-0.43378627099318906
W160,2018,4,-0.294673440464099
W160,2019,4,-0.03855733330768541
W160,2020,4,0.24004479800283215
W160,2021,4,-0.82689241002767
W160,2022,4,0.6461626339193703
W160,2023,4,-0.5527678685539288
