year,mode,cluster_id,vector_kind,object,metric,feature,value_raw,value_z,value_robust_z
1997,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-2.2002122459720295,-1.7846042833123432,-1.2904771310375558
1998,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.0532615082331119,-0.04320070297876938,0.031178165067522707
1999,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.3130375278117474,-0.2539064647027033,-0.1287390356591163
2000,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-1.004598444880019,-0.814835337374353,-0.5544614952182768
2001,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.45486910517531776,-0.3689468390735635,-0.2160500540641857
2002,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,2.40182758601514,1.9481355972031305,1.542522345810252
2003,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.7161341195995933,-0.5808603327261892,-0.3768838747621268
2004,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.18969738469443076,-0.15386459459926832,-0.052811278907212995
2005,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.5427935403485366,-0.44026283320331316,-0.2701760260117841
2006,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.5304421778134533,0.43024457495336044,0.3905040939111274
2007,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.0454128865793502,0.847940156062173,0.7075182445461013
2008,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.9944222404804343,-0.8065813618805762,-0.5481970597086278
2009,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-1.7892877129638862,-1.4513011290066657,-1.0375134389494503
2010,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.7705478742354896,1.4361011424942247,1.1539087834534605
2011,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-1.4096666266692768,-1.1433883729181076,-0.8038200381670767
2012,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.4615496176532865,0.374365439576641,0.3480940770451537
2013,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.3957664315229028,-0.32100833461863826,-0.1796666567772269
2014,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.3903501476497901,1.1277206702863267,0.9198604049432468
2015,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.31773635769066316,0.25771771152392126,0.25956314182681084
2016,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.3794503881807316,1.1188798152864663,0.913150551486747
2017,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.08867899831729087,0.07192802445609855,0.11855623989552107
2018,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.24200397867103143,0.19629076135977483,0.21294255661331568
2019,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.15399499044918277,-0.12490618578610992,-0.03083301102783065
2020,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.012253045005741,0.8210440257390378,0.687105163116985
2021,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-2.886531171011743,-2.3412813473485397,-1.7129726388064854
2022,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.043748500897246245,-0.03548465027983199,0.03703433880561909
2023,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.013860066255364956,0.011241976155526754,0.07249796940501507
1979,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.123485484551355,0.7051495248058768,0.3536101223049935
1980,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.40893555654288277,0.2566661673315633,0.023529637309584673
1981,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.03893717172025024,0.024438703048115986,-0.14738808519324983
1982,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-0.5691142853755103,-0.35720147114587236,-0.42827247408364233
1983,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.6755012489219094,1.0516192026822146,0.6086092820367449
1984,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-2.9563934880315075,-1.8555642167972428,-1.53105654297071
1985,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.3579991897780828,0.22469623508639527,0.0
1986,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.0652394104481709,0.04094715945040802,-0.1352379815049403
1987,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.1455914097718276,0.7190241879670437,0.3638217733485848
1988,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.9688277500340607,1.2357239781478286,0.7441090560258863
1989,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-0.12406502008141018,-0.07786873186917352,-0.22268561223263228
1990,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.4456910368305607,0.9073800789195569,0.5024503373770923
1991,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.5192856878538284,0.32592682421246005,0.07450497637923205
1992,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.0650442331893342,0.6684691927556178,0.3266136650426177
1993,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.951747588881659,1.2250037083394176,0.7362190155178734
1994,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.4777663230814693,-0.9275119570513627,-0.8480168383913708
1995,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.4298530746277951,0.2697949332484495,0.033192313413424726
1996,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.15827172016615343,0.09933838024613147,-0.09226246823669088
1997,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.27553246121237,0.17293644356258278,-0.038094829617885656
1998,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.8428919211536169,0.5290365081143306,0.22399222457312604
1999,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-3.2031560600180775,-2.010443396607645,-1.645046491394686
2000,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-2.689044475723874,-1.6877640702191756,-1.4075568571034114
2001,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.37498436020667825,0.23535688448611028,0.007846160321401615
2002,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,2.759861054322633,1.7322117087814435,1.1095204100719491
2003,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.3404220432851022,0.21366403514487303,-0.008119618814333698
2004,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.7272735037956675,1.0841137755310464,0.632525051009901
2005,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.7386397431600544,0.4636031983092692,0.1758337850784197
2006,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.860497340078048,0.5400864530929508,0.23212490360553464
2007,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.5200859119097758,-0.9540736157132699,-0.8675660257297371
2008,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.8569742893656083,-1.1655197648110194,-1.0231888515970136
2009,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-5.291868014871953,-3.321412040772837,-2.6099098662961815
2010,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.1885765147238565,-0.7460035541871227,-0.714427975728609
2011,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.05316151196140358,0.033366532467943175,-0.1408172677576851
2012,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-0.10512414186480375,-0.06598059316377711,-0.21393602872151016
2013,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.8881580592308367,-1.1850920875552715,-1.037593938600224
2014,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.1673765366193207,-0.7326975037824945,-0.7046348195328753
2015,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.6142976392923272,0.3855605563158087,0.11839496892123401
2016,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.5114446446600536,0.948649971546389,0.5328246778000887
2017,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-0.025093444825622886,-0.01574976351527722,-0.17696650390910232
2018,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.1976706053572508,0.7517114104761965,0.38787933106875494
2019,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-2.263718325531155,-1.4208104363538692,-1.2110809266836433
2020,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,0.6927672781766864,0.434811596344235,0.15464337570864153
2021,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.509189579674288,0.9472345923314507,0.5317829690054742
2022,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,-1.0412893521628215,-0.6535595714939291,-0.6463898776950064
2023,anomaly,E2,state,P,P_centroid_lat,P.P_centroid_lat,1.5147599937635536,0.9507308322936306,0.5343561761560712
1979,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.2027489283156538,-0.769945445122875,-0.6407423645470005
1980,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.047620364176741,-0.6706391572058501,-0.5666010991920888
1981,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-2.3829015539071725,-1.5254257596191683,-1.2047778112679852
1982,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.7401282131101661,-0.4737965946801076,-0.41964004599517546
1983,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.18607751484173068,0.11911840586115437,0.023025462001333
1984,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.13755248901821482,0.08805487986025609,-0.00016631338771527757
1985,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,2.1495061644721467,1.3760165913567295,0.9614154053732729
1986,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.8161463167596983,-1.162614699831045,-0.9339060304203957
1987,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.6450875535220537,0.4129558645588002,0.24240211431078074
1988,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.9417494889068014,0.6028654130218332,0.38418703570260465
1989,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.47727361173422467,0.3055289718251703,0.162198071571084
1990,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.2045635010842757,0.7711070525083807,0.5097948728149921
1991,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.48962598083573206,0.31343639963680925,0.16810169274104844
1992,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.4160140029632255,0.26631334200183493,0.13292000189616823
1993,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,2.651602649317123,1.6974360434280584,1.2013845491817918
1994,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.18649091177944202,-0.11938304387639512,-0.15503777692768247
1995,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.3555232596212194,-0.8677446596980571,-0.7137584612253806
1996,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-3.652995055053262,-2.3384821532399576,-1.8117990895007812
1997,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.8453460211387944,1.1813070294239718,0.8160468330381837
1998,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.396555804111994,0.8940118381496006,0.6015545842768484
1999,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.16434676705983778,-0.10520736434627259,-0.14445433010196718
2000,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-3.51998533525842,-2.2533353486973624,-1.74822917905372
2001,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.3673871809236782,-0.8753394053287321,-0.719428636426949
2002,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.202339878231637,0.7696835897666946,0.5087321271312308
2003,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.7258962125154846,1.1048406664905936,0.758957669563404
2004,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.44100898136230804,0.2823139962666189,0.14486595998785287
2005,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.02244099935209931,-0.014365712434558513,-0.07663269301396701
2006,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.7435023779549381,-1.1161113370079847,-0.8991869986724658
2007,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-2.1040337149723403,-1.3469071866034181,-1.0714972993249763
2008,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-2.612909513490867,-1.6726664485561982,-1.3147065098277553
2009,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.29413239778557254,0.18829025294182952,0.07466859938033571
2010,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.5835881412346717,1.0137414780337595,0.6909437577893709
2011,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.8147993583592393,-0.5215976833471714,-0.4553279492836323
2012,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.7882811323454619,-0.5046219148793167,-0.44265397887371855
2013,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.6119239022236059,-0.39172599549823256,-0.35836680540376237
2014,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.735884796634629,1.11123490610678,0.763731556756959
2015,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,1.0447173292294556,0.6687807655813995,0.43339890080791127
2016,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.7179087588722083,0.4595727054037368,0.2772058678251602
2017,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-1.0855378687667292,-0.6949122280539541,-0.5847231760965395
2018,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,2.096114117320266,1.3418374185114492,0.935897513438266
2019,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.015214663231950235,-0.00973973900847746,-0.07317897894910921
2020,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.3775230874245257,0.24167319940853937,0.1145238722178662
2021,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,3.7534016510915342,2.402757913093029,1.7279721097111584
2022,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,-0.41645318977422563,-0.26659448952708353,-0.26494464268816076
2023,anomaly,M,state,P,P_centroid_lat,P.P_centroid_lat,0.13790047278824957,0.08827764332518817,0.0
1979,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.2088153336546696,0.7312993779345061,0.5141211478512674
1980,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.14457213853734813,-0.0874620895644827,-0.16032026210052416
1981,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.791906360221008,-0.4790811404262386,-0.48291007038007816
1982,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.3392296436166689,0.8101963782402728,0.5791112655344178
1983,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6117513628153675,-0.37009241910002927,-0.3931323881149045
1984,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.6274578855589925,0.37959442490036854,0.22440992690685316
1985,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,3.2591784227814053,1.9717115483236414,1.5358904498117845
1986,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.7099152485684919,-1.0344507740634714,-0.9403867514687222
1987,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.6966951002457646,-1.026452955062133,-0.9337986784609894
1988,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.366895071284803,0.8269331861552014,0.5928979381812357
1989,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.5182575340824599,0.3135312745731975,0.1699914839034037
1990,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.8799592156428857,-1.1373226055838883,-1.0251257454847529
1991,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.3672202984889573,0.2221579825910907,0.09472422436248625
1992,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6690319395579345,-0.4047455617044693,-0.42167734935836687
1993,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.28502589643485976,-0.1724326743340146,-0.23031339596336328
1994,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.17713917850781868,0.1071642354659307,0.0
1995,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-3.4465901801290553,-2.085090405912739,-1.8058340188152728
1996,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.8531160188396973,-1.1210832242843514,-1.0117488199024336
1997,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.0050179046355325,0.6080076484891521,0.41256159584093544
1998,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.835310621582485,1.1103114582622324,0.826326169694591
1999,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,2.108607365391082,1.2756483241791312,0.9625197173790284
2000,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.7879167681718977,-1.6866114629215383,-1.4775934862362077
2001,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.520902210277228,-1.525075143310612,-1.3445305766080737
2002,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.0756659832568749,-0.0457757979618448,-0.1259818590366558
2003,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.8081986407825303,1.0939094701821879,0.8128152994279325
2004,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.8280146641883468,-0.5009256517377807,-0.5009041304250234
2005,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.932953953343933,-0.5644109788541664,-0.553199133586831
2006,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,2.1930270754519823,1.3267198813757943,1.0045890799607422
2007,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.8066994626453985,-1.6979744663530691,-1.486953575053111
2008,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.1280741521984674,0.07748127048410228,-0.02445085845948013
2009,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.0280630691482076,0.6219493267615194,0.42404582601585045
2010,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,2.914324375110694,1.763084520258631,1.3640373368507845
2011,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.8282628551468811,-0.5010758003076506,-0.5010278128614657
2012,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.4306156616687176,-0.865482356414726,-0.8012017722531686
2013,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.820019676346027,0.49608890829740165,0.3203703583056325
2014,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.5657142177678516,0.3422412373704398,0.19364084767693704
2015,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6629483136449288,-0.401065138630817,-0.4186456608562254
2016,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.2317102022591704,0.7451501313971907,0.5255304801966239
2017,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,2.751481185711355,1.6645689572995095,1.2828867480385109
2018,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.9836704188779521,0.595093018255446,0.40192337974311004
2019,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-3.6182638512157013,-2.18894816265862,-1.8913851526614789
2020,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.8239993146178208,0.4984964778504518,0.32235355447249187
2021,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.087149262581646,0.6576948168288511,0.4534905906724857
2022,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.35177615769435855,0.21281471051190848,0.08702785631784002
2023,anomaly,E2_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.91952982358057,-0.5562897568015149,-0.5465094093275142
1979,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.346816890736977,-1.6340737556314386,-1.2271344521937824
1980,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6854529147743618,-0.4772765285501725,-0.28023332030553944
1981,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.2550908091843356,-0.17761811679308492,-0.0349466938943181
1982,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.2018537503813915,-1.5331368380031565,-1.1445121227880635
1983,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6413192431750927,-0.4465465321943959,-0.2550791552963228
1984,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.8007780078986366,-0.5575766613743188,-0.3459633245637696
1985,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.5050288268845309,-1.047942051716047,-0.7473539332921072
1986,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.7260866314984131,0.5055695284661968,0.5242793653004376
1987,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.8020608118146262,-0.5584698696263191,-0.34669446385510844
1988,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.3928130128152505,0.9698068902293605,0.9042827686864225
1989,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.7723825779673197,-1.234098777380661,-0.8997332873515796
1990,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.535571588182334,0.37291510895670166,0.41569454417284113
1991,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,3.2011740097475982,2.228957213144709,1.9349654484800787
1992,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.19377587739284508,-0.13492491764990738,0.0
1993,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.9728500390604724,0.6773893281867959,0.6649231696141358
1994,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.6370247899531822,-0.44355633158163865,-0.25263151427635183
1995,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.5455334984564448,1.0761451983089463,0.9913264284795028
1996,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.9524665828771948,0.6631964565871298,0.6533055361448915
1997,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.006386452560921,-1.3970341950090026,-1.0331047441333667
1998,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-2.0898024743765102,-1.4551162433298788,-1.0806480438663646
1999,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.5492278187772897,1.078717530178985,0.9934320213200716
2000,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.4675876118794129,0.3255782963069568,0.3769468013284712
2001,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.9664837225220317,1.3692501764978233,1.231248714867927
2002,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.5963758080533914,-1.1115463768653002,-0.7994175154540177
2003,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.7189171597060078,-0.5005774706094624,-0.2993064023405589
2004,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-1.8422108231283465,-1.282719742769912,-0.9395321787067596
2005,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.7638696006943757,0.5318775709115388,0.5458139217344219
2006,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.009888910102335835,-0.006885585549431351,0.10480712233211303
2007,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.7121392499754817,0.49585805493949836,0.5163299986703536
2008,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.7933668052431804,0.5524162878467819,0.5626259730241573
2009,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,2.7214032327707116,1.8948958560481013,1.6615181495502394
2010,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,1.281695753037683,0.8924366451468035,0.8409510360992063
2011,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.7993239105056782,-0.5565641825578658,-0.345134555860951
2012,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.22378415517428252,-0.1558194916441086,-0.017103339550140415
2013,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.055555186200225926,0.038682724722722016,0.14210725027571625
2014,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,0.5806778725513384,0.4043223294315349,0.441403053772332
2015,anomaly,M_transition,transition,P,P_centroid_lat,P.P_centroid_lat,-0.4847664025433849,-0.33753977957745446,-0.16585122924321832
