window_id,target_type,target_name,influence_group,evidence_level,years,n_years,mean_effect,max_percentile,notes
W160,pairwise_order,Je-Jw,push_Jw_earlier,credible_95,2013,1,0.06912554958475825,0.9847555555555556,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,push_Jw_earlier,strict_99,1979;1983;2001,3,0.08342912313917727,0.9978666666666667,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,push_Jw_earlier,usable_90,1985,1,0.052357097862092306,0.9388,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,reduce_Je_earlier,credible_95,2011,1,0.06506309998921367,0.9843111111111111,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,reduce_Je_earlier,strict_99,2010;2022,2,0.11701122495300009,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,reduce_Je_earlier,usable_90,2007;1987;1993;1980,4,0.049876659843031426,0.9488444444444445,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,reduce_Jw_earlier,credible_95,2018;2006,2,0.06966002176718983,0.9892888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,Je-Jw,reduce_Jw_earlier,usable_90,2004;2002,2,0.04903345092117278,0.9250222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_H_earlier,credible_95,2023;1981;1987,3,0.06919211165559336,0.9859555555555556,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_H_earlier,strict_99,1992;1984;1990,3,0.09440224655543224,0.9995111111111111,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_H_earlier,usable_90,2015;2010,2,0.056462305771454946,0.9386666666666666,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_P_earlier,credible_95,1980,1,0.06040682145058557,0.9541333333333334,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_P_earlier,strict_99,2013,1,0.08887570660897479,0.9968,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,push_P_earlier,usable_90,2014,1,0.05800085800085797,0.9452888888888888,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,reduce_H_earlier,credible_95,1999;2003;2008,3,0.0664395040874128,0.9796,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,reduce_H_earlier,strict_99,2007,1,0.08726135260489709,0.9940888888888889,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,reduce_P_earlier,credible_95,1979,1,0.07410501400998976,0.9856,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-H,reduce_P_earlier,strict_99,2005,1,0.0779228570571523,0.9902666666666666,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,push_Je_earlier,credible_95,2023;1994;1983,3,0.04708237871774532,0.9724444444444444,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,push_Je_earlier,strict_99,2004;2017,2,0.08120687091677141,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,push_P_earlier,credible_95,1989;2005;1999,3,0.05309994174126298,0.9836,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,push_P_earlier,strict_99,2018;2007;1980,3,0.10203753001593607,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,reduce_Je_earlier,credible_95,2001;2014,2,0.05002145002145003,0.9894222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,reduce_Je_earlier,usable_90,2000,1,0.03976110469616967,0.9196,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,reduce_P_earlier,credible_95,1991,1,0.04897741154423774,0.9586222222222223,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Je,reduce_P_earlier,strict_99,1990;1998,2,0.11026559515717499,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,push_Jw_earlier,strict_99,2013;2022;2016;1996,4,0.10803043136252807,0.9999555555555556,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,push_P_earlier,credible_95,1981,1,0.06550608386495094,0.9643111111111111,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,push_P_earlier,strict_99,1995;2018,2,0.16696177840723037,1.0,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,push_P_earlier,usable_90,2006,1,0.05793073243042923,0.9358222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,reduce_Jw_earlier,credible_95,1993;1999,2,0.07127679454210384,0.9858666666666667,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,reduce_Jw_earlier,strict_99,2008,1,0.12326801182279468,0.9998222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,reduce_Jw_earlier,usable_90,2005;2023;2021,3,0.058863257824789995,0.9492,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,reduce_P_earlier,credible_95,1988;1983,2,0.07444642172792582,0.9882222222222222,statistical high-influence year candidates only; not physical year types
W160,pairwise_order,P-Jw,reduce_P_earlier,strict_99,2010;2015;1979,3,0.11230444358636665,1.0,statistical high-influence year candidates only; not physical year types
