replicate_id,status,n_valid_days,n_detected_local_peaks
527,success,175,10
528,success,175,6
529,success,175,10
530,success,175,9
531,success,175,11
532,success,175,9
533,success,175,9
534,success,175,9
535,success,175,8
536,success,175,12
537,success,175,6
538,success,175,10
539,success,175,9
540,success,175,9
541,success,175,10
542,success,175,9
543,success,175,9
544,success,175,9
545,success,175,10
546,success,175,9
547,success,175,9
548,success,175,10
549,success,175,10
550,success,175,9
551,success,175,8
552,success,175,9
553,success,175,11
554,success,175,10
555,success,175,9
556,success,175,8
557,success,175,10
558,success,175,8
559,success,175,9
560,success,175,8
561,success,175,7
562,success,175,9
563,success,175,8
564,success,175,9
565,success,175,8
566,success,175,8
567,success,175,9
568,success,175,7
569,success,175,9
570,success,175,10
571,success,175,7
572,success,175,9
573,success,175,9
574,success,175,7
575,success,175,8
576,success,175,7
577,success,175,8
578,success,175,8
579,success,175,10
580,success,175,10
581,success,175,9
582,success,175,8
583,success,175,8
584,success,175,10
585,success,175,7
586,success,175,10
587,success,175,11
588,success,175,7
589,success,175,8
590,success,175,8
591,success,175,9
592,success,175,9
593,success,175,8
594,success,175,8
595,success,175,7
596,success,175,11
597,success,175,7
598,success,175,8
599,success,175,10
600,success,175,11
601,success,175,8
602,success,175,10
603,success,175,10
604,success,175,8
605,success,175,9
606,success,175,11
607,success,175,8
608,success,175,9
609,success,175,10
610,success,175,8
611,success,175,8
612,success,175,7
613,success,175,7
614,success,175,9
615,success,175,9
616,success,175,8
617,success,175,7
618,success,175,9
619,success,175,8
620,success,175,9
621,success,175,8
622,success,175,7
623,success,175,8
624,success,175,11
625,success,175,8
626,success,175,8
627,success,175,9
628,success,175,9
629,success,175,8
630,success,175,10
631,success,175,11
632,success,175,7
633,success,175,7
634,success,175,10
635,success,175,7
636,success,175,9
637,success,175,10
638,success,175,9
639,success,175,8
640,success,175,8
641,success,175,9
642,success,175,10
643,success,175,8
644,success,175,9
645,success,175,10
646,success,175,9
647,success,175,8
648,success,175,14
649,success,175,9
650,success,175,7
651,success,175,7
652,success,175,9
653,success,175,9
654,success,175,9
655,success,175,8
656,success,175,9
657,success,175,10
658,success,175,9
659,success,175,9
660,success,175,9
661,success,175,8
662,success,175,11
663,success,175,9
664,success,175,8
665,success,175,9
666,success,175,10
667,success,175,11
668,success,175,7
669,success,175,10
670,success,175,8
671,success,175,11
672,success,175,9
673,success,175,9
674,success,175,9
675,success,175,9
676,success,175,10
677,success,175,8
678,success,175,7
679,success,175,9
680,success,175,8
681,success,175,8
682,success,175,9
683,success,175,8
684,success,175,8
685,success,175,8
686,success,175,8
687,success,175,9
688,success,175,7
689,success,175,12
690,success,175,9
691,success,175,8
692,success,175,10
693,success,175,9
694,success,175,11
695,success,175,9
696,success,175,8
697,success,175,9
698,success,175,8
699,success,175,10
700,success,175,10
701,success,175,9
702,success,175,9
703,success,175,9
704,success,175,8
705,success,175,9
706,success,175,11
707,success,175,9
708,success,175,6
709,success,175,8
710,success,175,9
711,success,175,10
712,success,175,7
713,success,175,9
714,success,175,8
715,success,175,9
716,success,175,10
717,success,175,7
718,success,175,10
719,success,175,8
720,success,175,6
721,success,175,8
722,success,175,7
723,success,175,8
724,success,175,11
725,success,175,8
726,success,175,9
727,success,175,10
728,success,175,9
729,success,175,11
730,success,175,10
731,success,175,8
732,success,175,10
733,success,175,9
734,success,175,8
735,success,175,9
736,success,175,10
737,success,175,9
738,success,175,8
739,success,175,9
740,success,175,9
741,success,175,10
742,success,175,8
743,success,175,10
744,success,175,8
745,success,175,8
746,success,175,7
747,success,175,7
748,success,175,11
749,success,175,8
750,success,175,8
751,success,175,9
752,success,175,9
753,success,175,10
754,success,175,10
755,success,175,8
756,success,175,9
757,success,175,6
758,success,175,9
759,success,175,8
760,success,175,9
761,success,175,9
762,success,175,9
763,success,175,8
