mode,cluster_id,object,n_years,n_window_days,between_year_variance,within_window_noise,snr_between_over_within,median_window_cv,mean_window_cv,peak_day_iqr,bootstrap_rank_corr_median,bootstrap_rank_corr_p10,bootstrap_fraction_rank_corr_ge_0_8,median_bootstrap_ci_width,ci_width_to_between_year_sd,object_window_usability
anomaly,M,Jw,45,9,24.219008993596734,4.915261653282728,4.9273081886529475,0.28517629136494166,0.7421654546736656,7.0,0.983794466403162,0.9570487483530962,1.0,1.6989148592952001,0.3491188909310557,usable_for_yearwise_mapping
local_background_removed,E1,P,45,12,0.7992432139607597,0.45049366627585036,1.7741497246036435,0.14746844135947873,0.16187734701768586,3.0,0.9828722002635046,0.9543873517786561,1.0,0.4743995342492471,0.5366420424549893,usable_for_yearwise_mapping
local_background_removed,E1,V,45,12,0.1360637370584027,0.12841189529284444,1.0595882628088975,0.18983975291577693,0.1982384972902141,4.0,0.9626482213438735,0.910368906455863,1.0,0.27078955805864835,0.7424045666904922,usable_for_yearwise_mapping
local_background_removed,E1,H,45,12,28.5738334595672,38.61069745338321,0.7400496583638563,0.28773011845005003,0.2921337899520043,9.0,0.9550065876152833,0.8849538866930171,0.986,4.825393533481645,0.9129109198351433,marginal_for_yearwise_mapping
local_background_removed,E1,Je,45,12,12.426394405301055,9.652672645814732,1.2873527220140095,0.4470834241850228,0.5127538106255219,6.0,0.9766798418972332,0.9374967061923584,1.0,2.8273038892099986,0.8111101617940868,usable_for_yearwise_mapping
local_background_removed,E1,Jw,45,12,11.303798906174226,8.307123844257077,1.3607355708302658,0.3954479639152141,1.1690480811918815,6.0,0.9728590250329381,0.9211725955204216,0.998,2.1789911046190724,0.6554252441812506,usable_for_yearwise_mapping
local_background_removed,E2,P,45,12,0.6386689955683634,0.3560622728721778,1.7937002716259256,0.11693672175435658,0.12695673031555804,5.0,0.981159420289855,0.9504611330698287,1.0,0.3973131075171681,0.5027764123351901,usable_for_yearwise_mapping
local_background_removed,E2,V,45,12,0.2177418044789384,0.1440279005056273,1.51180294729714,0.18472314487371952,0.1871509357258898,6.0,0.9770092226613966,0.9456785243741765,1.0,0.31708081395341603,0.6871933911432203,usable_for_yearwise_mapping
local_background_removed,E2,H,45,12,32.01478591835578,36.8755945015837,0.8681835873040628,0.26533889946945155,0.28002042022006035,9.0,0.9635704874835309,0.9132542819499341,0.996,4.163162276430956,0.744094264937222,marginal_for_yearwise_mapping
local_background_removed,E2,Je,45,12,9.772680589999473,9.58462420058389,1.0196206325338353,0.3841429485446793,0.44714900751100384,9.0,0.9588274044795784,0.8940711462450592,0.994,2.5490231211072008,0.8246066658340302,usable_for_yearwise_mapping
local_background_removed,E2,Jw,45,12,13.20305705556627,7.798067343741572,1.6931191375464127,0.34367135997921383,1.0113160557358707,6.0,0.9818181818181818,0.9511857707509881,0.998,2.2191681693667356,0.617636400213384,usable_for_yearwise_mapping
