year,mode,cluster_id,object,base_window_mean,bootstrap_mean_p05,bootstrap_mean_p50,bootstrap_mean_p95,bootstrap_ci_width
2004,anomaly,E1,P,3.509712751253018,2.950943842667243,3.5117902083558667,4.097974326909133,1.1470304842418901
2005,anomaly,E1,P,2.9158782952462214,2.7166341038226687,2.9064795195373962,3.124002040003819,0.4073679361811502
2006,anomaly,E1,P,2.483197148781327,2.3738254656644724,2.4862393455627174,2.5965297803217195,0.22270431465724716
2007,anomaly,E1,P,2.356560525957916,2.162566510417788,2.3557870049968583,2.568298218136489,0.4057317077187008
2008,anomaly,E1,P,4.004715066183345,3.7989678540296574,4.015429793093293,4.2134511406619835,0.41448328663232603
2009,anomaly,E1,P,5.660080361604972,5.355795586997792,5.661628366091668,6.019454416985674,0.6636588299878818
2010,anomaly,E1,P,3.185591778369648,3.0143604691812365,3.1909994561715047,3.356396731682752,0.3420362625015154
2011,anomaly,E1,P,3.180365640025992,2.969696575825373,3.1779081124740403,3.3813997228064414,0.41170314698106836
2012,anomaly,E1,P,3.395497813849534,3.0415292774998175,3.402155086230684,3.7251896999185345,0.683660422418717
2013,anomaly,E1,P,2.2249549645173983,1.9959821397036368,2.222284463459345,2.4568732477686916,0.46089110806505484
2014,anomaly,E1,P,3.0806196050968944,2.8286572318801064,3.0762224672157603,3.3051707457657313,0.4765135138856249
2015,anomaly,E1,P,2.778645757697941,2.616984049167808,2.7759237014325553,2.9416120499385876,0.3246280007707796
2016,anomaly,E1,P,3.763319398210882,3.571271796173245,3.770990542946058,3.9428839450670203,0.37161214889377536
2017,anomaly,E1,P,2.4576292676373153,2.240185168310852,2.453165375584042,2.6522138613151722,0.41202869300432043
2018,anomaly,E1,P,2.611177986541139,2.5133619859852767,2.6101315400779397,2.7106161540413036,0.1972541680560269
2019,anomaly,E1,P,3.1861628838022624,2.904660181059623,3.18468127859314,3.4677414010667453,0.5630812200071222
2020,anomaly,E1,P,2.5602504801233397,2.4330040975979013,2.554982104925184,2.6983807865238676,0.26537668892596633
2021,anomaly,E1,P,6.5077992750301386,5.48245157969486,6.547645361502959,7.531465772792888,2.049014193098028
2022,anomaly,E1,P,4.135637175928526,3.4342809689892846,4.121478728007883,4.832925374880112,1.3986444058908276
2023,anomaly,E1,P,3.209696253598389,3.040049341554701,3.223389295946664,3.3678955251321336,0.32784618357743245
1979,anomaly,E1,V,1.5432542816403103,1.4264278476873187,1.5428316765115073,1.6553953064456666,0.2289674587583479
1980,anomaly,E1,V,1.5160558307934509,1.3352721434760404,1.5197277752305713,1.6913109951645595,0.3560388516885191
1981,anomaly,E1,V,1.7370468966364232,1.6112162617513794,1.7431606708504253,1.853114279048827,0.24189801729744764
1982,anomaly,E1,V,1.319459354072682,1.1968773139282625,1.3048190934982689,1.4548112967967761,0.25793398286851366
1983,anomaly,E1,V,2.9166111658333187,2.7093587588484866,2.9073386711263582,3.132640259540657,0.4232815006921702
1984,anomaly,E1,V,1.1709752853225226,1.051947261958682,1.1658558256865543,1.2953687074765905,0.24342144551790845
1985,anomaly,E1,V,1.7315828716650268,1.6421931627790034,1.7361305117153112,1.8182216080513525,0.17602844527234907
1986,anomaly,E1,V,1.2496824821587862,1.1687246695564026,1.251960105921172,1.3273557042278248,0.15863103467142214
1987,anomaly,E1,V,1.5634824010155464,1.4638213245184233,1.5703393167368884,1.6567107956027667,0.1928894710843434
1988,anomaly,E1,V,1.5111055708661236,1.4059739807286051,1.5147250399521175,1.6104996838089833,0.2045257030803782
1989,anomaly,E1,V,1.523677311408379,1.4375438647293197,1.5312262029645662,1.6045795870762196,0.1670357223468999
1990,anomaly,E1,V,1.4888363312002661,1.4062602166315274,1.4900157169658232,1.5720300265120006,0.16576980988047318
1991,anomaly,E1,V,1.3237059893185807,1.0570153584178987,1.2947591524721214,1.634679954482915,0.5776645960650162
1992,anomaly,E1,V,1.2987364685772287,1.141496280550373,1.2914625016265373,1.4711475234745364,0.32965124292416337
1993,anomaly,E1,V,1.3298138819271694,1.1583912168475319,1.3211934158376755,1.5149328409478313,0.35654162410029944
1994,anomaly,E1,V,1.414635628683004,1.2992403286485852,1.4175380884666238,1.538080237515536,0.23883990886695083
1995,anomaly,E1,V,2.062100421533147,1.9047808741503318,2.0650518152980815,2.1974490073494293,0.29266813319909746
1996,anomaly,E1,V,2.0595434199925995,1.7793275343776553,2.063881883110532,2.3256616781810617,0.5463341438034064
1997,anomaly,E1,V,2.665338600439569,2.35669945983484,2.682567553778706,2.9631536987549993,0.6064542389201595
1998,anomaly,E1,V,2.3021650157017546,2.078850409385439,2.2963515671140424,2.5118547002429397,0.4330042908575007
1999,anomaly,E1,V,1.6612099316146594,1.4221256070570243,1.656774757137312,1.935832306581182,0.5137066995241577
2000,anomaly,E1,V,1.1882756038845772,1.0822804475085908,1.182840680535263,1.3063031594146348,0.22402271190604406
2001,anomaly,E1,V,1.4009504102900394,1.2452859239058387,1.3982207644475717,1.5581684235847644,0.3128824996789257
2002,anomaly,E1,V,1.7247191940682196,1.5359334323130007,1.720563896423574,1.9265357769832614,0.39060234467026067
2003,anomaly,E1,V,2.2936663771909456,2.1661018046273077,2.2933998346765363,2.4334626869834484,0.26736088235614064
2004,anomaly,E1,V,1.7203788669860745,1.4293906185303769,1.7062633342286606,2.038167412202529,0.6087767936721522
2005,anomaly,E1,V,1.4275393751924634,1.3549214050224583,1.4244462675398901,1.507599169324408,0.15267776430194968
2006,anomaly,E1,V,1.4992641256217276,1.4011502365084119,1.5000068680611207,1.5978133248725483,0.19666308836413648
2007,anomaly,E1,V,1.157568132119166,1.0667576093967104,1.1557270560759472,1.2538341011206968,0.18707649172398644
2008,anomaly,E1,V,1.7638543564629672,1.6203739721394224,1.7711685515534985,1.8959643572235927,0.27559038508417033
2009,anomaly,E1,V,1.7653235892501582,1.639338671266076,1.755807289772025,1.919532635608369,0.28019396434229304
2010,anomaly,E1,V,1.3960990455508495,1.2644129688712926,1.394273032599808,1.536824490907494,0.27241152203620134
2011,anomaly,E1,V,2.080340493595752,1.9151145051458551,2.090985356045172,2.2534023243610166,0.3382878192151615
2012,anomaly,E1,V,1.7033688173964834,1.4183021873127124,1.7052459019385828,1.9834322973329195,0.5651301100202071
2013,anomaly,E1,V,1.040255902376243,0.9553636629587101,1.0425186539899447,1.1234376082594455,0.16807394530073538
2014,anomaly,E1,V,1.61436100394748,1.442815475273598,1.6067147563218243,1.799708305497348,0.35689283022374996
2015,anomaly,E1,V,1.5500384072696196,1.4041187104024397,1.5430172404143192,1.6917450287016174,0.2876263182991776
2016,anomaly,E1,V,2.0552900085317187,1.9886702359297,2.0538904206934894,2.1234621724118825,0.13479193648218257
2017,anomaly,E1,V,1.2730878512527974,1.1650043738532292,1.2701413270413902,1.3944965819376225,0.2294922080843933
2018,anomaly,E1,V,1.2259055942521424,1.1732443267815718,1.2266397286364616,1.2783706208665946,0.10512629408502283
2019,anomaly,E1,V,1.1961343189567388,1.1509957958913106,1.1989821214572458,1.2385451921926591,0.0875493963013485
2020,anomaly,E1,V,1.84889383739904,1.6278099201541423,1.8414626496635673,2.082415431696629,0.4546055115424865
2021,anomaly,E1,V,2.973505563952761,2.6050113996796656,2.9926477373796514,3.327452216476513,0.7224408167968472
2022,anomaly,E1,V,2.2057333217414112,1.860183079590516,2.192874764293813,2.519576964505115,0.659393884914599
2023,anomaly,E1,V,1.5206121743080974,1.4518281300511382,1.5175190894794155,1.5850926115669937,0.13326448151585546
1979,anomaly,E1,H,12.385132401417621,11.285421375206749,12.383126206313744,13.520377429064709,2.2349560538579603
1980,anomaly,E1,H,20.572393856732823,17.072657148737758,20.541540296455025,23.764074200398873,6.691417051661116
1981,anomaly,E1,H,15.129364804545405,13.305150118273454,15.064400303318237,16.877497330396285,3.57234721212283
1982,anomaly,E1,H,34.87521299150688,33.13400950579847,34.91707844292387,36.428372317731075,3.294362811932608
1983,anomaly,E1,H,35.89840574169205,34.70621611271641,35.947702371391586,37.04157475231278,2.3353586395963717
1984,anomaly,E1,H,23.83794085983243,22.874604215725064,23.809692560825642,24.848604720385293,1.9740005046602285
1985,anomaly,E1,H,28.213927464986728,26.952887354028586,28.229881649868332,29.470163102636644,2.517275748608057
1986,anomaly,E1,H,12.507633219943449,11.106177768405361,12.494866538650705,13.936035335985784,2.8298575675804223
1987,anomaly,E1,H,18.50312373624685,16.485156127056925,18.49026963437163,20.538685953608,4.053529826551074
1988,anomaly,E1,H,22.931724941768397,17.70514120061465,22.81395254747158,28.205061422002995,10.499920221388344
1989,anomaly,E1,H,22.667809903666154,20.334765520820607,22.631030321103133,24.92897875528793,4.594213234467322
1990,anomaly,E1,H,32.411838365043145,27.67292568957629,32.45700896720194,36.750184404588694,9.077258715012405
1991,anomaly,E1,H,21.312157980822438,16.318525366543856,21.127522000360955,26.502803109072037,10.184277742528181
1992,anomaly,E1,H,28.50398033823443,21.05071770440914,28.306365013364132,36.15002049582672,15.099302791417582
1993,anomaly,E1,H,15.40427603648721,12.41236350001088,15.210804721940933,18.704350380195443,6.291986880184563
1994,anomaly,E1,H,17.683800262802123,14.316474688015242,17.58517799884619,20.96935737699023,6.652882688974989
1995,anomaly,E1,H,22.968796307281096,21.745448397996647,23.005542928655736,24.216321248349814,2.4708728503531674
1996,anomaly,E1,H,34.95379301041864,33.47755779181937,34.95618330151666,36.338411177953255,2.8608533861338827
1997,anomaly,E1,H,14.053905080720666,12.539168129070998,14.008477069149837,15.563354449702919,3.0241863206319213
1998,anomaly,E1,H,34.55228083992262,31.444479145606792,34.486154665965074,37.875735556544946,6.431256410938154
1999,anomaly,E1,H,13.790923624250405,12.321451805708067,13.763157625664718,15.489207242700779,3.167755436992712
2000,anomaly,E1,H,27.404975978743593,26.16206912044726,27.458010540453472,28.72201013766022,2.55994101721296
2001,anomaly,E1,H,10.775163903961548,9.760301766611036,10.752094421034368,11.836998906596756,2.07669713998572
2002,anomaly,E1,H,32.657101186895,30.0722202492352,32.687973101961575,35.48167917100097,5.4094589217657685
2003,anomaly,E1,H,45.24651161609279,42.59845208642025,45.30091062891016,47.93372079608122,5.335268709660966
2004,anomaly,E1,H,14.06424074228449,11.902457675705055,14.138632616066687,16.140758563201707,4.238300887496653
2005,anomaly,E1,H,15.211419321679664,13.862811189081643,15.234326583611645,16.49006664344259,2.627255454360945
2006,anomaly,E1,H,17.358486656178126,13.20672090630454,17.39902740548367,21.643176757717484,8.436455851412944
2007,anomaly,E1,H,25.588057680618608,21.89394845573924,25.46337055754136,29.15100507783709,7.257056622097853
2008,anomaly,E1,H,16.669228900458332,15.559020355194301,16.69943296972234,17.796706332409183,2.2376859772148823
2009,anomaly,E1,H,21.04119968185248,18.68128599712662,21.14586145957258,23.22584866833684,4.5445626712102225
2010,anomaly,E1,H,21.7034538651744,18.423660816678478,21.82194385846619,24.730985060305574,6.307324243627097
2011,anomaly,E1,H,39.284170336202806,33.75853812920906,39.24174597557021,44.683136351069976,10.924598221860919
2012,anomaly,E1,H,16.592699568060837,14.189629942684649,16.668278186627926,18.77682419141523,4.587194248730581
2013,anomaly,E1,H,16.012313020679084,13.74725866335143,15.965392682364616,18.419907458367298,4.672648795015869
2014,anomaly,E1,H,26.31998881592054,23.399632292917936,26.34403459207052,28.94348186067302,5.543849567755085
2015,anomaly,E1,H,14.831837596218838,13.338671957799157,14.800713756276512,16.248554307711835,2.909882349912678
2016,anomaly,E1,H,27.975823581210026,24.969719252275144,27.974419644378706,30.67384360331926,5.704124351044115
2017,anomaly,E1,H,15.89540524143929,14.32731147242029,15.861871825331189,17.82045925216389,3.4931477797436
2018,anomaly,E1,H,30.062411639434004,28.94648568802694,30.090382108836124,31.11934759419432,2.1728619061673804
2019,anomaly,E1,H,21.155181685749127,19.398939460711336,21.143663157578025,23.072282728562385,3.673343267851049
2020,anomaly,E1,H,26.750465719919237,24.017616864192856,26.67167871117348,29.344717975467752,5.327101111274896
2021,anomaly,E1,H,21.133927434562054,18.946793625310107,21.076570278314787,23.238300174250224,4.2915065489401165
2022,anomaly,E1,H,22.37395104204982,18.988161547201052,22.368540675937542,25.634513535504457,6.646351988303405
2023,anomaly,E1,H,18.79465979351996,17.82098663177856,18.794402806632572,19.781066832482548,1.9600802007039881
1979,anomaly,E1,Je,9.5325039935757,8.96225402101737,9.525413260298066,10.08139747862281,1.119143457605439
1980,anomaly,E1,Je,8.539901484319008,7.409088131157286,8.442305567949365,9.837181360068897,2.428093228911611
1981,anomaly,E1,Je,8.39024862237025,7.193148987185713,8.339231139143457,9.617662508116956,2.424513520931243
1982,anomaly,E1,Je,11.233955942348137,10.109877286717271,11.312021612537713,12.183132191201036,2.0732549044837647
1983,anomaly,E1,Je,11.382263998478493,10.085079772911513,11.349581369629366,12.756974402936512,2.6718946300249993
1984,anomaly,E1,Je,3.7210872352351227,2.9018116059586982,3.6735333043623912,4.487383911281048,1.58557230532235
1985,anomaly,E1,Je,5.122330027521266,2.899489409157261,5.144686067870342,7.237563082568276,4.3380736734110155
1986,anomaly,E1,Je,8.935489570240357,7.396380191786484,8.917143288794145,10.439737142438537,3.0433569506520524
1987,anomaly,E1,Je,8.964452348858787,8.316775438811266,8.99909508363337,9.588666024471026,1.2718905856597598
1988,anomaly,E1,Je,4.690401419735581,2.412023271901455,4.80264590126346,6.857556144352976,4.445532872451521
1989,anomaly,E1,Je,3.982151593387556,3.1095815043529957,4.029625861838992,4.7941363662148895,1.6845548618618937
1990,anomaly,E1,Je,8.673175749489491,7.630195076642693,8.64528313443538,9.802419638057934,2.1722245614152413
1991,anomaly,E1,Je,9.019540350951987,7.472347909671153,8.929154613083135,10.727039608346152,3.254691698674999
1992,anomaly,E1,Je,8.733809568154456,7.458594873749294,8.719057759014508,9.956410060524679,2.4978151867753846
1993,anomaly,E1,Je,12.449415007283482,11.033080879346668,12.40720461360816,14.23783199330081,3.204751113954142
1994,anomaly,E1,Je,6.577292093479088,6.114212914078813,6.5999802021354235,7.00947650424215,0.8952635901633368
1995,anomaly,E1,Je,14.19204130579597,12.693047029948792,14.110523239237684,16.048556475270008,3.355509445321216
1996,anomaly,E1,Je,8.61203986473556,6.655246830378831,8.472965510994005,10.894233045020439,4.238986214641608
1997,anomaly,E1,Je,10.278858950529022,9.173760795728882,10.271075942007847,11.472040706828635,2.298279911099753
1998,anomaly,E1,Je,2.61274581775754,1.4502068146437486,2.599669268705462,3.8252501264204786,2.37504331177673
1999,anomaly,E1,Je,5.054576382379452,3.424355403748822,5.099375186263906,6.646275545073124,3.2219201413243015
2000,anomaly,E1,Je,10.556273219966451,9.939990206479196,10.536149696368579,11.285521609256392,1.3455314027771959
2001,anomaly,E1,Je,3.6873417555952757,2.7790975733051284,3.6729977682831243,4.626982107473228,1.8478845341680992
2002,anomaly,E1,Je,5.278799479203034,4.259619902480074,5.264801127340014,6.208888042545144,1.9492681400650707
2003,anomaly,E1,Je,16.439120242392054,14.353475078167099,16.524268586762297,18.47863977157282,4.12516469340572
2004,anomaly,E1,Je,6.283933467852214,5.050463629850974,6.242930664493155,7.5639990444153185,2.5135354145643447
2005,anomaly,E1,Je,11.983752556607612,10.174201010482085,12.09235616367975,13.511405399279441,3.337204388797357
2006,anomaly,E1,Je,7.679633067899249,5.087165788372489,7.6791969788706735,10.130040090770011,5.042874302397522
2007,anomaly,E1,Je,14.969206772003757,13.768941884673856,14.974081128926613,16.213183232631504,2.4442413479576484
2008,anomaly,E1,Je,-3.881214811714717,-4.959061091728842,-3.8983110443289233,-2.7610905627671203,2.1979705289617213
2009,anomaly,E1,Je,7.0324041025387745,6.37123032508211,7.007801158555489,7.7695038241272,1.3982734990450894
2010,anomaly,E1,Je,13.814923410896474,12.580277834733913,13.835097599177221,14.963524104366044,2.3832462696321315
2011,anomaly,E1,Je,8.681063664239014,8.207717054940044,8.701715529633663,9.139126422848221,0.9314093679081772
2012,anomaly,E1,Je,2.117235346006134,1.4123605534997439,2.1019307739804134,2.799947087931322,1.3875865344315783
2013,anomaly,E1,Je,8.284557578104222,6.965143474684036,8.221027279660884,9.735810237527735,2.7706667628436987
2014,anomaly,E1,Je,5.1897547803002855,4.656341581624408,5.197316911620061,5.733413541159341,1.0770719595349334
2015,anomaly,E1,Je,1.0969305524364221,0.4873099610135501,1.1098651742900045,1.7351131308172139,1.2478031698036638
2016,anomaly,E1,Je,13.55718320020685,12.299692890367094,13.58338522720571,14.789256507194802,2.4895636168277075
2017,anomaly,E1,Je,10.167353342151399,9.656927939727115,10.192340636369611,10.651772372450363,0.994844432723248
2018,anomaly,E1,Je,6.582972228839846,6.125049726285735,6.563905631013725,6.994550618221656,0.8695008919359211
2019,anomaly,E1,Je,5.263022064122957,4.395360182968047,5.306298437444817,6.197512537196514,1.8021523542284665
2020,anomaly,E1,Je,11.01719746563449,9.102366363170761,10.963793186617135,13.087790880185825,3.9854245170150637
2021,anomaly,E1,Je,5.917725480649345,4.719439775397861,5.9174500474948,7.173655005320646,2.4542152299227853
2022,anomaly,E1,Je,10.60764748698558,8.786743212322179,10.631836160672524,12.606261622332468,3.8195184100102892
2023,anomaly,E1,Je,10.334916139006674,7.972665336778596,10.384783356730066,12.431281905312979,4.458616568534382
1979,anomaly,E1,Jw,4.547730395366793,3.363428181908793,4.5460611150564505,5.926971047254548,2.563542865345755
1980,anomaly,E1,Jw,8.203825726201345,6.3256180213848685,8.146034326544283,10.005021636914444,3.6794036155295755
1981,anomaly,E1,Jw,0.594167328142582,-0.4644743275840023,0.5776321074021411,1.6815944604924333,2.1460687880764358
1982,anomaly,E1,Jw,3.201347965621359,0.42344616128086743,3.1808131064760543,5.923987979825008,5.500541818544141
1983,anomaly,E1,Jw,12.243551523497056,11.301958236337095,12.26472501116115,13.057001577794818,1.7550433414577231
1984,anomaly,E1,Jw,10.501540864302164,10.027514008875755,10.501834916859696,10.931767657913394,0.9042536490376385
1985,anomaly,E1,Jw,6.07096655922313,5.401624502851592,6.059413014823074,6.730616477336876,1.3289919744852838
1986,anomaly,E1,Jw,4.72261176685143,2.879175153343804,4.6308700562775975,6.608556085728397,3.729380932384593
1987,anomaly,E1,Jw,5.944678743686102,5.260805844697439,5.9699201263451025,6.62852965675526,1.3677238120578217
1988,anomaly,E1,Jw,4.883521184276433,4.450117255361734,4.898741633297131,5.216127259921067,0.766010004559333
1989,anomaly,E1,Jw,13.315063902645456,12.05789053143676,13.33810824944159,14.663508994421095,2.605618462984335
1990,anomaly,E1,Jw,11.0693425921362,10.214230143063485,11.030738769066858,12.039684532874487,1.8254543898110018
1991,anomaly,E1,Jw,13.347169278883824,11.570795312669928,13.388572303280517,14.78188659429288,3.211091281622952
1992,anomaly,E1,Jw,3.4621196778974634,2.5825476043654287,3.4236409371862964,4.565699399290851,1.9831517949254218
1993,anomaly,E1,Jw,3.4373655362220403,1.8900042856313186,3.322520565179225,5.035621283100998,3.145616997469679
1994,anomaly,E1,Jw,7.545105307623935,6.719837696454256,7.511986278359462,8.34988683604325,1.6300491395889942
1995,anomaly,E1,Jw,9.356923828684472,7.523789903305983,9.41195585157942,10.849671401677792,3.3258814983718095
1996,anomaly,E1,Jw,6.768862916868147,5.473131620540472,6.7942826754550785,8.138621543582603,2.6654899230421316
1997,anomaly,E1,Jw,-7.903172377310429,-8.014598539594608,-7.908610270385582,-7.769573303443466,0.24502523615114224
1998,anomaly,E1,Jw,12.319985220339662,11.124727320260792,12.323676849458195,13.44233543546564,2.317608115204848
1999,anomaly,E1,Jw,19.986099265644388,19.168176409392924,20.015938512341435,20.74933853100674,1.581162121613815
2000,anomaly,E1,Jw,7.277399231155454,6.003755021022733,7.267016820548145,8.598553686551954,2.594798665529221
2001,anomaly,E1,Jw,7.76978510432146,7.2449498912370816,7.753639025652282,8.247647380179608,1.002697488942526
2002,anomaly,E1,Jw,7.611850216980876,6.833377889176266,7.607615620882849,8.35955570858031,1.526177819404043
2003,anomaly,E1,Jw,10.423566245047558,8.640393526055831,10.473231024796473,12.13318878736026,3.492795261304428
2004,anomaly,E1,Jw,1.64522321911059,-0.12742811200956922,1.594043131778892,3.5060426997018124,3.6334708117113816
2005,anomaly,E1,Jw,7.250345276421144,3.5817897421519715,7.274796034796511,11.282868887309693,7.701079145157721
2006,anomaly,E1,Jw,9.70342418862267,8.960810080246905,9.69782024192656,10.56312566900972,1.6023155887628153
2007,anomaly,E1,Jw,2.618962226448549,1.3961267605222931,2.626096965039552,3.6583785538954596,2.2622517933731663
2008,anomaly,E1,Jw,8.170837156900395,6.431431748191237,8.219441442120672,9.615842329592926,3.184410581401689
2009,anomaly,E1,Jw,14.659336350772469,11.50255346717601,14.720780390655886,17.300192072165526,5.797638604989515
2010,anomaly,E1,Jw,10.101536894382694,8.101491948828759,10.05721128964893,12.271061285740496,4.169569336911737
2011,anomaly,E1,Jw,0.43255692756063024,-1.173860943047485,0.4451582770064613,1.9959905474389263,3.169851490486411
2012,anomaly,E1,Jw,6.355248251348492,5.268766036617889,6.3784605041551234,7.369847469505621,2.1010814328877325
2013,anomaly,E1,Jw,2.2252130581796945,1.4087948463246558,2.2285455609460243,3.0176321808631617,1.6088373345385059
2014,anomaly,E1,Jw,6.379538607052191,5.177426468300032,6.395999771326406,7.486947576140597,2.309521107840565
2015,anomaly,E1,Jw,4.010992118353312,3.317319384837823,4.057053238553287,4.600935712288671,1.2836163274508485
2016,anomaly,E1,Jw,7.005370426261838,5.844157938688721,6.929611220617391,8.247903467323141,2.4037455286344205
2017,anomaly,E1,Jw,5.960016670008968,5.000043063765891,5.93427816067061,6.898933965270188,1.8988909015042967
2018,anomaly,E1,Jw,6.00475035513654,5.273499161462204,6.034644732854271,6.629572681250664,1.3560735197884606
2019,anomaly,E1,Jw,8.84811642849886,8.254187627592527,8.854703182126224,9.352667809800575,1.098480182208048
2020,anomaly,E1,Jw,1.3383827393118233,0.05286412700735815,1.3257576399430508,2.670276652480433,2.617412525473075
2021,anomaly,E1,Jw,6.808994556604837,5.950260807442393,6.772045512234632,7.675741300394219,1.7254804929518262
2022,anomaly,E1,Jw,5.364022829887506,4.668963617537584,5.333660613289675,6.12132343012161,1.4523598125840254
2023,anomaly,E1,Jw,12.799393126024368,10.991273606830402,12.936987773153286,14.32863198913864,3.3373583823082367
1979,anomaly,E2,P,2.9808122661532708,2.8501219539488782,2.98846308249387,3.119238425092851,0.26911647114397264
1980,anomaly,E2,P,4.048347483072704,3.847966349097471,4.04615542066323,4.267171879129502,0.419205530032031
1981,anomaly,E2,P,2.89579921012751,2.6300815891943485,2.9020032185117346,3.1829157890166604,0.5528341998223119
1982,anomaly,E2,P,4.702141435390306,4.4812891320700405,4.702456521272852,4.967633624590328,0.48634449252028755
1983,anomaly,E2,P,3.170095699895409,3.010699770510296,3.1740755943056502,3.3138379427159737,0.30313817220567785
1984,anomaly,E2,P,4.589729910385979,4.302880081743613,4.580410735904082,4.843276080178793,0.54039599843518
1985,anomaly,E2,P,3.691171812678291,3.621539380836902,3.6886978457145174,3.7583472423762,0.13680786153929825
1986,anomaly,E2,P,3.0442828424013864,2.773645845749569,3.037715180768401,3.3627789187686647,0.5891330730190956
1987,anomaly,E2,P,2.59337282549622,2.4314101894117095,2.5954292701725468,2.776214014548525,0.3448038251368155
1988,anomaly,E2,P,3.7495243458787066,3.5997538268636626,3.7454102957508946,3.882583074853145,0.2828292479894823
1989,anomaly,E2,P,3.4067071986416413,3.1441023550961584,3.4138014001030332,3.6586606516260343,0.5145582965298758
1990,anomaly,E2,P,3.569575263325613,3.4861636829322538,3.573159800364247,3.6575984885367046,0.1714348056044508
1991,anomaly,E2,P,2.9039579379726423,2.6745015452272547,2.9044747407564833,3.1933071224449145,0.5188055772176599
1992,anomaly,E2,P,3.360245683801374,3.247892212787386,3.363690619080823,3.4712731752979664,0.22338096251058026
1993,anomaly,E2,P,4.219930467441462,3.8773802552914463,4.222175772530448,4.526850027105166,0.6494697718137195
1994,anomaly,E2,P,4.040885626315224,3.9050358019447486,4.040091364073113,4.17937924298616,0.2743434410414114
1995,anomaly,E2,P,4.017175232059091,3.5256421870960115,4.004015539211014,4.59138238433034,1.0657401972343288
1996,anomaly,E2,P,2.8538642427634784,2.7455475426816007,2.8559780904408987,2.975369688594532,0.22982214591293149
1997,anomaly,E2,P,3.353605404982446,3.1280072121062203,3.3568710258086174,3.5926722426273274,0.4646650305211071
1998,anomaly,E2,P,4.0010674746303785,3.6599163200927287,3.9885609189513564,4.348276290278128,0.6883599701853993
1999,anomaly,E2,P,6.356099323105038,5.54043331006636,6.3314365846920735,7.203619129729133,1.6631858196627727
2000,anomaly,E2,P,4.519454847509379,3.926755408029422,4.5217852597142185,5.153441863950998,1.226686455921576
2001,anomaly,E2,P,3.6145359696369384,3.160794621860416,3.598200211636437,4.205264922032475,1.0444703001720588
2002,anomaly,E2,P,3.6571122767094324,3.4160803848972896,3.656323064789006,3.9175711489767444,0.5014907640794548
