year,candidate_id,start_day,end_day,center_day,width_days,nearest_window_id,nearest_window_center_day,nearest_window_distance_days,overlap_ratio_with_main_window,overlap_days_with_main_window,relation_tier
1990,Y1990_C03,73,76,74,4,W002,81,-7,0.07692307692307693,1,overlap_any
1990,Y1990_C04,86,93,89,8,W002,81,8,0.0,0,none
1990,Y1990_C05,112,116,114,5,W003,113,1,0.625,5,strict_overlap
1990,Y1990_C06,126,137,134,12,W004,135,-1,0.08333333333333333,1,overlap_any
1991,Y1991_C01,46,51,48,6,W001,45,3,0.2222222222222222,2,overlap_any
1991,Y1991_C02,86,89,88,4,W002,81,7,0.0,0,none
1991,Y1991_C03,99,106,103,8,W003,113,-10,0.0,0,none
1991,Y1991_C04,119,122,120,4,W003,113,7,0.0,0,none
1991,Y1991_C05,131,134,132,4,W004,135,-3,0.0,0,near_peak_only
1991,Y1991_C06,147,151,149,5,W005,160,-11,0.0,0,none
1992,Y1992_C01,17,19,18,3,W001,45,-27,0.0,0,none
1992,Y1992_C02,44,51,48,8,W001,45,3,0.4444444444444444,4,overlap_any
1992,Y1992_C03,61,67,64,7,W002,81,-17,0.0,0,none
1992,Y1992_C04,79,79,79,1,W002,81,-2,0.1,1,overlap_any
1992,Y1992_C05,97,102,100,6,W003,113,-13,0.0,0,none
1992,Y1992_C06,132,138,134,7,W004,135,-1,0.14285714285714285,1,overlap_any
1992,Y1992_C07,155,160,157,6,W005,160,-3,0.5555555555555556,5,strict_overlap
1993,Y1993_C01,16,17,17,2,W001,45,-28,0.0,0,none
1993,Y1993_C02,47,52,50,6,W001,45,5,0.1,1,overlap_any
1993,Y1993_C03,74,78,76,5,W002,81,-5,0.25,3,overlap_any
1993,Y1993_C04,94,99,97,6,W002,81,16,0.0,0,none
1993,Y1993_C05,107,112,110,6,W003,113,-3,0.4,4,overlap_any
1993,Y1993_C06,144,149,146,6,W004,135,11,0.0,0,none
1994,Y1994_C01,38,38,38,1,W001,45,-7,0.0,0,none
1994,Y1994_C02,63,69,67,7,W002,81,-14,0.0,0,none
1994,Y1994_C03,80,87,83,8,W002,81,2,0.5,6,strict_overlap
1994,Y1994_C04,105,109,107,5,W003,113,-6,0.08333333333333333,1,overlap_any
1994,Y1994_C05,121,126,124,6,W003,113,11,0.0,0,none
1994,Y1994_C06,161,166,164,6,W005,160,4,0.2727272727272727,3,overlap_any
1995,Y1995_C01,30,38,33,9,W001,45,-12,0.0,0,none
1995,Y1995_C02,62,66,64,5,W002,81,-17,0.0,0,none
1995,Y1995_C03,74,77,76,4,W002,81,-5,0.16666666666666666,2,overlap_any
1995,Y1995_C04,87,93,91,7,W002,81,10,0.0,0,none
1995,Y1995_C05,114,116,115,3,W003,113,2,0.375,3,overlap_any
1995,Y1995_C06,143,145,144,3,W004,135,9,0.0,0,none
1995,Y1995_C07,162,165,164,4,W005,160,4,0.2,2,overlap_any
1996,Y1996_C01,49,63,52,15,W001,45,7,0.0,0,none
1996,Y1996_C02,93,93,93,1,W002,81,12,0.0,0,none
1996,Y1996_C03,108,114,110,7,W003,113,-3,0.6666666666666666,6,strict_overlap
1996,Y1996_C04,134,137,136,4,W004,135,1,0.25,1,overlap_any
1996,Y1996_C05,153,161,157,9,W005,160,-3,0.5454545454545454,6,strict_overlap
1997,Y1997_C01,28,32,30,5,W001,45,-15,0.0,0,none
1997,Y1997_C02,41,48,45,8,W001,45,0,0.625,5,strict_overlap
1997,Y1997_C03,58,62,60,5,W001,45,15,0.0,0,none
1997,Y1997_C04,84,89,87,6,W002,81,6,0.14285714285714285,2,overlap_any
1997,Y1997_C05,106,111,109,6,W003,113,-4,0.2727272727272727,3,overlap_any
1997,Y1997_C06,132,137,135,6,W004,135,0,0.16666666666666666,1,overlap_any
1997,Y1997_C07,160,162,161,3,W005,160,1,0.375,3,overlap_any
1998,Y1998_C01,68,72,70,5,W002,81,-11,0.0,0,none
1998,Y1998_C02,82,88,85,7,W002,81,4,0.3076923076923077,4,overlap_any
1998,Y1998_C03,102,106,104,5,W003,113,-9,0.0,0,none
1998,Y1998_C04,118,121,120,4,W003,113,7,0.0,0,none
1998,Y1998_C05,159,164,161,6,W005,160,1,0.5555555555555556,5,strict_overlap
1999,Y1999_C01,42,42,42,1,W001,45,-3,0.0,0,near_peak_only
1999,Y1999_C02,56,60,59,5,W001,45,14,0.0,0,none
1999,Y1999_C03,68,71,70,4,W002,81,-11,0.0,0,none
1999,Y1999_C04,91,95,93,5,W002,81,12,0.0,0,none
1999,Y1999_C05,103,111,108,9,W003,113,-5,0.21428571428571427,3,overlap_any
1999,Y1999_C06,126,143,133,18,W004,135,-2,0.05555555555555555,1,overlap_any
1999,Y1999_C07,154,165,163,12,W005,160,3,0.6666666666666666,8,strict_overlap
2000,Y2000_C01,29,34,30,6,W001,45,-15,0.0,0,none
2000,Y2000_C02,50,56,52,7,W001,45,7,0.0,0,none
2000,Y2000_C03,87,92,90,6,W002,81,9,0.0,0,none
2000,Y2000_C04,116,121,118,6,W003,113,5,0.07692307692307693,1,overlap_any
2000,Y2000_C05,137,141,139,5,W004,135,4,0.0,0,none
2000,Y2000_C06,156,160,158,5,W005,160,-2,0.625,5,strict_overlap
2001,Y2001_C01,35,39,36,5,W001,45,-9,0.0,0,none
2001,Y2001_C02,65,65,65,1,W002,81,-16,0.0,0,none
2001,Y2001_C03,86,91,89,6,W002,81,8,0.0,0,none
2001,Y2001_C04,131,135,133,5,W004,135,-2,0.2,1,overlap_any
2001,Y2001_C05,143,147,145,5,W004,135,10,0.0,0,none
2001,Y2001_C06,158,164,161,7,W005,160,1,0.6666666666666666,6,strict_overlap
2002,Y2002_C01,48,48,48,1,W001,45,3,0.0,0,near_peak_only
2002,Y2002_C02,62,72,64,11,W002,81,-17,0.0,0,none
2002,Y2002_C03,89,95,92,7,W002,81,11,0.0,0,none
2002,Y2002_C04,104,109,106,6,W003,113,-7,0.07692307692307693,1,overlap_any
2002,Y2002_C05,129,132,130,4,W004,135,-5,0.0,0,none
2002,Y2002_C06,142,151,147,10,W004,135,12,0.0,0,none
2002,Y2002_C07,161,164,162,4,W005,160,2,0.3333333333333333,3,overlap_any
2003,Y2003_C01,14,14,14,1,W001,45,-31,0.0,0,none
2003,Y2003_C02,49,54,52,6,W001,45,7,0.0,0,none
2003,Y2003_C03,78,83,80,6,W002,81,-1,0.6,6,strict_overlap
2003,Y2003_C04,107,119,116,13,W003,113,3,0.6153846153846154,8,strict_overlap
2003,Y2003_C05,152,155,153,4,W005,160,-7,0.0,0,none
2004,Y2004_C01,44,49,46,6,W001,45,1,0.5714285714285714,4,strict_overlap
2004,Y2004_C02,73,73,73,1,W002,81,-8,0.0,0,none
2004,Y2004_C03,92,100,95,9,W002,81,14,0.0,0,none
2004,Y2004_C04,108,113,111,6,W003,113,-2,0.5555555555555556,5,strict_overlap
2004,Y2004_C05,133,143,141,11,W004,135,6,0.09090909090909091,1,overlap_any
2004,Y2004_C06,167,168,168,2,W005,160,8,0.0,0,none
2005,Y2005_C01,22,27,24,6,W001,45,-21,0.0,0,none
2005,Y2005_C02,53,53,53,1,W001,45,8,0.0,0,none
2005,Y2005_C03,83,87,85,5,W002,81,4,0.25,3,overlap_any
2005,Y2005_C04,102,108,104,7,W003,113,-9,0.0,0,none
2005,Y2005_C05,137,149,140,13,W004,135,5,0.0,0,none
2005,Y2005_C06,160,165,163,6,W005,160,3,0.4,4,overlap_any
2006,Y2006_C01,29,36,32,8,W001,45,-13,0.0,0,none
2006,Y2006_C02,49,56,52,8,W001,45,7,0.0,0,none
2006,Y2006_C03,72,78,74,7,W002,81,-7,0.21428571428571427,3,overlap_any
2006,Y2006_C04,94,100,97,7,W002,81,16,0.0,0,none
2006,Y2006_C05,124,127,126,4,W004,135,-9,0.0,0,none
2006,Y2006_C06,141,146,143,6,W004,135,8,0.0,0,none
2006,Y2006_C07,155,160,158,6,W005,160,-2,0.5555555555555556,5,strict_overlap
2007,Y2007_C01,15,16,15,2,W001,45,-30,0.0,0,none
2007,Y2007_C02,59,63,61,5,W001,45,16,0.0,0,none
2007,Y2007_C03,73,78,75,6,W002,81,-6,0.23076923076923078,3,overlap_any
2007,Y2007_C04,98,98,98,1,W003,113,-15,0.0,0,none
2007,Y2007_C05,120,126,123,7,W003,113,10,0.0,0,none
2007,Y2007_C06,147,155,152,9,W005,160,-8,0.0,0,none
2008,Y2008_C01,46,51,48,6,W001,45,3,0.2222222222222222,2,overlap_any
2008,Y2008_C02,65,70,68,6,W002,81,-13,0.0,0,none
2008,Y2008_C03,96,99,97,4,W002,81,16,0.0,0,none
2008,Y2008_C04,116,122,119,7,W003,113,6,0.07142857142857142,1,overlap_any
2008,Y2008_C05,132,137,134,6,W004,135,-1,0.16666666666666666,1,overlap_any
2008,Y2008_C06,159,159,159,1,W005,160,-1,0.125,1,overlap_any
2009,Y2009_C01,14,14,14,1,W001,45,-31,0.0,0,none
2009,Y2009_C02,36,41,40,6,W001,45,-5,0.0,0,none
2009,Y2009_C03,75,75,75,1,W002,81,-6,0.0,0,none
2009,Y2009_C04,94,99,96,6,W002,81,15,0.0,0,none
2009,Y2009_C05,112,118,113,7,W003,113,0,0.5,5,strict_overlap
2009,Y2009_C06,131,136,134,6,W004,135,-1,0.16666666666666666,1,overlap_any
2010,Y2010_C01,52,57,54,6,W001,45,9,0.0,0,none
2010,Y2010_C02,69,74,71,6,W002,81,-10,0.0,0,none
2010,Y2010_C03,85,90,87,6,W002,81,6,0.06666666666666667,1,overlap_any
2010,Y2010_C04,120,124,122,5,W003,113,9,0.0,0,none
2010,Y2010_C05,141,146,143,6,W004,135,8,0.0,0,none
2010,Y2010_C06,162,166,164,5,W005,160,4,0.18181818181818182,2,overlap_any
2011,Y2011_C01,25,32,28,8,W001,45,-17,0.0,0,none
2011,Y2011_C02,59,63,61,5,W001,45,16,0.0,0,none
2011,Y2011_C03,76,81,78,6,W002,81,-3,0.6,6,strict_overlap
2011,Y2011_C04,97,101,99,5,W003,113,-14,0.0,0,none
2011,Y2011_C05,109,112,110,4,W003,113,-3,0.5,4,strict_overlap
2011,Y2011_C06,128,132,130,5,W004,135,-5,0.0,0,none
2011,Y2011_C07,141,146,143,6,W004,135,8,0.0,0,none
2011,Y2011_C08,157,159,158,3,W005,160,-2,0.375,3,overlap_any
2012,Y2012_C01,41,41,41,1,W001,45,-4,0.0,0,none
2012,Y2012_C02,80,87,82,8,W002,81,1,0.5,6,strict_overlap
2012,Y2012_C03,106,116,111,11,W003,113,-2,0.7272727272727273,8,strict_overlap
2012,Y2012_C04,150,153,152,4,W005,160,-8,0.0,0,none
2012,Y2012_C05,162,165,163,4,W005,160,3,0.2,2,overlap_any
2013,Y2013_C01,39,43,41,5,W001,45,-4,0.1111111111111111,1,overlap_any
2013,Y2013_C02,52,55,54,4,W001,45,9,0.0,0,none
2013,Y2013_C03,78,82,80,5,W002,81,-1,0.5,5,strict_overlap
2013,Y2013_C04,88,97,93,10,W002,81,12,0.0,0,none
2013,Y2013_C05,131,136,133,6,W004,135,-2,0.16666666666666666,1,overlap_any
2013,Y2013_C06,146,152,149,7,W005,160,-11,0.0,0,none
2013,Y2013_C07,163,166,165,4,W005,160,5,0.09090909090909091,1,overlap_any
2014,Y2014_C01,33,37,35,5,W001,45,-10,0.0,0,none
2014,Y2014_C02,73,78,75,6,W002,81,-6,0.23076923076923078,3,overlap_any
2014,Y2014_C03,89,93,91,5,W002,81,10,0.0,0,none
2014,Y2014_C04,107,111,108,5,W003,113,-5,0.3,3,overlap_any
2014,Y2014_C05,128,134,131,7,W004,135,-4,0.0,0,none
2014,Y2014_C06,162,162,162,1,W005,160,2,0.125,1,overlap_any
2015,Y2015_C01,33,38,35,6,W001,45,-10,0.0,0,none
2015,Y2015_C02,57,57,57,1,W001,45,12,0.0,0,none
2015,Y2015_C03,90,97,93,8,W002,81,12,0.0,0,none
2015,Y2015_C04,106,114,111,9,W003,113,-2,0.5454545454545454,6,strict_overlap
2015,Y2015_C05,128,131,130,4,W004,135,-5,0.0,0,none
2015,Y2015_C06,148,148,148,1,W005,160,-12,0.0,0,none
2015,Y2015_C07,159,159,159,1,W005,160,-1,0.125,1,overlap_any
2016,Y2016_C01,32,32,32,1,W001,45,-13,0.0,0,none
2016,Y2016_C02,48,52,50,5,W001,45,5,0.0,0,none
2016,Y2016_C03,75,80,77,6,W002,81,-4,0.45454545454545453,5,overlap_any
2016,Y2016_C04,92,94,93,3,W002,81,12,0.0,0,none
2016,Y2016_C05,113,118,115,6,W003,113,2,0.4,4,overlap_any
2016,Y2016_C06,128,132,130,5,W004,135,-5,0.0,0,none
2016,Y2016_C07,142,164,150,23,W005,160,-10,0.34782608695652173,8,overlap_any
2017,Y2017_C01,41,45,43,5,W001,45,-2,0.42857142857142855,3,overlap_any
2017,Y2017_C02,58,63,60,6,W001,45,15,0.0,0,none
2017,Y2017_C03,107,113,111,7,W003,113,-2,0.5,5,strict_overlap
2017,Y2017_C04,122,126,124,5,W003,113,11,0.0,0,none
2017,Y2017_C05,137,142,139,6,W004,135,4,0.0,0,none
2017,Y2017_C06,151,155,153,5,W005,160,-7,0.0,0,none
2018,Y2018_C01,41,41,41,1,W001,45,-4,0.0,0,none
2018,Y2018_C02,53,56,54,4,W001,45,9,0.0,0,none
2018,Y2018_C03,75,82,79,8,W002,81,-2,0.6363636363636364,7,strict_overlap
2018,Y2018_C04,98,103,101,6,W003,113,-12,0.0,0,none
2018,Y2018_C05,124,130,127,7,W004,135,-8,0.0,0,none
2018,Y2018_C06,152,162,155,11,W005,160,-5,0.5833333333333334,7,strict_overlap
2019,Y2019_C01,25,30,28,6,W001,45,-17,0.0,0,none
2019,Y2019_C02,42,42,42,1,W001,45,-3,0.0,0,near_peak_only
2019,Y2019_C03,60,60,60,1,W001,45,15,0.0,0,none
2019,Y2019_C04,94,95,94,2,W002,81,13,0.0,0,none
2019,Y2019_C05,133,141,137,9,W004,135,2,0.1111111111111111,1,overlap_any
2019,Y2019_C06,160,160,160,1,W005,160,0,0.125,1,overlap_any
2020,Y2020_C01,29,33,31,5,W001,45,-14,0.0,0,none
2020,Y2020_C02,43,47,45,5,W001,45,0,1.0,5,strict_overlap
2020,Y2020_C03,61,71,67,11,W002,81,-14,0.0,0,none
2020,Y2020_C04,115,120,118,6,W003,113,5,0.16666666666666666,2,overlap_any
2020,Y2020_C05,142,149,146,8,W004,135,11,0.0,0,none
2020,Y2020_C06,159,165,162,7,W005,160,2,0.5,5,strict_overlap
2021,Y2021_C01,26,34,29,9,W001,45,-16,0.0,0,none
2021,Y2021_C02,44,47,46,4,W001,45,1,0.8,4,strict_overlap
2021,Y2021_C03,64,71,67,8,W002,81,-14,0.0,0,none
2021,Y2021_C04,88,92,89,5,W002,81,8,0.0,0,none
2021,Y2021_C05,103,109,107,7,W003,113,-6,0.07142857142857142,1,overlap_any
2021,Y2021_C06,121,131,128,11,W004,135,-7,0.0,0,none
2021,Y2021_C07,156,156,156,1,W005,160,-4,0.125,1,overlap_any
2022,Y2022_C01,16,19,17,4,W001,45,-28,0.0,0,none
2022,Y2022_C02,50,50,50,1,W001,45,5,0.0,0,none
2022,Y2022_C03,77,85,79,9,W002,81,-2,0.9,9,strict_overlap
2022,Y2022_C04,95,99,97,5,W002,81,16,0.0,0,none
2022,Y2022_C05,116,125,121,10,W003,113,8,0.058823529411764705,1,overlap_any
2022,Y2022_C06,146,153,150,8,W005,160,-10,0.0,0,none
2023,Y2023_C01,37,37,37,1,W001,45,-8,0.0,0,none
2023,Y2023_C02,51,55,53,5,W001,45,8,0.0,0,none
2023,Y2023_C03,63,68,65,6,W002,81,-16,0.0,0,none
2023,Y2023_C04,98,104,101,7,W003,113,-12,0.0,0,none
2023,Y2023_C05,120,126,124,7,W003,113,11,0.0,0,none
2023,Y2023_C06,142,145,143,4,W004,135,8,0.0,0,none
2023,Y2023_C07,164,166,165,3,W005,160,5,0.0,0,none
