year,point_id,formal_point_day,nearest_yearwise_peak_day,nearest_yearwise_peak_score,best_match_peak_rank_within_year,day_offset,best_match_exists,near_point_flag,strict_point_flag
1992,RP002,81,78,16.742313660247376,,-3,True,True,False
1992,RP003,113,99,34.27951493452768,,-14,True,False,False
1992,LP006,132,133,25.65321765310044,,1,True,True,True
1992,RP004,135,133,25.65321765310044,,-2,True,True,True
1992,RP005,160,156,26.302294844216263,,-4,True,False,False
1993,RP001,45,49,21.350856064129918,,4,True,False,False
1993,RP002,81,75,17.428262484350913,,-6,True,False,False
1993,RP003,113,109,19.18572183749132,,-4,True,False,False
1993,LP006,132,145,39.734248041048915,,13,True,False,False
1993,RP004,135,145,39.734248041048915,,10,True,False,False
1993,RP005,160,145,39.734248041048915,,-15,True,False,False
1994,RP001,45,37,11.24876511924749,,-8,True,False,False
1994,RP002,81,82,32.39200427,,1,True,True,True
1994,RP003,113,106,16.827577441363477,,-7,True,False,False
1994,LP006,132,123,25.859334299650303,,-9,True,False,False
1994,RP004,135,123,25.859334299650303,,-12,True,False,False
1994,RP005,160,163,21.447067179620902,,3,True,True,False
1995,RP001,45,32,29.010478562179067,,-13,True,False,False
1995,RP002,81,75,22.986425348565085,,-6,True,False,False
1995,RP003,113,114,18.252657450969263,,1,True,True,True
1995,LP006,132,143,17.348990045968705,,11,True,False,False
1995,RP004,135,143,17.348990045968705,,8,True,False,False
1995,RP005,160,163,49.65669206969284,,3,True,True,False
1996,RP001,45,51,28.073751474669187,,6,True,False,False
1996,RP002,81,92,14.38055737033893,,11,True,False,False
1996,RP003,113,109,27.633666221346573,,-4,True,False,False
1996,LP006,132,135,15.325598910201865,,3,True,True,False
1996,RP004,135,135,15.325598910201865,,0,True,True,True
1996,RP005,160,156,21.410992234942277,,-4,True,False,False
1997,RP001,45,44,38.602222484578554,,-1,True,True,True
1997,RP002,81,86,26.900038870807165,,5,True,False,False
1997,RP003,113,108,34.49173434599569,,-5,True,False,False
1997,LP006,132,134,27.93767901615756,,2,True,True,True
1997,RP004,135,134,27.93767901615756,,-1,True,True,True
1997,RP005,160,167,24.84875724735013,,7,True,False,False
1998,RP001,45,69,32.36951577865908,,24,True,False,False
1998,RP002,81,84,32.181227851254874,,3,True,True,False
1998,RP003,113,119,21.85205594557054,,6,True,False,False
1998,LP006,132,119,21.85205594557054,,-13,True,False,False
1998,RP004,135,119,21.85205594557054,,-16,True,False,False
1998,RP005,160,160,39.24099422870061,,0,True,True,True
1999,RP001,45,41,18.394414822077767,,-4,True,False,False
1999,RP002,81,92,22.056972630470277,,11,True,False,False
1999,RP003,113,107,26.742829388872,,-6,True,False,False
1999,LP006,132,132,23.43245456990863,,0,True,True,True
1999,RP004,135,132,23.43245456990863,,-3,True,True,False
1999,RP005,160,162,30.300078931010205,,2,True,True,True
2000,RP001,45,51,28.174100151043277,,6,True,False,False
2000,RP002,81,89,38.0790678063438,,8,True,False,False
2000,RP003,113,117,23.434177428448194,,4,True,False,False
2000,LP006,132,138,22.039992942488,,6,True,False,False
2000,RP004,135,138,22.039992942488,,3,True,True,False
2000,RP005,160,167,34.81646530249282,,7,True,False,False
2001,RP001,45,35,15.364674114417028,,-10,True,False,False
2001,RP002,81,88,20.77326320353844,,7,True,False,False
2001,RP003,113,132,23.347081174735123,,19,True,False,False
2001,LP006,132,132,23.347081174735123,,0,True,True,True
2001,RP004,135,132,23.347081174735123,,-3,True,True,False
2001,RP005,160,160,24.17237241522133,,0,True,True,True
2002,RP001,45,47,18.188419466308556,,2,True,True,True
2002,RP002,81,91,52.44037383657884,,10,True,False,False
2002,RP003,113,105,35.90570937453769,,-8,True,False,False
2002,LP006,132,129,22.81286902292257,,-3,True,True,False
2002,RP004,135,129,22.81286902292257,,-6,True,False,False
2002,RP005,160,161,29.349943292407563,,1,True,True,True
2003,RP001,45,51,42.07910499261587,,6,True,False,False
2003,RP002,81,79,37.75254207408934,,-2,True,True,True
2003,RP003,113,115,19.582864211027214,,2,True,True,True
2003,LP006,132,115,19.582864211027214,,-17,True,False,False
2003,RP004,135,152,16.828176514667796,,17,True,False,False
2003,RP005,160,152,16.828176514667796,,-8,True,False,False
2004,RP001,45,45,22.560060579575506,,0,True,True,True
2004,RP002,81,72,13.97108225123888,,-9,True,False,False
2004,RP003,113,110,28.57347498434453,,-3,True,True,False
2004,LP006,132,140,27.651735403832575,,8,True,False,False
2004,RP004,135,140,27.651735403832575,,5,True,False,False
2004,RP005,160,167,24.2527402130436,,7,True,False,False
2005,RP001,45,52,13.524445063965581,,7,True,False,False
2005,RP002,81,84,31.747315835703454,,3,True,True,False
2005,RP003,113,103,39.951853220119965,,-10,True,False,False
2005,LP006,132,139,20.548076612658146,,7,True,False,False
2005,RP004,135,139,20.548076612658146,,4,True,False,False
2005,RP005,160,162,29.030541106562115,,2,True,True,True
2006,RP001,45,51,23.725119629588523,,6,True,False,False
2006,RP002,81,73,26.691949465095377,,-8,True,False,False
2006,RP003,113,125,19.62036314819138,,12,True,False,False
2006,LP006,132,125,19.62036314819138,,-7,True,False,False
2006,RP004,135,142,22.473738437533065,,7,True,False,False
2006,RP005,160,157,28.22589051235816,,-3,True,True,False
2007,RP001,45,60,18.562382439861807,,15,True,False,False
2007,RP002,81,74,25.999422119978465,,-7,True,False,False
2007,RP003,113,122,40.59547123148427,,9,True,False,False
2007,LP006,132,122,40.59547123148427,,-10,True,False,False
2007,RP004,135,122,40.59547123148427,,-13,True,False,False
2007,RP005,160,151,24.393624936687466,,-9,True,False,False
2008,RP001,45,47,30.430159079722493,,2,True,True,True
2008,RP002,81,67,22.51715950878515,,-14,True,False,False
2008,RP003,113,118,20.037045177331194,,5,True,False,False
2008,LP006,132,133,39.612002176612606,,1,True,True,True
2008,RP004,135,133,39.612002176612606,,-2,True,True,True
2008,RP005,160,167,17.91073669053759,,7,True,False,False
2009,RP001,45,39,31.9258290682386,,-6,True,False,False
2009,RP002,81,74,13.873266897159942,,-7,True,False,False
2009,RP003,113,112,31.04576205203663,,-1,True,True,True
2009,LP006,132,133,51.8225662788411,,1,True,True,True
2009,RP004,135,133,51.8225662788411,,-2,True,True,True
2009,RP005,160,133,51.8225662788411,,-27,True,False,False
2010,RP001,45,53,18.553514526137924,,8,True,False,False
2010,RP002,81,86,20.74855011016331,,5,True,False,False
2010,RP003,113,121,27.41755660061174,,8,True,False,False
2010,LP006,132,142,19.837779986306966,,10,True,False,False
