field_a,field_b,n_valid,median_delta,q05_delta,q95_delta,q025_delta,q975_delta,prob_delta_gt_0,prob_delta_lt_0,pass90,pass95,direction_label,early_field_candidate,late_field_candidate,threshold,marker_col,order_label
P,Je,1000,4.0,0.0,7.0,-5.024999999999999,8.0,0.937,0.036,False,False,field_a_before_field_b,P,Je,0.15,t15_day,threshold_order_not_confirmed
P,Jw,1000,-1.0,-4.0,3.0,-4.0,4.0,0.267,0.549,False,False,field_b_before_field_a,Jw,P,0.15,t15_day,threshold_order_not_confirmed
V,H,1000,-4.0,-7.0,0.0,-8.0,1.0,0.034,0.93,False,False,field_b_before_field_a,H,V,0.15,t15_day,threshold_order_not_confirmed
V,Je,1000,3.0,-2.0,6.0,-7.0,7.0,0.847,0.075,False,False,field_a_before_field_b,V,Je,0.15,t15_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,2.0,-7.0,3.0,0.166,0.713,False,False,field_b_before_field_a,Jw,V,0.15,t15_day,threshold_order_not_confirmed
H,Je,1000,7.0,3.0,10.0,-5.0,10.0,0.97,0.029,True,False,field_a_before_field_b,H,Je,0.15,t15_day,threshold_order_pass90
H,Jw,1000,2.0,0.0,5.0,0.0,5.024999999999977,0.911,0.02,False,False,field_a_before_field_b,H,Jw,0.15,t15_day,threshold_order_not_confirmed
Je,Jw,1000,-5.0,-8.0,1.0,-8.0,6.0,0.053,0.928,False,False,field_b_before_field_a,Jw,Je,0.15,t15_day,threshold_order_not_confirmed
P,V,1000,1.0,-1.0,4.0,-2.0,4.024999999999977,0.675,0.099,False,False,field_a_before_field_b,P,V,0.2,t20_day,threshold_order_not_confirmed
P,H,1000,-3.0,-6.0,1.0,-7.0,1.0249999999999773,0.051,0.887,False,False,field_b_before_field_a,H,P,0.2,t20_day,threshold_order_not_confirmed
P,Je,1000,4.0,1.0,7.0,0.0,7.0,0.954,0.02,True,False,field_a_before_field_b,P,Je,0.2,t20_day,threshold_order_pass90
P,Jw,1000,-1.0,-4.0,3.0,-4.0,5.0,0.254,0.584,False,False,field_b_before_field_a,Jw,P,0.2,t20_day,threshold_order_not_confirmed
V,H,1000,-4.0,-8.0,0.0,-8.0,1.0,0.028,0.945,False,False,field_b_before_field_a,H,V,0.2,t20_day,threshold_order_not_confirmed
V,Je,1000,3.0,-1.0,6.0,-2.0,7.0,0.845,0.075,False,False,field_a_before_field_b,V,Je,0.2,t20_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,2.0,-7.0,3.0,0.147,0.727,False,False,field_b_before_field_a,Jw,V,0.2,t20_day,threshold_order_not_confirmed
H,Je,1000,7.0,3.0,10.0,2.9750000000000014,10.0,0.992,0.006,True,True,field_a_before_field_b,H,Je,0.2,t20_day,threshold_order_pass95
H,Jw,1000,2.0,0.0,6.0,-1.0,7.0,0.921,0.03,False,False,field_a_before_field_b,H,Jw,0.2,t20_day,threshold_order_not_confirmed
Je,Jw,1000,-5.0,-8.0,0.0,-8.0,1.0,0.042,0.92,False,False,field_b_before_field_a,Jw,Je,0.2,t20_day,threshold_order_not_confirmed
P,V,1000,1.0,-1.0,4.0,-1.0249999999999986,4.024999999999977,0.695,0.087,False,False,field_a_before_field_b,P,V,0.25,t25_day,threshold_order_not_confirmed
P,H,1000,-3.0,-7.0,1.0,-8.0,2.0,0.055,0.907,False,False,field_b_before_field_a,H,P,0.25,t25_day,threshold_order_not_confirmed
P,Je,1000,4.0,0.9500000000000028,7.0,0.0,7.0,0.95,0.022,True,False,field_a_before_field_b,P,Je,0.25,t25_day,threshold_order_pass90
P,Jw,1000,-1.0,-4.0,4.0,-5.0,5.0,0.262,0.586,False,False,field_b_before_field_a,Jw,P,0.25,t25_day,threshold_order_not_confirmed
V,H,1000,-5.0,-8.0,0.0,-8.0,1.0249999999999773,0.038,0.945,False,False,field_b_before_field_a,H,V,0.25,t25_day,threshold_order_not_confirmed
V,Je,1000,2.0,-1.0,6.0,-2.0,6.0,0.807,0.082,False,False,field_a_before_field_b,V,Je,0.25,t25_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,2.0,-7.0,3.0249999999999773,0.161,0.732,False,False,field_b_before_field_a,Jw,V,0.25,t25_day,threshold_order_not_confirmed
H,Je,1000,7.0,3.0,10.0,2.0,10.0,0.987,0.01,True,True,field_a_before_field_b,H,Je,0.25,t25_day,threshold_order_pass95
H,Jw,1000,2.0,0.0,6.0,-1.0,7.024999999999977,0.91,0.033,False,False,field_a_before_field_b,H,Jw,0.25,t25_day,threshold_order_not_confirmed
Je,Jw,1000,-5.0,-8.0,1.0,-8.0,2.0,0.052,0.905,False,False,field_b_before_field_a,Jw,Je,0.25,t25_day,threshold_order_not_confirmed
P,V,1000,1.0,-1.0,4.0,-2.0,4.0,0.741,0.087,False,False,field_a_before_field_b,P,V,0.3,t30_day,threshold_order_not_confirmed
P,H,1000,-3.0,-7.0,1.0,-8.0,2.0,0.057,0.917,False,False,field_b_before_field_a,H,P,0.3,t30_day,threshold_order_not_confirmed
P,Je,1000,4.0,0.0,7.0,-1.0,7.0,0.929,0.031,False,False,field_a_before_field_b,P,Je,0.3,t30_day,threshold_order_not_confirmed
P,Jw,1000,-1.0,-4.0,4.0,-5.0,5.0,0.298,0.548,False,False,field_b_before_field_a,Jw,P,0.3,t30_day,threshold_order_not_confirmed
V,H,1000,-5.0,-8.0,0.0,-9.0,2.0,0.044,0.938,False,False,field_b_before_field_a,H,V,0.3,t30_day,threshold_order_not_confirmed
V,Je,1000,2.0,-1.0,6.0,-2.0,6.0,0.787,0.101,False,False,field_a_before_field_b,V,Je,0.3,t30_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,3.0,-7.0,3.0,0.18,0.719,False,False,field_b_before_field_a,Jw,V,0.3,t30_day,threshold_order_not_confirmed
H,Je,1000,7.0,3.0,10.0,1.0,10.0,0.977,0.019,True,True,field_a_before_field_b,H,Je,0.3,t30_day,threshold_order_pass95
H,Jw,1000,3.0,0.0,7.0,-2.0,8.0,0.909,0.047,False,False,field_a_before_field_b,H,Jw,0.3,t30_day,threshold_order_not_confirmed
Je,Jw,1000,-4.0,-8.0,1.0,-8.0,2.0,0.063,0.896,False,False,field_b_before_field_a,Jw,Je,0.3,t30_day,threshold_order_not_confirmed
P,V,1000,1.0,-1.0,4.0,-2.0,4.0,0.76,0.075,False,False,field_a_before_field_b,P,V,0.35,t35_day,threshold_order_not_confirmed
P,H,1000,-4.0,-8.0,1.0,-8.0,3.0,0.068,0.902,False,False,field_b_before_field_a,H,P,0.35,t35_day,threshold_order_not_confirmed
P,Je,1000,4.0,0.0,7.0,-1.0,7.0,0.918,0.039,False,False,field_a_before_field_b,P,Je,0.35,t35_day,threshold_order_not_confirmed
P,Jw,1000,0.0,-4.0,4.0,-5.0,6.0,0.344,0.499,False,False,tie_or_zero,,,0.35,t35_day,threshold_order_not_confirmed
V,H,1000,-5.0,-8.0,1.0,-9.0,3.0,0.054,0.931,False,False,field_b_before_field_a,H,V,0.35,t35_day,threshold_order_not_confirmed
V,Je,1000,2.0,-1.0,5.0,-2.0,6.0,0.744,0.121,False,False,field_a_before_field_b,V,Je,0.35,t35_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,3.0,-6.0,4.0,0.197,0.692,False,False,field_b_before_field_a,Jw,V,0.35,t35_day,threshold_order_not_confirmed
H,Je,1000,7.0,3.0,10.0,0.0,10.0,0.972,0.023,True,False,field_a_before_field_b,H,Je,0.35,t35_day,threshold_order_pass90
H,Jw,1000,3.0,-1.0,8.0,-3.0,8.0,0.908,0.055,False,False,field_a_before_field_b,H,Jw,0.35,t35_day,threshold_order_not_confirmed
Je,Jw,1000,-4.0,-8.0,1.0,-8.0,2.0,0.078,0.858,False,False,field_b_before_field_a,Jw,Je,0.35,t35_day,threshold_order_not_confirmed
P,V,1000,2.0,-1.0,4.0,-1.0249999999999986,4.0,0.746,0.075,False,False,field_a_before_field_b,P,V,0.4,t40_day,threshold_order_not_confirmed
P,H,1000,-4.0,-8.0,3.0,-8.0,8.0,0.092,0.886,False,False,field_b_before_field_a,H,P,0.4,t40_day,threshold_order_not_confirmed
P,Je,1000,3.0,0.0,7.0,-1.0,7.0,0.894,0.042,False,False,field_a_before_field_b,P,Je,0.4,t40_day,threshold_order_not_confirmed
P,Jw,1000,0.0,-4.0,5.0,-5.0,6.0,0.377,0.455,False,False,tie_or_zero,,,0.4,t40_day,threshold_order_not_confirmed
V,H,1000,-6.0,-9.0,2.0,-9.0,6.0,0.076,0.908,False,False,field_b_before_field_a,H,V,0.4,t40_day,threshold_order_not_confirmed
V,Je,1000,2.0,-2.0,5.0,-2.0,6.0,0.715,0.121,False,False,field_a_before_field_b,V,Je,0.4,t40_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,3.0,-6.0,4.0,0.216,0.674,False,False,field_b_before_field_a,Jw,V,0.4,t40_day,threshold_order_not_confirmed
H,Je,1000,7.0,1.0,10.0,-4.0,10.0,0.952,0.038,True,False,field_a_before_field_b,H,Je,0.4,t40_day,threshold_order_pass90
H,Jw,1000,4.0,-2.0,8.0,-7.024999999999999,9.0,0.893,0.074,False,False,field_a_before_field_b,H,Jw,0.4,t40_day,threshold_order_not_confirmed
Je,Jw,1000,-3.0,-7.0,2.0,-8.0,2.0,0.101,0.841,False,False,field_b_before_field_a,Jw,Je,0.4,t40_day,threshold_order_not_confirmed
P,V,1000,2.0,-1.0,4.0,-1.0,4.0,0.759,0.077,False,False,field_a_before_field_b,P,V,0.45,t45_day,threshold_order_not_confirmed
P,H,1000,-4.0,-8.0,7.0,-8.0,9.0,0.117,0.859,False,False,field_b_before_field_a,H,P,0.45,t45_day,threshold_order_not_confirmed
P,Je,1000,3.0,0.0,7.0,-1.0,8.0,0.89,0.043,False,False,field_a_before_field_b,P,Je,0.45,t45_day,threshold_order_not_confirmed
P,Jw,1000,0.0,-4.0,5.0,-5.0,6.0,0.433,0.435,False,False,tie_or_zero,,,0.45,t45_day,threshold_order_not_confirmed
V,H,1000,-6.0,-9.0,5.0,-10.0,7.0,0.094,0.893,False,False,field_b_before_field_a,H,V,0.45,t45_day,threshold_order_not_confirmed
V,Je,1000,1.0,-2.0,5.0,-2.0249999999999986,6.0,0.689,0.155,False,False,field_a_before_field_b,V,Je,0.45,t45_day,threshold_order_not_confirmed
V,Jw,1000,-2.0,-6.0,3.0,-7.0,4.0,0.237,0.642,False,False,field_b_before_field_a,Jw,V,0.45,t45_day,threshold_order_not_confirmed
H,Je,1000,7.0,-2.049999999999997,10.0,-5.0,11.0,0.928,0.063,False,False,field_a_before_field_b,H,Je,0.45,t45_day,threshold_order_not_confirmed
H,Jw,1000,4.0,-5.0,8.0,-8.0,9.0,0.875,0.095,False,False,field_a_before_field_b,H,Jw,0.45,t45_day,threshold_order_not_confirmed
Je,Jw,1000,-3.0,-7.0,2.0,-8.0,2.0,0.126,0.811,False,False,field_b_before_field_a,Jw,Je,0.45,t45_day,threshold_order_not_confirmed
P,V,1000,2.0,-1.0,4.0,-1.0,4.0,0.752,0.071,False,False,field_a_before_field_b,P,V,0.5,t50_day,threshold_order_not_confirmed
P,H,1000,-4.0,-8.0,9.0,-8.0,10.0,0.159,0.816,False,False,field_b_before_field_a,H,P,0.5,t50_day,threshold_order_not_confirmed
P,Je,1000,3.0,0.0,7.0,-1.0,8.0,0.887,0.04,False,False,field_a_before_field_b,P,Je,0.5,t50_day,threshold_order_not_confirmed
P,Jw,1000,0.0,-4.0,5.0,-4.0,6.024999999999977,0.455,0.397,False,False,tie_or_zero,,,0.5,t50_day,threshold_order_not_confirmed
V,H,1000,-6.0,-9.0,7.0,-10.0,8.0,0.138,0.855,False,False,field_b_before_field_a,H,V,0.5,t50_day,threshold_order_not_confirmed
V,Je,1000,1.0,-2.0,5.0,-2.0,6.0,0.664,0.164,False,False,field_a_before_field_b,V,Je,0.5,t50_day,threshold_order_not_confirmed
V,Jw,1000,-1.0,-6.0,4.0,-6.0,4.0,0.266,0.606,False,False,field_b_before_field_a,Jw,V,0.5,t50_day,threshold_order_not_confirmed
H,Je,1000,7.0,-5.0,10.0,-6.0,11.0,0.881,0.11,False,False,field_a_before_field_b,H,Je,0.5,t50_day,threshold_order_not_confirmed
H,Jw,1000,4.0,-7.0,9.0,-9.0,10.0,0.847,0.135,False,False,field_a_before_field_b,H,Jw,0.5,t50_day,threshold_order_not_confirmed
Je,Jw,1000,-3.0,-7.0,2.0,-8.0,3.0,0.136,0.776,False,False,field_b_before_field_a,Jw,Je,0.5,t50_day,threshold_order_not_confirmed
P,V,1000,2.0,0.0,4.0,-1.0,5.0,0.833,0.043,False,False,field_a_before_field_b,P,V,0.75,t75_day,threshold_order_not_confirmed
P,H,1000,4.0,-8.049999999999997,9.0,-9.0,10.0,0.595,0.396,False,False,field_a_before_field_b,P,H,0.75,t75_day,threshold_order_not_confirmed
P,Je,1000,4.0,-1.0,8.0,-2.0,9.0,0.88,0.062,False,False,field_a_before_field_b,P,Je,0.75,t75_day,threshold_order_not_confirmed
P,Jw,1000,2.0,-3.0,6.0,-4.0,7.0,0.658,0.237,False,False,field_a_before_field_b,P,Jw,0.75,t75_day,threshold_order_not_confirmed
V,H,1000,2.0,-11.0,8.0,-12.0,9.0,0.561,0.412,False,False,field_a_before_field_b,V,H,0.75,t75_day,threshold_order_not_confirmed
V,Je,1000,2.0,-4.0,7.0,-4.0,8.0,0.7,0.211,False,False,field_a_before_field_b,V,Je,0.75,t75_day,threshold_order_not_confirmed
V,Jw,1000,0.0,-6.0,5.0,-7.0,6.0,0.424,0.461,False,False,tie_or_zero,,,0.75,t75_day,threshold_order_not_confirmed
H,Je,1000,1.0,-6.0,12.0,-7.0,13.0,0.512,0.421,False,False,field_a_before_field_b,H,Je,0.75,t75_day,threshold_order_not_confirmed
H,Jw,1000,-1.0,-9.0,10.0,-9.0,11.0,0.428,0.52,False,False,field_b_before_field_a,Jw,H,0.75,t75_day,threshold_order_not_confirmed
Je,Jw,1000,-2.0,-7.0,3.0,-8.0,4.0,0.19,0.731,False,False,field_b_before_field_a,Jw,Je,0.75,t75_day,threshold_order_not_confirmed
