replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
3,bootstrap,3,CP007,135,08-14,137,5.279601181319453,2.551007706852552,2,2,strict
3,bootstrap,3,CP008,160,09-08,161,11.567599330021398,5.336923251718796,1,1,strict
4,bootstrap,4,CP001,18,04-19,24,3.576241836429765,0.48865326095705974,6,6,near
4,bootstrap,4,CP002,45,05-16,41,5.015570846416682,3.253894889149427,-4,4,matched
4,bootstrap,4,CP003,81,06-21,82,6.808406931854945,0.11196581414861839,1,1,strict
4,bootstrap,4,CP004,96,07-06,90,7.626582756983166,4.478268030255313,-6,6,near
4,bootstrap,4,CP005,113,07-23,114,12.726232138469758,10.713679110210307,1,1,strict
4,bootstrap,4,CP006,132,08-11,128,6.49592086621969,0.9298408102339994,-4,4,matched
4,bootstrap,4,CP007,135,08-14,137,6.662563706585314,2.6702500440828,2,2,strict
4,bootstrap,4,CP008,160,09-08,163,10.812173427790338,3.834799446704814,3,3,matched
5,bootstrap,5,CP001,18,04-19,18,4.372154023496028,0.5608067431878894,0,0,strict
5,bootstrap,5,CP002,45,05-16,46,4.265562537054566,1.3028615627212567,1,1,strict
5,bootstrap,5,CP003,81,06-21,83,9.922754764146658,6.949392816345511,2,2,strict
5,bootstrap,5,CP004,96,07-06,98,7.256972160018015,1.2505041760450446,2,2,strict
5,bootstrap,5,CP005,113,07-23,112,8.138031753106254,2.402756374460095,-1,1,strict
5,bootstrap,5,CP006,132,08-11,139,4.894621340832291,1.6218788303491296,7,7,near
5,bootstrap,5,CP007,135,08-14,139,4.894621340832291,1.6218788303491296,4,4,matched
5,bootstrap,5,CP008,160,09-08,158,7.793892749582007,2.6353224936163375,-2,2,strict
6,bootstrap,6,CP001,18,04-19,19,3.491122008794732,0.7558250283455821,1,1,strict
6,bootstrap,6,CP002,45,05-16,44,8.03958545346999,6.1660599352491,-1,1,strict
6,bootstrap,6,CP003,81,06-21,81,10.670441775707053,6.760669617684457,0,0,strict
6,bootstrap,6,CP004,96,07-06,98,9.583022748871622,2.889321468315983,2,2,strict
6,bootstrap,6,CP005,113,07-23,110,12.26084262205866,9.867767067281576,-3,3,matched
6,bootstrap,6,CP006,132,08-11,137,4.156846652089934,1.1998438156552398,5,5,matched
6,bootstrap,6,CP007,135,08-14,137,4.156846652089934,1.1998438156552398,2,2,strict
6,bootstrap,6,CP008,160,09-08,161,8.083491864688622,2.9749029009539125,1,1,strict
7,bootstrap,7,CP001,18,04-19,19,4.8507608635887385,1.189521192427407,1,1,strict
7,bootstrap,7,CP002,45,05-16,45,6.397941492495352,3.5086500735322788,0,0,strict
7,bootstrap,7,CP003,81,06-21,76,10.537241491033235,7.487571041820441,-5,5,matched
7,bootstrap,7,CP004,96,07-06,98,9.973234284845244,5.5209693738684305,2,2,strict
7,bootstrap,7,CP005,113,07-23,115,10.554698215779053,7.517591487942925,2,2,strict
7,bootstrap,7,CP006,132,08-11,130,4.91629609351005,1.7928822567575526,-2,2,strict
7,bootstrap,7,CP007,135,08-14,130,4.91629609351005,1.7928822567575526,-5,5,matched
7,bootstrap,7,CP008,160,09-08,164,7.352032595469481,0.9420682827417126,4,4,matched
8,bootstrap,8,CP001,18,04-19,19,3.5223226789948545,0.6889002944706197,1,1,strict
8,bootstrap,8,CP002,45,05-16,43,4.92838967431383,3.0384051059904142,-2,2,strict
8,bootstrap,8,CP003,81,06-21,81,9.07660118626995,3.530855182397339,0,0,strict
8,bootstrap,8,CP004,96,07-06,96,7.783827136468053,1.5002270788032153,0,0,strict
8,bootstrap,8,CP005,113,07-23,112,10.55755108593569,8.538367580109766,-1,1,strict
8,bootstrap,8,CP006,132,08-11,136,4.821334747068958,1.8605790876833925,4,4,matched
8,bootstrap,8,CP007,135,08-14,136,4.821334747068958,1.8605790876833925,1,1,strict
8,bootstrap,8,CP008,160,09-08,160,10.040756725331388,5.39216196314367,0,0,strict
9,bootstrap,9,CP001,18,04-19,19,5.346392288719034,2.4662110213935993,1,1,strict
9,bootstrap,9,CP002,45,05-16,45,10.907159609830563,8.294997345214668,0,0,strict
9,bootstrap,9,CP003,81,06-21,82,7.880707992882987,5.456085546119662,1,1,strict
9,bootstrap,9,CP004,96,07-06,96,5.788081011371503,0.7087512516993488,0,0,strict
9,bootstrap,9,CP005,113,07-23,114,9.365675198880133,7.0452347715311765,1,1,strict
9,bootstrap,9,CP006,132,08-11,137,6.401919385720536,2.58892231335482,5,5,matched
9,bootstrap,9,CP007,135,08-14,137,6.401919385720536,2.58892231335482,2,2,strict
9,bootstrap,9,CP008,160,09-08,156,7.534020863607469,3.6163709447217522,-4,4,matched
10,bootstrap,10,CP001,18,04-19,17,4.111306245686507,0.710101816078172,-1,1,strict
10,bootstrap,10,CP002,45,05-16,44,7.500783275679777,4.954888995039774,-1,1,strict
10,bootstrap,10,CP003,81,06-21,80,13.067808638411567,10.920366283307482,-1,1,strict
10,bootstrap,10,CP004,96,07-06,94,4.569014429642241,0.01192218322556915,-2,2,strict
10,bootstrap,10,CP005,113,07-23,113,11.018218471027794,6.869871658093495,0,0,strict
10,bootstrap,10,CP006,132,08-11,137,3.659551634495715,0.1505479704143795,5,5,matched
10,bootstrap,10,CP007,135,08-14,137,3.659551634495715,0.1505479704143795,2,2,strict
10,bootstrap,10,CP008,160,09-08,162,7.594146296841198,2.5399711183339733,2,2,strict
11,bootstrap,11,CP001,18,04-19,17,3.347496126837785,0.5359702633169734,-1,1,strict
11,bootstrap,11,CP002,45,05-16,45,7.615067446382155,5.135039445842166,0,0,strict
11,bootstrap,11,CP003,81,06-21,82,9.668630349029073,6.227641270246616,1,1,strict
11,bootstrap,11,CP004,96,07-06,98,8.465401385920458,3.0752287227262904,2,2,strict
11,bootstrap,11,CP005,113,07-23,113,9.74457276806572,7.8539538625489405,0,0,strict
11,bootstrap,11,CP006,132,08-11,135,5.437647661444426,2.514841442390735,3,3,matched
11,bootstrap,11,CP007,135,08-14,135,5.437647661444426,2.514841442390735,0,0,strict
11,bootstrap,11,CP008,160,09-08,161,9.802042502125836,4.148659761763735,1,1,strict
12,bootstrap,12,CP001,18,04-19,18,3.2562358642541716,0.22358577990413053,0,0,strict
12,bootstrap,12,CP002,45,05-16,44,7.364348263434719,5.7450477857433215,-1,1,strict
12,bootstrap,12,CP003,81,06-21,79,12.458436545146759,9.843169595326437,-2,2,strict
12,bootstrap,12,CP004,96,07-06,96,7.884708558456751,1.1504492295564912,0,0,strict
12,bootstrap,12,CP005,113,07-23,112,9.609724125258007,5.197734009663499,-1,1,strict
12,bootstrap,12,CP006,132,08-11,126,4.82682373097982,0.8640112331806451,-6,6,near
12,bootstrap,12,CP007,135,08-14,126,4.82682373097982,0.8640112331806451,-9,9,no_match
12,bootstrap,12,CP008,160,09-08,161,8.50677561964386,3.094192266341569,1,1,strict
13,bootstrap,13,CP001,18,04-19,45,6.3639803235421635,3.9620511264666867,27,27,no_match
13,bootstrap,13,CP002,45,05-16,45,6.3639803235421635,3.9620511264666867,0,0,strict
13,bootstrap,13,CP003,81,06-21,78,16.30105872986766,14.03244288367133,-3,3,matched
13,bootstrap,13,CP004,96,07-06,94,8.937346416833876,4.200813486243671,-2,2,strict
13,bootstrap,13,CP005,113,07-23,113,12.302378025488263,7.818715946971111,0,0,strict
13,bootstrap,13,CP006,132,08-11,128,5.95696584625195,1.6572655111897934,-4,4,matched
13,bootstrap,13,CP007,135,08-14,128,5.95696584625195,1.6572655111897934,-7,7,near
13,bootstrap,13,CP008,160,09-08,162,7.837286634378769,2.7553736806900817,2,2,strict
14,bootstrap,14,CP001,18,04-19,17,3.521832111515125,0.2669886624490796,-1,1,strict
14,bootstrap,14,CP002,45,05-16,45,8.27100791199613,5.936967093830049,0,0,strict
14,bootstrap,14,CP003,81,06-21,84,9.014302651759126,6.209802495969649,3,3,matched
14,bootstrap,14,CP004,96,07-06,95,8.821600128429022,0.9426459501761988,-1,1,strict
14,bootstrap,14,CP005,113,07-23,114,9.00483115214529,3.7197279098141074,1,1,strict
14,bootstrap,14,CP006,132,08-11,130,3.7490113596952988,0.46256254129052854,-2,2,strict
14,bootstrap,14,CP007,135,08-14,135,3.604885650628369,0.0010504376620690259,0,0,strict
14,bootstrap,14,CP008,160,09-08,155,6.005018745561021,2.4317845121003234,-5,5,matched
15,bootstrap,15,CP001,18,04-19,17,3.2011031531977485,0.0010449540713355354,-1,1,strict
15,bootstrap,15,CP002,45,05-16,45,6.900827007445527,0.3507576841434519,0,0,strict
15,bootstrap,15,CP003,81,06-21,77,9.153976146067516,4.728802758084725,-4,4,matched
15,bootstrap,15,CP004,96,07-06,93,6.693070444849271,1.211558405434312,-3,3,matched
15,bootstrap,15,CP005,113,07-23,114,10.338682683212557,7.07828488970353,1,1,strict
15,bootstrap,15,CP006,132,08-11,131,5.872050225439424,2.4619264396728937,-1,1,strict
15,bootstrap,15,CP007,135,08-14,137,5.179781288547896,0.07714033074212168,2,2,strict
15,bootstrap,15,CP008,160,09-08,160,7.402777686324677,1.545536773911448,0,0,strict
16,bootstrap,16,CP001,18,04-19,34,5.846220959248392,0.6193103525781094,16,16,no_match
16,bootstrap,16,CP002,45,05-16,45,6.656919021826694,4.167134154099214,0,0,strict
16,bootstrap,16,CP003,81,06-21,76,6.830231167908407,1.1945159055551944,-5,5,matched
16,bootstrap,16,CP004,96,07-06,95,7.485313886400691,2.7887327551766035,-1,1,strict
16,bootstrap,16,CP005,113,07-23,114,10.55214333776548,8.19072292390111,1,1,strict
16,bootstrap,16,CP006,132,08-11,129,5.618899949199735,2.0649260099990343,-3,3,matched
16,bootstrap,16,CP007,135,08-14,129,5.618899949199735,2.0649260099990343,-6,6,near
16,bootstrap,16,CP008,160,09-08,163,7.33566273691756,0.23968598154448362,3,3,matched
17,bootstrap,17,CP001,18,04-19,19,3.3081225023176217,0.5964604193466378,1,1,strict
17,bootstrap,17,CP002,45,05-16,44,7.79959120047895,5.601986067011681,-1,1,strict
17,bootstrap,17,CP003,81,06-21,80,11.435142798547998,9.392819773943376,-1,1,strict
17,bootstrap,17,CP004,96,07-06,95,7.619923543898277,0.5948945454232524,-1,1,strict
17,bootstrap,17,CP005,113,07-23,112,10.219588885337552,4.7271538928188,-1,1,strict
17,bootstrap,17,CP006,132,08-11,137,5.091393398935558,2.028836757217123,5,5,matched
17,bootstrap,17,CP007,135,08-14,137,5.091393398935558,2.028836757217123,2,2,strict
17,bootstrap,17,CP008,160,09-08,157,5.746330132478665,0.05362483744237334,-3,3,matched
18,bootstrap,18,CP001,18,04-19,19,3.5701793183058976,0.9844406232920253,1,1,strict
18,bootstrap,18,CP002,45,05-16,46,6.418581511070558,4.565953796587911,1,1,strict
18,bootstrap,18,CP003,81,06-21,79,10.558676800436874,7.396084385386534,-2,2,strict
18,bootstrap,18,CP004,96,07-06,99,10.138126082835914,6.490522633125502,3,3,matched
18,bootstrap,18,CP005,113,07-23,117,8.648248962867962,2.38969379204992,4,4,matched
18,bootstrap,18,CP006,132,08-11,135,7.167778404626468,2.8069903563100436,3,3,matched
18,bootstrap,18,CP007,135,08-14,135,7.167778404626468,2.8069903563100436,0,0,strict
18,bootstrap,18,CP008,160,09-08,161,8.430009343540458,1.65043336494126,1,1,strict
19,bootstrap,19,CP001,18,04-19,22,3.685244206207151,1.4652964018507473,4,4,matched
19,bootstrap,19,CP002,45,05-16,45,7.537847830752198,5.393690562404714,0,0,strict
19,bootstrap,19,CP003,81,06-21,83,11.95539898734254,7.940393237854838,2,2,strict
19,bootstrap,19,CP004,96,07-06,92,8.543179473083828,0.2183353746292287,-4,4,matched
19,bootstrap,19,CP005,113,07-23,115,10.804308206075872,5.787252308214848,2,2,strict
19,bootstrap,19,CP006,132,08-11,136,5.12520822214365,0.7903853486682264,4,4,matched
19,bootstrap,19,CP007,135,08-14,136,5.12520822214365,0.7903853486682264,1,1,strict
19,bootstrap,19,CP008,160,09-08,159,9.848945334737166,4.7066948792964425,-1,1,strict
20,bootstrap,20,CP001,18,04-19,22,3.2354280840034395,0.3062846575762652,4,4,matched
20,bootstrap,20,CP002,45,05-16,44,7.102494208349587,4.305211360364149,-1,1,strict
20,bootstrap,20,CP003,81,06-21,78,10.294388045790821,5.43019621066507,-3,3,matched
20,bootstrap,20,CP004,96,07-06,110,14.724118594853206,12.869854756883178,14,14,no_match
20,bootstrap,20,CP005,113,07-23,110,14.724118594853206,12.869854756883178,-3,3,matched
20,bootstrap,20,CP006,132,08-11,134,4.807151516094959,0.2773121285949527,2,2,strict
20,bootstrap,20,CP007,135,08-14,134,4.807151516094959,0.2773121285949527,-1,1,strict
20,bootstrap,20,CP008,160,09-08,159,9.020859428968565,2.8883538757337828,-1,1,strict
21,bootstrap,21,CP001,18,04-19,31,7.88291758806056,2.2112340226881733,13,13,no_match
21,bootstrap,21,CP002,45,05-16,45,8.28713884280668,5.192793030508376,0,0,strict
21,bootstrap,21,CP003,81,06-21,82,12.5413137471797,9.924740194215444,1,1,strict
21,bootstrap,21,CP004,96,07-06,82,12.5413137471797,9.924740194215444,-14,14,no_match
21,bootstrap,21,CP005,113,07-23,110,11.764811006191795,8.909645895516572,-3,3,matched
21,bootstrap,21,CP006,132,08-11,132,4.100023489711299,1.9400585008501792,0,0,strict
21,bootstrap,21,CP007,135,08-14,132,4.100023489711299,1.9400585008501792,-3,3,matched
21,bootstrap,21,CP008,160,09-08,162,6.286321003918454,1.4841198535576456,2,2,strict
22,bootstrap,22,CP001,18,04-19,16,4.542416819402299,0.49061423104259294,-2,2,strict
22,bootstrap,22,CP002,45,05-16,44,8.152189429674085,6.169479931724567,-1,1,strict
22,bootstrap,22,CP003,81,06-21,80,12.870464524177345,10.29222369644383,-1,1,strict
22,bootstrap,22,CP004,96,07-06,93,10.338623147337715,4.120674011863429,-3,3,matched
22,bootstrap,22,CP005,113,07-23,114,8.694312669630577,5.698724426713432,1,1,strict
22,bootstrap,22,CP006,132,08-11,132,5.754495610301424,1.9234009005513055,0,0,strict
22,bootstrap,22,CP007,135,08-14,132,5.754495610301424,1.9234009005513055,-3,3,matched
22,bootstrap,22,CP008,160,09-08,160,8.381130495487282,3.0344713058056634,0,0,strict
23,bootstrap,23,CP001,18,04-19,15,3.366920736452579,0.14250876662927103,-3,3,matched
23,bootstrap,23,CP002,45,05-16,43,6.922374863107116,4.791383040290115,-2,2,strict
23,bootstrap,23,CP003,81,06-21,78,10.805778529995388,8.096560419144174,-3,3,matched
23,bootstrap,23,CP004,96,07-06,87,8.113899210733951,0.009456633269499193,-9,9,no_match
23,bootstrap,23,CP005,113,07-23,115,14.594948752489167,11.34787534588001,2,2,strict
23,bootstrap,23,CP006,132,08-11,129,5.0623381419129645,1.8098666173628768,-3,3,matched
23,bootstrap,23,CP007,135,08-14,135,4.8072982262844075,0.10753961648397414,0,0,strict
23,bootstrap,23,CP008,160,09-08,162,9.558049327987735,2.771037248047728,2,2,strict
24,bootstrap,24,CP001,18,04-19,18,4.239939224006669,1.008535016664684,0,0,strict
24,bootstrap,24,CP002,45,05-16,45,6.3296365715781535,3.2828193132315144,0,0,strict
24,bootstrap,24,CP003,81,06-21,77,8.753459438384604,4.670793233457432,-4,4,matched
24,bootstrap,24,CP004,96,07-06,96,7.932783914202682,3.775240293186828,0,0,strict
24,bootstrap,24,CP005,113,07-23,114,9.956460283188974,7.859745264199333,1,1,strict
24,bootstrap,24,CP006,132,08-11,132,5.028061129300332,1.2221271652847472,0,0,strict
24,bootstrap,24,CP007,135,08-14,132,5.028061129300332,1.2221271652847472,-3,3,matched
24,bootstrap,24,CP008,160,09-08,161,9.011034349418994,3.4619562252384846,1,1,strict
25,bootstrap,25,CP001,18,04-19,43,6.49023307589105,4.485352155007563,25,25,no_match
25,bootstrap,25,CP002,45,05-16,43,6.49023307589105,4.485352155007563,-2,2,strict
25,bootstrap,25,CP003,81,06-21,80,12.695154944728083,10.924054995287092,-1,1,strict
25,bootstrap,25,CP004,96,07-06,92,8.670600833943073,0.5586174968100366,-4,4,matched
25,bootstrap,25,CP005,113,07-23,112,9.224553561109625,4.417517375607435,-1,1,strict
25,bootstrap,25,CP006,132,08-11,138,3.5017688553958277,0.6391373207387825,6,6,near
25,bootstrap,25,CP007,135,08-14,138,3.5017688553958277,0.6391373207387825,3,3,matched
25,bootstrap,25,CP008,160,09-08,156,7.423433063019842,3.2876100477772328,-4,4,matched
26,bootstrap,26,CP001,18,04-19,31,3.6046051474672463,0.5123174754248088,13,13,no_match
26,bootstrap,26,CP002,45,05-16,45,4.212039353875841,1.9601241359111623,0,0,strict
26,bootstrap,26,CP003,81,06-21,77,11.529846099719068,8.583594145106408,-4,4,matched
26,bootstrap,26,CP004,96,07-06,103,7.397470233541673,0.14576978698090404,7,7,near
26,bootstrap,26,CP005,113,07-23,112,9.933593578831685,6.2523981039057945,-1,1,strict
26,bootstrap,26,CP006,132,08-11,137,3.832060794840312,0.6019593387960436,5,5,matched
26,bootstrap,26,CP007,135,08-14,137,3.832060794840312,0.6019593387960436,2,2,strict
26,bootstrap,26,CP008,160,09-08,161,7.373660133360948,2.960344240106001,1,1,strict
27,bootstrap,27,CP001,18,04-19,17,4.191074196033329,0.3925627346264826,-1,1,strict
27,bootstrap,27,CP002,45,05-16,45,5.8705065339639555,2.6797898030380463,0,0,strict
27,bootstrap,27,CP003,81,06-21,82,13.44679970568114,10.899545894163145,1,1,strict
27,bootstrap,27,CP004,96,07-06,95,5.825297288378978,0.5316183070788529,-1,1,strict
27,bootstrap,27,CP005,113,07-23,114,10.527086188240917,7.478504715174073,1,1,strict
27,bootstrap,27,CP006,132,08-11,135,4.814216552958086,1.1844501406805792,3,3,matched
27,bootstrap,27,CP007,135,08-14,135,4.814216552958086,1.1844501406805792,0,0,strict
27,bootstrap,27,CP008,160,09-08,162,7.69903032274687,1.4341988551382787,2,2,strict
28,bootstrap,28,CP001,18,04-19,20,2.841101519140696,0.715550511239111,2,2,strict
28,bootstrap,28,CP002,45,05-16,44,8.372370714683045,6.401626244982607,-1,1,strict
28,bootstrap,28,CP003,81,06-21,79,8.17639654246016,3.2109574947405264,-2,2,strict
28,bootstrap,28,CP004,96,07-06,94,9.786294660821792,3.220059802870476,-2,2,strict
28,bootstrap,28,CP005,113,07-23,114,11.37539567393496,9.35250711236922,1,1,strict
28,bootstrap,28,CP006,132,08-11,129,7.688019976221813,4.678035294269264,-3,3,matched
28,bootstrap,28,CP007,135,08-14,129,7.688019976221813,4.678035294269264,-6,6,near
28,bootstrap,28,CP008,160,09-08,162,8.357562213188942,3.6524452698804826,2,2,strict
29,bootstrap,29,CP001,18,04-19,22,2.7304994295917036,0.26601623431857435,4,4,matched
29,bootstrap,29,CP002,45,05-16,49,7.321150035508045,4.87854957387399,4,4,matched
29,bootstrap,29,CP003,81,06-21,85,12.135506126533006,9.884873994727926,4,4,matched
29,bootstrap,29,CP004,96,07-06,101,10.066998584162441,0.32342952678305004,5,5,matched
29,bootstrap,29,CP005,113,07-23,108,10.470676647804954,3.7023960741566864,-5,5,matched
29,bootstrap,29,CP006,132,08-11,137,4.1749834138091035,0.9207001665089241,5,5,matched
29,bootstrap,29,CP007,135,08-14,137,4.1749834138091035,0.9207001665089241,2,2,strict
29,bootstrap,29,CP008,160,09-08,159,7.660691189598446,1.5774510996177318,-1,1,strict
30,bootstrap,30,CP001,18,04-19,15,4.896379612239325,0.014511018669740139,-3,3,matched
30,bootstrap,30,CP002,45,05-16,47,4.237079702765984,1.6934395624167324,2,2,strict
30,bootstrap,30,CP003,81,06-21,82,12.45236637289602,8.447148608852748,1,1,strict
30,bootstrap,30,CP004,96,07-06,96,4.506830384029972,0.0014090938784816487,0,0,strict
30,bootstrap,30,CP005,113,07-23,113,13.864600380625085,11.111745180802643,0,0,strict
30,bootstrap,30,CP006,132,08-11,129,4.39412404384632,1.1104315422800246,-3,3,matched
30,bootstrap,30,CP007,135,08-14,138,4.139227767458735,0.20090967559949302,3,3,matched
30,bootstrap,30,CP008,160,09-08,161,8.375046113244428,1.949537815992473,1,1,strict
31,bootstrap,31,CP001,18,04-19,19,4.422738192073817,1.533528583696219,1,1,strict
31,bootstrap,31,CP002,45,05-16,46,5.601560720911099,3.3032092220385927,1,1,strict
31,bootstrap,31,CP003,81,06-21,83,9.503943453466086,4.5425934523335165,2,2,strict
31,bootstrap,31,CP004,96,07-06,99,10.491408405470686,1.9131596993441136,3,3,matched
31,bootstrap,31,CP005,113,07-23,109,10.872008633739858,8.440492075894655,-4,4,matched
31,bootstrap,31,CP006,132,08-11,131,4.294542228430729,1.7333971502604593,-1,1,strict
31,bootstrap,31,CP007,135,08-14,131,4.294542228430729,1.7333971502604593,-4,4,matched
31,bootstrap,31,CP008,160,09-08,161,6.171384366483927,1.599662535464451,1,1,strict
32,bootstrap,32,CP001,18,04-19,20,4.763592815159006,1.4416469544737271,2,2,strict
32,bootstrap,32,CP002,45,05-16,44,8.515704977152744,5.41531653668055,-1,1,strict
32,bootstrap,32,CP003,81,06-21,80,8.52631815055754,3.361662220919918,-1,1,strict
32,bootstrap,32,CP004,96,07-06,95,8.194296313381592,2.3147370234211717,-1,1,strict
32,bootstrap,32,CP005,113,07-23,110,13.519903633439482,10.852669658403101,-3,3,matched
32,bootstrap,32,CP006,132,08-11,129,5.582243254954778,2.8941358927157212,-3,3,matched
32,bootstrap,32,CP007,135,08-14,129,5.582243254954778,2.8941358927157212,-6,6,near
32,bootstrap,32,CP008,160,09-08,162,8.816391516445861,2.3742343764967,2,2,strict
33,bootstrap,33,CP001,18,04-19,19,3.207734930677177,0.48614842615881004,1,1,strict
33,bootstrap,33,CP002,45,05-16,44,9.860473396226512,7.525587700343962,-1,1,strict
33,bootstrap,33,CP003,81,06-21,80,9.138034370510924,4.049883214955859,-1,1,strict
33,bootstrap,33,CP004,96,07-06,95,8.00923107837416,2.8280297465767648,-1,1,strict
33,bootstrap,33,CP005,113,07-23,111,10.554348762735222,8.391864677851204,-2,2,strict
33,bootstrap,33,CP006,132,08-11,135,4.551569906792056,2.0963598222120488,3,3,matched
33,bootstrap,33,CP007,135,08-14,135,4.551569906792056,2.0963598222120488,0,0,strict
33,bootstrap,33,CP008,160,09-08,160,8.682370107438798,4.280300538157951,0,0,strict
34,bootstrap,34,CP001,18,04-19,18,3.601323983835832,0.783221633714251,0,0,strict
34,bootstrap,34,CP002,45,05-16,45,6.1689961355757195,3.7379284998327553,0,0,strict
34,bootstrap,34,CP003,81,06-21,80,8.98003593490447,5.149147690370247,-1,1,strict
34,bootstrap,34,CP004,96,07-06,102,6.686065870618445,0.4596889132167288,6,6,near
34,bootstrap,34,CP005,113,07-23,114,12.388637623639118,10.066651042565201,1,1,strict
34,bootstrap,34,CP006,132,08-11,127,4.766857920942794,0.4346595824131123,-5,5,matched
34,bootstrap,34,CP007,135,08-14,138,6.366499188775907,2.603188800983748,3,3,matched
34,bootstrap,34,CP008,160,09-08,161,7.66166923024834,1.639910744717568,1,1,strict
35,bootstrap,35,CP001,18,04-19,15,3.003145292847445,0.007861886464041401,-3,3,matched
35,bootstrap,35,CP002,45,05-16,46,7.532676235006264,5.45855053139625,1,1,strict
35,bootstrap,35,CP003,81,06-21,83,9.463183727278352,5.486443364539206,2,2,strict
35,bootstrap,35,CP004,96,07-06,83,9.463183727278352,5.486443364539206,-13,13,no_match
35,bootstrap,35,CP005,113,07-23,114,12.46411568421787,9.96063447367509,1,1,strict
35,bootstrap,35,CP006,132,08-11,129,5.751404007529736,1.966697392632923,-3,3,matched
35,bootstrap,35,CP007,135,08-14,129,5.751404007529736,1.966697392632923,-6,6,near
35,bootstrap,35,CP008,160,09-08,158,9.638726782954674,3.8307823417372813,-2,2,strict
36,bootstrap,36,CP001,18,04-19,15,3.0465011455637208,0.06948303875328232,-3,3,matched
36,bootstrap,36,CP002,45,05-16,45,6.36563302383478,4.098668108684858,0,0,strict
36,bootstrap,36,CP003,81,06-21,81,14.012120146944616,11.57006088110789,0,0,strict
36,bootstrap,36,CP004,96,07-06,99,7.784275465874992,1.4157422883326243,3,3,matched
36,bootstrap,36,CP005,113,07-23,113,9.582445783562653,5.355158294399909,0,0,strict
36,bootstrap,36,CP006,132,08-11,141,5.74531622759119,2.127178515880441,9,9,no_match
36,bootstrap,36,CP007,135,08-14,141,5.74531622759119,2.127178515880441,6,6,near
36,bootstrap,36,CP008,160,09-08,159,8.992269542374874,4.456613904421221,-1,1,strict
37,bootstrap,37,CP001,18,04-19,44,7.379222468665885,5.069246280442197,26,26,no_match
37,bootstrap,37,CP002,45,05-16,44,7.379222468665885,5.069246280442197,-1,1,strict
37,bootstrap,37,CP003,81,06-21,77,6.9994043144163065,2.4215671869531876,-4,4,matched
37,bootstrap,37,CP004,96,07-06,96,9.804333277765766,4.823594475672154,0,0,strict
