year,mode,domain,H35_score,H35_score_share,is_top_fraction_year,H35_residual_norm,H35_residual_fraction
2021,anomaly,object_domain_spatial,1787.2479306518744,0.02610138231180263,False,1769.37495322995,0.9800994481636557
2022,anomaly,object_domain_spatial,1330.9532877093948,0.01943754976903664,False,1188.1091703701434,0.7968692515641457
2023,anomaly,object_domain_spatial,2159.3451029983303,0.031535575512414225,True,2155.265298958101,0.9962248277009287
1979,anomaly,profile,38.211737767494974,0.007624404151534014,False,27.155852332948584,0.5050487487212963
1980,anomaly,profile,27.823777748473667,0.005551690108092393,False,27.820729849107032,0.9997809260513648
1981,anomaly,profile,174.83694812965726,0.034885289993150825,True,157.21564093361465,0.8085838578236442
1982,anomaly,profile,257.9256797204971,0.05146401964793734,True,149.425879545048,0.3356313147936272
1983,anomaly,profile,231.7592530758592,0.046243021504537116,True,187.94621580894812,0.6576472473317659
1984,anomaly,profile,78.42638010289518,0.01564844869617398,False,33.812834425942306,0.18588263314927006
1985,anomaly,profile,156.01500274089332,0.031129739292075083,False,100.96009840043234,0.4187615554151158
1986,anomaly,profile,147.20728451559984,0.02937233156016099,False,140.85576188699164,0.9155680546043737
1987,anomaly,profile,78.72563051471292,0.015708158257044885,False,41.1329982325075,0.2729910686439294
1988,anomaly,profile,63.34634475204175,0.012639522883013713,False,44.80414816677297,0.5002571786959287
1989,anomaly,profile,117.64929032727127,0.023474612514464616,False,73.95427510170357,0.39513722482489433
1990,anomaly,profile,42.852618513257525,0.008550401043904239,False,42.68935170902816,0.992394593851827
1991,anomaly,profile,255.1926372295346,0.050918694527127495,True,53.311661197175695,0.04364235229123723
1992,anomaly,profile,122.52304185968678,0.024447074213102774,False,97.63864506546254,0.6350500393668093
1993,anomaly,profile,29.560302727141277,0.0058981796694192404,False,29.435848872089895,0.9915973885417655
1994,anomaly,profile,57.06903192238281,0.011387008006821865,False,35.38777705173324,0.3845081538639038
1995,anomaly,profile,236.84900558681392,0.04725858196951588,True,190.02901842832162,0.6437195792869618
1996,anomaly,profile,149.6609115689972,0.02986190480087742,False,120.3453842716448,0.6466095338396728
1997,anomaly,profile,16.048412659329973,0.0032021465459080045,False,14.525873983277602,0.8192574103795361
1998,anomaly,profile,80.1285253702898,0.015988078459211793,False,45.21443551375027,0.3184050342466729
1999,anomaly,profile,177.2503658394659,0.03536684024658378,True,160.76347237210862,0.8226222948730548
2000,anomaly,profile,165.12418966016685,0.03294729919963543,True,141.40371193778861,0.7333312993631178
2001,anomaly,profile,53.50134915972003,0.010675146760612288,False,51.78207542427407,0.9367623731119057
2002,anomaly,profile,120.47022635295805,0.02403747506932476,False,94.09530427795785,0.61006547683642
2003,anomaly,profile,117.22698305502132,0.023390349366335703,False,93.5012582357317,0.6361795930869105
2004,anomaly,profile,69.4949075767523,0.013866348216421312,False,66.38443340484902,0.9124866985431
2005,anomaly,profile,185.93369724920953,0.03709942902473437,True,83.50290186087271,0.20169118885813225
2006,anomaly,profile,140.05461723255135,0.027945156840726827,False,51.34173438726625,0.134383580837792
2007,anomaly,profile,119.48977999543965,0.023841846194131894,False,48.93617440525216,0.16772527305074217
2008,anomaly,profile,192.0751446897024,0.038324834622528295,True,102.30475940023224,0.28369346950493
2009,anomaly,profile,108.85322235322208,0.021719529362094477,False,100.7878147252729,0.8573012918866689
2010,anomaly,profile,45.12866292135731,0.00900454114451368,False,34.70656976881252,0.5914505659107542
2011,anomaly,profile,86.60580098829675,0.017280491994891716,False,42.13259663550879,0.23666960487768432
2012,anomaly,profile,17.511915910381063,0.003494159966783863,False,17.070462197618387,0.9502179585261286
2013,anomaly,profile,98.7859372430834,0.019710799718458336,False,86.9712033086676,0.7751053036113377
2014,anomaly,profile,61.554819369891234,0.012282059067984961,False,32.222730917321236,0.2740315497714873
2015,anomaly,profile,110.4462227510781,0.022037381403284307,False,107.96117857979269,0.9555061763750305
2016,anomaly,profile,78.19524225561588,0.015602329664030088,False,76.08952145971611,0.9468671432359003
2017,anomaly,profile,83.95301309559662,0.016751180107918408,False,77.32150733451014,0.8482581638272391
