mode,feature_index,lat,H18_profile_diff,H35_profile_diff,H18_contribution_fraction,H35_contribution_fraction,same_sign
anomaly,41,25.25,4.4132598809988446e-14,-6.015928496102182e-14,0.010752116176711464,0.015334093833284495,False
anomaly,42,25.5,-8.629146779842105e-14,-1.8789907901211538e-14,0.021023368481476977,0.004789388887561298,True
anomaly,43,25.75,-2.7829590483937257e-15,7.910709124795782e-14,0.0006780180594437909,0.020163729686287483,False
anomaly,44,26.0,-2.929015055188857e-14,3.4027102123622575e-14,0.007136019859677912,0.008673221052684537,False
anomaly,45,26.25,1.7881992183295854e-14,-6.584362684710262e-14,0.004356626679830316,0.016782984589185392,False
anomaly,46,26.5,-1.1310458742425706e-13,-7.215956227608128e-14,0.027555904181862722,0.018392863206853054,True
anomaly,47,26.75,-3.5497530840681673e-14,3.4027102123622575e-14,0.00864833673694793,0.008673221052684537,False
anomaly,48,27.0,9.987072897072519e-14,1.330293899728632e-13,0.02433171192046512,0.03390806838462516,True
anomaly,49,27.25,1.1633163568250086e-13,1.1842378929335002e-15,0.028342116612494354,0.00030185224081268687,True
anomaly,50,27.5,-1.201902774836425e-13,8.605462021983435e-14,0.029282205482148688,0.021934596165721913,False
anomaly,51,27.75,5.423809549635432e-14,-5.558023177501228e-14,0.013214139201074735,0.014166931835475438,False
anomaly,52,28.0,-7.864819906444609e-14,7.744915819785092e-14,0.019161223137366283,0.019741136549149725,False
anomaly,53,28.25,2.0161650127192842e-14,1.9105704672660473e-14,0.004912024451927889,0.0048698828184446825,True
anomaly,54,28.5,-4.209472276923205e-14,-5.652762208935908e-14,0.010255624228927271,0.014408413628125588,True
anomaly,55,28.75,-1.806456219178977e-14,-1.697407646538017e-14,0.004401106587985317,0.0043265487849818455,True
anomaly,56,29.0,8.343449388171898e-14,3.173757553061781e-14,0.02032731802683521,0.008089640053780009,True
anomaly,57,29.25,-1.7376223916522173e-14,2.281631673718544e-14,0.004233405312644167,0.005815686506324434,False
anomaly,58,29.5,2.7247340186578286e-14,3.8053510959596474e-14,0.006638325752213853,0.00969951867144767,True
anomaly,59,29.75,-1.821999341523729e-15,4.942219473175808e-14,0.000443897461790106,0.012597300183249466,False
anomaly,60,30.0,5.1476724117883854e-14,-1.271082005081957e-14,0.01254138059023035,0.003239880718056173,False
anomaly,61,30.25,-1.1266111500497623e-13,-7.839654851219772e-14,0.027447860080634864,0.019982618341799874,True
anomaly,62,30.5,2.2359891715950653e-14,-1.1368683772161604e-14,0.005447586589307693,0.0028977815118017944,False
anomaly,63,30.75,-5.522742756940918e-14,2.423740220870564e-14,0.013455172216887641,0.006177909195299658,False
anomaly,64,31.0,-6.981082378842984e-14,-1.5474041800997736e-14,0.017008155150728285,0.003944202613285775,True
anomaly,65,31.25,-9.184258292154683e-14,9.91601862349651e-14,0.022375798121324963,0.025275094297382318,False
anomaly,66,31.5,-4.714253678786109e-14,4.507998912433524e-14,0.011485433581429038,0.011490508633602948,False
anomaly,67,31.75,1.486218555631543e-14,-2.4316351401567872e-14,0.0036209049557530113,0.006198032678020504,False
anomaly,68,32.0,-4.9560355819266985e-14,-4.3895751231401747e-14,0.01207449182456283,0.011188656392790262,True
anomaly,69,32.25,2.3092638912203257e-15,-1.507929583668657e-14,0.0005626107301767626,0.0038435851996815465,False
anomaly,70,32.5,-3.371130535217364e-14,2.7948014273230606e-14,0.008213154932836843,0.007123712883179411,False
anomaly,71,32.75,-1.557272829207553e-14,-2.9132252166164105e-14,0.0037940159496535537,0.007425565123992097,True
anomaly,72,33.0,5.58565539500301e-15,3.2369169073515675e-15,0.0013608447576070413,0.0008250627915546775,True
anomaly,73,33.25,-1.3934532540184186e-14,-3.907985046680551e-14,0.003394898935938414,0.009961123946818667,True
anomaly,74,33.5,-6.456070246309132e-14,-7.918604044082005e-14,0.015729057251352055,0.02018385316900833,True
anomaly,75,33.75,3.004016788407979e-14,-8.100187187665142e-14,0.007318748131017374,0.020646693271587784,False
anomaly,76,34.0,1.6859600135729933e-13,-1.664248985535879e-13,0.041075391941623136,0.042420301575542926,False
anomaly,77,34.25,5.885662327879496e-14,-3.157967714489334e-14,0.014339360661428258,0.008049393088338318,False
anomaly,78,34.5,2.5263741715914674e-15,4.958009311748255e-14,0.0006155057560908173,0.012637547148691159,True
anomaly,79,34.75,7.610702191919295e-14,1.2789769243681804e-14,0.01854211090223587,0.0032600042007770186,True
anomaly,80,35.0,-5.929084383953725e-14,4.129042786694804e-14,0.01444515071325637,0.01052458146300235,False
local_background_removed,0,15.0,0.15478116009188095,-0.4461944890860354,0.0008032462888050761,0.00447421431004637,False
local_background_removed,1,15.25,0.15121171824226426,-0.423018425401025,0.0007847224522017831,0.004241816379712397,False
local_background_removed,2,15.5,0.14868830058447557,-0.3969174637471165,0.0007716270220633816,0.003980089041086815,False
local_background_removed,3,15.75,0.14688404915695735,-0.3679101294002111,0.0007622637490244345,0.003689218056335145,False
local_background_removed,4,16.0,0.14595101886026007,-0.3360063190216375,0.0007574217312832579,0.0033693026642082472,False
local_background_removed,5,16.25,0.14575448809724792,-0.30200651931073247,0.0007564018228788252,0.003028369743416593,False
local_background_removed,6,16.5,0.14660183704071503,-0.26640727193664887,0.0007607991920015197,0.0026713983645134947,False
local_background_removed,7,16.75,0.14843200416865604,-0.2292514608493615,0.0007702969561514911,0.002298818546218012,False
local_background_removed,8,17.0,0.15125496289563764,-0.19012121359030698,0.0007849468729730979,0.0019064400733221803,False
local_background_removed,9,17.25,0.1556834308962528,-0.1490008889827917,0.0008079286782811508,0.0014941061039592787,False
local_background_removed,10,17.5,0.16247999468555868,-0.10611968933035032,0.0008431998613963708,0.001064114963750655,False
local_background_removed,11,17.75,0.17194127341710153,-0.0613133236886412,0.0008922997455421598,0.0006148192255940825,False
local_background_removed,12,18.0,0.1837080080131775,-0.015366877175101558,0.0009533639337808426,0.000154091328869611,False
local_background_removed,13,18.25,0.19819171203248256,0.03128769388733033,0.0010285280008724177,0.0003137372852941069,True
local_background_removed,14,18.5,0.21575529393872175,0.07875644722144563,0.0011196752824662235,0.000789730110491479,True
local_background_removed,15,18.75,0.23668068594662123,0.12718947269891556,0.0012282688830191524,0.001275392172598105,True
local_background_removed,16,19.0,0.26115543042797446,0.17619956457634123,0.0013552820651301367,0.001766840766828464,True
local_background_removed,17,19.25,0.2899045929826475,0.22595728324045108,0.0015044776010376512,0.002265786187105259,True
local_background_removed,18,19.5,0.3230006246148549,0.276982908392421,0.0016762314796554695,0.002777445537048474,True
local_background_removed,19,19.75,0.36009100240922587,0.32949151877821037,0.0018687142617719826,0.0033039755183352846,True
local_background_removed,20,20.0,0.4014508414788632,0.3833315077705518,0.0020833536740786232,0.00384385589582651,True
local_background_removed,21,20.25,0.4473645764876909,0.438379240491776,0.0023216258076453177,0.004395846921043808,True
local_background_removed,22,20.5,0.4980144899524402,0.49508876343056324,0.002584476628731728,0.004964501544206803,True
local_background_removed,23,20.75,0.553095424072454,0.5534035894159339,0.002870322502283485,0.005549253340326141,True
local_background_removed,24,21.0,0.6132378449768361,0.613352912831602,0.00318243527080467,0.006150395056023711,True
local_background_removed,25,21.25,0.6783246333972706,0.6743303331363543,0.0035202071366953274,0.006761846011135415,True
local_background_removed,26,21.5,0.748565077967196,0.7358121053490366,0.003884724216108087,0.007378354353953501,True
local_background_removed,27,21.75,0.8234538744177173,0.797857349709736,0.004273364201660925,0.008000512912562317,True
local_background_removed,28,22.0,0.9014335088771683,0.8618031257360471,0.00467804427993885,0.008641729048489926,True
local_background_removed,29,22.25,0.9817512325745642,0.9287361683144203,0.005094858015195179,0.009312899993546928,True
local_background_removed,30,22.5,1.063579779873003,0.9972924619521926,0.005519512261853906,0.010000348085221402,True
local_background_removed,31,22.75,1.1470949534869674,1.0670012124281227,0.005952919358844953,0.010699352435440347,True
