field,day,D_pre,D_post,P_dist,R_pre,R_post,R_diff,P_proj_reference
Jw,33,0.17366924107948467,6.7059969737892,0.025243846962246783,0.9992851241638724,0.27124929607054177,-0.7280358280933306,0.008856517369236133
Jw,34,0.27872689619508406,6.531441872659689,0.040928045347392465,0.9964162170178991,0.3273537638458135,-0.6690624531720856,0.03462873997047512
Jw,35,0.35268857117822133,6.458146391869758,0.05178345578651144,0.9941777069670196,0.3480787225630768,-0.6460989844039428,0.04554420663951705
Jw,36,0.489727972146551,6.341338515633163,0.07169129052141991,0.9887523685859888,0.38176192508951895,-0.6069904434964699,0.06314533450041017
Jw,37,0.795592490866433,6.03828623475899,0.11641887759628365,0.9698533619533434,0.4705699485344048,-0.49928341341893856,0.1084431659125046
Jw,38,1.160435787504499,5.708390422575031,0.16894237123100297,0.9370778272634047,0.565539451657203,-0.37153837560620173,0.15859356360961527
Jw,39,1.5286735412399346,5.430116074221074,0.2196752058495251,0.8978291333182953,0.6410413758795687,-0.2567877574387266,0.20329014382555358
Jw,40,1.7935266591217256,5.266318815654865,0.25404616369149097,0.869200775489891,0.6776887606162663,-0.1915120148736248,0.23205414728912688
Jw,41,2.0545111579372395,5.126499976057513,0.2861033243927485,0.842142645819721,0.7040095680970769,-0.13813307772264405,0.2589105075264171
Jw,42,2.380094056713025,4.949889342257534,0.32470660943751817,0.8018224739159769,0.7333879091356458,-0.06843456478033116,0.29413876628320684
Jw,43,2.743496014208638,4.736895857826421,0.36675832779095613,0.7548396215774176,0.7658330209601556,0.010993399382738023,0.33703594537732307
Jw,44,3.087623328693575,4.477724120175332,0.4081271018365725,0.7056764406263729,0.8017285820935791,0.0960521414672062,0.38506607951901856
Jw,45,3.4829519906615674,4.145422117535049,0.4565785501944861,0.6391816229964504,0.8424800799301297,0.20329845693367932,0.44477047162230704
Jw,46,3.835551205310283,3.834225209825578,0.5000864429034781,0.5861630552135578,0.8726962431693469,0.2865331879557891,0.5001111470143521
Jw,47,4.0929405531170415,3.501124305743435,0.5389657092988281,0.5440051425574891,0.9008860750049116,0.35688093244742247,0.5491172720090801
Jw,48,4.375499984095377,3.0976893906869494,0.5854929889586564,0.49188019328257576,0.9316264126845132,0.4397462194019374,0.6043627522948831
Jw,49,4.728027884885043,2.6079156145411746,0.6445016766084481,0.43425400114022433,0.9610799483955009,0.5268259472552765,0.6699761113606522
Jw,50,5.093910619261725,2.1094270823363717,0.7071597681907396,0.3850958206543349,0.9791944548758011,0.5940986342214662,0.7349503060976565
Jw,51,5.442669457156042,1.6426393232151928,0.7681626342431435,0.3489565019210358,0.9898447850724561,0.6408882831514203,0.7942516279961759
Jw,52,5.797650700979475,1.2072202384987234,0.8276598885362689,0.3149678231685765,0.9958444762021077,0.6808766530335312,0.851420104111192
Jw,53,6.158307836044303,0.8131519409144438,0.883359874842572,0.2889047325975353,0.998643754863447,0.7097390222659117,0.9072463065757482
Jw,54,6.399534219314135,0.5670242498893083,0.9186076952636066,0.28390524385584054,0.9991781494651373,0.7152729056092968,0.9440652900669674
Jw,55,6.584331930540941,0.3750186687635002,0.946112979449407,0.28323090170401793,0.9994550404624276,0.7162241387584096,0.9722645410633731
Jw,56,6.768603788341577,0.2509338464051821,0.9642520833333725,0.27474266132726083,0.9996386502407595,0.7248959889134987,1.0000045111821794
Jw,57,6.888284188305089,0.2318013724122548,0.9674440186939409,0.267688759902228,0.9997477007577639,0.7320589408555358,1.0179681787125403
Jw,58,6.986337305987285,0.3560299238406974,0.9515101992727435,0.2519494274501256,0.9997800702693004,0.7478306428191748,1.0320382017797365
Jw,59,7.122576364764252,0.5795355274172269,0.9247562830130368,0.2255546931889634,0.9990394515148856,0.7734847583259222,1.0507601461239338
Jw,60,7.308081884570876,0.8573898851279658,0.8949981202176652,0.1984087004099287,0.9970829061488166,0.7986742057388878,1.0756528244955212
