field,day,field_change_norm,delta_P_dist,delta_R_diff,field_change_norm_smooth3,delta_P_dist_smooth3,delta_R_diff_smooth3
Jw,38,0.407016137915639,0.05252349363471932,0.12774503781273683,0.407016137915639,0.05073283461852213,0.11475061816747512
Jw,39,0.42433521870953,0.05073283461852213,0.11475061816747512,0.407016137915639,0.05073283461852213,0.11475061816747512
Jw,40,0.3682251302170055,0.034370957841965866,0.06527574256510182,0.3682251302170055,0.034370957841965866,0.06527574256510182
Jw,41,0.3491429562590457,0.032057160701257525,0.05337893715098074,0.3682251302170055,0.034370957841965866,0.06527574256510182
Jw,42,0.3829119050716636,0.038603285044769675,0.06969851294231288,0.3829119050716636,0.038603285044769675,0.06969851294231288
Jw,43,0.39547501584482075,0.04205171835343796,0.07942796416306919,0.3829119050716636,0.0413687740456164,0.07942796416306919
Jw,44,0.37175810460992603,0.0413687740456164,0.08505874208446818,0.39547501584482075,0.04205171835343796,0.08505874208446818
Jw,45,0.4507924394047447,0.048451448357913596,0.10724631546647312,0.3907580298000981,0.043507892708992024,0.08505874208446818
Jw,46,0.3907580298000981,0.043507892708992024,0.08323473102210976,0.3907580298000981,0.043507892708992024,0.08323473102210976
Jw,47,0.3627323456117106,0.03887926639535,0.07034774449163339,0.3907580298000981,0.043507892708992024,0.08286528695451495
Jw,48,0.4412073569416451,0.04652727965982828,0.08286528695451495,0.4412073569416451,0.04652727965982828,0.08286528695451495
Jw,49,0.530802155827968,0.059008687649791725,0.08707972785333912,0.5145660910760588,0.059008687649791725,0.08286528695451495
Jw,50,0.5145660910760588,0.06265809158229141,0.06727268696618971,0.5145660910760588,0.061002866052403903,0.06727268696618971
Jw,51,0.48380095261158623,0.061002866052403903,0.046789648929954075,0.48380095261158623,0.061002866052403903,0.046789648929954075
Jw,52,0.4610721231653822,0.05949725429312547,0.03998836988211085,0.4610721231653822,0.05949725429312547,0.03998836988211085
Jw,53,0.44351568618043025,0.05569998630630302,0.028862369232380503,0.44351568618043025,0.05569998630630302,0.028862369232380503
Jw,54,0.30231013092530307,0.03524782042103469,0.005533883343385115,0.30231013092530307,0.03524782042103469,0.005533883343385115
Jw,55,0.2661103183202245,0.02750528418580034,0.000951233149112829,0.2661103183202245,0.02750528418580034,0.005533883343385115
Jw,56,0.2515879967913061,0.018139103883965557,0.00867185015508909,0.2515879967913061,0.018139103883965557,0.007162951942037088
Jw,57,0.24535272115384135,0.0031919353605683876,0.007162951942037088,0.2515879967913061,0.0031919353605683876,0.00867185015508909
Jw,58,0.28033447536917117,-0.015933819421197426,0.015771701963638973,0.28033447536917117,-0.015933819421197426,0.015771701963638973
Jw,59,0.2970160576143237,-0.02675391625970669,0.025654115506747455,0.2970160576143237,-0.02675391625970669,0.025189447412965582
Jw,60,0.31278764190801783,-0.02975816279537158,0.025189447412965582,0.30490184976117074,-0.028256039527539134,0.02542178145985652
