window_id,object_or_pair,target_type,n_usable_or_stronger_years,n_credible_years,n_strict_years,top_influential_years,top_influence_directions,does_year_influence_explain_instability,recommended_next_check
W160,P,object_peak,30,10,17,1981;1989;1990;1998;2005;2004;2018;2010,push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W160,V,object_peak,34,8,23,1989;1984;1990;2018;1987;1986;2005;2002,push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_late_peak;push_early_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W160,H-Je,pairwise_order,22,9,9,2020;2013;2005;1992;2018;1998;1995;2001,push_H_earlier;reduce_H_earlier;push_H_earlier;push_H_earlier;reduce_Je_earlier;reduce_H_earlier;push_Je_earlier;push_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,H-Jw,pairwise_order,20,7,9,2022;2010;2013;1995;2008;2018;1993;2003,reduce_H_earlier;reduce_H_earlier;reduce_H_earlier;push_H_earlier;push_H_earlier;push_H_earlier;reduce_Jw_earlier;push_Jw_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,Je-Jw,pairwise_order,19,4,8,1995;2010;2022;1981;1979;1983;2012;2001,push_Je_earlier;reduce_Je_earlier;reduce_Je_earlier;push_Je_earlier;push_Jw_earlier;push_Jw_earlier;push_Je_earlier;push_Jw_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,P-H,pairwise_order,17,8,6,1992;2013;1984;2007;1990;2005;2023;1979,push_H_earlier;push_P_earlier;push_H_earlier;reduce_H_earlier;push_H_earlier;reduce_P_earlier;push_H_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,P-Je,pairwise_order,17,9,7,1990;2018;1998;2004;2007;2017;1980;2001,reduce_P_earlier;push_P_earlier;reduce_P_earlier;push_Je_earlier;push_P_earlier;push_Je_earlier;push_P_earlier;reduce_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,P-Jw,pairwise_order,20,5,10,2010;2018;1995;2013;2008;2022;2016;2015,reduce_P_earlier;push_P_earlier;push_P_earlier;push_Jw_earlier;reduce_Jw_earlier;push_Jw_earlier;push_Jw_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,P-V,pairwise_order,17,3,10,1984;1995;2004;1986;1996;2001;2022;2000,push_P_earlier;push_P_earlier;push_V_earlier;push_P_earlier;push_V_earlier;reduce_V_earlier;reduce_P_earlier;push_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,V-H,pairwise_order,19,6,7,2013;1999;1992;1980;1990;2000;1982;2020,push_V_earlier;reduce_H_earlier;reduce_V_earlier;push_V_earlier;push_H_earlier;push_H_earlier;reduce_V_earlier;push_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,V-Je,pairwise_order,31,7,21,1984;1987;1986;1995;2022;2005;1998;2020,reduce_V_earlier;reduce_Je_earlier;reduce_V_earlier;reduce_V_earlier;push_V_earlier;reduce_Je_earlier;reduce_V_earlier;push_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W160,V-Jw,pairwise_order,17,7,9,1995;2010;2018;1979;2001;2013;2021;1981,reduce_Jw_earlier;reduce_V_earlier;push_V_earlier;push_Jw_earlier;reduce_V_earlier;push_Jw_earlier;push_V_earlier;reduce_Jw_earlier,strong_candidate,inspect high-influence years before any physical interpretation
