window,source,target,source_object,target_object,family_direction,T_pos_obs_raw,T_0_obs_raw,T_neg_obs_raw,n_relation_bootstrap,positive_peak_lag_obs,bootstrap_peak_lag_mode,bootstrap_peak_lag_mode_fraction,bootstrap_peak_lag_entropy,peak_lag_stability_label
S1,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.32062658225877877,0.05804344828250237,0.12622541104060445,1000,5.0,5.0,0.994,0.03667793874813416,peak_lag_stable
T1,P_PC1,V_PC1,P,V,P→V,0.6912627603927487,0.7732333443067643,0.786888776540931,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T1,P_PC1,H_PC1,P,H,P→H,0.36825867927322586,0.44160767859445305,0.4951688894238405,1000,1.0,1.0,0.995,0.03398107806185771,peak_lag_stable
T1,P_PC1,Je_PC1,P,Je,P→Je,0.3260915382413239,0.3141155044015984,0.2754049982214566,1000,1.0,1.0,0.84,0.5716154441385758,peak_lag_stable
T1,P_PC1,Jw_PC1,P,Jw,P→Jw,0.07475828040964624,0.027145546675444852,0.232164306016889,1000,5.0,5.0,0.506,1.2978244353432526,peak_lag_moderate
T1,V_PC1,P_PC1,V,P,V→P,0.78195361063173,0.7732333443067648,0.7004612835660362,1000,1.0,1.0,0.995,0.031479065945166765,peak_lag_stable
T1,V_PC1,H_PC1,V,H,V→H,0.4421154402624385,0.4728296011618468,0.44342474960782857,1000,1.0,1.0,0.998,0.014427214860176138,peak_lag_stable
T1,V_PC1,Je_PC1,V,Je,V→Je,0.4597588059159943,0.2834361287672864,0.1720190684070954,1000,3.0,3.0,0.494,1.0371407153384222,peak_lag_moderate
T1,V_PC1,Jw_PC1,V,Jw,V→Jw,0.2832366679763917,0.0722239532904809,0.36068078575641677,1000,3.0,3.0,0.812,0.6030451771815714,peak_lag_stable
T1,H_PC1,P_PC1,H,P,H→P,0.4900482951971734,0.44160767859445305,0.36167117984620367,1000,2.0,2.0,0.528,0.8628066616258872,peak_lag_moderate
T1,H_PC1,V_PC1,H,V,H→V,0.4344787073847673,0.4728296011618468,0.4386383699158824,1000,1.0,1.0,0.972,0.1277197107596846,peak_lag_stable
T1,H_PC1,Je_PC1,H,Je,H→Je,0.7596053888592647,0.6457757833566501,0.515846734591056,1000,2.0,2.0,0.919,0.29403620718646817,peak_lag_stable
T1,H_PC1,Jw_PC1,H,Jw,H→Jw,0.10544781758348433,0.14927960048910965,0.36358738564737203,1000,5.0,5.0,0.449,1.2817344258755576,peak_lag_moderate
T1,Je_PC1,P_PC1,Je,P,Je→P,0.28617540960143717,0.31411550440159836,0.31753756119137455,1000,1.0,1.0,0.923,0.31436477955647996,peak_lag_stable
T1,Je_PC1,V_PC1,Je,V,Je→V,0.173249253285499,0.2834361287672864,0.41723768447679027,1000,1.0,1.0,0.701,0.8330472075678137,peak_lag_stable
T1,Je_PC1,H_PC1,Je,H,Je→H,0.5293557333775311,0.6457757833566501,0.7422403652816193,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T1,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.1990586752414457,0.047804990737425355,0.25246144199757514,1000,5.0,5.0,0.782,0.6141929597405257,peak_lag_stable
T1,Jw_PC1,P_PC1,Jw,P,Jw→P,0.24468661598769703,0.027145546675444852,0.06410234747481314,1000,5.0,5.0,0.757,0.8612108029308283,peak_lag_stable
T1,Jw_PC1,V_PC1,Jw,V,Jw→V,0.3678857871765289,0.0722239532904809,0.3316917323067944,1000,5.0,5.0,0.651,0.7273981612943887,peak_lag_stable
T1,Jw_PC1,H_PC1,Jw,H,Jw→H,0.3296557914826249,0.14927960048910965,0.08559280293172726,1000,4.0,4.0,0.492,1.1945735170503406,peak_lag_moderate
T1,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.18988734160971846,0.047804990737425355,0.09277932040025297,1000,5.0,5.0,0.769,0.6935854875092424,peak_lag_stable
S2,P_PC1,V_PC1,P,V,P→V,0.6394803229661487,0.7235800864294752,0.7489337219932807,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S2,P_PC1,H_PC1,P,H,P→H,0.11741111961557289,0.14642740779674243,0.18194122171230326,1000,1.0,1.0,0.639,0.8342236889547696,peak_lag_stable
S2,P_PC1,Je_PC1,P,Je,P→Je,0.10162533226324079,0.0905567639521353,0.07587499348343181,1000,2.0,1.0,0.393,1.4663748869345221,peak_lag_unstable
S2,P_PC1,Jw_PC1,P,Jw,P→Jw,0.15630385748083298,0.12764928204159032,0.1057545844425777,1000,3.0,2.0,0.227,1.5913151870036506,peak_lag_unstable
S2,V_PC1,P_PC1,V,P,V→P,0.7491123751339307,0.7235800864294758,0.641294471859586,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S2,V_PC1,H_PC1,V,H,V→H,0.38920738092666424,0.41466302636308655,0.4019636387217262,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S2,V_PC1,Je_PC1,V,Je,V→Je,0.32621119110947905,0.2599835324990522,0.21679704077228057,1000,2.0,2.0,0.506,0.9468897571931133,peak_lag_moderate
S2,V_PC1,Jw_PC1,V,Jw,V→Jw,0.39525279436830835,0.3093154717826783,0.234921721006665,1000,3.0,3.0,0.486,0.8999153883681017,peak_lag_moderate
S2,H_PC1,P_PC1,H,P,H→P,0.19953223243171042,0.14642740779674243,0.1082399149268695,1000,3.0,2.0,0.367,1.332618096249161,peak_lag_unstable
S2,H_PC1,V_PC1,H,V,H→V,0.3959764530850971,0.41466302636308655,0.3836092040947206,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S2,H_PC1,Je_PC1,H,Je,H→Je,0.7116719310269436,0.6402660624400345,0.5586250054737443,1000,2.0,2.0,0.982,0.09014992253392062,peak_lag_stable
S2,H_PC1,Jw_PC1,H,Jw,H→Jw,0.2917846616797499,0.26086296287281874,0.2093382061975955,1000,2.0,2.0,0.509,0.9013462961704095,peak_lag_moderate
S2,Je_PC1,P_PC1,Je,P,Je→P,0.08817177803654914,0.09055676395213541,0.09135938377616923,1000,1.0,1.0,0.477,1.3388850899305653,peak_lag_moderate
S2,Je_PC1,V_PC1,Je,V,Je→V,0.21626318380215834,0.2599835324990522,0.3069357648204515,1000,1.0,1.0,0.984,0.09380392775902394,peak_lag_stable
S2,Je_PC1,H_PC1,Je,H,Je→H,0.5562065683309719,0.6402660624400345,0.7020242503743056,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S2,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.3154579716540059,0.32841424224140575,0.3202588606192526,1000,1.0,1.0,0.983,0.09366576085693923,peak_lag_stable
S2,Jw_PC1,P_PC1,Jw,P,Jw→P,0.1108055559059036,0.12764928204159032,0.133822906911088,1000,1.0,1.0,0.668,0.6615266136110853,peak_lag_stable
S2,Jw_PC1,V_PC1,Jw,V,Jw→V,0.2332419333314855,0.3093154717826783,0.38161032349648566,1000,1.0,1.0,0.878,0.3708910023110473,peak_lag_stable
S2,Jw_PC1,H_PC1,Jw,H,Jw→H,0.2105960879177032,0.26086296287281874,0.30314351898694325,1000,1.0,1.0,0.921,0.28168329710621126,peak_lag_stable
S2,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.32509068925831974,0.32841424224140575,0.3158467532363306,1000,1.0,1.0,0.988,0.07174991554221338,peak_lag_stable
T2,P_PC1,V_PC1,P,V,P→V,0.6196858220578804,0.6696164400214861,0.6704009897453668,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T2,P_PC1,H_PC1,P,H,P→H,0.21826472486781862,0.2125379397134614,0.18997470004590256,1000,1.0,1.0,0.754,0.7367945503857323,peak_lag_stable
T2,P_PC1,Je_PC1,P,Je,P→Je,0.3543396868525793,0.3630787641091251,0.34438484525613605,1000,1.0,1.0,0.92,0.3092746907928537,peak_lag_stable
T2,P_PC1,Jw_PC1,P,Jw,P→Jw,0.1406458607853869,0.07871530439991159,0.06883718678864434,1000,5.0,5.0,0.685,0.9487108987507971,peak_lag_stable
T2,V_PC1,P_PC1,V,P,V→P,0.6841907094579996,0.6696164400214861,0.6114354065718836,1000,1.0,1.0,0.997,0.020422924462179935,peak_lag_stable
T2,V_PC1,H_PC1,V,H,V→H,0.12449111281130298,0.16728692311923418,0.2511352958127625,1000,5.0,1.0,0.371,1.2249708362006453,peak_lag_unstable
T2,V_PC1,Je_PC1,V,Je,V→Je,0.06483202601217664,0.06065249124232668,0.046928854851847744,1000,1.0,1.0,0.413,1.3501546236038344,peak_lag_moderate
T2,V_PC1,Jw_PC1,V,Jw,V→Jw,0.13104341597378114,0.10870135448167594,0.0966444860038675,1000,1.0,1.0,0.399,1.2661425319353572,peak_lag_unstable
T2,H_PC1,P_PC1,H,P,H→P,0.1619327527080326,0.2125379397134614,0.22159254936511535,1000,1.0,1.0,0.737,0.7069412629059117,peak_lag_stable
T2,H_PC1,V_PC1,H,V,H→V,0.3118876994359603,0.16728692311923418,0.07819303057934052,1000,3.0,3.0,0.605,1.0528348281171092,peak_lag_stable
T2,H_PC1,Je_PC1,H,Je,H→Je,0.6668265105704904,0.6530366732305614,0.5997543537200728,1000,1.0,1.0,0.996,0.026077832981397674,peak_lag_stable
T2,H_PC1,Jw_PC1,H,Jw,H→Jw,0.15192188727915218,0.018644449054852606,0.08610764869671783,1000,5.0,5.0,0.574,1.253822935587502,peak_lag_moderate
T2,Je_PC1,P_PC1,Je,P,Je→P,0.34024056835317423,0.36307876410912526,0.3652715956594015,1000,1.0,1.0,0.956,0.2187815570199954,peak_lag_stable
T2,Je_PC1,V_PC1,Je,V,Je→V,0.047059775413650584,0.06065249124232668,0.06032768031127918,1000,1.0,1.0,0.441,1.198919010444994,peak_lag_moderate
T2,Je_PC1,H_PC1,Je,H,Je→H,0.611010019229528,0.6530366732305614,0.6685627198720571,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T2,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.12519046734313735,0.14441277184848236,0.1644618829332602,1000,1.0,1.0,0.577,1.0977540466848157,peak_lag_moderate
T2,Jw_PC1,P_PC1,Jw,P,Jw→P,0.075899538521653,0.07871530439991159,0.1440332361043405,1000,1.0,1.0,0.434,1.3776924054666626,peak_lag_moderate
T2,Jw_PC1,V_PC1,Jw,V,Jw→V,0.08059624755617399,0.10870135448167594,0.11607676658817513,1000,1.0,1.0,0.55,1.0226080868211251,peak_lag_moderate
T2,Jw_PC1,H_PC1,Jw,H,Jw→H,0.09714982245901183,0.018644449054852606,0.037589127571364456,1000,5.0,5.0,0.394,1.3256216578711284,peak_lag_unstable
T2,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.18171746214069334,0.14441277184848236,0.11232684141990992,1000,2.0,2.0,0.353,1.490487234156745,peak_lag_unstable
S3,P_PC1,V_PC1,P,V,P→V,0.6261722154348291,0.6478400275796485,0.6090683987980474,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S3,P_PC1,H_PC1,P,H,P→H,0.2280041904092317,0.28440606359203846,0.33567474540999254,1000,1.0,1.0,0.891,0.34441947494066927,peak_lag_stable
S3,P_PC1,Je_PC1,P,Je,P→Je,0.19910960038778835,0.24103131328880045,0.32258177247925235,1000,1.0,1.0,0.941,0.2687992506920213,peak_lag_stable
S3,P_PC1,Jw_PC1,P,Jw,P→Jw,0.11627370229034786,0.08815769345994168,0.08060235959672508,1000,2.0,1.0,0.346,1.5105243922860006,peak_lag_unstable
S3,V_PC1,P_PC1,V,P,V→P,0.6148785828644779,0.6478400275796485,0.6219249210981941,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S3,V_PC1,H_PC1,V,H,V→H,0.15659478683809155,0.14989417728800356,0.1282587518447258,1000,1.0,1.0,0.462,1.2238321348888084,peak_lag_moderate
S3,V_PC1,Je_PC1,V,Je,V→Je,0.09795123498139982,0.002270193206417356,0.11067445848360435,1000,4.0,5.0,0.366,1.4538412174027564,peak_lag_unstable
S3,V_PC1,Jw_PC1,V,Jw,V→Jw,0.12073730158861763,0.06109691487723464,0.03143494012547163,1000,3.0,3.0,0.264,1.5571767560604959,peak_lag_unstable
S3,H_PC1,P_PC1,H,P,H→P,0.2907916790643606,0.28440606359203846,0.2555439661811268,1000,1.0,1.0,0.87,0.4376199066137365,peak_lag_stable
S3,H_PC1,V_PC1,H,V,H→V,0.16088676342301697,0.14989417728800356,0.13347392056305668,1000,2.0,1.0,0.443,1.3442355842976565,peak_lag_moderate
S3,H_PC1,Je_PC1,H,Je,H→Je,0.6277047728464096,0.6252933291434606,0.600999287500557,1000,1.0,1.0,0.971,0.13559855198335488,peak_lag_stable
S3,H_PC1,Jw_PC1,H,Jw,H→Jw,0.2592658198239588,0.13178220972173235,0.06887228755570597,1000,4.0,3.0,0.349,1.283495665321907,peak_lag_unstable
S3,Je_PC1,P_PC1,Je,P,Je→P,0.2686127637115196,0.24103131328880054,0.21528151815825378,1000,2.0,2.0,0.318,1.4047021090178826,peak_lag_unstable
S3,Je_PC1,V_PC1,Je,V,Je→V,0.02502329706877027,0.002270193206417356,0.023178796389345568,1000,4.0,1.0,0.393,1.4093050684736943,peak_lag_unstable
S3,Je_PC1,H_PC1,Je,H,Je→H,0.604948442541196,0.6252933291434606,0.6196088624056058,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S3,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.14435005197085296,0.15267467716092842,0.1935371707842397,1000,1.0,1.0,0.619,1.1550129118490107,peak_lag_stable
S3,Jw_PC1,P_PC1,Jw,P,Jw→P,0.11640579531978608,0.08815769345994168,0.1425098039479465,1000,5.0,5.0,0.658,0.9049159567943231,peak_lag_stable
S3,Jw_PC1,V_PC1,Jw,V,Jw→V,0.06075743438729932,0.06109691487723464,0.11127023171001227,1000,5.0,5.0,0.409,1.221859272957636,peak_lag_moderate
S3,Jw_PC1,H_PC1,Jw,H,Jw→H,0.06595388772848783,0.13178220972173235,0.3138341021642945,1000,1.0,1.0,0.521,1.1150404056261745,peak_lag_moderate
S3,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.20614247032898153,0.15267467716092842,0.15815048928695544,1000,4.0,4.0,0.318,1.4705977677083482,peak_lag_unstable
T3,P_PC1,V_PC1,P,V,P→V,0.5887596634330134,0.6099776850058377,0.5697629735487465,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T3,P_PC1,H_PC1,P,H,P→H,0.5214485733152694,0.5460458618895196,0.538152611308918,1000,1.0,1.0,0.999,0.00790725511023211,peak_lag_stable
T3,P_PC1,Je_PC1,P,Je,P→Je,0.2839357031951175,0.28687748023482834,0.27857116277943805,1000,1.0,1.0,0.753,0.7818864401019383,peak_lag_stable
T3,P_PC1,Jw_PC1,P,Jw,P→Jw,0.37461291980850603,0.3025262353609212,0.2617470209370323,1000,3.0,3.0,0.357,1.4817689009121398,peak_lag_unstable
T3,V_PC1,P_PC1,V,P,V→P,0.5867313911863783,0.6099776850058376,0.5649223339292597,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
T3,V_PC1,H_PC1,V,H,V→H,0.24187826936116644,0.25812005286943585,0.2554020788295195,1000,1.0,1.0,0.879,0.46446525232437735,peak_lag_stable
T3,V_PC1,Je_PC1,V,Je,V→Je,0.2760356049355625,0.3065556606222463,0.3291750588723829,1000,1.0,1.0,0.905,0.44381805540195796,peak_lag_stable
T3,V_PC1,Jw_PC1,V,Jw,V→Jw,0.24105840717422994,0.2530597502290491,0.273930943745445,1000,1.0,1.0,0.69,1.041264612315458,peak_lag_stable
T3,H_PC1,P_PC1,H,P,H→P,0.5618506548041224,0.5460458618895196,0.49896897047441074,1000,1.0,1.0,0.782,0.5553214346658666,peak_lag_stable
T3,H_PC1,V_PC1,H,V,H→V,0.359337830971585,0.25812005286943585,0.21524463685129283,1000,4.0,5.0,0.425,1.3140075126996613,peak_lag_moderate
T3,H_PC1,Je_PC1,H,Je,H→Je,0.5491989483109645,0.4470156699970805,0.36724349916092597,1000,3.0,3.0,0.605,0.837792951592217,peak_lag_stable
T3,H_PC1,Jw_PC1,H,Jw,H→Jw,0.5536412525916684,0.3514091292305238,0.247236103518929,1000,4.0,4.0,0.516,1.0253196401027933,peak_lag_moderate
T3,Je_PC1,P_PC1,Je,P,Je→P,0.28986064235270076,0.28687748023482834,0.2762171045514688,1000,1.0,1.0,0.696,0.9262824134400431,peak_lag_stable
T3,Je_PC1,V_PC1,Je,V,Je→V,0.35161295222615185,0.3065556606222463,0.2761879818060938,1000,2.0,3.0,0.357,1.334117335735895,peak_lag_unstable
T3,Je_PC1,H_PC1,Je,H,Je→H,0.4018587939269183,0.4470156699970805,0.4810106722209539,1000,1.0,1.0,0.997,0.020422924462179935,peak_lag_stable
T3,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.46095264308866385,0.451076813160329,0.43154789491424383,1000,1.0,1.0,0.569,1.2552731480171513,peak_lag_moderate
T3,Jw_PC1,P_PC1,Jw,P,Jw→P,0.2691759231919019,0.3025262353609212,0.3545945247667749,1000,1.0,1.0,0.977,0.12628929142320305,peak_lag_stable
T3,Jw_PC1,V_PC1,Jw,V,Jw→V,0.27600141771621944,0.2530597502290491,0.24801920673926575,1000,3.0,1.0,0.295,1.5447658448973716,peak_lag_unstable
T3,Jw_PC1,H_PC1,Jw,H,Jw→H,0.27540839437630915,0.3514091292305238,0.49019711040351976,1000,1.0,1.0,0.93,0.25363894691969135,peak_lag_stable
T3,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.44240855143251406,0.451076813160329,0.44425569465589937,1000,1.0,1.0,0.904,0.37827958585813803,peak_lag_stable
S4,P_PC1,V_PC1,P,V,P→V,0.5468583340500048,0.6083248368842996,0.6071746128974325,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S4,P_PC1,H_PC1,P,H,P→H,0.02035172084354427,0.015325205254084782,0.022447824764225813,1000,5.0,1.0,0.499,1.168966226857525,peak_lag_moderate
S4,P_PC1,Je_PC1,P,Je,P→Je,0.1666705538330312,0.16489295990409295,0.163016185788458,1000,5.0,5.0,0.448,1.0996225069084065,peak_lag_moderate
S4,P_PC1,Jw_PC1,P,Jw,P→Jw,0.17879440680454095,0.1105612195903607,0.08235246698242862,1000,4.0,5.0,0.469,1.332106329060303,peak_lag_moderate
S4,V_PC1,P_PC1,V,P,V→P,0.6065077119556346,0.6083248368842992,0.5504196687662317,1000,1.0,1.0,1.0,-1.000088900581841e-12,peak_lag_stable
S4,V_PC1,H_PC1,V,H,V→H,0.3665932612378704,0.37585544805679894,0.36385225356225703,1000,1.0,1.0,0.998,0.014427214860176138,peak_lag_stable
S4,V_PC1,Je_PC1,V,Je,V→Je,0.20796432301324722,0.23773856177072833,0.26600922755680506,1000,1.0,1.0,0.997,0.02233246696606437,peak_lag_stable
S4,V_PC1,Jw_PC1,V,Jw,V→Jw,0.13563115199709902,0.036346590642602095,0.062028488481729586,1000,5.0,5.0,0.89,0.41646174412120807,peak_lag_stable
S4,H_PC1,P_PC1,H,P,H→P,0.024997727870911705,0.015325205254084782,0.044730100543968275,1000,5.0,5.0,0.474,1.1929726302275296,peak_lag_moderate
S4,H_PC1,V_PC1,H,V,H→V,0.3725182905446756,0.37585544805679894,0.3581487335407542,1000,1.0,1.0,0.992,0.04659442422010458,peak_lag_stable
S4,H_PC1,Je_PC1,H,Je,H→Je,0.12474695874540671,0.047223548110214654,0.02790727477825432,1000,5.0,5.0,0.798,0.7553690651476809,peak_lag_stable
S4,H_PC1,Jw_PC1,H,Jw,H→Jw,0.24448770464482578,0.21132408645385578,0.1798198206402331,1000,2.0,2.0,0.337,1.439742238430973,peak_lag_unstable
S4,Je_PC1,P_PC1,Je,P,Je→P,0.15972088103569593,0.1648929599040931,0.1646380610483732,1000,1.0,1.0,0.805,0.7617447037292783,peak_lag_stable
S4,Je_PC1,V_PC1,Je,V,Je→V,0.25785193717644395,0.23773856177072833,0.21399317481222557,1000,2.0,1.0,0.295,1.54803479978682,peak_lag_unstable
S4,Je_PC1,H_PC1,Je,H,Je→H,0.0635989408444374,0.047223548110214654,0.12827332224065185,1000,5.0,5.0,0.58,0.8530162347648224,peak_lag_moderate
S4,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.2624496013897235,0.28733307781375206,0.3453036476086428,1000,1.0,1.0,0.924,0.27421371626699764,peak_lag_stable
S4,Jw_PC1,P_PC1,Jw,P,Jw→P,0.08882359976354343,0.1105612195903607,0.15350750952042322,1000,1.0,1.0,0.804,0.6164676051126754,peak_lag_stable
S4,Jw_PC1,V_PC1,Jw,V,Jw→V,0.06955628467754421,0.036346590642602095,0.10253632077694913,1000,5.0,5.0,0.621,1.0858745849201272,peak_lag_stable
S4,Jw_PC1,H_PC1,Jw,H,Jw→H,0.17979447552810784,0.21132408645385578,0.24631832221100652,1000,1.0,1.0,0.926,0.26916219849294243,peak_lag_stable
S4,Jw_PC1,Je_PC1,Jw,Je,Jw→Je,0.34440224903632394,0.28733307781375206,0.2603610194678191,1000,3.0,3.0,0.485,1.162704288614639,peak_lag_moderate
T4,P_PC1,V_PC1,P,V,P→V,0.23759517702655486,0.34695603955112553,0.4421931604981996,1000,1.0,1.0,0.742,0.6259909991670267,peak_lag_stable
T4,P_PC1,H_PC1,P,H,P→H,0.400272948483286,0.34701172627631705,0.28208268657130586,1000,2.0,2.0,0.501,1.0206645619045212,peak_lag_moderate
T4,P_PC1,Je_PC1,P,Je,P→Je,0.16939034561371533,0.18574644218582786,0.18007173654092845,1000,1.0,1.0,0.716,0.8777951926617561,peak_lag_stable
T4,P_PC1,Jw_PC1,P,Jw,P→Jw,0.09560270137872783,0.01091915920661462,0.09522121824523093,1000,5.0,5.0,0.617,1.1247687577923116,peak_lag_stable
T4,V_PC1,P_PC1,V,P,V→P,0.41671008245353175,0.34695603955112525,0.2414688502778109,1000,2.0,2.0,0.502,1.1446020620300845,peak_lag_moderate
T4,V_PC1,H_PC1,V,H,V→H,0.19795579202125638,0.1496824129782256,0.19730159479453316,1000,5.0,5.0,0.667,0.6974412256127865,peak_lag_stable
T4,V_PC1,Je_PC1,V,Je,V→Je,0.3221630186418567,0.2694029245200631,0.22999270070920852,1000,3.0,3.0,0.298,1.5718454794186585,peak_lag_unstable
T4,V_PC1,Jw_PC1,V,Jw,V→Jw,0.08209151520968448,0.08232397631089987,0.0818720599886017,1000,1.0,1.0,0.361,1.430636125699107,peak_lag_unstable
T4,H_PC1,P_PC1,H,P,H→P,0.3034999672890551,0.34701172627631705,0.3694882286599788,1000,1.0,1.0,0.977,0.127369695872418,peak_lag_stable
T4,H_PC1,V_PC1,H,V,H→V,0.17605246133165603,0.1496824129782256,0.13748109358119429,1000,5.0,5.0,0.396,1.3256752466734143,peak_lag_unstable
T4,H_PC1,Je_PC1,H,Je,H→Je,0.25671626164488787,0.2621925032085137,0.29742683862986485,1000,1.0,1.0,0.597,1.1214183487145353,peak_lag_moderate
T4,H_PC1,Jw_PC1,H,Jw,H→Jw,0.2843892319038156,0.07740384806197564,0.039783910374955024,1000,5.0,5.0,0.868,0.5560427910695851,peak_lag_stable
T4,Je_PC1,P_PC1,Je,P,Je→P,0.1825980910395723,0.18574644218582784,0.17899088846220862,1000,1.0,1.0,0.532,1.2883671754605317,peak_lag_moderate
T4,Je_PC1,V_PC1,Je,V,Je→V,0.22925120205287636,0.2694029245200631,0.3561954547943778,1000,1.0,1.0,0.948,0.26261669501119084,peak_lag_stable
T4,Je_PC1,H_PC1,Je,H,Je→H,0.26387585305060957,0.2621925032085137,0.25089465687200174,1000,1.0,1.0,0.423,1.2239200522289235,peak_lag_moderate
T4,Je_PC1,Jw_PC1,Je,Jw,Je→Jw,0.011374427304705866,0.0163930630182656,0.033940670537503416,1000,3.0,1.0,0.429,1.3322774960373807,peak_lag_moderate
T4,Jw_PC1,P_PC1,Jw,P,Jw→P,0.04442405233695818,0.01091915920661462,0.1771285180807039,1000,5.0,5.0,0.386,1.297817785042826,peak_lag_unstable
