window,object,variable,n_bootstrap_requested,n_bootstrap_success,n_bootstrap_failed,pc1_explained_variance_ratio,pc1_singular_value,quality_flag_v3a,sign_reference_corr_abs_after_flip,bootstrap_loading_abs_corr_median,bootstrap_loading_abs_corr_p10,bootstrap_loading_abs_corr_p25,bootstrap_loading_abs_corr_p90,bootstrap_loading_sign_consistency,bootstrap_score_corr_median,bootstrap_score_corr_p10,bootstrap_explained_variance_median,pc1_mode_stability_label
S2,P,P_PC1,10,10,0,0.19734012600392128,9567.47653746877,pc1_low_variance,0.7289121301863862,0.041107902765273895,0.02099216083481162,0.02784717273759351,0.06429285626732753,0.8,0.9894039822686493,0.9782558488027234,0.2101256121048916,pc1_mode_unstable
S2,V,V_PC1,10,10,0,0.3945141040637759,4052.007847519483,pc1_good,0.9706335830014932,0.11910879692855962,0.0661081213632002,0.08074762159812715,0.21428346297196593,0.4,0.9981668719510703,0.9954911815226709,0.39794822442402533,pc1_mode_unstable
S2,H,H_PC1,10,10,0,0.5327559269861208,72602.44360155173,pc1_good,0.4955240692506201,0.8256510179694072,0.7966701787485462,0.8086700136392231,0.8326643542622849,0.4,0.9995340284173431,0.9987413354796186,0.5071617684241994,pc1_mode_unstable
S2,Je,Je_PC1,10,10,0,0.4045012476927509,21976.05489057572,pc1_good,0.7462314850767305,0.6380778653696173,0.47360754828936125,0.5979927319810281,0.7214414871538032,0.7,0.9969244700024353,0.9676494754993429,0.39962067106984456,pc1_mode_unstable
S2,Jw,Jw_PC1,10,10,0,0.4054142203099709,17547.123527020005,pc1_good,0.4631503990886237,0.7970534938427694,0.7075487847755082,0.777726716688607,0.8330869590594341,0.4,0.9973397698052869,0.9935662474404957,0.39809725920074435,pc1_mode_unstable
T2,P,P_PC1,10,10,0,0.20702214807365027,7912.651497563422,pc1_moderate,0.6144671647411907,0.02001551135863839,0.012944409253881635,0.0165341576683026,0.06330400274823689,0.3,0.9889172918546301,0.9500389266640719,0.22321986726604442,pc1_mode_unstable
T2,V,V_PC1,10,10,0,0.3444856356102404,2829.5133633455175,pc1_moderate,0.8693328252874308,0.1890462788362788,0.08506821405084734,0.13369077958917813,0.25076773014833514,0.6,0.9878727611500433,0.9772437687589289,0.3296157735045121,pc1_mode_unstable
T2,H,H_PC1,10,10,0,0.38506677816522766,37902.21599861822,pc1_good,0.6587600978020078,0.7378014144864462,0.6954076314857447,0.7362202916174396,0.7818015286831288,0.6,0.9789407713368583,0.8323470808146217,0.3799573877881598,pc1_mode_unstable
T2,Je,Je_PC1,10,10,0,0.39640797024607005,13701.047499743645,pc1_good,0.8625085389959662,0.36547232285904974,0.3003273420318488,0.3510324710779483,0.4392050105625197,0.4,0.9982514298385219,0.991710072610513,0.3974838192617084,pc1_mode_unstable
T2,Jw,Jw_PC1,10,10,0,0.4434262705731543,12275.708030307807,pc1_good,0.8207849674037142,0.7920294000571508,0.7166320932543757,0.7404379859798876,0.8199546000023639,0.5,0.9966389031660576,0.9901878871170186,0.4490638082748971,pc1_mode_unstable
S3,P,P_PC1,10,10,0,0.17007080500252209,9231.095946413456,pc1_low_variance,0.6515720685473264,0.15930006916943207,0.016837488222465745,0.07995952733562983,0.20499259367354625,0.9,0.9918769026319691,0.9702273691905714,0.1714642373160628,pc1_mode_unstable
S3,V,V_PC1,10,10,0,0.35734558480259815,3739.183107812721,pc1_good,0.9151925471976453,0.05974188851101278,0.020839353788735228,0.03513909544066161,0.15415761090576946,0.5,0.997511952165834,0.9844456700547437,0.35470359033424587,pc1_mode_unstable
S3,H,H_PC1,10,10,0,0.41930511320095715,51266.70070645743,pc1_good,0.7102240533058422,0.7084036681735314,0.6853034822451308,0.6907746775906755,0.7385972796830218,0.7,0.9880057900141757,0.9683442561234351,0.42033732837908433,pc1_mode_unstable
S3,Je,Je_PC1,10,10,0,0.3620393604495233,17824.82421274816,pc1_good,0.8391016831910686,0.33646031517539776,0.14745993160743778,0.2142648757081806,0.4663366990726874,0.4,0.9919346696675172,0.9708109760441197,0.36791098091393803,pc1_mode_unstable
S3,Jw,Jw_PC1,10,10,0,0.4217967780634689,15651.54166937035,pc1_good,0.5362026267460781,0.8095059420906561,0.7692683170724616,0.792309560805873,0.8419049333835089,0.5,0.998100049034962,0.9889243738628402,0.41995602643865504,pc1_mode_unstable
T3,P,P_PC1,10,10,0,0.20200443644651617,7687.215079343486,pc1_moderate,0.7665547366085177,0.03420924030185836,0.008492420612553233,0.018201709571353964,0.05594437246651765,0.2,0.9958113519700187,0.9895650574843967,0.22721499153488406,pc1_mode_unstable
T3,V,V_PC1,10,10,0,0.27816721873004546,2433.9803806825735,pc1_moderate,0.8360334642754722,0.23137253630469012,0.06226650501824818,0.11523282163943334,0.3700290774266003,0.4,0.8772896260195843,0.19562500574579594,0.290804840580394,pc1_mode_unstable
T3,H,H_PC1,10,10,0,0.4102965319849802,38987.580285861004,pc1_good,0.6690259667410314,0.6329929594298709,0.5206501452489187,0.5827869027906691,0.7646757916952923,0.5,0.9491401752151749,0.6536361092994195,0.3986128844261848,pc1_mode_unstable
T3,Je,Je_PC1,10,10,0,0.39964406682959874,13856.42651681451,pc1_good,0.6685419281090548,0.274296557166665,0.10653548778824606,0.1876853434764137,0.6776819519743694,0.7,0.997298414714761,0.8848842307095032,0.41840552593376823,pc1_mode_unstable
T3,Jw,Jw_PC1,10,10,0,0.40664501337561293,12820.77827579704,pc1_good,0.7010349576442427,0.6107993876524411,0.25398737335996063,0.46241010505787705,0.7756151525347504,0.4,0.916688975691931,0.25941491732148514,0.4183617800265718,pc1_mode_unstable
S4,P,P_PC1,10,10,0,0.15642910594049633,12165.48394140204,pc1_low_variance,0.43762520206414296,0.022568838731119728,0.006721945844473741,0.013075458294774567,0.06625826512056229,0.3,0.9870089888336484,0.9555142073771239,0.15974604254505156,pc1_mode_unstable
S4,V,V_PC1,10,10,0,0.32001364568208546,5312.717114900453,pc1_moderate,0.854285633787556,0.059299630764959775,0.007422272863511766,0.019192257797051963,0.13517935041014856,0.1,0.9923467209134564,0.944381391784072,0.34040968588676307,pc1_mode_unstable
S4,H,H_PC1,10,10,0,0.3681673059900933,70449.96580099387,pc1_good,0.34933238566600394,0.7245744688621513,0.4693895652138557,0.5818762332779864,0.849150534036839,0.2,0.9907989313323027,0.9251361980077267,0.38039761720745235,pc1_mode_unstable
S4,Je,Je_PC1,10,10,0,0.32598500012409143,22046.273023181755,pc1_moderate,0.8277497112060402,0.6209687258434474,0.31869483635244816,0.5857526486911244,0.6510143528576209,0.7,0.9906324396298132,0.8518143073094311,0.3291244730081757,pc1_mode_unstable
S4,Jw,Jw_PC1,10,10,0,0.448064222274174,24414.05865645299,pc1_good,0.7406821406678329,0.19472222708936823,0.15006998330170712,0.16928470671629936,0.3133401621198798,0.6,0.9992404094154171,0.994398373526318,0.449596896273047,pc1_mode_unstable
T4,P,P_PC1,10,10,0,0.15577663551215148,5753.248509697361,pc1_low_variance,0.5172314732593175,0.05107392500850773,0.01864103198007026,0.02916074156048632,0.08519329803677705,0.5,0.7364550042195086,0.4241801115538367,0.17128511559183615,pc1_mode_unstable
T4,V,V_PC1,10,10,0,0.3131270126277282,2605.931944669677,pc1_moderate,0.975854335903302,0.7069336626466374,0.5447507526875494,0.6312449596821899,0.7728288037722272,0.6,0.9713350324024119,0.9236250539932229,0.33112805160175296,pc1_mode_unstable
T4,H,H_PC1,10,10,0,0.3915909915617282,36240.02530569332,pc1_good,0.4784652662424947,0.6051876382426933,0.5606160706340952,0.589835018015068,0.6338837196102114,0.6,0.9917075364371275,0.963881891470434,0.3999703077871758,pc1_mode_unstable
T4,Je,Je_PC1,10,10,0,0.3260982037813249,11380.782393625313,pc1_moderate,0.8384094490626629,0.733944835197718,0.6006048317104253,0.6728145485267156,0.8307249797943128,0.7,0.9551860563009411,0.8769474675823642,0.34354544736932835,pc1_mode_unstable
T4,Jw,Jw_PC1,10,10,0,0.5025799259818532,13456.315616329766,pc1_good,0.7183992331708318,0.08215257704983242,0.03847807770914295,0.0747020434727468,0.1870972120381032,0.2,0.9980783159640332,0.9940698360253443,0.4990520324517641,pc1_mode_unstable
S5,P,P_PC1,10,10,0,0.16794694205724015,8041.032915246975,pc1_low_variance,0.6268303259770167,0.26505100763877976,0.2330267876041143,0.25149888171742907,0.29413857344414157,0.4,0.9666441608246824,0.8220265715616851,0.17022114711959435,pc1_mode_unstable
S5,V,V_PC1,10,10,0,0.31613402362360277,3649.464077331438,pc1_moderate,0.9460670698583076,0.29910867776386907,0.05016750642168086,0.060432196714154694,0.42447801731920487,0.4,0.9582493392113576,0.8574939875290446,0.3140364146316279,pc1_mode_unstable
S5,H,H_PC1,10,10,0,0.5034785659330451,58814.41790044027,pc1_good,0.7155572215051287,0.8551839527681377,0.8403399719366399,0.8479546327401632,0.8894092313891081,0.5,0.9983247004752929,0.995440036822537,0.48460690553042896,pc1_mode_unstable
S5,Je,Je_PC1,10,10,0,0.37907655275790103,16849.47937434545,pc1_good,0.7029968482382947,0.370963447590166,0.21468553599229528,0.3098235698276497,0.5423681722608398,0.2,0.997051272499256,0.9693868962821637,0.38552611172330026,pc1_mode_unstable
S5,Jw,Jw_PC1,10,10,0,0.47858748982741334,15855.962140501628,pc1_good,0.6638287245424318,0.843001453470341,0.799244474692215,0.8057709339086119,0.8731435488774225,0.4,0.9957832468073999,0.9890670926699632,0.48801170669174343,pc1_mode_unstable
