window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,P_peak_day,V_peak_day,H_peak_day,Je_peak_day,Jw_peak_day,sequence_string,sequence_with_days,front_object,last_object
W045,smooth9__baseline_w20_b10__narrow_search__max_score,smooth9,20,10,narrow_search,max_score,43.0,44.0,31.0,30.0,49.0,Je/H -> P/V -> Jw,Je/H(day30/5月1日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),Je/H,Jw
W045,smooth9__baseline_w20_b10__wide_search__baseline_rule,smooth9,20,10,wide_search,baseline_rule,43.0,44.0,31.0,33.0,43.0,H -> Je -> Jw/P/V,H(day31/5月2日) -> Je(day33/5月4日) -> Jw/P/V(day43/5月14日),H,Jw/P/V
W045,smooth9__baseline_w20_b10__wide_search__closest_anchor,smooth9,20,10,wide_search,closest_anchor,43.0,44.0,31.0,33.0,43.0,H -> Je -> Jw/P/V,H(day31/5月2日) -> Je(day33/5月4日) -> Jw/P/V(day43/5月14日),H,Jw/P/V
W045,smooth9__baseline_w20_b10__wide_search__max_overlap,smooth9,20,10,wide_search,max_overlap,43.0,44.0,31.0,33.0,49.0,H -> Je -> P/V -> Jw,H(day31/5月2日) -> Je(day33/5月4日) -> P/V(day44/5月15日) -> Jw(day49/5月20日),H,Jw
W045,smooth9__baseline_w20_b10__wide_search__max_score,smooth9,20,10,wide_search,max_score,43.0,74.0,19.0,27.0,74.0,H -> Je -> P -> Jw/V,H(day19/4月20日) -> Je(day27/4月28日) -> P(day43/5月14日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth9__narrow_w16_b8__baseline_search__baseline_rule,smooth9,16,8,baseline_search,baseline_rule,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__closest_anchor,smooth9,16,8,baseline_search,closest_anchor,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__max_overlap,smooth9,16,8,baseline_search,max_overlap,44.0,44.0,38.0,34.0,43.0,Je -> H -> Jw/P/V,Je(day34/5月5日) -> H(day38/5月9日) -> Jw/P/V(day44/5月15日),Je,Jw/P/V
W045,smooth9__narrow_w16_b8__baseline_search__max_score,smooth9,16,8,baseline_search,max_score,44.0,69.0,18.0,28.0,69.0,H -> Je -> P -> Jw/V,H(day18/4月19日) -> Je(day28/4月29日) -> P(day44/5月15日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth9__narrow_w16_b8__narrow_search__baseline_rule,smooth9,16,8,narrow_search,baseline_rule,44.0,44.0,48.0,45.0,43.0,Jw/P/V/Je -> H,Jw/P/V/Je(day44/5月15日) -> H(day48/5月19日),Jw/P/V/Je,H
