window_id,object,v9_baseline_peak_day,v9_baseline_peak_date,peak_day_min,peak_day_max,peak_day_range,peak_day_iqr,peak_day_std,n_unique_peak_days,n_unique_selected_candidates,most_frequent_peak_day,most_frequent_peak_date,most_frequent_candidate_id,baseline_candidate_selection_rate,smooth9_median_peak,smooth5_median_peak,delta_smooth5_minus_smooth9,band_start_min,band_start_max,band_end_min,band_end_max,candidate_switch_flag,early_late_switch_flag,smooth_sensitive_flag,band_start_range,band_end_range,band_width_range,peak_day_stability_class,band_stability_class
W113,H,115,7月25日,88.0,115.0,27.0,0.0,9.60119278909636,4,4,113,7月23日,CP001,0.3888888888888889,113.0,113.0,0.0,88.0,105.0,96.0,125.0,True,True,False,17.0,29.0,29.0,peak_day_rule_sensitive,band_highly_sensitive
W113,Je,111,7月21日,109.0,115.0,6.0,0.5,2.3127868007238592,4,3,110,7月20日,CP001,0.7638888888888888,110.0,110.0,0.0,97.0,105.0,118.0,127.0,True,False,False,8.0,9.0,9.0,peak_day_moderately_sensitive,band_highly_sensitive
W113,Jw,104,7月14日,103.0,115.0,12.0,6.0,3.041927926267682,7,4,111,7月21日,CP002,0.2638888888888889,111.0,110.0,-1.0,92.0,107.0,111.0,123.0,True,True,False,15.0,12.0,15.0,peak_day_rule_sensitive,band_highly_sensitive
W113,P,113,7月23日,88.0,113.0,25.0,6.0,9.012901550898977,5,4,113,7月23日,CP003,0.2638888888888889,111.0,112.5,1.5,88.0,105.0,96.0,124.0,True,True,False,17.0,28.0,28.0,peak_day_rule_sensitive,band_highly_sensitive
W113,V,114,7月24日,113.0,115.0,2.0,2.0,0.8985077177942531,3,1,115,7月25日,CP001,1.0,115.0,113.0,-2.0,103.0,106.0,121.0,127.0,False,False,False,3.0,6.0,6.0,stable_peak_day,band_moderately_sensitive
W160,H,155,9月3日,155.0,170.0,15.0,2.25,4.521120666535804,6,5,164,9月12日,CP004,0.2638888888888889,164.0,164.0,0.0,145.0,162.0,163.0,182.0,True,True,False,17.0,19.0,19.0,peak_day_rule_sensitive,band_highly_sensitive
W160,Je,162,9月10日,160.0,172.0,12.0,5.0,3.6732495325427466,7,2,162,9月10日,CP002,0.3055555555555556,161.0,162.0,1.0,148.0,164.0,168.0,180.0,True,True,False,16.0,12.0,16.0,peak_day_rule_sensitive,band_highly_sensitive
W160,Jw,152,8月31日,152.0,172.0,20.0,6.0,4.410472669746297,9,4,162,9月10日,CP002,0.375,162.0,162.0,0.0,142.0,164.0,162.0,180.0,True,True,False,22.0,18.0,22.0,peak_day_rule_sensitive,band_highly_sensitive
W160,P,158,9月6日,155.0,162.0,7.0,1.0,1.9233655134369443,6,3,157,9月5日,CP001,0.7916666666666666,157.0,157.0,0.0,145.0,153.0,163.0,172.0,True,False,False,8.0,9.0,9.0,peak_day_moderately_sensitive,band_highly_sensitive
W160,V,161,9月9日,161.0,162.0,1.0,1.0,0.4794281282981244,2,1,162,9月10日,CP001,1.0,162.0,161.0,-1.0,149.0,154.0,168.0,174.0,False,False,False,5.0,6.0,6.0,stable_peak_day,band_moderately_sensitive
