config_id,smoothing,detector_scale,detector_width,band_half_width,search_mode,selection_rule
smooth9__baseline_w20_b10__wide_search__closest_anchor,smooth9,baseline,20,10,wide_search,closest_anchor
smooth9__baseline_w20_b10__wide_search__max_overlap,smooth9,baseline,20,10,wide_search,max_overlap
smooth9__wide_w24_b12__narrow_search__baseline_rule,smooth9,wide,24,12,narrow_search,baseline_rule
smooth9__wide_w24_b12__narrow_search__max_score,smooth9,wide,24,12,narrow_search,max_score
smooth9__wide_w24_b12__narrow_search__closest_anchor,smooth9,wide,24,12,narrow_search,closest_anchor
smooth9__wide_w24_b12__narrow_search__max_overlap,smooth9,wide,24,12,narrow_search,max_overlap
smooth9__wide_w24_b12__baseline_search__baseline_rule,smooth9,wide,24,12,baseline_search,baseline_rule
smooth9__wide_w24_b12__baseline_search__max_score,smooth9,wide,24,12,baseline_search,max_score
smooth9__wide_w24_b12__baseline_search__closest_anchor,smooth9,wide,24,12,baseline_search,closest_anchor
smooth9__wide_w24_b12__baseline_search__max_overlap,smooth9,wide,24,12,baseline_search,max_overlap
smooth9__wide_w24_b12__wide_search__baseline_rule,smooth9,wide,24,12,wide_search,baseline_rule
smooth9__wide_w24_b12__wide_search__max_score,smooth9,wide,24,12,wide_search,max_score
smooth9__wide_w24_b12__wide_search__closest_anchor,smooth9,wide,24,12,wide_search,closest_anchor
smooth9__wide_w24_b12__wide_search__max_overlap,smooth9,wide,24,12,wide_search,max_overlap
smooth5__narrow_w16_b8__narrow_search__baseline_rule,smooth5,narrow,16,8,narrow_search,baseline_rule
smooth5__narrow_w16_b8__narrow_search__max_score,smooth5,narrow,16,8,narrow_search,max_score
smooth5__narrow_w16_b8__narrow_search__closest_anchor,smooth5,narrow,16,8,narrow_search,closest_anchor
smooth5__narrow_w16_b8__narrow_search__max_overlap,smooth5,narrow,16,8,narrow_search,max_overlap
smooth5__narrow_w16_b8__baseline_search__baseline_rule,smooth5,narrow,16,8,baseline_search,baseline_rule
smooth5__narrow_w16_b8__baseline_search__max_score,smooth5,narrow,16,8,baseline_search,max_score
smooth5__narrow_w16_b8__baseline_search__closest_anchor,smooth5,narrow,16,8,baseline_search,closest_anchor
smooth5__narrow_w16_b8__baseline_search__max_overlap,smooth5,narrow,16,8,baseline_search,max_overlap
smooth5__narrow_w16_b8__wide_search__baseline_rule,smooth5,narrow,16,8,wide_search,baseline_rule
smooth5__narrow_w16_b8__wide_search__max_score,smooth5,narrow,16,8,wide_search,max_score
smooth5__narrow_w16_b8__wide_search__closest_anchor,smooth5,narrow,16,8,wide_search,closest_anchor
smooth5__narrow_w16_b8__wide_search__max_overlap,smooth5,narrow,16,8,wide_search,max_overlap
smooth5__baseline_w20_b10__narrow_search__baseline_rule,smooth5,baseline,20,10,narrow_search,baseline_rule
smooth5__baseline_w20_b10__narrow_search__max_score,smooth5,baseline,20,10,narrow_search,max_score
smooth5__baseline_w20_b10__narrow_search__closest_anchor,smooth5,baseline,20,10,narrow_search,closest_anchor
smooth5__baseline_w20_b10__narrow_search__max_overlap,smooth5,baseline,20,10,narrow_search,max_overlap
smooth5__baseline_w20_b10__baseline_search__baseline_rule,smooth5,baseline,20,10,baseline_search,baseline_rule
smooth5__baseline_w20_b10__baseline_search__max_score,smooth5,baseline,20,10,baseline_search,max_score
smooth5__baseline_w20_b10__baseline_search__closest_anchor,smooth5,baseline,20,10,baseline_search,closest_anchor
smooth5__baseline_w20_b10__baseline_search__max_overlap,smooth5,baseline,20,10,baseline_search,max_overlap
smooth5__baseline_w20_b10__wide_search__baseline_rule,smooth5,baseline,20,10,wide_search,baseline_rule
smooth5__baseline_w20_b10__wide_search__max_score,smooth5,baseline,20,10,wide_search,max_score
smooth5__baseline_w20_b10__wide_search__closest_anchor,smooth5,baseline,20,10,wide_search,closest_anchor
smooth5__baseline_w20_b10__wide_search__max_overlap,smooth5,baseline,20,10,wide_search,max_overlap
smooth5__wide_w24_b12__narrow_search__baseline_rule,smooth5,wide,24,12,narrow_search,baseline_rule
smooth5__wide_w24_b12__narrow_search__max_score,smooth5,wide,24,12,narrow_search,max_score
smooth5__wide_w24_b12__narrow_search__closest_anchor,smooth5,wide,24,12,narrow_search,closest_anchor
smooth5__wide_w24_b12__narrow_search__max_overlap,smooth5,wide,24,12,narrow_search,max_overlap
smooth5__wide_w24_b12__baseline_search__baseline_rule,smooth5,wide,24,12,baseline_search,baseline_rule
smooth5__wide_w24_b12__baseline_search__max_score,smooth5,wide,24,12,baseline_search,max_score
smooth5__wide_w24_b12__baseline_search__closest_anchor,smooth5,wide,24,12,baseline_search,closest_anchor
smooth5__wide_w24_b12__baseline_search__max_overlap,smooth5,wide,24,12,baseline_search,max_overlap
smooth5__wide_w24_b12__wide_search__baseline_rule,smooth5,wide,24,12,wide_search,baseline_rule
smooth5__wide_w24_b12__wide_search__max_score,smooth5,wide,24,12,wide_search,max_score
smooth5__wide_w24_b12__wide_search__closest_anchor,smooth5,wide,24,12,wide_search,closest_anchor
smooth5__wide_w24_b12__wide_search__max_overlap,smooth5,wide,24,12,wide_search,max_overlap
