window_id,mode,target,target_type,influence_group,years,n_years,pc_score_mean,pc_score_min,pc_score_max,pc_phase_concentration,overlap_status
W045,1,Je-Jw,pairwise_order,reduce_Je_earlier,1979;1982;1984;1992;1993;1995;2000;2022,8,-0.533361867022083,-1.1130260793793996,0.30860230776034997,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,Je-Jw,pairwise_order,reduce_Jw_earlier,1988;1998;2001;2018;2021,5,0.6848523322567065,-0.33796026485003455,1.7224369373308972,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-H,pairwise_order,push_H_earlier,1992;1995;2005;2009;2014;2015,6,-0.1302406730909594,-0.9742422099796194,0.6169497652409114,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-H,pairwise_order,push_P_earlier,1981,1,-0.5930634085211349,-0.5930634085211349,-0.5930634085211349,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-H,pairwise_order,reduce_H_earlier,2011;2017,2,-0.04955988802690653,-0.3443915366708217,0.24527176061700862,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-H,pairwise_order,reduce_P_earlier,1999,1,-0.49411515264047345,-0.49411515264047345,-0.49411515264047345,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Je,pairwise_order,push_Je_earlier,2010;2014,2,0.21560083199311422,-0.06232404789191255,0.493525711878141,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Je,pairwise_order,push_P_earlier,1979;1986;1987;1990;1992;2000;2006;2012;2013;2022,10,-0.32688869698112566,-1.1130260793793996,0.7417573251944894,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Je,pairwise_order,reduce_Je_earlier,1983;1984;2004,3,0.061731004125463645,-0.990475243847577,1.0030580858352518,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Je,pairwise_order,reduce_P_earlier,1985;1993;1994;1997;2003;2016;2019,7,0.16473406139846775,-0.6041094820005737,1.4652412434520952,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Jw,pairwise_order,push_Jw_earlier,1979;1989;1997,3,-0.5935000332350893,-0.6119084927950724,-0.5644821249096217,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Jw,pairwise_order,push_P_earlier,1991;2006;2008;2011;2018;2021;2023,7,0.40811919526137036,-0.7711982865450704,1.1967643037143199,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Jw,pairwise_order,reduce_Jw_earlier,1987;1988;1990;1996;1999;2017,6,-0.10425466302033116,-0.9421916351713029,0.7417573251944894,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-Jw,pairwise_order,reduce_P_earlier,1982;1984;1985;1992;1993;2003;2009;2016;2022,9,-0.284258348478226,-0.990475243847577,1.4652412434520952,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-V,pairwise_order,push_P_earlier,1981;1986;1991;2023,4,0.274382674287897,-0.5930634085211349,1.1251381320481582,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-V,pairwise_order,push_V_earlier,2011,1,-0.3443915366708217,-0.3443915366708217,-0.3443915366708217,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-V,pairwise_order,reduce_P_earlier,1997;1999;2005;2009;2013;2014;2019;2021,8,-0.15703541455822667,-0.9742422099796194,0.7950310650557759,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,P-V,pairwise_order,reduce_V_earlier,1980;1987;1988;1989;1996;2016;2017,7,0.2024204741924344,-0.9421916351713029,1.4652412434520952,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-H,pairwise_order,push_H_earlier,1991;1992;1995;1996;1999;2009;2015,7,-0.16629935366141466,-0.9742422099796194,1.1251381320481582,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-H,pairwise_order,push_V_earlier,1981;1983,2,0.20499733865705844,-0.5930634085211349,1.0030580858352518,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-H,pairwise_order,reduce_H_earlier,2011;2017,2,-0.04955988802690653,-0.3443915366708217,0.24527176061700862,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-H,pairwise_order,reduce_V_earlier,2005,1,0.13380682921244083,0.13380682921244083,0.13380682921244083,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-Je,pairwise_order,push_Je_earlier,1994;2003;2010;2018,4,0.5725799512124504,0.2597126414217747,1.1967643037143199,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-Je,pairwise_order,push_V_earlier,1990;1992;2000;2006;2011;2012;2013;2019;2022,9,-0.33908712263255125,-1.1130260793793996,0.43090410973867044,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-Je,pairwise_order,reduce_Je_earlier,1979;1984;2004,3,-0.47659118875131107,-0.990475243847577,0.17261017038871615,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W045,1,V-Je,pairwise_order,reduce_V_earlier,1985;1986;1988;1989;1991;1997;2016,7,0.09575137390331921,-0.6041094820005737,1.4652412434520952,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
