window_id,target_name,object_A,object_B,quantile_scheme,fraction_each_tail,high_n,low_n,high_P_A_earlier,high_P_B_earlier,low_P_A_earlier,low_P_B_earlier,high_delta_median,low_delta_median,high_dominant_direction,low_dominant_direction,high_dominant_probability,low_dominant_probability,high_order_level,low_order_level,high_low_reversal_flag
W113,W113_P_vs_Je_delta_peak,P,Je,decile,0.1,99,99,0.6060606060606061,0.2222222222222222,0.050505050505050504,0.9191919191919192,1.0,-5.0,P_earlier,Je_earlier,0.6060606060606061,0.9191919191919192,weak_or_none,usable_90,True
W113,W113_P_vs_Jw_delta_peak,P,Jw,tercile,0.3333333333333333,333,333,0.14114114114114115,0.7297297297297297,0.05105105105105105,0.9279279279279279,-2.0,-8.0,Jw_earlier,Jw_earlier,0.7297297297297297,0.9279279279279279,weak_or_none,usable_90,False
W113,W113_P_vs_Jw_delta_peak,P,Jw,quartile,0.25,250,250,0.14,0.712,0.056,0.924,-2.0,-9.0,Jw_earlier,Jw_earlier,0.712,0.924,weak_or_none,usable_90,False
W113,W113_P_vs_Jw_delta_peak,P,Jw,quintile,0.2,200,200,0.155,0.69,0.055,0.92,-1.0,-9.0,Jw_earlier,Jw_earlier,0.69,0.92,weak_or_none,usable_90,False
W113,W113_P_vs_Jw_delta_peak,P,Jw,decile,0.1,100,100,0.21,0.6,0.05,0.93,-1.0,-10.0,Jw_earlier,Jw_earlier,0.6,0.93,weak_or_none,usable_90,False
W113,W113_V_vs_H_delta_peak,V,H,tercile,0.3333333333333333,333,333,0.8168168168168168,0.05405405405405406,0.14414414414414414,0.6456456456456456,2.0,-1.0,V_earlier,H_earlier,0.8168168168168168,0.6456456456456456,weak_or_none,weak_or_none,True
W113,W113_V_vs_H_delta_peak,V,H,quartile,0.25,250,250,0.852,0.036,0.116,0.692,2.0,-1.0,V_earlier,H_earlier,0.852,0.692,weak_or_none,weak_or_none,True
W113,W113_V_vs_H_delta_peak,V,H,quintile,0.2,200,200,0.885,0.025,0.095,0.735,2.0,-1.0,V_earlier,H_earlier,0.885,0.735,weak_or_none,weak_or_none,True
W113,W113_V_vs_H_delta_peak,V,H,decile,0.1,100,100,0.94,0.0,0.05,0.81,3.0,-2.0,V_earlier,H_earlier,0.94,0.81,usable_90,weak_or_none,True
W113,W113_V_vs_Je_delta_peak,V,Je,tercile,0.3333333333333333,333,333,0.32732732732732733,0.46546546546546547,0.012012012012012012,0.987987987987988,0.0,-7.0,Je_earlier,Je_earlier,0.46546546546546547,0.987987987987988,weak_or_none,credible_95,False
W113,W113_V_vs_Je_delta_peak,V,Je,quartile,0.25,249,249,0.3895582329317269,0.3815261044176707,0.012048192771084338,0.9879518072289156,0.0,-7.0,V_earlier,Je_earlier,0.3895582329317269,0.9879518072289156,weak_or_none,credible_95,True
W113,W113_V_vs_Je_delta_peak,V,Je,quintile,0.2,199,199,0.41708542713567837,0.33668341708542715,0.010050251256281407,0.9899497487437185,0.0,-7.0,V_earlier,Je_earlier,0.41708542713567837,0.9899497487437185,weak_or_none,credible_95,True
W113,W113_V_vs_Je_delta_peak,V,Je,decile,0.1,99,99,0.5050505050505051,0.23232323232323232,0.010101010101010102,0.98989898989899,1.0,-8.0,V_earlier,Je_earlier,0.5050505050505051,0.98989898989899,weak_or_none,credible_95,True
W113,W113_Jw_vs_V_delta_peak,Jw,V,tercile,0.3333333333333333,333,333,0.9669669669669669,0.024024024024024024,0.8288288288288288,0.11411411411411411,9.0,4.0,Jw_earlier,Jw_earlier,0.9669669669669669,0.8288288288288288,credible_95,weak_or_none,False
W113,W113_Jw_vs_V_delta_peak,Jw,V,quartile,0.25,250,250,0.968,0.024,0.788,0.14,10.0,3.0,Jw_earlier,Jw_earlier,0.968,0.788,credible_95,weak_or_none,False
W113,W113_Jw_vs_V_delta_peak,Jw,V,quintile,0.2,200,200,0.965,0.03,0.76,0.16,10.0,2.0,Jw_earlier,Jw_earlier,0.965,0.76,credible_95,weak_or_none,False
W113,W113_Jw_vs_V_delta_peak,Jw,V,decile,0.1,100,100,0.95,0.04,0.69,0.2,11.0,2.0,Jw_earlier,Jw_earlier,0.95,0.69,credible_95,weak_or_none,False
W113,W113_H_vs_Je_delta_peak,H,Je,tercile,0.3333333333333333,333,333,0.09309309309309309,0.7777777777777778,0.009009009009009009,0.990990990990991,-2.0,-6.0,Je_earlier,Je_earlier,0.7777777777777778,0.990990990990991,weak_or_none,strict_99,False
W113,W113_H_vs_Je_delta_peak,H,Je,quartile,0.25,249,249,0.10843373493975904,0.7389558232931727,0.012048192771084338,0.9879518072289156,-1.0,-7.0,Je_earlier,Je_earlier,0.7389558232931727,0.9879518072289156,weak_or_none,credible_95,False
W113,W113_H_vs_Je_delta_peak,H,Je,quintile,0.2,199,199,0.12060301507537688,0.7336683417085427,0.01507537688442211,0.9849246231155779,-1.0,-7.0,Je_earlier,Je_earlier,0.7336683417085427,0.9849246231155779,weak_or_none,credible_95,False
W113,W113_H_vs_Je_delta_peak,H,Je,decile,0.1,99,99,0.16161616161616163,0.6767676767676768,0.010101010101010102,0.98989898989899,-1.0,-7.0,Je_earlier,Je_earlier,0.6767676767676768,0.98989898989899,weak_or_none,credible_95,False
W113,W113_Jw_vs_H_delta_peak,Jw,H,tercile,0.3333333333333333,333,333,0.963963963963964,0.024024024024024024,0.93993993993994,0.042042042042042045,10.0,5.0,Jw_earlier,Jw_earlier,0.963963963963964,0.93993993993994,credible_95,usable_90,False
W113,W113_Jw_vs_H_delta_peak,Jw,H,quartile,0.25,250,250,0.972,0.02,0.936,0.044,10.0,4.0,Jw_earlier,Jw_earlier,0.972,0.936,credible_95,usable_90,False
W113,W113_Jw_vs_H_delta_peak,Jw,H,quintile,0.2,200,200,0.975,0.015,0.925,0.05,11.0,4.0,Jw_earlier,Jw_earlier,0.975,0.925,credible_95,usable_90,False
W113,W113_Jw_vs_H_delta_peak,Jw,H,decile,0.1,100,100,0.98,0.02,0.91,0.06,11.0,4.0,Jw_earlier,Jw_earlier,0.98,0.91,credible_95,usable_90,False
W113,W113_Je_vs_Jw_delta_peak,Je,Jw,tercile,0.3333333333333333,333,333,0.4084084084084084,0.4624624624624625,0.05105105105105105,0.9039039039039038,0.0,-6.0,Jw_earlier,Jw_earlier,0.4624624624624625,0.9039039039039038,weak_or_none,usable_90,False
W113,W113_Je_vs_Jw_delta_peak,Je,Jw,quartile,0.25,249,249,0.4497991967871486,0.42971887550200805,0.03614457831325301,0.9196787148594378,0.0,-7.0,Je_earlier,Jw_earlier,0.4497991967871486,0.9196787148594378,weak_or_none,usable_90,True
W113,W113_Je_vs_Jw_delta_peak,Je,Jw,quintile,0.2,199,199,0.4824120603015075,0.40703517587939697,0.04020100502512563,0.914572864321608,0.0,-7.0,Je_earlier,Jw_earlier,0.4824120603015075,0.914572864321608,weak_or_none,usable_90,True
W113,W113_Je_vs_Jw_delta_peak,Je,Jw,decile,0.1,99,99,0.5858585858585859,0.31313131313131315,0.04040404040404041,0.9191919191919192,1.0,-8.0,Je_earlier,Jw_earlier,0.5858585858585859,0.9191919191919192,weak_or_none,usable_90,True
W160,W160_P_vs_V_delta_peak,P,V,tercile,0.3333333333333333,333,333,0.8978978978978979,0.07807807807807808,0.5555555555555556,0.3633633633633634,3.0,1.0,P_earlier,P_earlier,0.8978978978978979,0.5555555555555556,weak_or_none,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,quartile,0.25,249,249,0.9357429718875502,0.05220883534136546,0.5301204819277109,0.3895582329317269,4.0,1.0,P_earlier,P_earlier,0.9357429718875502,0.5301204819277109,usable_90,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,quintile,0.2,199,199,0.9396984924623115,0.04522613065326633,0.47738693467336685,0.4371859296482412,4.0,0.0,P_earlier,P_earlier,0.9396984924623115,0.47738693467336685,usable_90,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,decile,0.1,99,99,0.9494949494949495,0.04040404040404041,0.3939393939393939,0.5353535353535354,4.0,-1.0,P_earlier,V_earlier,0.9494949494949495,0.5353535353535354,usable_90,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,tercile,0.3333333333333333,333,333,0.4444444444444444,0.4624624624624625,0.18018018018018017,0.7627627627627628,0.0,-3.0,H_earlier,H_earlier,0.4624624624624625,0.7627627627627628,weak_or_none,weak_or_none,False
W160,W160_P_vs_H_delta_peak,P,H,quartile,0.25,250,250,0.472,0.428,0.164,0.78,0.0,-3.5,P_earlier,H_earlier,0.472,0.78,weak_or_none,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,quintile,0.2,200,200,0.47,0.425,0.155,0.785,0.0,-3.5,P_earlier,H_earlier,0.47,0.785,weak_or_none,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,decile,0.1,100,100,0.52,0.38,0.17,0.79,1.0,-4.0,P_earlier,H_earlier,0.52,0.79,weak_or_none,weak_or_none,True
W160,W160_P_vs_Je_delta_peak,P,Je,tercile,0.3333333333333333,333,333,0.93993993993994,0.04504504504504504,0.6966966966966966,0.24324324324324326,6.0,2.0,P_earlier,P_earlier,0.93993993993994,0.6966966966966966,usable_90,weak_or_none,False
W160,W160_P_vs_Je_delta_peak,P,Je,quartile,0.25,250,250,0.944,0.036,0.664,0.264,6.0,2.0,P_earlier,P_earlier,0.944,0.664,usable_90,weak_or_none,False
W160,W160_P_vs_Je_delta_peak,P,Je,quintile,0.2,200,200,0.94,0.04,0.635,0.285,6.0,1.5,P_earlier,P_earlier,0.94,0.635,usable_90,weak_or_none,False
