window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W045,W045_V_vs_H_delta_peak,V,0.21083449774494714,0.32350594017218787,0.6764940598278122,0.3790198396782665,0.6209801603217335,15.0,74.0,0.0,10.0,1
W045,W045_V_vs_Je_delta_peak,H,0.20649592758872573,0.0406200707829282,0.9593799292170719,0.47195827287904235,0.5280417271209576,13.0,73.0,0.0,10.0,3
W045,W045_V_vs_Je_delta_peak,Je,0.18378922953755478,0.5767362086197538,0.4232637913802463,0.5816950241498571,0.41830497585014303,4.0,60.0,0.0,10.0,5
W045,W045_V_vs_Je_delta_peak,Jw,0.2099307428097158,0.5213901718915686,0.4786098281084314,0.3076746955326193,0.6923253044673805,22.0,69.0,0.0,10.0,2
W045,W045_V_vs_Je_delta_peak,P,0.1875768462761776,0.48117259629705966,0.5188274037029403,0.5151254609152331,0.4848745390847669,4.0,73.0,0.0,12.0,4
W045,W045_V_vs_Je_delta_peak,V,0.21220725378782626,0.41379274287871814,0.5862072571212817,0.49707378638820576,0.5029262136117941,12.0,70.0,0.0,10.0,1
W045,W045_V_vs_Jw_delta_peak,H,0.20959090145481302,0.888153118193275,0.1118468818067251,0.45140545579741337,0.5485945442025868,8.0,66.0,0.0,10.0,2
W045,W045_V_vs_Jw_delta_peak,Je,0.1926070291979258,0.47111954463773875,0.5288804553622614,0.33193307353561036,0.6680669264643897,12.0,66.0,0.0,10.0,4
W045,W045_V_vs_Jw_delta_peak,Jw,0.19954814184658012,0.5625732282716323,0.43742677172836764,0.35611778159830243,0.6438822184016976,24.0,74.0,0.0,10.0,3
W045,W045_V_vs_Jw_delta_peak,P,0.18760333881478047,0.4230372894796252,0.5769627105203745,0.4642466200531327,0.5357533799468671,4.0,74.0,0.0,12.0,5
W045,W045_V_vs_Jw_delta_peak,V,0.2106505886859005,0.4077557618242255,0.5922442381757744,0.4995814029616169,0.500418597038383,4.0,61.0,0.0,10.0,1
W045,W045_H_vs_Je_delta_peak,H,0.19789838575000684,0.1705853259718401,0.8294146740281599,0.5732238216375737,0.4267761783624264,8.0,67.0,0.0,10.0,3
W045,W045_H_vs_Je_delta_peak,Je,0.22632935798165432,0.4892838283808906,0.5107161716191094,0.4244421458810099,0.5755578541189901,27.0,67.0,0.0,10.0,2
W045,W045_H_vs_Je_delta_peak,Jw,0.2305598407914904,0.778126185763789,0.221873814236211,0.5811011001331627,0.41889889986683737,9.0,69.0,0.0,10.0,1
W045,W045_H_vs_Je_delta_peak,P,0.1687025077830782,0.6831769319153923,0.316823068084608,0.5416088323818723,0.4583911676181278,4.0,74.0,0.0,12.0,5
W045,W045_H_vs_Je_delta_peak,V,0.17650990769377004,0.6194041653237367,0.38059583467626357,0.4700508192802867,0.5299491807197135,15.0,72.0,0.0,10.0,4
W045,W045_H_vs_Jw_delta_peak,H,0.19439983225854396,0.8353609837304691,0.16463901626953106,0.3935727084982096,0.6064272915017905,13.0,70.0,1.0,10.0,3
W045,W045_H_vs_Jw_delta_peak,Je,0.18259795289974665,0.4283793657063188,0.5716206342936813,0.4209354892324112,0.5790645107675887,8.0,68.0,0.0,10.0,4
W045,W045_H_vs_Jw_delta_peak,Jw,0.23860992585419305,0.7274699021467694,0.2725300978532305,0.5546332399639676,0.4453667600360325,4.0,74.0,0.0,10.0,1
W045,W045_H_vs_Jw_delta_peak,P,0.18227599949816223,0.5666444584209712,0.4333555415790288,0.4279536662792593,0.5720463337207407,4.0,74.0,0.0,12.0,5
W045,W045_H_vs_Jw_delta_peak,V,0.20211628948935406,0.5399364163258068,0.4600635836741934,0.44189239880147624,0.5581076011985239,5.0,73.0,0.0,10.0,2
W045,W045_Je_vs_Jw_delta_peak,H,0.2436890846066622,0.9870498724668108,0.012950127533189224,0.4657793604640173,0.5342206395359828,8.0,68.0,0.0,10.0,1
W045,W045_Je_vs_Jw_delta_peak,Je,0.1892981620565729,0.4366724126904498,0.5633275873095501,0.3055963378737303,0.6944036621262696,12.0,66.0,0.0,10.0,3
W045,W045_Je_vs_Jw_delta_peak,Jw,0.18675446297325626,0.5456868453358459,0.45431315466415423,0.3353086667807789,0.664691333219221,4.0,74.0,0.0,10.0,5
W045,W045_Je_vs_Jw_delta_peak,P,0.18693748830025642,0.44270550040842904,0.557294499591571,0.47661428763458175,0.5233857123654183,4.0,74.0,1.0,12.0,4
W045,W045_Je_vs_Jw_delta_peak,V,0.1933208020632522,0.4610477590901035,0.5389522409098965,0.546640098912373,0.4533599010876271,4.0,74.0,0.0,10.0,2
W081,W081_P_vs_V_delta_peak,H,0.17770068728286206,0.2691417328224765,0.7308582671775234,0.5276305341574903,0.47236946584250955,49.0,97.0,0.0,10.0,4
W081,W081_P_vs_V_delta_peak,Je,0.1818585859577182,0.6049156016024669,0.3950843983975332,0.4829679460170685,0.5170320539829315,49.0,107.0,0.0,10.0,3
W081,W081_P_vs_V_delta_peak,Jw,0.17436419263175165,0.3501963326502649,0.649803667349735,0.4388569958952093,0.5611430041047907,61.0,107.0,0.0,10.0,5
W081,W081_P_vs_V_delta_peak,P,0.2226517048290727,0.5593225915904277,0.44067740840957204,0.5457696990935362,0.4542303009064636,53.0,107.0,0.0,12.0,2
W081,W081_P_vs_V_delta_peak,V,0.24342482929859535,0.5439600444535303,0.45603995554646976,0.5075237780379928,0.4924762219620073,62.0,97.0,2.0,10.0,1
W081,W081_P_vs_H_delta_peak,H,0.1917231512354203,0.14808478600197464,0.8519152139980254,0.45879886747193804,0.541201132528062,49.0,107.0,0.0,10.0,3
W081,W081_P_vs_H_delta_peak,Je,0.15760728656139755,0.5979195540890988,0.4020804459109012,0.512659869323127,0.48734013067687293,49.0,107.0,0.0,10.0,5
W081,W081_P_vs_H_delta_peak,Jw,0.24107403764246216,0.2278608282967065,0.7721391717032934,0.4825270626604149,0.517472937339585,56.0,99.0,0.0,10.0,2
W081,W081_P_vs_H_delta_peak,P,0.24222561514946375,0.48302911686001,0.5169708831399901,0.4762624791560193,0.5237375208439806,49.0,103.0,0.0,12.0,1
W081,W081_P_vs_H_delta_peak,V,0.16736990941125615,0.34439282421060197,0.655607175789398,0.5626084971767825,0.43739150282321737,49.0,107.0,0.0,10.0,4
W081,W081_P_vs_Je_delta_peak,H,0.17041206917439986,0.45971997926780456,0.5402800207321954,0.47605505631453005,0.52394494368547,66.0,97.0,0.0,10.0,4
W081,W081_P_vs_Je_delta_peak,Je,0.18701760251604121,0.6400317603373451,0.359968239662655,0.4926904541643529,0.5073095458356471,70.0,93.0,0.0,10.0,3
W081,W081_P_vs_Je_delta_peak,Jw,0.15594944058041676,0.34609542412090494,0.6539045758790951,0.5088867363245857,0.49111326367541425,54.0,101.0,0.0,10.0,5
W081,W081_P_vs_Je_delta_peak,P,0.25329742182390325,0.4474022551854235,0.5525977448145766,0.43141308350547,0.56858691649453,49.0,100.0,0.0,12.0,1
W081,W081_P_vs_Je_delta_peak,V,0.2333234659052389,0.2607754140773096,0.7392245859226904,0.3035664751215641,0.6964335248784359,69.0,107.0,0.0,10.0,2
W081,W081_P_vs_Jw_delta_peak,H,0.18878931401043453,0.12584577284069481,0.8741542271593051,0.45185592198269764,0.5481440780173022,49.0,102.0,0.0,10.0,4
W081,W081_P_vs_Jw_delta_peak,Je,0.13502174828172275,0.35894123362091757,0.6410587663790825,0.5648541313763521,0.43514586862364796,49.0,107.0,0.0,10.0,5
W081,W081_P_vs_Jw_delta_peak,Jw,0.23770897484322814,0.3335575599829312,0.6664424400170688,0.5000484855627898,0.4999515144372101,60.0,92.0,0.0,10.0,2
W081,W081_P_vs_Jw_delta_peak,P,0.23853211976162683,0.48380747189176637,0.5161925281082337,0.5260266637514928,0.4739733362485071,49.0,105.0,0.0,12.0,1
