window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window,pcmci_plus_supported,support_rule
T1,P_main_band_share,Je_meridional_width,P,Je,False,1,,False,0.04565639176324405,0.5427930385366312,lagged_direct_edge_control,source(t-tau)->target(t),0.8341346802469427,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_meridional_width,P,Je,False,2,,False,0.05679107683848279,0.4489087974484934,lagged_direct_edge_control,source(t-tau)->target(t),0.7880353772804818,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_meridional_width,P,Je,False,3,,False,0.06953241322359188,0.353667369753245,lagged_direct_edge_control,source(t-tau)->target(t),0.7460928074246538,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_meridional_width,P,Je,False,4,,False,0.07487773582372961,0.3177972474271336,lagged_direct_edge_control,source(t-tau)->target(t),0.7192219584121956,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Je_meridional_width,P,Je,False,5,,False,0.10193142363068264,0.17333196070117335,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,1,,False,0.0488875443858731,0.5193610949847521,lagged_direct_edge_control,source(t-tau)->target(t),0.8261846360444856,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,2,,False,0.01428333809595968,0.8507596446198017,lagged_direct_edge_control,source(t-tau)->target(t),0.9608591468296769,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,3,,False,-0.027856071441883835,0.7136261021859018,lagged_direct_edge_control,source(t-tau)->target(t),0.9196520480052626,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,4,,False,0.12455730706516047,0.09666040352262578,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_strength,P,Jw,False,5,,False,0.07653565271311297,0.308536384260838,lagged_direct_edge_control,source(t-tau)->target(t),0.716560887121828,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,1,,False,-0.03693059826453214,0.6225835657922635,lagged_direct_edge_control,source(t-tau)->target(t),0.8724100921929806,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,2,,False,-0.0694477695667679,0.35425504587619383,lagged_direct_edge_control,source(t-tau)->target(t),0.746310219766537,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,3,,False,-0.12416483795307295,0.09677909595559081,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,4,,False,-0.10808709237277629,0.14981127310735412,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_axis_lat,P,Jw,False,5,,False,-0.0727159925328526,0.33337448072176606,lagged_direct_edge_control,source(t-tau)->target(t),0.7294450629510948,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,1,,False,-0.09790388602381257,0.19103923450867513,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,2,,False,-0.10019519505149715,0.18081017172520325,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,3,,False,-0.12304477253279791,0.09985084006112865,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,4,,False,-0.1183632094314106,0.11353229054290444,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_main_band_share,Jw_meridional_width,P,Jw,False,5,,False,-0.07848738559283812,0.2949615912369632,lagged_direct_edge_control,source(t-tau)->target(t),0.7089135282982664,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_strength,P,V,False,1,-->,True,0.20910022535581896,0.005908340460135627,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
T1,P_south_band_share_18_24,V_strength,P,V,False,2,,False,-0.13172562540930421,0.0779576133203007,lagged_direct_edge_control,source(t-tau)->target(t),0.6652276008216654,False,graph_selected_and_window_BH_q_le_alpha
