window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
T1,P_main_minus_south,Je_axis_lat,P,Je,False,0,,False,0.1195073522892317,0.11840653871819558,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Je_meridional_width,P,Je,False,0,,False,0.10355755547816692,0.1713944175689124,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_strength,P,Jw,False,0,,False,0.06114860309914262,0.4228178902179258,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_axis_lat,P,Jw,False,0,,False,-0.06178956890840655,0.4152617972644289,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_main_minus_south,Jw_meridional_width,P,Jw,False,0,,False,-0.002594917331880355,0.9726550028452643,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_strength,P,V,False,0,,False,-0.016585733664125017,0.828532039985672,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9381906923367169,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_pos_centroid_lat,P,V,False,0,<--,True,0.18310574161580148,0.016522755327296162,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6078695120678179,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,V_NS_diff,P,V,False,0,,False,0.12942925207228145,0.08966248714398896,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.63826833317675,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_strength,P,H,False,0,,False,0.04997918557580233,0.5125138936477707,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8356015436460197,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_centroid_lat,P,H,False,0,,False,0.10153839964101477,0.17994355533382783,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6561983703064279,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_west_extent_lon,P,H,False,0,,False,0.001239636864346993,0.9870476485360444,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9934613230281912,False,tau0_graph_selected_and_window_BH_q_le_alpha
T1,P_spread_lat,H_zonal_width,P,H,False,0,,False,0.07195786372736412,0.34398608343673254,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7789673125123757,False,tau0_graph_selected_and_window_BH_q_le_alpha
