object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
V,14,bootstrap,14,CP002,30,05-01,29,5.184135157004416,0.04160528171407485,-1,1,strict
V,14,bootstrap,14,CP003,45,05-16,45,29.731299471192784,26.706093801898163,0,0,strict
V,14,bootstrap,14,CP004,69,06-09,67,20.852137725606866,9.165576802263914,-2,2,strict
V,14,bootstrap,14,CP005,80,06-20,84,21.40759812350779,19.304028359672603,4,4,matched
V,14,bootstrap,14,CP006,95,07-05,95,15.949277009881264,4.037676957508619,0,0,strict
V,14,bootstrap,14,CP007,114,07-24,114,21.95008712153618,20.542192720991057,0,0,strict
V,14,bootstrap,14,CP008,136,08-15,136,9.797368378541417,3.221881867527429,0,0,strict
V,14,bootstrap,14,CP009,161,09-09,155,23.994431558553703,11.511420672522917,-6,6,near
V,15,bootstrap,15,CP001,16,04-17,17,10.892027273120707,2.097595616269402,1,1,strict
V,15,bootstrap,15,CP002,30,05-01,37,28.417086557269947,21.51816734161903,7,7,near
V,15,bootstrap,15,CP003,45,05-16,37,28.417086557269947,21.51816734161903,-8,8,near
V,15,bootstrap,15,CP004,69,06-09,76,30.584171919634798,29.031530798603256,7,7,near
V,15,bootstrap,15,CP005,80,06-20,76,30.584171919634798,29.031530798603256,-4,4,matched
V,15,bootstrap,15,CP006,95,07-05,94,14.052702102030333,7.021716785846291,-1,1,strict
V,15,bootstrap,15,CP007,114,07-24,112,27.505760524276255,25.290854313188216,-2,2,strict
V,15,bootstrap,15,CP008,136,08-15,140,18.64510933356805,12.461793167447713,4,4,matched
V,15,bootstrap,15,CP009,161,09-09,140,18.64510933356805,12.461793167447713,-21,21,no_match
V,16,bootstrap,16,CP001,16,04-17,30,9.1289952510795,1.1802699821935603,14,14,no_match
V,16,bootstrap,16,CP002,30,05-01,30,9.1289952510795,1.1802699821935603,0,0,strict
V,16,bootstrap,16,CP003,45,05-16,44,15.392793295349593,9.420041456990596,-1,1,strict
V,16,bootstrap,16,CP004,69,06-09,63,20.551672399416255,15.454998510380854,-6,6,near
V,16,bootstrap,16,CP005,80,06-20,77,14.710553154062191,0.8415646217703685,-3,3,matched
V,16,bootstrap,16,CP006,95,07-05,88,18.316605157316925,7.689641697017487,-7,7,near
V,16,bootstrap,16,CP007,114,07-24,113,22.335629493919875,18.79704370477441,-1,1,strict
V,16,bootstrap,16,CP008,136,08-15,137,21.233763647928356,17.31873939305447,1,1,strict
V,16,bootstrap,16,CP009,161,09-09,165,39.339807523847405,10.21755185826736,4,4,matched
V,17,bootstrap,17,CP001,16,04-17,17,4.598829089427584,0.9501707346603507,1,1,strict
V,17,bootstrap,17,CP002,30,05-01,29,3.6388795018891873,0.12661816481260946,-1,1,strict
V,17,bootstrap,17,CP003,45,05-16,42,23.448110507144797,20.220761673867344,-3,3,matched
V,17,bootstrap,17,CP004,69,06-09,66,21.77880109084282,1.457012490050218,-3,3,matched
V,17,bootstrap,17,CP005,80,06-20,78,30.848410235702396,27.98690903474911,-2,2,strict
V,17,bootstrap,17,CP006,95,07-05,95,14.487756549136622,4.664229371089553,0,0,strict
V,17,bootstrap,17,CP007,114,07-24,113,19.29741907263601,12.042584987195443,-1,1,strict
V,17,bootstrap,17,CP008,136,08-15,137,10.598222201952387,0.703586956066637,1,1,strict
V,17,bootstrap,17,CP009,161,09-09,144,11.914851530730125,6.108317572578779,-17,17,no_match
V,18,bootstrap,18,CP001,16,04-17,22,1.2739371946694154,0.20328406595909332,6,6,near
V,18,bootstrap,18,CP002,30,05-01,32,7.418203686678915,0.41966800928382586,2,2,strict
V,18,bootstrap,18,CP003,45,05-16,46,32.366101302340184,31.067878499764046,1,1,strict
V,18,bootstrap,18,CP004,69,06-09,67,15.22780241611396,2.0019249653798283,-2,2,strict
V,18,bootstrap,18,CP005,80,06-20,79,18.861763385028972,16.02148564486241,-1,1,strict
V,18,bootstrap,18,CP006,95,07-05,96,16.993712098405375,13.831366497941657,1,1,strict
V,18,bootstrap,18,CP007,114,07-24,123,36.734132290790704,35.20259465131521,9,9,no_match
V,18,bootstrap,18,CP008,136,08-15,136,3.7093865161996584,1.921713212199617,0,0,strict
V,18,bootstrap,18,CP009,161,09-09,160,43.56711387590798,19.988773476246656,-1,1,strict
V,19,bootstrap,19,CP001,16,04-17,16,4.6898775982876995,0.3092919573820385,0,0,strict
V,19,bootstrap,19,CP002,30,05-01,30,5.271702917730289,1.5223813124811194,0,0,strict
V,19,bootstrap,19,CP003,45,05-16,45,26.386523549483602,22.962619089697704,0,0,strict
V,19,bootstrap,19,CP004,69,06-09,68,16.62216262520552,1.7420263185584055,-1,1,strict
V,19,bootstrap,19,CP005,80,06-20,81,32.576928506052354,30.870776888137932,1,1,strict
V,19,bootstrap,19,CP006,95,07-05,96,15.89164343395859,6.028117286474776,1,1,strict
V,19,bootstrap,19,CP007,114,07-24,116,21.828004123399516,18.95683162996025,2,2,strict
V,19,bootstrap,19,CP008,136,08-15,136,9.232741257043314,6.059246083916356,0,0,strict
