field,day,progress_raw,progress_clipped_0_1,distance_to_pre,distance_to_post,daily_delta_progress,phase_label
Jw,43,0.33703594537732307,0.33703594537732307,2.743496014208638,4.736895857826421,0.04289717909411622,early_progress
Jw,44,0.38506607951901856,0.38506607951901856,3.087623328693575,4.477724120175332,0.04803013414169549,early_progress
Jw,45,0.44477047162230704,0.44477047162230704,3.4829519906615674,4.145422117535049,0.059704392103288484,anchor_near
Jw,46,0.5001111470143521,0.5001111470143521,3.835551205310283,3.834225209825578,0.05534067539204507,anchor_near
Jw,47,0.5491172720090801,0.5491172720090801,4.0929405531170415,3.501124305743435,0.049006124994728006,retreat_or_crossing
Jw,48,0.6043627522948831,0.6043627522948831,4.375499984095377,3.0976893906869494,0.055245480285803006,late_recovery_or_catchup
Jw,49,0.6699761113606522,0.6699761113606522,4.728027884885043,2.6079156145411746,0.06561335906576904,late_recovery_or_catchup
Jw,50,0.7349503060976565,0.7349503060976565,5.093910619261725,2.1094270823363717,0.06497419473700439,late_recovery_or_catchup
Jw,51,0.7942516279961759,0.7942516279961759,5.442669457156042,1.6426393232151928,0.05930132189851933,late_recovery_or_catchup
Jw,52,0.851420104111192,0.851420104111192,5.797650700979475,1.2072202384987234,0.057168476115016076,late_recovery_or_catchup
Jw,53,0.9072463065757482,0.9072463065757482,6.158307836044303,0.8131519409144438,0.055826202464556274,post_period
Jw,54,0.9440652900669674,0.9440652900669674,6.399534219314135,0.5670242498893083,0.03681898349121915,post_period
Jw,55,0.9722645410633731,0.9722645410633731,6.584331930540941,0.3750186687635002,0.028199250996405745,post_period
Jw,56,1.0000045111821794,1.0,6.768603788341577,0.2509338464051821,0.027739970118806245,post_period
Jw,57,1.0179681787125403,1.0,6.888284188305089,0.2318013724122548,0.01796366753036094,post_period
Jw,58,1.0320382017797365,1.0,6.986337305987285,0.3560299238406974,0.01407002306719618,post_period
Jw,59,1.0507601461239338,1.0,7.122576364764252,0.5795355274172269,0.018721944344197272,post_period
Jw,60,1.0756528244955212,1.0,7.308081884570876,0.8573898851279658,0.024892678371587484,post_period
