field,region_scheme,region_id,region_label,lat_min,lat_max,lon_min,lon_max,n_grid_cells,bootstrap_eligible,region_construction_note,n_cells,transition_norm,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,departure90,departure95,t10,t25,t50,t75,peak_raw,peak_smooth3,duration_25_75,tail_50_75,early_span_25_50,n_crossings_025,n_crossings_050,n_crossings_075,progress_monotonicity_corr
H,raw_latband,H_lat_022,lat_20.500,20.5,20.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.1337474272849866,0.38345773863466115,0.5834461969619718,3.2410121749595446,clear_separation,37.0,37.0,36.0,38.0,41.0,52.0,37.0,37.0,14.0,11.0,3.0,1,1,1,0.9625875176975521
H,raw_latband,H_lat_023,lat_20.750,20.75,20.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.393088060652032,0.43852856891378766,0.6192548197302485,3.2077343027683614,clear_separation,37.0,37.0,36.0,37.0,40.0,54.0,37.0,37.0,17.0,14.0,3.0,1,1,1,0.9404370978205685
H,raw_latband,H_lat_024,lat_21.000,21.0,21.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,3.729767858668368,0.5059277125503208,0.655656287102709,3.210932536762271,clear_separation,37.0,37.0,36.0,37.0,39.0,54.0,37.0,37.0,17.0,15.0,2.0,1,1,1,0.920932308741342
H,raw_latband,H_lat_025,lat_21.250,21.25,21.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.133559354497336,0.5828893295167811,0.6925061221431341,3.2410021135935114,clear_separation,37.0,37.0,36.0,37.0,39.0,54.0,37.0,37.0,17.0,15.0,2.0,1,1,3,0.9078634709033837
H,raw_latband,H_lat_026,lat_21.500,21.5,21.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,4.592511720988517,0.6673779233790775,0.7301815578513051,3.2860939249221537,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,37.0,37.0,6.0,4.0,2.0,1,1,3,0.901139844349508
H,raw_latband,H_lat_027,lat_21.750,21.75,21.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,5.096249220977235,0.7580301227634545,0.768965585918437,3.3374351951364267,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,37.0,37.0,6.0,4.0,2.0,1,1,3,0.8991022462601661
H,raw_latband,H_lat_028,lat_22.000,22.0,22.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,5.637390510720368,0.8545303856125912,0.8088625080400897,3.389091375965361,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,37.0,37.0,6.0,4.0,2.0,1,1,3,0.9000504765378292
H,raw_latband,H_lat_029,lat_22.250,22.25,22.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,6.212592287253513,0.9569549217166677,0.8503523230786154,3.437485411041566,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,38.0,37.0,6.0,4.0,2.0,1,1,3,0.9027470983410146
H,raw_latband,H_lat_030,lat_22.500,22.5,22.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,6.816790286196152,1.0642324056078571,0.893137642302533,3.482627259711818,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,38.0,37.0,6.0,4.0,2.0,1,1,3,0.9064050362402104
H,raw_latband,H_lat_031,lat_22.750,22.75,22.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,7.4445093735967784,1.1756278980169876,0.9370210188726814,3.5237797033294576,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,38.0,38.0,6.0,4.0,2.0,1,1,3,0.9104377028785309
H,raw_latband,H_lat_032,lat_23.000,23.0,23.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,8.088908755924917,1.2904591028420531,0.9821293180827182,3.559337309583468,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,38.0,38.0,6.0,4.0,2.0,1,1,3,0.9144097998934522
H,raw_latband,H_lat_033,lat_23.250,23.25,23.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,8.743056771663303,1.4077762296162555,1.0280116221156637,3.589416362942579,clear_separation,37.0,37.0,36.0,37.0,39.0,43.0,38.0,38.0,6.0,4.0,2.0,1,1,3,0.9181227822433609
H,raw_latband,H_lat_034,lat_23.500,23.5,23.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,9.404797240236508,1.5266063769774103,1.0748816680976385,3.615160660853698,clear_separation,37.0,37.0,36.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,3,0.9215447189535834
H,raw_latband,H_lat_035,lat_23.750,23.75,23.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,10.074630647612652,1.646810867528746,1.122794669182295,3.637568785183924,clear_separation,37.0,37.0,36.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,3,0.9247300613847719
H,raw_latband,H_lat_036,lat_24.000,24.0,24.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,10.745785626568761,1.7681389402670578,1.1714148774998423,3.655583905836446,clear_separation,37.0,37.0,36.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,1,0.9275884370589745
H,raw_latband,H_lat_037,lat_24.250,24.25,24.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,11.415087668880217,1.8902573025873446,1.2200840922727862,3.67004332313609,clear_separation,37.0,37.0,36.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,1,0.9301434785164833
H,raw_latband,H_lat_038,lat_24.500,24.5,24.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,12.085345391955073,2.0134412884163706,1.268081007560578,3.6828472586553374,clear_separation,37.0,37.0,36.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,1,0.9325112995871992
H,raw_latband,H_lat_039,lat_24.750,24.75,24.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,12.748080534981854,2.1368530495315294,1.3152777735193089,3.6928150143845566,clear_separation,37.0,37.0,35.0,37.0,39.0,52.0,38.0,38.0,15.0,13.0,2.0,1,1,1,0.9346252034367903
H,raw_latband,H_lat_040,lat_25.000,25.0,25.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,13.398768433726826,2.25945324192321,1.3615534058626122,3.7002882725774398,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9365088048995289
H,raw_latband,H_lat_041,lat_25.250,25.25,25.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,14.039776241602647,2.3803746098810885,1.4063977092231423,3.7075839418103134,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9382764672811246
H,raw_latband,H_lat_042,lat_25.500,25.5,25.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,14.668236573096056,2.4991267271638584,1.449269046745097,3.714986392707624,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.939909049388082
H,raw_latband,H_lat_043,lat_25.750,25.75,25.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,15.279466921659642,2.615877395708761,1.4897048581386563,3.7216321527454403,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9413654955721305
H,raw_latband,H_lat_044,lat_26.000,26.0,26.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,15.873658216901807,2.730993233989408,1.5276434046601355,3.7274037594190017,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9427626372554282
H,raw_latband,H_lat_045,lat_26.250,26.25,26.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,16.451464075814968,2.8443668904444737,1.5634965506576401,3.7322989461083553,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9441482668643604
H,raw_latband,H_lat_046,lat_26.500,26.5,26.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,17.00867797023343,2.9553895919963,1.597591631800098,3.7357232841938095,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9454952344770075
H,raw_latband,H_lat_047,lat_26.750,26.75,26.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,17.543611619044114,3.063841916733683,1.6295566039262912,3.7379335127452964,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9468213282065631
H,raw_latband,H_lat_048,lat_27.000,27.0,27.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,18.052090246431376,3.169674816700633,1.6589578251747732,3.738551176968409,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.948088319663671
H,raw_latband,H_lat_049,lat_27.250,27.25,27.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,18.532707800440672,3.273046098453514,1.68644944926238,3.7368130734538005,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9492861866008278
H,raw_latband,H_lat_050,lat_27.500,27.5,27.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,18.98963659156513,3.374141280717616,1.7125878497295832,3.733172359798065,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9504669329498697
H,raw_latband,H_lat_051,lat_27.750,27.75,27.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,19.425146971901203,3.4727366205184165,1.7380417985215915,3.727878142145207,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.951656072985978
H,raw_latband,H_lat_052,lat_28.000,28.0,28.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,19.840769593818827,3.5684861870438382,1.7637241709100753,3.7209277695173615,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9528629396337318
H,raw_latband,H_lat_053,lat_28.250,28.25,28.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,20.237557414026753,3.6616438346742193,1.7897962418911844,3.712332361686183,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,38.0,37.0,14.0,12.0,2.0,1,1,1,0.9540836975090119
H,raw_latband,H_lat_054,lat_28.500,28.5,28.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,20.615988153048,3.751852960868098,1.8166923231340366,3.7022215141673795,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,36.0,37.0,14.0,12.0,2.0,1,1,1,0.9553201558786831
H,raw_latband,H_lat_055,lat_28.750,28.75,28.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,20.97529741138208,3.839177495999236,1.8449731034946184,3.690137522614166,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,36.0,37.0,14.0,12.0,2.0,1,1,1,0.9565545253680925
H,raw_latband,H_lat_056,lat_29.000,29.0,29.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,21.318145912262537,3.9245891567903515,1.8747371711962542,3.675969363783623,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,36.0,36.0,14.0,12.0,2.0,1,1,1,0.9577436364673114
H,raw_latband,H_lat_057,lat_29.250,29.25,29.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,21.650506715272076,4.008707336288085,1.9062879224803244,3.6602745679596773,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,36.0,36.0,14.0,12.0,2.0,1,1,1,0.9589056902170269
H,raw_latband,H_lat_058,lat_29.500,29.5,29.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,21.976625014086892,4.091991695065179,1.9401768477801709,3.6432378933033935,clear_separation,37.0,37.0,35.0,37.0,39.0,51.0,36.0,36.0,14.0,12.0,2.0,1,1,1,0.96002740116488
H,raw_latband,H_lat_059,lat_29.750,29.75,29.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,22.299164990528787,4.174543895714043,1.9762053436403617,3.625438807983229,clear_separation,37.0,37.0,35.0,37.0,40.0,51.0,36.0,36.0,14.0,11.0,3.0,1,1,1,0.9610774381054759
H,raw_latband,H_lat_060,lat_30.000,30.0,30.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,22.620153220512986,4.256158819286329,2.0134305227145415,3.607916242452654,clear_separation,37.0,37.0,35.0,37.0,40.0,51.0,36.0,36.0,14.0,11.0,3.0,1,1,1,0.9620656337468196
H,raw_latband,H_lat_061,lat_30.250,30.25,30.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,22.942370255475915,4.335781219500568,2.050524185648822,3.5924323689526467,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,36.0,36.0,15.0,12.0,3.0,1,1,1,0.9630105794216376
H,raw_latband,H_lat_062,lat_30.500,30.5,30.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,23.272018348254814,4.413715930365579,2.0875892515254764,3.5795917430668296,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,36.0,36.0,15.0,12.0,3.0,1,1,1,0.9639053112319331
H,raw_latband,H_lat_063,lat_30.750,30.75,30.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,23.61079760046322,4.489590637602194,2.1263088670437975,3.5687962889827185,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,36.0,36.0,15.0,12.0,3.0,1,1,1,0.9647383295320113
H,raw_latband,H_lat_064,lat_31.000,31.0,31.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,23.96588918844835,4.562849525738503,2.166829715532767,3.56122310279993,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,36.0,36.0,15.0,12.0,3.0,1,3,1,0.9655253236244711
H,raw_latband,H_lat_065,lat_31.250,31.25,31.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,24.340718621364076,4.633913481347945,2.2099615822348495,3.5565696911804254,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,36.0,36.0,15.0,12.0,3.0,1,3,1,0.9662325155209601
H,raw_latband,H_lat_066,lat_31.500,31.5,31.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,24.72563707358093,4.701370160768222,2.257299900463952,3.5532130214552455,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,50.0,36.0,15.0,12.0,3.0,1,3,1,0.9668286076161832
H,raw_latband,H_lat_067,lat_31.750,31.75,31.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,25.13068831692565,4.765655114009366,2.3084033714222634,3.5525135067344977,clear_separation,37.0,37.0,35.0,37.0,40.0,52.0,50.0,36.0,15.0,12.0,3.0,1,3,1,0.9673281751147266
H,raw_latband,H_lat_068,lat_32.000,32.0,32.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,25.55604772280934,4.828026106174086,2.3624556342931875,3.5541495890299806,clear_separation,37.0,37.0,35.0,37.0,42.0,52.0,50.0,36.0,15.0,10.0,5.0,1,3,1,0.9677200506190021
H,raw_latband,H_lat_069,lat_32.250,32.25,32.25,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,25.992501922042187,4.888657749343526,2.419065338655445,3.5568537024518747,clear_separation,37.0,37.0,35.0,37.0,49.0,52.0,50.0,35.0,15.0,3.0,12.0,1,1,1,0.9679932343191968
H,raw_latband,H_lat_070,lat_32.500,32.5,32.5,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,26.44145866850711,4.9476324673979395,2.476709955158939,3.561454626361496,clear_separation,37.0,37.0,35.0,37.0,49.0,52.0,50.0,30.0,15.0,3.0,12.0,1,1,1,0.9681755582390996
H,raw_latband,H_lat_071,lat_32.750,32.75,32.75,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,26.902442721652346,5.004738685897779,2.5337720130177015,3.5686681091429153,clear_separation,37.0,37.0,35.0,37.0,49.0,52.0,50.0,30.0,15.0,3.0,12.0,1,1,1,0.9682332324702949
H,raw_latband,H_lat_072,lat_33.000,33.0,33.0,110.0,140.0,121,False,one raw latitude row averaged over object longitude domain; observed curves only by default to avoid excessive bootstrap cost,121,27.381477840253044,5.0586960697829495,2.590156403293286,3.5798151339217408,clear_separation,37.0,37.0,35.0,37.0,49.0,52.0,50.0,30.0,15.0,3.0,12.0,1,1,1,0.9681935962651884
