v_component,region,comparison,target_window,reference_window,R2_target,R2_reference,R2_delta,R2_delta_percent,direction
V_strength,scs,T3_late_minus_T3_early,T3_late,T3_early,0.0356856602093077,0.0546958421878716,-0.019010181978563905,-34.75617381165267,decrease
V_strength,scs,S4_minus_T3_full,S4,T3_full,0.0311103241561978,0.0372716079365069,-0.006161283780309099,-16.530769992013752,decrease
V_strength,scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0372716079365069,0.0546958421878716,-0.017424234251364704,-31.85659742017538,decrease
V_strength,south_china_scs,T3_full_minus_S3,T3_full,S3,0.0496408422566216,0.0799535208917498,-0.030312678635128196,-37.91287525182157,decrease
V_strength,south_china_scs,T3_late_minus_T3_early,T3_late,T3_early,0.0445868319343493,0.0755685239739148,-0.030981692039565495,-40.99814368514058,decrease
V_strength,south_china_scs,S4_minus_T3_full,S4,T3_full,0.0359328225104528,0.0496408422566216,-0.013708019746168802,-27.614397989672074,decrease
V_strength,south_china_scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0496408422566216,0.0755685239739148,-0.02592768171729319,-34.310160307276966,decrease
V_strength,main_easm_domain,T3_full_minus_S3,T3_full,S3,0.040821925702704,0.0499591321310795,-0.009137206428375497,-18.289361801565914,decrease
V_strength,main_easm_domain,T3_late_minus_T3_early,T3_late,T3_early,0.0449713800065639,0.0588043976601741,-0.013833017653610197,-23.523780880386017,decrease
V_strength,main_easm_domain,S4_minus_T3_full,S4,T3_full,0.0270740200719227,0.040821925702704,-0.0137479056307813,-33.6777488913774,decrease
V_strength,main_easm_domain,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.040821925702704,0.0588043976601741,-0.017982471957470096,-30.580148208284285,decrease
V_NS_diff,north_northeast,T3_full_minus_S3,T3_full,S3,0.0299363037480609,0.0211814908092808,0.0087548129387801,41.33237371065556,increase
V_NS_diff,north_northeast,T3_late_minus_T3_early,T3_late,T3_early,0.0421424482504816,0.0387733969044091,0.003369051346072502,8.689079665571917,near_zero
V_NS_diff,north_northeast,S4_minus_T3_full,S4,T3_full,0.0082141841625821,0.0299363037480609,-0.0217221195854788,-72.56112768058692,decrease
V_NS_diff,north_northeast,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0299363037480609,0.0421424482504816,-0.012206144502420701,-28.964013741848067,decrease
V_NS_diff,main_meiyu,T3_full_minus_S3,T3_full,S3,0.0584181586380208,0.0569373401406986,0.0014808184973221991,2.6007862215954054,near_zero
V_NS_diff,main_meiyu,T3_late_minus_T3_early,T3_late,T3_early,0.0485607375244218,0.0829313612589204,-0.0343706237344986,-41.44466365044933,decrease
V_NS_diff,main_meiyu,S4_minus_T3_full,S4,T3_full,0.0399642328259528,0.0584181586380208,-0.018453925812068,-31.589365776512974,decrease
V_NS_diff,main_meiyu,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0584181586380208,0.0829313612589204,-0.024513202620899593,-29.55842307274664,decrease
V_NS_diff,south_china,T3_full_minus_S3,T3_full,S3,0.0600176763123564,0.0708531553802311,-0.010835479067874701,-15.292867353227196,decrease
V_NS_diff,south_china,T3_late_minus_T3_early,T3_late,T3_early,0.0590592647872326,0.0763201065931416,-0.017260841805909005,-22.616375390990513,decrease
V_NS_diff,south_china,S4_minus_T3_full,S4,T3_full,0.0331622055685991,0.0600176763123564,-0.026855470743757298,-44.74593552071311,decrease
V_NS_diff,south_china,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0600176763123564,0.0763201065931416,-0.016302430280785207,-21.360596844672386,decrease
V_NS_diff,scs,T3_full_minus_S3,T3_full,S3,0.0570835171218456,0.0757463175157462,-0.0186628003939006,-24.6385580262974,decrease
V_NS_diff,scs,T3_late_minus_T3_early,T3_late,T3_early,0.0613070224644302,0.0692361326305485,-0.007929110166118296,-11.45227190609979,decrease
V_NS_diff,scs,S4_minus_T3_full,S4,T3_full,0.0462450311825804,0.0570835171218456,-0.010838485939265202,-18.98706752096283,decrease
V_NS_diff,scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0570835171218456,0.0692361326305485,-0.012152615508702891,-17.552418147834114,decrease
V_NS_diff,south_china_scs,T3_full_minus_S3,T3_full,S3,0.0769224763552531,0.0923083607448869,-0.0153858843896338,-16.667920722973133,decrease
V_NS_diff,south_china_scs,T3_late_minus_T3_early,T3_late,T3_early,0.0741861862510121,0.0959312548216213,-0.021745068570609205,-22.66734508064438,decrease
V_NS_diff,south_china_scs,S4_minus_T3_full,S4,T3_full,0.0517709706506921,0.0769224763552531,-0.025151505704560997,-32.69721269554965,decrease
V_NS_diff,south_china_scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0769224763552531,0.0959312548216213,-0.019008778466368212,-19.81500033718307,decrease
V_NS_diff,main_easm_domain,T3_full_minus_S3,T3_full,S3,0.0547749756884578,0.0581746016340427,-0.0033996259455848984,-5.843831930248235,near_zero
V_NS_diff,main_easm_domain,T3_late_minus_T3_early,T3_late,T3_early,0.0592097897259665,0.070150702192273,-0.010940912466306497,-15.596297862163985,decrease
V_NS_diff,main_easm_domain,S4_minus_T3_full,S4,T3_full,0.0355030515381205,0.0547749756884578,-0.0192719241503373,-35.183811417735214,decrease
V_NS_diff,main_easm_domain,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0547749756884578,0.070150702192273,-0.015375726503815197,-21.91813627420655,decrease
V_pos_centroid_lat,north_northeast,T3_full_minus_S3,T3_full,S3,0.0205013131442151,0.0230027924375187,-0.002501479293303601,-10.87467662936246,near_zero
V_pos_centroid_lat,north_northeast,T3_late_minus_T3_early,T3_late,T3_early,0.0321649079464206,0.0347285955498787,-0.002563687603458098,-7.382065306315138,near_zero
V_pos_centroid_lat,north_northeast,S4_minus_T3_full,S4,T3_full,0.0063001722366393,0.0205013131442151,-0.014201140907575798,-69.2694209764947,decrease
V_pos_centroid_lat,north_northeast,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0205013131442151,0.0347285955498787,-0.0142272824056636,-40.96705375035903,decrease
V_pos_centroid_lat,main_meiyu,T3_full_minus_S3,T3_full,S3,0.0451736814988839,0.0471805411746303,-0.002006859675746403,-4.2535749395463105,near_zero
V_pos_centroid_lat,main_meiyu,T3_late_minus_T3_early,T3_late,T3_early,0.0597139518318881,0.0476799621130515,0.012033989718836603,25.239092452094305,increase
V_pos_centroid_lat,main_meiyu,S4_minus_T3_full,S4,T3_full,0.0313954389835111,0.0451736814988839,-0.013778242515372803,-30.500596936544174,decrease
V_pos_centroid_lat,main_meiyu,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0451736814988839,0.0597139518318881,-0.014540270333004202,-24.34987115563752,decrease
V_pos_centroid_lat,south_china,T3_full_minus_S3,T3_full,S3,0.0719086023833929,0.0608394967279825,0.011069105655410402,18.193946779180507,increase
V_pos_centroid_lat,south_china,T3_late_minus_T3_early,T3_late,T3_early,0.100185390250632,0.0602968037694243,0.0398885864812077,66.15373284750238,increase
V_pos_centroid_lat,south_china,S4_minus_T3_full,S4,T3_full,0.03745095712995,0.0719086023833929,-0.0344576452534429,-47.918669131860085,decrease
V_pos_centroid_lat,south_china,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0719086023833929,0.100185390250632,-0.028276787867239098,-28.224462465534707,decrease
V_pos_centroid_lat,scs,T3_full_minus_S3,T3_full,S3,0.060673999474418,0.0522804108750558,0.0083935885993622,16.054940003095837,increase
V_pos_centroid_lat,scs,T3_late_minus_T3_early,T3_late,T3_early,0.0674635977637387,0.0674036999822401,5.989778149859126e-05,0.0888642337354974,near_zero
V_pos_centroid_lat,scs,S4_minus_T3_full,S4,T3_full,0.0504486505109589,0.060673999474418,-0.0102253489634591,-16.852933797071376,decrease
V_pos_centroid_lat,scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.060673999474418,0.0674635977637387,-0.0067895982893207,-10.064091620340578,decrease
V_pos_centroid_lat,south_china_scs,T3_full_minus_S3,T3_full,S3,0.0681681061143788,0.0599779281209039,0.008190177993474906,13.655319965313058,increase
V_pos_centroid_lat,south_china_scs,T3_late_minus_T3_early,T3_late,T3_early,0.0843962635052494,0.0674320178465765,0.016964245658672897,25.15755304441652,increase
V_pos_centroid_lat,south_china_scs,S4_minus_T3_full,S4,T3_full,0.0522557049847815,0.0681681061143788,-0.015912401129597305,-23.342882818099707,decrease
V_pos_centroid_lat,south_china_scs,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0681681061143788,0.0843962635052494,-0.016228157390870593,-19.228525904895317,decrease
V_pos_centroid_lat,main_easm_domain,T3_full_minus_S3,T3_full,S3,0.0442464293145208,0.0423127433477386,0.0019336859667822004,4.5699848645846455,near_zero
V_pos_centroid_lat,main_easm_domain,T3_late_minus_T3_early,T3_late,T3_early,0.0568860737700972,0.0510016930057239,0.005884380764373295,11.53761849378783,increase
V_pos_centroid_lat,main_easm_domain,S4_minus_T3_full,S4,T3_full,0.0301618292558322,0.0442464293145208,-0.014084600058688602,-31.832173300516057,decrease
V_pos_centroid_lat,main_easm_domain,T3_full_minus_max_subwindow,T3_full,"max(T3_early,T3_late)",0.0442464293145208,0.0568860737700972,-0.012639644455576395,-22.219224527006407,decrease
