window_id,year_index,year,object,yearwise_peak_day,yearwise_peak_score,candidate_rank1_day,candidate_rank1_score,candidate_rank2_day,candidate_rank2_score,rank1_rank2_score_gap,weak_year_flag,ambiguous_year_peak_flag,method_role
W160,2,1981,V,160.0,184.39287982247168,160.0,184.39287982247168,139.0,54.81045312289591,129.58242669957576,False,False,single_year_peak_diagnostic_not_main_result
W160,2,1981,H,157.0,87.97108383941989,157.0,87.97108383941989,137.0,27.6295732563331,60.34151058308679,False,False,single_year_peak_diagnostic_not_main_result
W160,2,1981,Je,160.0,81.594875608406,160.0,81.594875608406,148.0,48.85535710999088,32.73951849841512,False,False,single_year_peak_diagnostic_not_main_result
W160,2,1981,Jw,163.0,84.60750527566383,163.0,84.60750527566383,,,,False,False,single_year_peak_diagnostic_not_main_result
W160,3,1982,P,164.0,56.717951571775316,140.0,92.1333949770365,153.0,82.07922122799938,10.054173749037119,False,False,single_year_peak_diagnostic_not_main_result
W160,3,1982,V,157.0,19.84012099858115,147.0,72.96120365490427,136.0,58.24035163044414,14.720852024460129,False,False,single_year_peak_diagnostic_not_main_result
W160,3,1982,H,162.0,20.85927989593783,162.0,20.85927989593783,131.0,18.85097444683239,2.0083054491054426,False,False,single_year_peak_diagnostic_not_main_result
W160,3,1982,Je,154.0,45.11536581223262,154.0,45.11536581223262,136.0,29.647476894801088,15.46788891743153,False,False,single_year_peak_diagnostic_not_main_result
W160,3,1982,Jw,159.0,103.36739551120394,159.0,103.36739551120394,145.0,33.80854069088325,69.55885482032069,False,False,single_year_peak_diagnostic_not_main_result
W160,4,1983,P,165.0,97.686124355934,165.0,97.686124355934,139.0,64.494875642153,33.19124871378099,False,False,single_year_peak_diagnostic_not_main_result
W160,4,1983,V,149.0,67.28954246888635,140.0,77.83919118603038,144.0,69.64749911565592,8.191692070374458,False,False,single_year_peak_diagnostic_not_main_result
W160,4,1983,H,147.0,61.136074707757814,139.0,62.83396553241229,147.0,61.136074707757814,1.697890824654479,False,False,single_year_peak_diagnostic_not_main_result
W160,4,1983,Je,160.0,26.674487835648467,140.0,90.97293676317244,160.0,26.674487835648467,64.29844892752398,False,False,single_year_peak_diagnostic_not_main_result
W160,4,1983,Jw,155.0,50.79748201753876,166.0,67.959541779804,155.0,50.79748201753876,17.162059762265237,False,False,single_year_peak_diagnostic_not_main_result
W160,5,1984,P,157.0,192.2489904580722,157.0,192.2489904580722,147.0,82.42729611786558,109.82169434020662,False,False,single_year_peak_diagnostic_not_main_result
W160,5,1984,V,163.0,266.6736348601479,163.0,266.6736348601479,134.0,130.6285126321423,136.0451222280056,False,False,single_year_peak_diagnostic_not_main_result
W160,5,1984,H,154.0,132.94130646606845,154.0,132.94130646606845,130.0,29.11058904110788,103.83071742496057,False,False,single_year_peak_diagnostic_not_main_result
W160,5,1984,Je,157.0,44.51396659076195,142.0,46.92361742417732,157.0,44.51396659076195,2.4096508334153697,False,False,single_year_peak_diagnostic_not_main_result
W160,5,1984,Jw,164.0,39.42613147287828,138.0,77.35344443906946,164.0,39.42613147287828,37.92731296619118,False,False,single_year_peak_diagnostic_not_main_result
W160,6,1985,P,162.0,64.977181149968,135.0,101.63361119235724,151.0,81.87766365222507,19.75594754013217,False,False,single_year_peak_diagnostic_not_main_result
W160,6,1985,V,155.0,45.80616544364707,155.0,45.80616544364707,,,,False,False,single_year_peak_diagnostic_not_main_result
W160,6,1985,H,156.0,40.60536765601645,156.0,40.60536765601645,139.0,13.22028841656381,27.385079239452637,False,False,single_year_peak_diagnostic_not_main_result
W160,6,1985,Je,163.0,81.93646684125622,163.0,81.93646684125622,145.0,36.009741220379084,45.926725620877136,False,False,single_year_peak_diagnostic_not_main_result
W160,6,1985,Jw,157.0,33.784065423800406,157.0,33.784065423800406,139.0,23.38434475345538,10.399720670345026,False,False,single_year_peak_diagnostic_not_main_result
W160,7,1986,P,160.0,113.82222380393301,160.0,113.82222380393301,149.0,56.0822483072461,57.73997549668692,False,False,single_year_peak_diagnostic_not_main_result
W160,7,1986,V,164.0,200.15055634589004,164.0,200.15055634589004,140.0,93.58888084685397,106.56167549903607,False,False,single_year_peak_diagnostic_not_main_result
W160,7,1986,H,154.0,149.71266774257714,154.0,149.71266774257714,138.0,48.22208022139394,101.4905875211832,False,False,single_year_peak_diagnostic_not_main_result
W160,7,1986,Je,156.0,63.04035171552776,156.0,63.04035171552776,130.0,54.54826611171887,8.492085603808896,False,False,single_year_peak_diagnostic_not_main_result
W160,7,1986,Jw,139.0,102.39585289278986,139.0,102.39585289278986,,,,False,False,single_year_peak_diagnostic_not_main_result
