year,raw_peak_day,mapped_peak_day,peak_score,is_near_main_window,nearest_window_id,nearest_window_center_day,day_offset_to_window_center
2001,35,35,15.364674114417028,False,W001,45,-10
2001,64,64,13.242803538897913,False,W002,81,-17
2001,88,88,20.77326320353844,False,W002,81,7
2001,132,132,23.347081174735123,True,W004,135,-3
2001,144,144,24.97133968968653,False,W004,135,9
2001,160,160,24.17237241522133,True,W005,160,0
2002,47,47,18.188419466308556,True,W001,45,2
2002,63,63,21.97760485908384,False,W001,45,18
2002,91,91,52.44037383657884,False,W002,81,10
2002,105,105,35.90570937453769,False,W003,113,-8
2002,129,129,22.81286902292257,False,W004,135,-6
2002,146,146,27.436147331337267,False,W004,135,11
2002,161,161,29.349943292407563,True,W005,160,1
2003,13,13,,False,W001,45,-32
2003,51,51,42.07910499261587,False,W001,45,6
2003,79,79,37.75254207408934,True,W002,81,-2
2003,115,115,19.582864211027214,True,W003,113,2
2003,152,152,16.828176514667796,False,W005,160,-8
2004,45,45,22.560060579575506,True,W001,45,0
2004,72,72,13.97108225123888,False,W002,81,-9
2004,94,94,27.69354716493592,False,W002,81,13
2004,110,110,28.57347498434453,True,W003,113,-3
2004,140,140,27.651735403832575,False,W004,135,5
2004,167,167,24.2527402130436,False,W005,160,7
2005,23,23,21.65048858797819,False,W001,45,-22
2005,52,52,13.524445063965581,False,W001,45,7
2005,84,84,31.747315835703454,True,W002,81,3
2005,103,103,39.951853220119965,False,W003,113,-10
2005,139,139,20.548076612658146,False,W004,135,4
2005,162,162,29.030541106562115,True,W005,160,2
2006,31,31,35.663656645269945,False,W001,45,-14
2006,51,51,23.725119629588523,False,W001,45,6
2006,73,73,26.691949465095377,False,W002,81,-8
2006,96,96,32.35892272431472,False,W002,81,15
2006,125,125,19.62036314819138,False,W004,135,-10
2006,142,142,22.473738437533065,False,W004,135,7
2006,157,157,28.22589051235816,True,W005,160,-3
2007,14,14,26.75387814314763,False,W001,45,-31
2007,60,60,18.562382439861807,False,W001,45,15
2007,74,74,25.999422119978465,False,W002,81,-7
2007,97,97,16.836562214575338,False,W002,81,16
2007,122,122,40.59547123148427,False,W003,113,9
2007,151,151,24.393624936687466,False,W005,160,-9
2008,47,47,30.430159079722493,True,W001,45,2
2008,67,67,22.51715950878515,False,W002,81,-14
2008,96,96,19.43206021133014,False,W002,81,15
2008,118,118,20.037045177331194,False,W003,113,5
2008,133,133,39.612002176612606,True,W004,135,-2
2008,167,167,17.91073669053759,False,W005,160,7
2009,13,13,,False,W001,45,-32
2009,39,39,31.9258290682386,False,W001,45,-6
2009,74,74,13.873266897159942,False,W002,81,-7
2009,95,95,28.509362454177186,False,W002,81,14
2009,112,112,31.04576205203663,True,W003,113,-1
2009,133,133,51.8225662788411,True,W004,135,-2
2010,53,53,18.553514526137924,False,W001,45,8
2010,70,70,30.43231205348701,False,W002,81,-11
2010,86,86,20.74855011016331,False,W002,81,5
2010,121,121,27.41755660061174,False,W003,113,8
2010,142,142,19.837779986306966,False,W004,135,7
2010,163,163,24.50062735404598,True,W005,160,3
2011,27,27,32.92777378514289,False,W001,45,-18
2011,60,60,27.06611957901066,False,W001,45,15
2011,77,77,30.122279123401814,False,W002,81,-4
2011,98,98,25.246625177227685,False,W003,113,-15
2011,109,109,25.046020271247567,False,W003,113,-4
2011,129,129,25.426588962877148,False,W004,135,-6
2011,142,142,29.901966167782458,False,W004,135,7
2011,157,157,18.52490140487052,True,W005,160,-3
2012,40,40,12.66302466902749,False,W001,45,-5
2012,81,81,40.152159120870635,True,W002,81,0
2012,110,110,30.91762131518209,True,W003,113,-3
2012,151,151,21.028842323047023,False,W005,160,-9
2012,162,162,20.111996278362152,True,W005,160,2
2013,40,40,18.92438532502213,False,W001,45,-5
2013,53,53,16.209775508195793,False,W001,45,8
2013,79,79,21.830827650492473,True,W002,81,-2
2013,92,92,23.96012011017415,False,W002,81,11
2013,132,132,33.64705435761579,True,W004,135,-3
2013,148,148,29.663279069111713,False,W005,160,-12
2013,164,164,25.938707480672328,False,W005,160,4
2014,34,34,31.278464814418882,False,W001,45,-11
2014,74,74,41.187895781190555,False,W002,81,-7
2014,90,90,17.557788407499157,False,W002,81,9
2014,107,107,25.784261216859523,False,W003,113,-6
2014,130,130,33.112204704451784,False,W004,135,-5
2014,161,161,15.30949977686744,True,W005,160,1
2015,34,34,19.914280636277848,False,W001,45,-11
2015,56,56,12.521446791643928,False,W001,45,11
2015,92,92,57.96898219278152,False,W002,81,11
2015,110,110,37.32952891591648,True,W003,113,-3
2015,129,129,27.224047505314005,False,W004,135,-6
2015,147,147,16.10982301282469,False,W004,135,12
2015,158,158,16.684378985076386,True,W005,160,-2
2016,31,31,14.623411418820393,False,W001,45,-14
2016,49,49,22.90818259733657,False,W001,45,4
2016,76,76,30.18746369779931,False,W002,81,-5
2016,92,92,17.764437386848897,False,W002,81,11
2016,114,114,26.34121256577305,True,W003,113,1
2016,129,129,25.094632269365555,False,W004,135,-6
2016,149,149,22.63596382540112,False,W005,160,-11
2016,161,161,21.557941322150768,True,W005,160,1
2017,42,42,16.216820937753848,True,W001,45,-3
2017,59,59,23.988385567474122,False,W001,45,14
2017,110,110,25.22863587719661,True,W003,113,-3
2017,123,123,36.20097144325021,False,W003,113,10
2017,138,138,32.43580066606669,True,W004,135,3
2017,152,152,27.742352416719605,False,W005,160,-8
2018,40,40,14.461372422281023,False,W001,45,-5
2018,53,53,18.915274011993823,False,W001,45,8
2018,78,78,36.24207891535008,True,W002,81,-3
2018,100,100,28.739838778037726,False,W003,113,-13
2018,126,126,22.895487160047914,False,W004,135,-9
2018,154,154,25.76934314215362,False,W005,160,-6
2019,27,27,17.80369933860417,False,W001,45,-18
2019,41,41,11.022355457063545,False,W001,45,-4
2019,59,59,9.974423730703158,False,W001,45,14
2019,93,93,14.158493973451543,False,W002,81,12
2019,136,136,36.7327370055148,True,W004,135,1
2019,167,167,37.60173790097125,False,W005,160,7
2020,30,30,21.550006494670424,False,W001,45,-15
2020,44,44,21.16225516342154,True,W001,45,-1
2020,66,66,22.004123894034556,False,W002,81,-15
2020,117,117,23.42543252932039,False,W003,113,4
2020,145,145,19.842523176170527,False,W004,135,10
2020,161,161,21.96075307504829,True,W005,160,1
2021,28,28,23.432510847529997,False,W001,45,-17
2021,45,45,19.310425994960056,True,W001,45,0
2021,66,66,24.230025316609137,False,W002,81,-15
2021,88,88,26.16998190234945,False,W002,81,7
2021,106,106,52.67765623246624,False,W003,113,-7
2021,127,127,32.143726266386636,False,W004,135,-8
2021,155,155,14.84423276902155,False,W005,160,-5
2022,16,16,28.428598484871614,False,W001,45,-29
2022,49,49,11.957257508934521,False,W001,45,4
2022,78,78,27.833626729870215,True,W002,81,-3
2022,96,96,16.718286638654373,False,W002,81,15
2022,120,120,20.938956966133752,False,W003,113,7
2022,149,149,28.35906202839486,False,W005,160,-11
2023,36,36,13.154031433233143,False,W001,45,-9
2023,52,52,29.90966669980525,False,W001,45,7
2023,64,64,27.376958989115856,False,W002,81,-17
2023,100,100,29.28460402555182,False,W003,113,-13
2023,123,123,26.958842101920187,False,W003,113,10
2023,142,142,32.83735277617945,False,W004,135,7
2023,164,164,30.54445899898943,False,W005,160,4
