rep,window_id,matched_flag,matched_window_id,matched_center_day,overlap_ratio
11,W003,True,RW04,113.0,1.0
11,W004,True,RW05,135.0,1.0
11,W005,True,RW06,161.0,1.0
12,W001,True,RW01,44.0,1.0
12,W002,True,RW02,79.0,0.8
12,W003,True,RW04,112.0,0.875
12,W004,False,,,0.0
12,W005,True,RW05,161.0,0.625
13,W001,True,RW01,45.0,1.0
13,W002,True,RW02,78.0,0.7
13,W003,True,RW04,113.0,0.875
13,W004,False,,,0.0
13,W005,True,RW05,162.0,0.625
14,W001,True,RW01,45.0,1.0
14,W002,True,RW02,84.0,0.6
14,W003,True,RW03,114.0,0.75
14,W004,False,,,0.0
14,W005,True,RW04,155.0,0.75
15,W001,True,RW01,35.0,0.8
15,W002,True,RW02,77.0,0.7
15,W003,True,RW03,114.0,1.0
15,W004,False,,,0.0
15,W005,True,RW05,160.0,0.5
16,W001,True,RW01,45.0,0.8
16,W002,False,,,0.0
16,W003,True,RW04,114.0,1.0
16,W004,False,,,0.0
16,W005,True,RW05,156.0,0.5
17,W001,True,RW01,44.0,0.8
17,W002,True,RW02,80.0,1.0
17,W003,True,RW03,112.0,0.875
17,W004,True,RW04,137.0,0.0
17,W005,False,,,0.0
18,W001,True,RW01,46.0,0.4
18,W002,True,RW02,79.0,0.7
18,W003,True,RW04,117.0,0.625
18,W004,True,RW05,135.0,1.0
18,W005,True,RW06,161.0,0.5
19,W001,True,RW01,45.0,1.0
19,W002,True,RW02,83.0,0.8
19,W003,True,RW03,115.0,0.75
19,W004,True,RW04,136.0,0.0
19,W005,True,RW05,159.0,1.0
20,W001,True,RW01,44.0,1.0
20,W002,True,RW02,78.0,1.0
20,W003,True,RW03,110.0,0.75
20,W004,False,,,0.0
20,W005,True,RW04,159.0,0.875
21,W001,True,RW02,45.0,1.0
21,W002,True,RW03,82.0,0.8
21,W003,True,RW04,110.0,0.75
21,W004,True,RW05,132.0,0.0
21,W005,True,RW06,162.0,0.5
22,W001,True,RW01,44.0,0.8
22,W002,True,RW02,80.0,0.8
22,W003,True,RW03,114.0,0.75
22,W004,True,RW04,132.0,0.0
22,W005,True,RW05,160.0,0.875
23,W001,True,RW01,43.0,0.8
23,W002,True,RW02,78.0,1.0
23,W003,True,RW03,115.0,0.75
23,W004,False,,,0.0
23,W005,True,RW04,162.0,0.75
24,W001,True,RW01,45.0,1.0
24,W002,True,RW02,77.0,0.8
24,W003,True,RW04,114.0,1.0
24,W004,True,RW05,132.0,0.0
24,W005,True,RW06,161.0,0.75
25,W001,True,RW01,43.0,0.8
25,W002,True,RW02,80.0,0.9
25,W003,True,RW03,112.0,0.75
25,W004,False,,,0.0
25,W005,True,RW04,156.0,0.75
26,W001,True,RW02,45.0,0.2
26,W002,True,RW03,77.0,1.0
26,W003,True,RW04,112.0,1.0
26,W004,False,,,0.0
26,W005,True,RW05,161.0,1.0
27,W001,True,RW01,45.0,0.8
27,W002,True,RW02,82.0,0.9
27,W003,True,RW03,114.0,0.75
27,W004,True,RW04,135.0,1.0
27,W005,True,RW05,162.0,0.5
28,W001,True,RW01,44.0,1.0
28,W002,True,RW02,79.0,0.6
28,W003,True,RW04,114.0,1.0
28,W004,False,,,0.0
28,W005,True,RW06,162.0,0.75
29,W001,False,,,0.0
29,W002,True,RW03,85.0,0.6
29,W003,True,RW04,108.0,0.5
29,W004,False,,,0.0
29,W005,True,RW05,159.0,0.625
30,W001,True,RW01,47.0,0.2
30,W002,True,RW02,82.0,0.8
30,W003,True,RW03,113.0,1.0
30,W004,False,,,0.0
30,W005,True,RW04,161.0,0.75
31,W001,True,RW01,46.0,0.8
31,W002,True,RW02,83.0,0.6
31,W003,True,RW03,109.0,0.5
31,W004,False,,,0.0
31,W005,True,RW05,161.0,0.875
32,W001,True,RW01,44.0,0.8
32,W002,True,RW02,80.0,0.8
32,W003,True,RW03,110.0,0.75
32,W004,False,,,0.0
32,W005,True,RW05,162.0,0.875
33,W001,True,RW01,44.0,1.0
33,W002,True,RW02,80.0,0.7
33,W003,True,RW04,111.0,0.875
33,W004,True,RW05,135.0,1.0
33,W005,True,RW06,160.0,1.0
34,W001,True,RW01,45.0,1.0
34,W002,True,RW02,80.0,0.9
34,W003,True,RW03,114.0,0.75
34,W004,True,RW04,138.0,0.0
34,W005,True,RW05,161.0,0.625
35,W001,True,RW01,46.0,1.0
35,W002,True,RW02,83.0,1.0
35,W003,True,RW03,114.0,1.0
35,W004,False,,,0.0
35,W005,True,RW04,158.0,0.875
36,W001,True,RW01,45.0,1.0
36,W002,True,RW02,81.0,0.8
36,W003,True,RW03,113.0,1.0
36,W004,False,,,0.0
36,W005,True,RW05,159.0,0.875
37,W001,True,RW01,44.0,0.8
37,W002,True,RW02,77.0,0.5
37,W003,True,RW04,114.0,0.875
37,W004,False,,,0.0
37,W005,True,RW05,163.0,0.125
38,W001,True,RW01,45.0,0.2
38,W002,True,RW02,86.0,1.0
38,W003,True,RW03,112.0,0.875
38,W004,True,RW04,133.0,0.0
38,W005,True,RW05,161.0,0.875
39,W001,True,RW02,43.0,0.8
39,W002,True,RW03,82.0,0.8
39,W003,True,RW04,111.0,0.625
39,W004,False,,,0.0
39,W005,True,RW05,157.0,0.75
40,W001,True,RW01,45.0,0.8
40,W002,True,RW02,81.0,0.8
40,W003,True,RW04,112.0,0.75
40,W004,True,RW05,134.0,1.0
40,W005,True,RW06,161.0,0.875
41,W001,True,RW01,43.0,0.8
41,W002,True,RW02,81.0,0.6
41,W003,True,RW03,113.0,1.0
41,W004,True,RW04,136.0,0.0
41,W005,True,RW05,162.0,0.625
42,W001,True,RW01,45.0,1.0
42,W002,True,RW02,78.0,0.7
42,W003,True,RW04,112.0,0.875
42,W004,True,RW05,133.0,0.0
42,W005,True,RW06,161.0,0.5
43,W001,True,RW01,45.0,1.0
43,W002,True,RW02,78.0,0.6
43,W003,True,RW04,114.0,0.75
43,W004,False,,,0.0
43,W005,True,RW05,162.0,0.75
44,W001,True,RW02,45.0,0.2
44,W002,False,,,0.0
44,W003,True,RW04,112.0,0.75
44,W004,True,RW05,138.0,0.0
44,W005,True,RW06,163.0,0.5
45,W001,False,,,0.0
45,W002,True,RW03,83.0,0.8
45,W003,True,RW04,110.0,0.875
45,W004,False,,,0.0
45,W005,True,RW05,163.0,0.375
46,W001,True,RW01,46.0,1.0
46,W002,False,,,0.0
46,W003,True,RW05,112.0,0.75
46,W004,True,RW06,135.0,1.0
46,W005,True,RW07,161.0,0.75
47,W001,True,RW01,46.0,1.0
47,W002,True,RW02,81.0,1.0
47,W003,True,RW03,112.0,0.875
47,W004,False,,,0.0
47,W005,False,,,0.0
48,W001,True,RW01,45.0,1.0
48,W002,True,RW02,82.0,1.0
48,W003,True,RW03,112.0,0.875
48,W004,False,,,0.0
48,W005,True,RW04,160.0,1.0
49,W001,True,RW02,46.0,0.6
49,W002,False,,,0.0
49,W003,True,RW04,112.0,0.875
49,W004,False,,,0.0
49,W005,True,RW06,162.0,0.875
50,W001,True,RW01,46.0,1.0
50,W002,True,RW02,78.0,0.7
50,W003,True,RW04,115.0,0.875
50,W004,True,RW05,132.0,0.0
50,W005,True,RW06,161.0,0.625
51,W001,True,RW01,46.0,0.8
51,W002,True,RW02,82.0,0.8
51,W003,True,RW03,112.0,1.0
51,W004,True,RW04,132.0,0.0
51,W005,True,RW05,161.0,0.75
52,W001,True,RW01,45.0,0.2
52,W002,False,,,0.0
52,W003,True,RW03,113.0,0.875
52,W004,False,,,0.0
52,W005,True,RW04,162.0,1.0
53,W001,True,RW01,44.0,1.0
53,W002,True,RW02,80.0,0.8
53,W003,True,RW03,112.0,1.0
53,W004,False,,,0.0
53,W005,True,RW05,161.0,0.875
54,W001,True,RW01,45.0,0.6
54,W002,True,RW02,79.0,0.8
54,W003,True,RW03,113.0,1.0
54,W004,True,RW04,137.0,1.0
54,W005,True,RW05,160.0,0.875
55,W001,True,RW01,45.0,1.0
55,W002,True,RW02,81.0,0.9
55,W003,True,RW04,114.0,0.625
55,W004,False,,,0.0
55,W005,True,RW06,162.0,0.625
56,W001,True,RW02,45.0,1.0
56,W002,True,RW03,83.0,1.0
56,W003,True,RW04,113.0,0.75
56,W004,True,RW05,132.0,0.0
56,W005,False,,,0.0
57,W001,True,RW02,45.0,1.0
57,W002,True,RW03,77.0,0.7
57,W003,True,RW05,114.0,0.75
57,W004,True,RW06,135.0,1.0
57,W005,False,,,0.0
58,W001,True,RW02,46.0,0.8
58,W002,True,RW03,78.0,0.9
58,W003,True,RW04,110.0,0.875
58,W004,False,,,0.0
58,W005,False,,,0.0
59,W001,True,RW01,44.0,0.8
59,W002,True,RW02,82.0,0.8
59,W003,True,RW03,115.0,0.625
59,W004,True,RW04,137.0,0.0
59,W005,True,RW05,156.0,0.875
60,W001,True,RW01,46.0,0.2
60,W002,True,RW02,73.0,1.0
60,W003,True,RW03,111.0,0.75
60,W004,True,RW04,138.0,0.0
60,W005,True,RW05,158.0,0.625
61,W001,True,RW01,42.0,0.4
61,W002,True,RW02,79.0,0.9
61,W003,True,RW04,112.0,0.875
61,W004,True,RW05,132.0,0.0
61,W005,True,RW06,161.0,1.0
62,W001,True,RW01,45.0,1.0
62,W002,True,RW02,76.0,0.7
62,W003,True,RW04,114.0,0.875
62,W004,False,,,0.0
62,W005,True,RW05,158.0,0.625
63,W001,True,RW02,45.0,0.2
63,W002,True,RW03,83.0,0.6
63,W003,True,RW04,114.0,0.75
63,W004,True,RW05,136.0,1.0
63,W005,True,RW06,155.0,1.0
64,W001,True,RW01,45.0,1.0
64,W002,True,RW02,83.0,0.5
64,W003,True,RW04,112.0,0.625
64,W004,False,,,0.0
64,W005,True,RW06,158.0,1.0
65,W001,True,RW01,44.0,1.0
65,W002,True,RW02,83.0,0.5
65,W003,True,RW04,116.0,0.25
65,W004,True,RW05,135.0,1.0
65,W005,True,RW06,160.0,1.0
66,W001,False,,,0.0
66,W002,True,RW02,78.0,1.0
66,W003,False,,,0.0
66,W004,True,RW03,136.0,0.0
66,W005,True,RW04,159.0,1.0
67,W001,True,RW01,45.0,0.2
67,W002,True,RW02,84.0,0.5
67,W003,True,RW04,114.0,0.875
67,W004,True,RW05,138.0,0.0
67,W005,True,RW06,160.0,1.0
68,W001,True,RW01,45.0,1.0
68,W002,False,,,0.0
68,W003,True,RW03,111.0,1.0
68,W004,False,,,0.0
68,W005,True,RW05,159.0,0.75
69,W001,False,,,0.0
69,W002,True,RW02,77.0,0.6
69,W003,True,RW03,110.0,0.75
69,W004,False,,,0.0
69,W005,True,RW04,160.0,1.0
70,W001,True,RW01,45.0,1.0
70,W002,True,RW02,96.0,0.6
70,W003,True,RW03,115.0,0.5
70,W004,False,,,0.0
70,W005,True,RW04,160.0,1.0
71,W001,True,RW01,45.0,1.0
71,W002,True,RW02,80.0,1.0
71,W003,True,RW03,114.0,0.875
71,W004,True,RW04,133.0,1.0
71,W005,False,,,0.0
72,W001,True,RW01,44.0,1.0
72,W002,True,RW02,84.0,0.7
72,W003,True,RW03,114.0,0.75
72,W004,True,RW04,136.0,0.0
72,W005,True,RW05,162.0,0.75
73,W001,True,RW01,46.0,1.0
73,W002,False,,,0.0
73,W003,True,RW03,113.0,1.0
73,W004,True,RW04,133.0,0.0
73,W005,True,RW05,161.0,0.875
74,W001,True,RW01,43.0,1.0
74,W002,True,RW02,82.0,0.7
74,W003,True,RW04,116.0,0.375
74,W004,True,RW05,135.0,1.0
74,W005,True,RW06,158.0,1.0
75,W001,True,RW01,45.0,0.4
75,W002,True,RW02,82.0,1.0
75,W003,True,RW03,113.0,1.0
75,W004,True,RW04,136.0,0.0
75,W005,True,RW05,160.0,1.0
76,W001,True,RW02,46.0,0.8
76,W002,True,RW03,79.0,0.9
76,W003,True,RW05,110.0,0.5
76,W004,False,,,0.0
76,W005,True,RW07,159.0,1.0
77,W001,True,RW01,44.0,1.0
77,W002,True,RW02,81.0,0.9
77,W003,True,RW03,113.0,1.0
77,W004,False,,,0.0
77,W005,True,RW04,161.0,0.875
78,W001,True,RW01,45.0,1.0
78,W002,True,RW02,81.0,0.9
78,W003,True,RW03,115.0,0.625
78,W004,False,,,0.0
78,W005,True,RW05,158.0,1.0
79,W001,True,RW01,46.0,0.2
79,W002,True,RW02,84.0,0.6
79,W003,True,RW03,112.0,1.0
79,W004,False,,,0.0
79,W005,True,RW04,160.0,0.875
80,W001,True,RW01,45.0,1.0
80,W002,True,RW02,77.0,0.8
80,W003,True,RW03,114.0,0.75
80,W004,False,,,0.0
80,W005,False,,,0.0
81,W001,True,RW01,43.0,0.8
81,W002,True,RW02,81.0,1.0
81,W003,True,RW03,115.0,0.75
81,W004,False,,,0.0
81,W005,False,,,0.0
82,W001,True,RW01,45.0,0.6
82,W002,True,RW03,80.0,1.0
82,W003,True,RW05,112.0,1.0
82,W004,False,,,0.0
82,W005,True,RW06,161.0,1.0
83,W001,True,RW01,46.0,1.0
83,W002,True,RW02,83.0,0.5
83,W003,True,RW04,113.0,1.0
83,W004,True,RW05,132.0,0.0
83,W005,False,,,0.0
84,W001,True,RW01,45.0,1.0
84,W002,True,RW02,80.0,0.8
84,W003,True,RW04,115.0,0.75
84,W004,True,RW05,136.0,1.0
84,W005,True,RW06,159.0,0.75
85,W001,True,RW01,40.0,0.6
85,W002,True,RW02,79.0,0.9
85,W003,True,RW04,115.0,0.75
85,W004,True,RW05,133.0,0.0
85,W005,True,RW06,159.0,0.875
86,W001,True,RW01,44.0,0.8
86,W002,True,RW02,77.0,0.6
86,W003,True,RW04,114.0,0.75
86,W004,False,,,0.0
86,W005,True,RW05,160.0,0.875
87,W001,True,RW01,42.0,0.6
87,W002,True,RW02,79.0,1.0
87,W003,True,RW03,115.0,0.75
87,W004,True,RW04,132.0,1.0
87,W005,True,RW05,157.0,0.75
88,W001,True,RW01,46.0,0.8
88,W002,True,RW03,82.0,0.7
88,W003,True,RW04,112.0,1.0
88,W004,False,,,0.0
88,W005,True,RW05,160.0,0.75
89,W001,True,RW01,46.0,0.8
89,W002,False,,,0.0
89,W003,False,,,0.0
89,W004,True,RW04,133.0,0.0
89,W005,True,RW05,162.0,0.5
90,W001,True,RW01,45.0,0.2
90,W002,True,RW02,80.0,1.0
90,W003,True,RW03,112.0,0.625
90,W004,False,,,0.0
90,W005,True,RW04,163.0,0.375
91,W001,True,RW01,42.0,0.6
91,W002,True,RW02,78.0,0.7
91,W003,True,RW03,114.0,0.875
91,W004,False,,,0.0
91,W005,True,RW05,162.0,0.5
92,W001,True,RW01,45.0,1.0
92,W002,False,,,0.0
92,W003,True,RW03,112.0,0.875
92,W004,True,RW04,136.0,1.0
92,W005,True,RW05,160.0,1.0
93,W001,True,RW01,46.0,1.0
93,W002,True,RW03,82.0,0.8
93,W003,True,RW04,114.0,0.875
93,W004,True,RW05,131.0,1.0
93,W005,True,RW06,163.0,0.25
94,W001,True,RW02,47.0,0.6
94,W002,True,RW04,84.0,0.4
94,W003,True,RW05,111.0,0.75
94,W004,False,,,0.0
94,W005,True,RW06,157.0,0.875
95,W001,True,RW01,44.0,0.8
95,W002,True,RW02,85.0,0.6
95,W003,True,RW03,114.0,0.625
95,W004,True,RW04,136.0,0.0
95,W005,True,RW05,162.0,0.5
96,W001,True,RW01,42.0,0.6
96,W002,True,RW02,79.0,0.8
96,W003,True,RW03,111.0,0.75
96,W004,True,RW04,135.0,1.0
96,W005,True,RW05,161.0,1.0
97,W001,True,RW01,46.0,1.0
97,W002,False,,,0.0
97,W003,True,RW04,113.0,0.875
97,W004,True,RW05,134.0,1.0
97,W005,True,RW06,161.0,0.75
98,W001,True,RW01,46.0,1.0
98,W002,True,RW03,83.0,0.9
98,W003,True,RW05,110.0,0.75
98,W004,True,RW06,136.0,0.0
98,W005,True,RW07,160.0,0.875
99,W001,True,RW01,46.0,0.6
99,W002,True,RW02,80.0,0.7
99,W003,True,RW03,110.0,0.75
99,W004,False,,,0.0
99,W005,True,RW05,158.0,0.75
