object,replicate_id,replicate_kind,replicate_label,candidate_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
H,24,bootstrap,24,CP004,77,06-17,79,10.717193456407513,6.5368364041811144,2,2,strict
H,24,bootstrap,24,CP005,95,07-05,97,7.57984180138009,2.611810047810093,2,2,strict
H,24,bootstrap,24,CP006,115,07-25,115,36.40512109160275,35.383990045084396,0,0,strict
H,24,bootstrap,24,CP007,129,08-08,131,1.8887978843042892,1.546048829449497,2,2,strict
H,24,bootstrap,24,CP008,155,09-03,155,2.8161116152446546,1.1807893660374473,0,0,strict
H,25,bootstrap,25,CP001,19,04-20,32,8.699237354480186,3.822344201008817,13,13,no_match
H,25,bootstrap,25,CP002,35,05-06,32,8.699237354480186,3.822344201008817,-3,3,matched
H,25,bootstrap,25,CP003,57,05-28,55,7.890728263473287,4.530179052137446,-2,2,strict
H,25,bootstrap,25,CP004,77,06-17,79,20.522830974524723,10.151188728407726,2,2,strict
H,25,bootstrap,25,CP005,95,07-05,93,25.938032978227515,22.662322894983756,-2,2,strict
H,25,bootstrap,25,CP006,115,07-25,113,35.56326366440133,35.05349883561764,-2,2,strict
H,25,bootstrap,25,CP007,129,08-08,126,7.963787300737865,7.042153296241574,-3,3,matched
H,25,bootstrap,25,CP008,155,09-03,155,23.546277678985668,22.67544220998607,0,0,strict
H,26,bootstrap,26,CP001,19,04-20,36,10.261407020447786,4.302373438281601,17,17,no_match
H,26,bootstrap,26,CP002,35,05-06,36,10.261407020447786,4.302373438281601,1,1,strict
H,26,bootstrap,26,CP003,57,05-28,57,4.2285029985227265,1.7220099581556862,0,0,strict
H,26,bootstrap,26,CP004,77,06-17,76,19.57059224501612,17.69292822519115,-1,1,strict
H,26,bootstrap,26,CP005,95,07-05,95,18.926915582956152,14.589001638705378,0,0,strict
H,26,bootstrap,26,CP006,115,07-25,116,30.581983698525065,29.804726054417515,1,1,strict
H,26,bootstrap,26,CP007,129,08-08,141,3.7695286961765198,2.504019611659539,12,12,no_match
H,26,bootstrap,26,CP008,155,09-03,156,8.126716969251559,7.634719894438781,1,1,strict
H,27,bootstrap,27,CP001,19,04-20,20,20.151334012439897,10.94186172123644,1,1,strict
H,27,bootstrap,27,CP002,35,05-06,35,14.7915823462335,3.882631016112555,0,0,strict
H,27,bootstrap,27,CP003,57,05-28,63,12.851564507093473,7.206993139454312,6,6,near
H,27,bootstrap,27,CP004,77,06-17,77,19.580749911975147,18.781304803567522,0,0,strict
H,27,bootstrap,27,CP005,95,07-05,95,11.678304836566069,7.039973058931187,0,0,strict
H,27,bootstrap,27,CP006,115,07-25,115,38.0807611256361,37.36881356315623,0,0,strict
H,27,bootstrap,27,CP007,129,08-08,128,3.0871339917077028,1.8692663051645835,-1,1,strict
H,27,bootstrap,27,CP008,155,09-03,152,25.422027176551346,24.705821903280526,-3,3,matched
H,28,bootstrap,28,CP001,19,04-20,20,18.956981612218293,10.318824467533291,1,1,strict
H,28,bootstrap,28,CP002,35,05-06,32,9.772240727545569,1.6874991714309395,-3,3,matched
H,28,bootstrap,28,CP003,57,05-28,51,10.883212079502028,8.515693764493232,-6,6,near
H,28,bootstrap,28,CP004,77,06-17,75,11.593634962858907,7.406463416743274,-2,2,strict
H,28,bootstrap,28,CP005,95,07-05,94,20.687777626189103,12.699903908843307,-1,1,strict
H,28,bootstrap,28,CP006,115,07-25,115,44.46991427080938,42.26615596667559,0,0,strict
H,28,bootstrap,28,CP007,129,08-08,128,20.432484484163634,19.588585152304276,-1,1,strict
H,28,bootstrap,28,CP008,155,09-03,147,9.734423394124835,9.088894999541381,-8,8,near
H,29,bootstrap,29,CP001,19,04-20,36,20.40633872147299,16.806428303868707,17,17,no_match
H,29,bootstrap,29,CP002,35,05-06,36,20.40633872147299,16.806428303868707,1,1,strict
H,29,bootstrap,29,CP003,57,05-28,51,9.302660138381286,7.2930168325645015,-6,6,near
H,29,bootstrap,29,CP004,77,06-17,83,14.039021832751729,10.025339744929713,6,6,near
H,29,bootstrap,29,CP005,95,07-05,99,19.441798228075786,6.3115063541292535,4,4,matched
H,29,bootstrap,29,CP006,115,07-25,115,33.38396467773464,32.56593179537481,0,0,strict
H,29,bootstrap,29,CP007,129,08-08,128,16.247976964566536,13.752985780152141,-1,1,strict
H,29,bootstrap,29,CP008,155,09-03,157,13.781999454803605,9.11904178178975,2,2,strict
H,30,bootstrap,30,CP001,19,04-20,20,19.50790935536272,3.5644048155724573,1,1,strict
H,30,bootstrap,30,CP002,35,05-06,37,9.743863743634316,5.063135557857605,2,2,strict
H,30,bootstrap,30,CP003,57,05-28,53,4.897167378339118,0.053736988554797804,-4,4,matched
H,30,bootstrap,30,CP004,77,06-17,82,16.541786538484555,14.974474736857896,5,5,matched
H,30,bootstrap,30,CP005,95,07-05,82,16.541786538484555,14.974474736857896,-13,13,no_match
H,30,bootstrap,30,CP006,115,07-25,114,56.1325248810492,54.72578996294902,-1,1,strict
H,30,bootstrap,30,CP007,129,08-08,127,4.239865751510205,1.7877319487489203,-2,2,strict
H,30,bootstrap,30,CP008,155,09-03,155,6.59501984842218,4.7850195610724615,0,0,strict
H,31,bootstrap,31,CP001,19,04-20,19,24.524684025454555,6.967081661155824,0,0,strict
H,31,bootstrap,31,CP002,35,05-06,35,11.070713686567313,5.310711351113145,0,0,strict
H,31,bootstrap,31,CP003,57,05-28,59,3.1882679174828388,0.6364734306516389,2,2,strict
H,31,bootstrap,31,CP004,77,06-17,76,16.15759150001914,11.292167156397719,-1,1,strict
H,31,bootstrap,31,CP005,95,07-05,98,12.453218607495534,0.07739537181607048,3,3,matched
H,31,bootstrap,31,CP006,115,07-25,110,33.435232555079594,32.642665134965455,-5,5,matched
H,31,bootstrap,31,CP007,129,08-08,131,8.943877112892773,8.677686014570195,2,2,strict
H,31,bootstrap,31,CP008,155,09-03,161,14.027161022077484,7.666770028024368,6,6,near
H,32,bootstrap,32,CP001,19,04-20,20,36.205974151452104,20.58380380784078,1,1,strict
H,32,bootstrap,32,CP002,35,05-06,20,36.205974151452104,20.58380380784078,-15,15,no_match
H,32,bootstrap,32,CP003,57,05-28,66,10.323848656208842,0.39486290587689865,9,9,no_match
H,32,bootstrap,32,CP004,77,06-17,78,13.808878569707856,12.02040114244308,1,1,strict
H,32,bootstrap,32,CP005,95,07-05,92,3.4212054518782775,0.3810592172531342,-3,3,matched
H,32,bootstrap,32,CP006,115,07-25,111,45.6894288913856,45.38994301677923,-4,4,matched
H,32,bootstrap,32,CP007,129,08-08,126,4.728206578739104,4.234870622191825,-3,3,matched
H,32,bootstrap,32,CP008,155,09-03,155,16.043484086030546,15.429032786898274,0,0,strict
H,33,bootstrap,33,CP001,19,04-20,20,18.77435562153672,5.86319108914965,1,1,strict
H,33,bootstrap,33,CP002,35,05-06,20,18.77435562153672,5.86319108914965,-15,15,no_match
H,33,bootstrap,33,CP003,57,05-28,54,2.6652464051412257,0.023226773550065527,-3,3,matched
H,33,bootstrap,33,CP004,77,06-17,77,14.509570282916886,12.376436730285244,0,0,strict
H,33,bootstrap,33,CP005,95,07-05,92,8.163486907964812,1.9911539506489095,-3,3,matched
H,33,bootstrap,33,CP006,115,07-25,113,38.66258818583827,38.49436915472673,-2,2,strict
H,33,bootstrap,33,CP007,129,08-08,127,6.997346418624405,6.549192817753866,-2,2,strict
H,33,bootstrap,33,CP008,155,09-03,154,8.231322267108494,3.0101378509581593,-1,1,strict
H,34,bootstrap,34,CP001,19,04-20,18,23.12984968966346,7.789085322462817,-1,1,strict
H,34,bootstrap,34,CP002,35,05-06,35,10.96286358233506,3.5887115771502156,0,0,strict
H,34,bootstrap,34,CP003,57,05-28,58,3.5604307418641645,0.08186599547658657,1,1,strict
H,34,bootstrap,34,CP004,77,06-17,77,11.531517635730332,8.025024780809133,0,0,strict
H,34,bootstrap,34,CP005,95,07-05,99,7.214888902347882,1.9921958772234696,4,4,matched
H,34,bootstrap,34,CP006,115,07-25,115,47.55709597574941,46.92907635856258,0,0,strict
H,34,bootstrap,34,CP007,129,08-08,129,4.566450462974274,3.4756077780281274,0,0,strict
H,34,bootstrap,34,CP008,155,09-03,154,8.743321285650019,4.918222541610638,-1,1,strict
H,35,bootstrap,35,CP001,19,04-20,20,6.544018344721939,0.5768618374092274,1,1,strict
H,35,bootstrap,35,CP002,35,05-06,34,17.244909080544517,11.935542995426838,-1,1,strict
H,35,bootstrap,35,CP003,57,05-28,46,1.9823225731976388,0.5220945732331403,-11,11,no_match
H,35,bootstrap,35,CP004,77,06-17,77,16.85888647618418,13.61054166951524,0,0,strict
H,35,bootstrap,35,CP005,95,07-05,96,7.690749320458311,3.1093016199586083,1,1,strict
H,35,bootstrap,35,CP006,115,07-25,115,46.180904663818495,45.82319940843675,0,0,strict
H,35,bootstrap,35,CP007,129,08-08,131,3.023583232967395,2.577831811092901,2,2,strict
