year,year_index,point_id,reference_day,detected_day,offset,match_type,hit,peak_score
2007,28,RP003,113,,,no_match,missing,
2008,29,RP003,113,119.0,6.0,near_support_only,near_hit,20.721976992085125
2009,30,RP003,113,113.0,0.0,strict_match,exact_hit,31.461567335645928
2010,31,RP003,113,,,no_match,missing,
2011,32,RP003,113,110.0,-3.0,matched_point,near_hit,26.927370322484055
2012,33,RP003,113,111.0,-2.0,strict_match,exact_hit,30.998013258912096
2013,34,RP003,113,,,no_match,missing,
2014,35,RP003,113,108.0,-5.0,near_support_only,near_hit,27.49595896563408
2015,36,RP003,113,111.0,-2.0,strict_match,exact_hit,37.487610826576116
2016,37,RP003,113,115.0,2.0,strict_match,exact_hit,26.677511032994676
2017,38,RP003,113,111.0,-2.0,strict_match,exact_hit,25.919884867588458
2018,39,RP003,113,,,no_match,missing,
2019,40,RP003,113,,,no_match,missing,
2020,41,RP003,113,118.0,5.0,near_support_only,near_hit,23.66140703429393
2021,42,RP003,113,107.0,-6.0,near_support_only,near_hit,52.841617853831124
2022,43,RP003,113,121.0,8.0,near_support_only,near_hit,21.305115235873252
2023,44,RP003,113,,,no_match,missing,
1979,0,RP004,135,136.0,1.0,strict_match,exact_hit,29.749484779894427
1980,1,RP004,135,,,no_match,missing,
1981,2,RP004,135,,,no_match,missing,
1982,3,RP004,135,140.0,5.0,near_support_only,near_hit,15.706486056990402
1983,4,RP004,135,127.0,-8.0,near_support_only,near_hit,51.396124745163526
1984,5,RP004,135,135.0,0.0,strict_match,exact_hit,22.6434260190726
1985,6,RP004,135,130.0,-5.0,near_support_only,near_hit,16.137115179613044
1986,7,RP004,135,139.0,4.0,matched_point,near_hit,24.369720300364417
1987,8,RP004,135,130.0,-5.0,near_support_only,near_hit,33.96905528912429
1988,9,RP004,135,137.0,2.0,strict_match,exact_hit,29.12747595206931
1989,10,RP004,135,129.0,-6.0,near_support_only,near_hit,31.40385240209426
1990,11,RP004,135,134.0,-1.0,strict_match,exact_hit,41.35342300175
1991,12,RP004,135,132.0,-3.0,matched_point,near_hit,22.639466985749646
1992,13,RP004,135,134.0,-1.0,strict_match,exact_hit,26.230985154541873
1993,14,RP004,135,,,no_match,missing,
1994,15,RP004,135,,,no_match,missing,
1995,16,RP004,135,,,no_match,missing,
1996,17,RP004,135,136.0,1.0,strict_match,exact_hit,15.511350005089515
1997,18,RP004,135,135.0,0.0,strict_match,exact_hit,28.10164630281883
1998,19,RP004,135,,,no_match,missing,
1999,20,RP004,135,133.0,-2.0,strict_match,exact_hit,24.087999732481478
2000,21,RP004,135,139.0,4.0,matched_point,near_hit,22.61933073551474
2001,22,RP004,135,133.0,-2.0,strict_match,exact_hit,24.573893243385026
2002,23,RP004,135,130.0,-5.0,near_support_only,near_hit,24.928262543343074
2003,24,RP004,135,,,no_match,missing,
2004,25,RP004,135,141.0,6.0,near_support_only,near_hit,27.956256415164827
2005,26,RP004,135,140.0,5.0,near_support_only,near_hit,20.87271501184611
2006,27,RP004,135,143.0,8.0,near_support_only,near_hit,23.715712546965076
2007,28,RP004,135,,,no_match,missing,
2008,29,RP004,135,134.0,-1.0,strict_match,exact_hit,41.302080334648
2009,30,RP004,135,134.0,-1.0,strict_match,exact_hit,52.69133205451611
2010,31,RP004,135,143.0,8.0,near_support_only,near_hit,20.901653229686097
2011,32,RP004,135,130.0,-5.0,near_support_only,near_hit,27.341788933763198
2012,33,RP004,135,,,no_match,missing,
2013,34,RP004,135,133.0,-2.0,strict_match,exact_hit,36.22037811775135
2014,35,RP004,135,131.0,-4.0,matched_point,near_hit,33.82621768183137
2015,36,RP004,135,130.0,-5.0,near_support_only,near_hit,27.25235831005579
2016,37,RP004,135,130.0,-5.0,near_support_only,near_hit,26.949514202221394
2017,38,RP004,135,139.0,4.0,matched_point,near_hit,34.141329333402055
2018,39,RP004,135,127.0,-8.0,near_support_only,near_hit,23.096808625803575
2019,40,RP004,135,137.0,2.0,strict_match,exact_hit,37.21549971424185
2020,41,RP004,135,,,no_match,missing,
2021,42,RP004,135,128.0,-7.0,near_support_only,near_hit,32.38714663594722
2022,43,RP004,135,,,no_match,missing,
2023,44,RP004,135,143.0,8.0,near_support_only,near_hit,34.88873444756132
1979,0,RP005,160,167.0,7.0,near_support_only,near_hit,16.563992003488032
1980,1,RP005,160,158.0,-2.0,strict_match,exact_hit,29.172472608423586
1981,2,RP005,160,160.0,0.0,strict_match,exact_hit,41.133336400465936
1982,3,RP005,160,158.0,-2.0,strict_match,exact_hit,17.754072797937187
1983,4,RP005,160,167.0,7.0,near_support_only,near_hit,26.479354141460377
1984,5,RP005,160,155.0,-5.0,near_support_only,near_hit,36.889443344590674
1985,6,RP005,160,167.0,7.0,near_support_only,near_hit,28.126229046301045
1986,7,RP005,160,155.0,-5.0,near_support_only,near_hit,32.06027606839001
1987,8,RP005,160,154.0,-6.0,near_support_only,near_hit,38.403668250976345
1988,9,RP005,160,159.0,-1.0,strict_match,exact_hit,22.158391616929688
1989,10,RP005,160,157.0,-3.0,matched_point,near_hit,38.22207341444475
1990,11,RP005,160,,,no_match,missing,
1991,12,RP005,160,,,no_match,missing,
1992,13,RP005,160,157.0,-3.0,matched_point,near_hit,27.359863822557124
1993,14,RP005,160,,,no_match,missing,
1994,15,RP005,160,164.0,4.0,matched_point,near_hit,21.780788228116432
1995,16,RP005,160,164.0,4.0,matched_point,near_hit,50.764710180316314
1996,17,RP005,160,157.0,-3.0,matched_point,near_hit,21.467512913601944
1997,18,RP005,160,161.0,1.0,strict_match,exact_hit,26.025108822660265
1998,19,RP005,160,161.0,1.0,strict_match,exact_hit,39.75740325916678
1999,20,RP005,160,163.0,3.0,matched_point,near_hit,31.104704176212493
2000,21,RP005,160,158.0,-2.0,strict_match,exact_hit,29.488163264626966
2001,22,RP005,160,161.0,1.0,strict_match,exact_hit,24.86584000348283
2002,23,RP005,160,162.0,2.0,strict_match,exact_hit,30.191880292205344
2003,24,RP005,160,153.0,-7.0,near_support_only,near_hit,16.975427403367675
2004,25,RP005,160,167.0,7.0,near_support_only,near_hit,24.2527402130436
2005,26,RP005,160,163.0,3.0,matched_point,near_hit,29.05576155471098
2006,27,RP005,160,158.0,-2.0,strict_match,exact_hit,28.990675741658116
2007,28,RP005,160,152.0,-8.0,near_support_only,near_hit,25.17006925446445
2008,29,RP005,160,159.0,-1.0,strict_match,exact_hit,14.331947536133974
2009,30,RP005,160,,,no_match,missing,
2010,31,RP005,160,164.0,4.0,matched_point,near_hit,25.06468983579591
2011,32,RP005,160,158.0,-2.0,strict_match,exact_hit,19.255445188665895
2012,33,RP005,160,163.0,3.0,matched_point,near_hit,21.4546827033577
2013,34,RP005,160,165.0,5.0,near_support_only,near_hit,26.286677445826463
2014,35,RP005,160,162.0,2.0,strict_match,exact_hit,15.772088449472438
2015,36,RP005,160,159.0,-1.0,strict_match,exact_hit,17.031631965921186
2016,37,RP005,160,162.0,2.0,strict_match,exact_hit,21.641511302499666
2017,38,RP005,160,153.0,-7.0,near_support_only,near_hit,27.902074872291607
2018,39,RP005,160,155.0,-5.0,near_support_only,near_hit,26.86694345450406
2019,40,RP005,160,160.0,0.0,strict_match,exact_hit,30.879553986283064
2020,41,RP005,160,162.0,2.0,strict_match,exact_hit,22.76851459204435
2021,42,RP005,160,156.0,-4.0,matched_point,near_hit,15.906819828201414
2022,43,RP005,160,,,no_match,missing,
2023,44,RP005,160,165.0,5.0,near_support_only,near_hit,31.409017207661215
