window_id,anchor_day,field_a,field_b,median_delta_b_minus_a,mean_delta_b_minus_a,q05_delta_b_minus_a,q95_delta_b_minus_a,q25_delta_b_minus_a,q75_delta_b_minus_a,q025_delta_b_minus_a,q975_delta_b_minus_a,pass_95,pass_90,final_evidence_label_v7_e1,significance_label_v7_e1,primary_failure_type,secondary_failure_flags,zero_in_iqr,zero_in_90ci,zero_in_95ci,field_a_progress_quality,field_b_progress_quality,field_a_prepost_separation,field_b_prepost_separation,field_a_midpoint_iqr,field_b_midpoint_iqr,field_a_midpoint_q95_width,field_b_midpoint_q95_width,larger_spread_field,loyo_direction,loyo_conflict_flag,failure_interpretation,recommended_next_action
W003,81,P,V,-1.0,-1.357,-4.0,2.0,-2.0,0.0,-4.0,2.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,7.0,7.0,equal,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,P,H,-2.0,-2.171,-5.0,1.0,-3.0,-1.0,-6.0,1.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=P,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,7.0,5.0,P,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W003,81,P,Je,1.0,0.426,-3.0,4.0,-1.0,2.0,-4.0,4.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=P,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,7.0,6.0,P,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,P,Jw,1.0,0.312,-4.0,4.0,-1.0,2.0,-5.0,5.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,7.0,8.0,equal,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,V,H,-1.0,-0.814,-4.0,2.0,-2.0,0.0,-5.0,3.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=V,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,7.0,5.0,V,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,V,Je,2.0,1.783,-2.0,5.0,0.0,3.0,-2.0,6.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=V,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,7.0,6.0,V,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,V,Jw,2.0,1.669,-3.0,6.0,0.0,4.0,-4.0,7.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,7.0,8.0,equal,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W003,81,H,Je,3.0,2.597,0.0,5.0,2.0,3.0,0.0,6.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,2.0,5.0,6.0,equal,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W003,81,H,Jw,3.0,2.483,-2.0,6.0,1.0,4.0,-3.0,7.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=Jw,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,5.0,8.0,Jw,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W003,81,Je,Jw,0.0,-0.114,-4.0,3.0,-1.0,1.0,-5.0,4.0,False,False,not_distinguishable,direction_not_significant,central_overlap,zero_inside_iqr;larger_spread_field=Jw,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,8.0,Jw,tie_or_zero_median,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W005,113,P,V,2.0,2.156,-2.049999999999997,7.0,0.0,4.0,-3.0,7.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=P,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,1.0,8.0,5.0,P,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W005,113,P,H,2.0,1.87,-2.0,6.0,0.0,4.0,-3.0,7.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=P,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,8.0,6.0,P,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W005,113,P,Je,-1.0,-1.184,-5.0,2.0,-3.0,0.0,-6.0,2.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=P,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,8.0,6.0,P,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W005,113,P,Jw,-3.0,-2.847,-7.0,1.0,-4.0,-1.0,-9.0,1.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,8.0,5.024999999999977,equal,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W005,113,V,H,0.0,-0.286,-3.0,2.0,-1.0,1.0,-3.0,2.0,False,False,not_distinguishable,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=H,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,1.0,2.0,5.0,6.0,H,tie_or_zero_median,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W005,113,V,Je,-3.0,-3.34,-6.0,0.0,-5.0,-2.0,-7.0,0.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=Je,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,1.0,2.0,5.0,6.0,Je,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W005,113,V,Jw,-5.0,-5.003,-8.0,-2.0,-6.0,-4.0,-9.0,-1.0,True,True,confirmed_directional_order,direction_significant,passed_90,larger_spread_field=Jw,False,False,False,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,1.0,3.0,5.0,5.024999999999977,Jw,field_b_before_field_a,False,This pair passes the 90% bootstrap CI criterion and is not treated as a failure.,usable_confirmed_or_90_supported_edge
W005,113,H,Je,-3.0,-3.054,-6.0,0.0,-4.0,-2.0,-6.024999999999999,0.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,2.0,6.0,6.0,equal,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W005,113,H,Jw,-5.0,-4.717,-8.0,-1.0,-6.0,-3.0,-9.0,0.0,False,True,supported_directional_tendency,direction_significant,passed_90,larger_spread_field=Jw,False,False,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,5.024999999999977,Jw,field_b_before_field_a,False,This pair passes the 90% bootstrap CI criterion and is not treated as a failure.,usable_confirmed_or_90_supported_edge
W005,113,Je,Jw,-2.0,-1.663,-5.0,1.0,-3.0,-1.0,-5.0,2.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=Jw,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,5.024999999999977,Jw,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W007,160,P,V,3.0,2.555,-1.0,5.0,2.0,4.0,-2.0,6.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,2.0,7.0,7.0,equal,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W007,160,P,H,-3.0,-1.55,-7.0,10.0,-4.0,-0.75,-8.0,11.0,False,False,supported_directional_tendency,direction_significant,quality_bottleneck,quality_bottleneck;field_b_quality=nonmonotonic_progress;larger_spread_field=H,False,True,True,monotonic_clear_progress,nonmonotonic_progress,clear_separation,clear_separation,2.0,3.0,7.0,16.0,H,field_b_before_field_a,False,At least one field has a progress-quality or pre/post-separation issue that limits order interpretation.,inspect_field_progress_quality
W007,160,P,Je,3.0,2.916,-1.0,6.0,2.0,4.0,-2.0,7.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=P,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,1.0,7.0,5.0,P,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W007,160,P,Jw,2.0,1.716,-4.0,6.0,0.0,4.0,-5.0,7.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=Jw,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,4.0,7.0,9.0,Jw,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W007,160,V,H,-6.0,-4.105,-9.0,8.0,-7.0,-3.0,-9.0,9.0,False,False,supported_directional_tendency,direction_significant,quality_bottleneck,quality_bottleneck;field_b_quality=nonmonotonic_progress;larger_spread_field=H,False,True,True,monotonic_clear_progress,nonmonotonic_progress,clear_separation,clear_separation,2.0,3.0,7.0,16.0,H,field_b_before_field_a,False,At least one field has a progress-quality or pre/post-separation issue that limits order interpretation.,inspect_field_progress_quality
W007,160,V,Je,0.0,0.361,-2.0,4.0,-1.0,2.0,-3.0,5.0,False,False,not_distinguishable,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=V,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,1.0,7.0,5.0,V,tie_or_zero_median,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W007,160,V,Jw,-1.0,-0.839,-6.0,3.0,-3.0,1.0,-6.0,4.024999999999977,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=Jw,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,4.0,7.0,9.0,Jw,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W007,160,H,Je,6.0,4.466,-6.0,9.0,4.0,7.0,-7.0,9.0,False,False,supported_directional_tendency,direction_significant,quality_bottleneck,quality_bottleneck;field_a_quality=nonmonotonic_progress;larger_spread_field=H,False,True,True,nonmonotonic_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,1.0,16.0,5.0,H,field_a_before_field_b,False,At least one field has a progress-quality or pre/post-separation issue that limits order interpretation.,inspect_field_progress_quality
W007,160,H,Jw,4.0,3.266,-8.0,9.0,2.0,7.0,-10.0,10.0,False,False,supported_directional_tendency,direction_significant,quality_bottleneck,quality_bottleneck;field_a_quality=nonmonotonic_progress;larger_spread_field=Jw,False,True,True,nonmonotonic_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,4.0,16.0,9.0,Jw,field_a_before_field_b,False,At least one field has a progress-quality or pre/post-separation issue that limits order interpretation.,inspect_field_progress_quality
W007,160,Je,Jw,-1.0,-1.2,-6.0,3.0,-3.0,1.0,-7.0,4.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=Jw,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,1.0,4.0,5.0,9.0,Jw,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
