window_id,field_a,field_b,bootstrap_id,delta_b_minus_a,tail_type
W002,P,V,300,0.0,non_positive_tail_against_A_before_B
W002,P,V,301,0.0,non_positive_tail_against_A_before_B
W002,P,V,302,-1.0,non_positive_tail_against_A_before_B
W002,P,V,306,-1.0,non_positive_tail_against_A_before_B
W002,P,V,307,0.0,non_positive_tail_against_A_before_B
W002,P,V,320,0.0,non_positive_tail_against_A_before_B
W002,P,V,321,0.0,non_positive_tail_against_A_before_B
W002,P,V,324,-2.0,non_positive_tail_against_A_before_B
W002,P,V,328,0.0,non_positive_tail_against_A_before_B
W002,P,V,331,0.0,non_positive_tail_against_A_before_B
W002,P,V,334,-1.0,non_positive_tail_against_A_before_B
W002,P,V,335,-2.0,non_positive_tail_against_A_before_B
W002,P,V,336,-1.0,non_positive_tail_against_A_before_B
W002,P,V,337,-1.0,non_positive_tail_against_A_before_B
W002,P,V,340,0.0,non_positive_tail_against_A_before_B
W002,P,V,341,0.0,non_positive_tail_against_A_before_B
W002,P,V,346,-1.0,non_positive_tail_against_A_before_B
W002,P,V,358,0.0,non_positive_tail_against_A_before_B
W002,P,V,361,0.0,non_positive_tail_against_A_before_B
W002,P,V,364,0.0,non_positive_tail_against_A_before_B
W002,P,V,368,0.0,non_positive_tail_against_A_before_B
W002,P,V,371,-1.0,non_positive_tail_against_A_before_B
W002,P,V,373,-1.0,non_positive_tail_against_A_before_B
W002,P,V,384,0.0,non_positive_tail_against_A_before_B
W002,P,V,387,0.0,non_positive_tail_against_A_before_B
W002,P,V,391,0.0,non_positive_tail_against_A_before_B
W002,P,V,399,0.0,non_positive_tail_against_A_before_B
W002,P,V,406,0.0,non_positive_tail_against_A_before_B
W002,P,V,409,-1.0,non_positive_tail_against_A_before_B
W002,P,V,411,0.0,non_positive_tail_against_A_before_B
W002,P,V,417,-1.0,non_positive_tail_against_A_before_B
W002,P,V,418,0.0,non_positive_tail_against_A_before_B
W002,P,V,419,0.0,non_positive_tail_against_A_before_B
W002,P,V,421,0.0,non_positive_tail_against_A_before_B
W002,P,V,426,0.0,non_positive_tail_against_A_before_B
W002,P,V,431,0.0,non_positive_tail_against_A_before_B
W002,P,V,434,0.0,non_positive_tail_against_A_before_B
W002,P,V,435,-1.0,non_positive_tail_against_A_before_B
W002,P,V,437,-1.0,non_positive_tail_against_A_before_B
W002,P,V,441,-1.0,non_positive_tail_against_A_before_B
W002,P,V,445,-1.0,non_positive_tail_against_A_before_B
W002,P,V,448,-1.0,non_positive_tail_against_A_before_B
W002,P,V,457,0.0,non_positive_tail_against_A_before_B
W002,P,V,468,0.0,non_positive_tail_against_A_before_B
W002,P,V,472,0.0,non_positive_tail_against_A_before_B
W002,P,V,475,0.0,non_positive_tail_against_A_before_B
W002,P,V,480,0.0,non_positive_tail_against_A_before_B
W002,P,V,482,0.0,non_positive_tail_against_A_before_B
W002,P,V,487,0.0,non_positive_tail_against_A_before_B
W002,P,V,492,0.0,non_positive_tail_against_A_before_B
W002,P,V,493,-1.0,non_positive_tail_against_A_before_B
W002,P,V,496,0.0,non_positive_tail_against_A_before_B
W002,P,V,497,0.0,non_positive_tail_against_A_before_B
W002,P,V,499,0.0,non_positive_tail_against_A_before_B
W002,P,V,501,0.0,non_positive_tail_against_A_before_B
W002,P,V,516,-1.0,non_positive_tail_against_A_before_B
W002,P,V,518,0.0,non_positive_tail_against_A_before_B
W002,P,V,519,0.0,non_positive_tail_against_A_before_B
W002,P,V,522,0.0,non_positive_tail_against_A_before_B
W002,P,V,523,-1.0,non_positive_tail_against_A_before_B
W002,P,V,527,0.0,non_positive_tail_against_A_before_B
W002,P,V,529,0.0,non_positive_tail_against_A_before_B
W002,P,V,530,0.0,non_positive_tail_against_A_before_B
W002,P,V,531,-1.0,non_positive_tail_against_A_before_B
W002,P,V,541,0.0,non_positive_tail_against_A_before_B
W002,P,V,543,0.0,non_positive_tail_against_A_before_B
W002,P,V,557,0.0,non_positive_tail_against_A_before_B
W002,P,V,559,0.0,non_positive_tail_against_A_before_B
W002,P,V,563,0.0,non_positive_tail_against_A_before_B
W002,P,V,564,0.0,non_positive_tail_against_A_before_B
W002,P,V,565,0.0,non_positive_tail_against_A_before_B
W002,P,V,566,0.0,non_positive_tail_against_A_before_B
W002,P,V,569,0.0,non_positive_tail_against_A_before_B
W002,P,V,572,0.0,non_positive_tail_against_A_before_B
W002,P,V,581,0.0,non_positive_tail_against_A_before_B
W002,P,V,586,0.0,non_positive_tail_against_A_before_B
W002,P,V,589,-2.0,non_positive_tail_against_A_before_B
W002,P,V,596,0.0,non_positive_tail_against_A_before_B
W002,P,V,598,0.0,non_positive_tail_against_A_before_B
W002,P,V,602,0.0,non_positive_tail_against_A_before_B
W002,P,V,605,-1.0,non_positive_tail_against_A_before_B
W002,P,V,608,0.0,non_positive_tail_against_A_before_B
W002,P,V,612,0.0,non_positive_tail_against_A_before_B
W002,P,V,626,0.0,non_positive_tail_against_A_before_B
W002,P,V,636,0.0,non_positive_tail_against_A_before_B
W002,P,V,643,-1.0,non_positive_tail_against_A_before_B
W002,P,V,645,-1.0,non_positive_tail_against_A_before_B
W002,P,V,652,0.0,non_positive_tail_against_A_before_B
W002,P,V,653,0.0,non_positive_tail_against_A_before_B
W002,P,V,656,0.0,non_positive_tail_against_A_before_B
W002,P,V,658,-1.0,non_positive_tail_against_A_before_B
W002,P,V,659,0.0,non_positive_tail_against_A_before_B
W002,P,V,662,0.0,non_positive_tail_against_A_before_B
W002,P,V,663,0.0,non_positive_tail_against_A_before_B
W002,P,V,666,-1.0,non_positive_tail_against_A_before_B
W002,P,V,667,0.0,non_positive_tail_against_A_before_B
W002,P,V,669,0.0,non_positive_tail_against_A_before_B
W002,P,V,675,0.0,non_positive_tail_against_A_before_B
W002,P,V,691,0.0,non_positive_tail_against_A_before_B
W002,P,V,692,0.0,non_positive_tail_against_A_before_B
W002,P,V,695,0.0,non_positive_tail_against_A_before_B
W002,P,V,712,0.0,non_positive_tail_against_A_before_B
W002,P,V,717,0.0,non_positive_tail_against_A_before_B
W002,P,V,723,0.0,non_positive_tail_against_A_before_B
W002,P,V,738,0.0,non_positive_tail_against_A_before_B
W002,P,V,746,0.0,non_positive_tail_against_A_before_B
W002,P,V,749,-1.0,non_positive_tail_against_A_before_B
W002,P,V,750,0.0,non_positive_tail_against_A_before_B
W002,P,V,751,0.0,non_positive_tail_against_A_before_B
W002,P,V,755,0.0,non_positive_tail_against_A_before_B
W002,P,V,766,0.0,non_positive_tail_against_A_before_B
W002,P,V,770,0.0,non_positive_tail_against_A_before_B
W002,P,V,772,-1.0,non_positive_tail_against_A_before_B
W002,P,V,773,-2.0,non_positive_tail_against_A_before_B
W002,P,V,777,0.0,non_positive_tail_against_A_before_B
W002,P,V,780,-1.0,non_positive_tail_against_A_before_B
W002,P,V,783,0.0,non_positive_tail_against_A_before_B
W002,P,V,784,0.0,non_positive_tail_against_A_before_B
W002,P,V,788,-1.0,non_positive_tail_against_A_before_B
W002,P,V,791,0.0,non_positive_tail_against_A_before_B
W002,P,V,792,0.0,non_positive_tail_against_A_before_B
W002,P,V,796,-1.0,non_positive_tail_against_A_before_B
W002,P,V,797,0.0,non_positive_tail_against_A_before_B
W002,P,V,802,0.0,non_positive_tail_against_A_before_B
W002,P,V,805,-3.0,non_positive_tail_against_A_before_B
W002,P,V,806,-1.0,non_positive_tail_against_A_before_B
W002,P,V,807,0.0,non_positive_tail_against_A_before_B
W002,P,V,815,0.0,non_positive_tail_against_A_before_B
W002,P,V,817,-2.0,non_positive_tail_against_A_before_B
W002,P,V,819,0.0,non_positive_tail_against_A_before_B
W002,P,V,821,0.0,non_positive_tail_against_A_before_B
W002,P,V,822,0.0,non_positive_tail_against_A_before_B
W002,P,V,823,0.0,non_positive_tail_against_A_before_B
W002,P,V,829,0.0,non_positive_tail_against_A_before_B
W002,P,V,833,0.0,non_positive_tail_against_A_before_B
W002,P,V,834,0.0,non_positive_tail_against_A_before_B
W002,P,V,863,0.0,non_positive_tail_against_A_before_B
W002,P,V,866,0.0,non_positive_tail_against_A_before_B
W002,P,V,867,-1.0,non_positive_tail_against_A_before_B
W002,P,V,872,0.0,non_positive_tail_against_A_before_B
W002,P,V,873,0.0,non_positive_tail_against_A_before_B
W002,P,V,885,0.0,non_positive_tail_against_A_before_B
W002,P,V,894,0.0,non_positive_tail_against_A_before_B
W002,P,V,897,0.0,non_positive_tail_against_A_before_B
W002,P,V,899,0.0,non_positive_tail_against_A_before_B
W002,P,V,903,-1.0,non_positive_tail_against_A_before_B
W002,P,V,906,0.0,non_positive_tail_against_A_before_B
W002,P,V,908,-1.0,non_positive_tail_against_A_before_B
W002,P,V,916,-1.0,non_positive_tail_against_A_before_B
W002,P,V,921,0.0,non_positive_tail_against_A_before_B
W002,P,V,923,-2.0,non_positive_tail_against_A_before_B
W002,P,V,928,0.0,non_positive_tail_against_A_before_B
W002,P,V,930,-1.0,non_positive_tail_against_A_before_B
W002,P,V,941,0.0,non_positive_tail_against_A_before_B
W002,P,V,942,-2.0,non_positive_tail_against_A_before_B
W002,P,V,944,-2.0,non_positive_tail_against_A_before_B
W002,P,V,950,0.0,non_positive_tail_against_A_before_B
W002,P,V,953,0.0,non_positive_tail_against_A_before_B
W002,P,V,957,0.0,non_positive_tail_against_A_before_B
W002,P,V,959,-1.0,non_positive_tail_against_A_before_B
W002,P,V,960,0.0,non_positive_tail_against_A_before_B
W002,P,V,961,-1.0,non_positive_tail_against_A_before_B
W002,P,V,962,-1.0,non_positive_tail_against_A_before_B
W002,P,V,964,0.0,non_positive_tail_against_A_before_B
W002,P,V,968,0.0,non_positive_tail_against_A_before_B
W002,P,V,971,0.0,non_positive_tail_against_A_before_B
W002,P,V,973,0.0,non_positive_tail_against_A_before_B
W002,P,V,976,-4.0,non_positive_tail_against_A_before_B
W002,P,V,981,0.0,non_positive_tail_against_A_before_B
W002,P,V,983,-1.0,non_positive_tail_against_A_before_B
W002,P,V,988,0.0,non_positive_tail_against_A_before_B
W002,P,V,989,-3.0,non_positive_tail_against_A_before_B
W002,P,V,990,-2.0,non_positive_tail_against_A_before_B
W002,P,V,991,0.0,non_positive_tail_against_A_before_B
W002,P,V,993,0.0,non_positive_tail_against_A_before_B
W002,P,V,995,0.0,non_positive_tail_against_A_before_B
W002,P,H,11,1.0,non_negative_tail_against_B_before_A
W002,P,H,13,11.0,non_negative_tail_against_B_before_A
W002,P,H,30,8.0,non_negative_tail_against_B_before_A
W002,P,H,35,5.0,non_negative_tail_against_B_before_A
W002,P,H,36,9.0,non_negative_tail_against_B_before_A
W002,P,H,42,1.0,non_negative_tail_against_B_before_A
W002,P,H,44,9.0,non_negative_tail_against_B_before_A
W002,P,H,59,12.0,non_negative_tail_against_B_before_A
W002,P,H,62,6.0,non_negative_tail_against_B_before_A
W002,P,H,72,9.0,non_negative_tail_against_B_before_A
W002,P,H,93,0.0,non_negative_tail_against_B_before_A
W002,P,H,98,11.0,non_negative_tail_against_B_before_A
W002,P,H,101,10.0,non_negative_tail_against_B_before_A
W002,P,H,109,11.0,non_negative_tail_against_B_before_A
W002,P,H,122,9.0,non_negative_tail_against_B_before_A
W002,P,H,131,5.0,non_negative_tail_against_B_before_A
W002,P,H,156,6.0,non_negative_tail_against_B_before_A
W002,P,H,158,9.0,non_negative_tail_against_B_before_A
W002,P,H,171,10.0,non_negative_tail_against_B_before_A
W002,P,H,172,2.0,non_negative_tail_against_B_before_A
W002,P,H,188,1.0,non_negative_tail_against_B_before_A
W002,P,H,190,6.0,non_negative_tail_against_B_before_A
W002,P,H,191,13.0,non_negative_tail_against_B_before_A
W002,P,H,197,2.0,non_negative_tail_against_B_before_A
W002,P,H,204,9.0,non_negative_tail_against_B_before_A
W002,P,H,206,8.0,non_negative_tail_against_B_before_A
W002,P,H,208,2.0,non_negative_tail_against_B_before_A
W002,P,H,212,10.0,non_negative_tail_against_B_before_A
W002,P,H,215,7.0,non_negative_tail_against_B_before_A
W002,P,H,219,12.0,non_negative_tail_against_B_before_A
W002,P,H,220,5.0,non_negative_tail_against_B_before_A
W002,P,H,224,7.0,non_negative_tail_against_B_before_A
W002,P,H,226,4.0,non_negative_tail_against_B_before_A
W002,P,H,235,10.0,non_negative_tail_against_B_before_A
W002,P,H,237,0.0,non_negative_tail_against_B_before_A
W002,P,H,241,8.0,non_negative_tail_against_B_before_A
W002,P,H,242,1.0,non_negative_tail_against_B_before_A
W002,P,H,249,11.0,non_negative_tail_against_B_before_A
W002,P,H,250,1.0,non_negative_tail_against_B_before_A
W002,P,H,254,7.0,non_negative_tail_against_B_before_A
W002,P,H,266,10.0,non_negative_tail_against_B_before_A
W002,P,H,270,0.0,non_negative_tail_against_B_before_A
W002,P,H,273,10.0,non_negative_tail_against_B_before_A
W002,P,H,281,3.0,non_negative_tail_against_B_before_A
W002,P,H,288,5.0,non_negative_tail_against_B_before_A
W002,P,H,296,6.0,non_negative_tail_against_B_before_A
W002,P,H,298,10.0,non_negative_tail_against_B_before_A
W002,P,H,299,1.0,non_negative_tail_against_B_before_A
W002,P,H,304,1.0,non_negative_tail_against_B_before_A
W002,P,H,313,10.0,non_negative_tail_against_B_before_A
W002,P,H,314,2.0,non_negative_tail_against_B_before_A
W002,P,H,315,2.0,non_negative_tail_against_B_before_A
W002,P,H,321,8.0,non_negative_tail_against_B_before_A
W002,P,H,326,0.0,non_negative_tail_against_B_before_A
W002,P,H,329,6.0,non_negative_tail_against_B_before_A
W002,P,H,332,5.0,non_negative_tail_against_B_before_A
W002,P,H,339,7.0,non_negative_tail_against_B_before_A
W002,P,H,344,9.0,non_negative_tail_against_B_before_A
W002,P,H,345,8.0,non_negative_tail_against_B_before_A
W002,P,H,346,1.0,non_negative_tail_against_B_before_A
W002,P,H,348,1.0,non_negative_tail_against_B_before_A
W002,P,H,353,9.0,non_negative_tail_against_B_before_A
W002,P,H,359,5.0,non_negative_tail_against_B_before_A
W002,P,H,367,10.0,non_negative_tail_against_B_before_A
W002,P,H,371,2.0,non_negative_tail_against_B_before_A
W002,P,H,373,1.0,non_negative_tail_against_B_before_A
W002,P,H,379,9.0,non_negative_tail_against_B_before_A
W002,P,H,381,9.0,non_negative_tail_against_B_before_A
W002,P,H,382,1.0,non_negative_tail_against_B_before_A
W002,P,H,383,8.0,non_negative_tail_against_B_before_A
W002,P,H,386,5.0,non_negative_tail_against_B_before_A
W002,P,H,388,6.0,non_negative_tail_against_B_before_A
W002,P,H,392,9.0,non_negative_tail_against_B_before_A
W002,P,H,401,10.0,non_negative_tail_against_B_before_A
W002,P,H,404,0.0,non_negative_tail_against_B_before_A
W002,P,H,406,8.0,non_negative_tail_against_B_before_A
W002,P,H,415,0.0,non_negative_tail_against_B_before_A
W002,P,H,425,8.0,non_negative_tail_against_B_before_A
W002,P,H,432,2.0,non_negative_tail_against_B_before_A
W002,P,H,446,2.0,non_negative_tail_against_B_before_A
W002,P,H,448,10.0,non_negative_tail_against_B_before_A
W002,P,H,453,0.0,non_negative_tail_against_B_before_A
W002,P,H,456,1.0,non_negative_tail_against_B_before_A
W002,P,H,466,9.0,non_negative_tail_against_B_before_A
W002,P,H,469,5.0,non_negative_tail_against_B_before_A
W002,P,H,475,7.0,non_negative_tail_against_B_before_A
W002,P,H,482,10.0,non_negative_tail_against_B_before_A
W002,P,H,483,0.0,non_negative_tail_against_B_before_A
W002,P,H,485,9.0,non_negative_tail_against_B_before_A
W002,P,H,491,0.0,non_negative_tail_against_B_before_A
W002,P,H,500,0.0,non_negative_tail_against_B_before_A
W002,P,H,505,3.0,non_negative_tail_against_B_before_A
W002,P,H,509,0.0,non_negative_tail_against_B_before_A
W002,P,H,510,9.0,non_negative_tail_against_B_before_A
W002,P,H,518,9.0,non_negative_tail_against_B_before_A
W002,P,H,520,10.0,non_negative_tail_against_B_before_A
W002,P,H,525,1.0,non_negative_tail_against_B_before_A
W002,P,H,534,2.0,non_negative_tail_against_B_before_A
W002,P,H,538,7.0,non_negative_tail_against_B_before_A
W002,P,H,550,9.0,non_negative_tail_against_B_before_A
W002,P,H,555,2.0,non_negative_tail_against_B_before_A
W002,P,H,556,1.0,non_negative_tail_against_B_before_A
W002,P,H,558,0.0,non_negative_tail_against_B_before_A
W002,P,H,560,1.0,non_negative_tail_against_B_before_A
W002,P,H,561,11.0,non_negative_tail_against_B_before_A
W002,P,H,564,6.0,non_negative_tail_against_B_before_A
W002,P,H,565,2.0,non_negative_tail_against_B_before_A
W002,P,H,570,0.0,non_negative_tail_against_B_before_A
W002,P,H,573,3.0,non_negative_tail_against_B_before_A
W002,P,H,574,0.0,non_negative_tail_against_B_before_A
W002,P,H,577,0.0,non_negative_tail_against_B_before_A
W002,P,H,578,3.0,non_negative_tail_against_B_before_A
W002,P,H,588,10.0,non_negative_tail_against_B_before_A
W002,P,H,595,9.0,non_negative_tail_against_B_before_A
W002,P,H,597,2.0,non_negative_tail_against_B_before_A
W002,P,H,607,0.0,non_negative_tail_against_B_before_A
W002,P,H,611,9.0,non_negative_tail_against_B_before_A
W002,P,H,612,8.0,non_negative_tail_against_B_before_A
W002,P,H,617,8.0,non_negative_tail_against_B_before_A
W002,P,H,619,9.0,non_negative_tail_against_B_before_A
W002,P,H,623,7.0,non_negative_tail_against_B_before_A
W002,P,H,625,6.0,non_negative_tail_against_B_before_A
W002,P,H,628,9.0,non_negative_tail_against_B_before_A
W002,P,H,633,10.0,non_negative_tail_against_B_before_A
W002,P,H,635,9.0,non_negative_tail_against_B_before_A
W002,P,H,641,1.0,non_negative_tail_against_B_before_A
W002,P,H,649,2.0,non_negative_tail_against_B_before_A
W002,P,H,650,6.0,non_negative_tail_against_B_before_A
W002,P,H,655,6.0,non_negative_tail_against_B_before_A
W002,P,H,661,9.0,non_negative_tail_against_B_before_A
W002,P,H,671,9.0,non_negative_tail_against_B_before_A
W002,P,H,680,1.0,non_negative_tail_against_B_before_A
W002,P,H,685,8.0,non_negative_tail_against_B_before_A
W002,P,H,687,1.0,non_negative_tail_against_B_before_A
W002,P,H,692,7.0,non_negative_tail_against_B_before_A
W002,P,H,695,5.0,non_negative_tail_against_B_before_A
W002,P,H,704,3.0,non_negative_tail_against_B_before_A
W002,P,H,711,11.0,non_negative_tail_against_B_before_A
W002,P,H,723,4.0,non_negative_tail_against_B_before_A
W002,P,H,725,0.0,non_negative_tail_against_B_before_A
W002,P,H,731,7.0,non_negative_tail_against_B_before_A
W002,P,H,732,4.0,non_negative_tail_against_B_before_A
W002,P,H,736,4.0,non_negative_tail_against_B_before_A
W002,P,H,741,11.0,non_negative_tail_against_B_before_A
W002,P,H,742,9.0,non_negative_tail_against_B_before_A
W002,P,H,746,0.0,non_negative_tail_against_B_before_A
W002,P,H,756,2.0,non_negative_tail_against_B_before_A
W002,P,H,765,7.0,non_negative_tail_against_B_before_A
W002,P,H,774,0.0,non_negative_tail_against_B_before_A
W002,P,H,780,3.0,non_negative_tail_against_B_before_A
W002,P,H,781,2.0,non_negative_tail_against_B_before_A
W002,P,H,786,9.0,non_negative_tail_against_B_before_A
W002,P,H,787,10.0,non_negative_tail_against_B_before_A
W002,P,H,796,2.0,non_negative_tail_against_B_before_A
W002,P,H,799,10.0,non_negative_tail_against_B_before_A
W002,P,H,803,0.0,non_negative_tail_against_B_before_A
W002,P,H,804,9.0,non_negative_tail_against_B_before_A
W002,P,H,812,5.0,non_negative_tail_against_B_before_A
W002,P,H,813,0.0,non_negative_tail_against_B_before_A
W002,P,H,819,7.0,non_negative_tail_against_B_before_A
W002,P,H,823,0.0,non_negative_tail_against_B_before_A
W002,P,H,830,11.0,non_negative_tail_against_B_before_A
W002,P,H,837,9.0,non_negative_tail_against_B_before_A
W002,P,H,846,1.0,non_negative_tail_against_B_before_A
W002,P,H,871,2.0,non_negative_tail_against_B_before_A
W002,P,H,873,5.0,non_negative_tail_against_B_before_A
W002,P,H,883,0.0,non_negative_tail_against_B_before_A
W002,P,H,904,4.0,non_negative_tail_against_B_before_A
W002,P,H,921,7.0,non_negative_tail_against_B_before_A
W002,P,H,922,10.0,non_negative_tail_against_B_before_A
W002,P,H,924,7.0,non_negative_tail_against_B_before_A
W002,P,H,925,10.0,non_negative_tail_against_B_before_A
W002,P,H,937,7.0,non_negative_tail_against_B_before_A
W002,P,H,944,5.0,non_negative_tail_against_B_before_A
W002,P,H,954,11.0,non_negative_tail_against_B_before_A
W002,P,H,955,0.0,non_negative_tail_against_B_before_A
W002,P,H,959,6.0,non_negative_tail_against_B_before_A
W002,P,H,968,7.0,non_negative_tail_against_B_before_A
W002,P,H,972,5.0,non_negative_tail_against_B_before_A
W002,P,H,982,0.0,non_negative_tail_against_B_before_A
W002,P,H,984,8.0,non_negative_tail_against_B_before_A
W002,P,H,987,12.0,non_negative_tail_against_B_before_A
W002,P,H,991,7.0,non_negative_tail_against_B_before_A
W002,P,H,996,9.0,non_negative_tail_against_B_before_A
W002,P,Je,6,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,8,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,9,-3.0,non_positive_tail_against_A_before_B
W002,P,Je,10,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,16,0.0,non_positive_tail_against_A_before_B
W002,P,Je,19,-2.0,non_positive_tail_against_A_before_B
W002,P,Je,20,0.0,non_positive_tail_against_A_before_B
W002,P,Je,32,0.0,non_positive_tail_against_A_before_B
W002,P,Je,33,0.0,non_positive_tail_against_A_before_B
W002,P,Je,37,0.0,non_positive_tail_against_A_before_B
W002,P,Je,55,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,64,0.0,non_positive_tail_against_A_before_B
W002,P,Je,76,0.0,non_positive_tail_against_A_before_B
W002,P,Je,77,0.0,non_positive_tail_against_A_before_B
W002,P,Je,89,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,95,0.0,non_positive_tail_against_A_before_B
W002,P,Je,108,0.0,non_positive_tail_against_A_before_B
W002,P,Je,115,0.0,non_positive_tail_against_A_before_B
W002,P,Je,133,0.0,non_positive_tail_against_A_before_B
W002,P,Je,145,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,154,0.0,non_positive_tail_against_A_before_B
W002,P,Je,186,0.0,non_positive_tail_against_A_before_B
W002,P,Je,202,-2.0,non_positive_tail_against_A_before_B
W002,P,Je,205,0.0,non_positive_tail_against_A_before_B
W002,P,Je,221,0.0,non_positive_tail_against_A_before_B
W002,P,Je,229,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,246,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,247,0.0,non_positive_tail_against_A_before_B
W002,P,Je,254,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,268,0.0,non_positive_tail_against_A_before_B
W002,P,Je,285,0.0,non_positive_tail_against_A_before_B
W002,P,Je,292,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,294,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,296,-2.0,non_positive_tail_against_A_before_B
W002,P,Je,300,0.0,non_positive_tail_against_A_before_B
W002,P,Je,316,0.0,non_positive_tail_against_A_before_B
W002,P,Je,328,0.0,non_positive_tail_against_A_before_B
W002,P,Je,335,-1.0,non_positive_tail_against_A_before_B
W002,P,Je,341,0.0,non_positive_tail_against_A_before_B
W002,P,Je,352,0.0,non_positive_tail_against_A_before_B
W002,P,Je,376,0.0,non_positive_tail_against_A_before_B
W002,P,Je,393,0.0,non_positive_tail_against_A_before_B
W002,P,Je,421,-2.0,non_positive_tail_against_A_before_B
