day,field,score
90,H,7.736996917443479
91,H,9.481173863828767
92,H,11.20832839865356
93,H,12.607658844074816
94,H,13.525626048741833
95,H,13.787305052806543
96,H,13.260956034967666
97,H,12.13209485351992
98,H,10.57385056422308
99,H,8.69885324553742
100,H,6.922534860536156
101,H,5.636544348492095
102,H,4.832076308487749
103,H,4.350848257978116
104,H,4.25757795457979
105,H,4.7811384151796945
106,H,6.190412221060018
107,H,8.586263652550512
108,H,12.00134660251077
109,H,16.25384613655767
110,H,20.68610279548941
111,H,24.611441329409402
112,H,28.10977856347503
113,H,31.397895680457076
114,H,33.97293719395715
115,H,34.607065236011024
116,H,32.5957654819208
117,H,28.40077459871698
118,H,22.85703773172525
119,H,16.996943659561367
120,H,11.782860271798366
121,H,7.481877108423486
122,H,4.000236236976731
123,H,1.5754374390113863
124,H,0.5508324541099814
125,H,0.8067738946414735
126,H,1.8383660293745754
127,H,3.0811810324442366
128,H,3.9586498457071704
129,H,4.241067494898854
130,H,4.15697809347793
131,H,3.819912911943309
132,H,3.1728981625036172
133,H,2.4000696259621668
134,H,1.7674553650420197
135,H,1.2894168648661601
136,H,0.8991200817685452
137,H,0.6436161462413115
138,H,0.5473840983700522
139,H,0.5700456992938472
140,H,0.6536117567986119
141,H,0.773194713126128
142,H,0.9424199193240285
143,H,1.1077674170537783
144,H,1.2514891547509566
145,H,1.4870141538253683
146,H,1.9002460379439565
147,H,2.4183972207812197
148,H,2.928410396914603
149,H,3.516203480623388
150,H,4.346589420287194
151,H,5.517848995762309
152,H,7.007457239930065
153,H,8.55840229031779
154,H,9.65769256159112
155,H,9.746850391531572
156,H,8.737230289805415
157,H,7.123376540409716
158,H,5.456963500980963
159,H,3.9080497002252974
160,H,2.5122076881083153
161,H,1.3611521303235836
162,H,0.6442144446765443
163,H,0.393805128283212
164,H,0.4567564427116304
165,H,0.6944917452658035
166,H,1.0533629418352932
167,H,1.525494283858856
168,H,2.0874407303746283
14,Je,3.1315916424411308
15,Je,3.274745660215383
16,Je,3.4842999953967704
17,Je,3.728576877184414
18,Je,3.993478589130883
19,Je,4.257481048761578
20,Je,4.480060974315028
21,Je,4.68035780099184
22,Je,4.929902486558975
23,Je,5.2701804608926635
24,Je,5.652687245532948
25,Je,5.952954722422097
26,Je,6.0665828732930125
27,Je,5.923800405139695
28,Je,5.584828880162088
29,Je,5.212964065254532
30,Je,5.013734327150961
31,Je,5.075214153576109
32,Je,5.267809092366989
33,Je,5.442389697096082
34,Je,5.437637546724202
35,Je,5.1003605335904645
36,Je,4.404149915695158
37,Je,3.490009075697399
38,Je,2.798517569703481
39,Je,2.726614186275543
40,Je,3.4589868024456614
41,Je,4.8011229039725665
42,Je,6.548734272628787
43,Je,8.58232030548438
44,Je,10.463693053711147
45,Je,11.768001191895458
46,Je,12.201986759874023
47,Je,11.643310819387192
48,Je,10.47138719644
49,Je,9.077913943782736
50,Je,7.703613262227702
51,Je,6.622660341222669
52,Je,5.687902402331844
53,Je,4.839926726732725
54,Je,4.258982436034235
55,Je,3.935697728731873
56,Je,3.7887063604158535
57,Je,3.698898807735408
58,Je,3.5777436683516415
59,Je,3.4123555287578826
60,Je,3.245639177189866
61,Je,3.0925905543130527
62,Je,3.0315062084730773
63,Je,3.0465132183676404
64,Je,3.093320188082494
65,Je,3.1744370109872078
66,Je,3.2926593915580638
67,Je,3.422182472503688
68,Je,3.5428547117411435
69,Je,3.6775673565861244
70,Je,3.8729232576037935
71,Je,4.131351940854008
72,Je,4.4332759116664375
73,Je,4.748245736478719
74,Je,5.037537091502003
75,Je,5.270966456976614
76,Je,5.476615298590638
77,Je,5.636927927466381
78,Je,5.754162439496927
79,Je,5.838258156572779
80,Je,5.912215056022428
81,Je,5.948923321784777
82,Je,5.873653416749018
83,Je,5.740769171723617
84,Je,5.722763127669891
85,Je,5.8657182241578125
86,Je,6.121295556100941
87,Je,6.400552880655631
88,Je,6.620162900207162
89,Je,6.756436894874135
90,Je,6.859351551736157
91,Je,7.0285914641388905
92,Je,7.329933754992022
93,Je,7.65173099446632
94,Je,7.771161835682942
95,Je,7.737493788583446
96,Je,7.653880340940944
97,Je,7.603917798105355
98,Je,7.7147048331992805
99,Je,8.025558597418406
100,Je,8.442616051620583
101,Je,8.822241314475939
102,Je,9.165242255288085
103,Je,9.797636407812524
104,Je,10.84306222495865
105,Je,12.148908320994156
106,Je,13.627491080921544
107,Je,15.007958053776406
108,Je,15.954546190829195
109,Je,16.4185735104349
110,Je,16.616007311174407
111,Je,16.652666002833563
112,Je,16.52608405744318
113,Je,15.97026287747683
114,Je,14.979102104031966
115,Je,13.700008757934901
116,Je,12.08899032801864
117,Je,10.207532071216573
118,Je,8.155632810917906
119,Je,6.03625809555917
120,Je,4.0916696042531235
121,Je,2.477748873347459
122,Je,1.3547048205209187
123,Je,0.802899018518926
124,Je,0.7352800161203428
125,Je,1.0386617718686848
126,Je,1.6470039373908483
127,Je,2.558955589928118
128,Je,3.8510624919159175
129,Je,5.4262419075344805
130,Je,7.169800288198494
131,Je,8.974037721894558
132,Je,10.590987890412219
133,Je,11.870410231608481
134,Je,12.976642677800852
135,Je,13.841185358144521
136,Je,14.318820217804232
137,Je,14.240249383136952
138,Je,13.750776375835876
139,Je,13.232198830990125
140,Je,12.770931837070808
141,Je,12.357973415085661
142,Je,11.842834859360805
143,Je,10.99871862122497
144,Je,9.87217524288744
145,Je,8.823836736572002
146,Je,7.879314206138605
147,Je,7.051929207631547
148,Je,6.319339798581772
149,Je,5.734829668111795
150,Je,5.331168757011434
151,Je,5.1995138031331525
152,Je,5.483193632962497
153,Je,6.279856164840184
154,Je,7.446479897761021
155,Je,8.829590637586817
156,Je,10.537300612525723
157,Je,12.589655863943594
158,Je,14.86466286992279
159,Je,17.098626751221754
160,Je,19.033830774063958
161,Je,20.223520665922436
162,Je,20.266046161694703
163,Je,19.40288182219537
164,Je,18.039385174623433
165,Je,16.344288448378258
166,Je,14.41492023193597
167,Je,12.462431404478362
168,Je,10.735397564529402
14,Jw,4.883965322489396
15,Jw,4.4429794789011305
16,Jw,3.8997284421736076
17,Jw,3.2909642254008364
18,Jw,2.7646059791447337
19,Jw,2.4116658150447625
20,Jw,2.2147226639401203
21,Jw,2.132664404129167
22,Jw,2.070547192176315
23,Jw,1.9273408939765568
24,Jw,1.7630372178935794
25,Jw,1.6723469288360135
26,Jw,1.691763737624278
27,Jw,1.8677665609186702
28,Jw,2.161624456744032
29,Jw,2.491533163607365
30,Jw,2.806599715310974
31,Jw,3.1643997204937335
32,Jw,3.5186509397107946
33,Jw,3.792632086668971
34,Jw,4.160133983423137
35,Jw,4.856367706562543
36,Jw,6.044895898792799
37,Jw,7.723574304102547
38,Jw,9.394767120960317
39,Jw,10.68819037665218
40,Jw,11.460322172788048
41,Jw,11.770966007882706
42,Jw,11.667764707468015
43,Jw,11.319060825993866
44,Jw,10.94054628142348
45,Jw,10.513710739521185
46,Jw,9.77629609059732
47,Jw,8.916572482936521
48,Jw,8.224242444008077
49,Jw,7.579897996132241
50,Jw,6.852003604834169
51,Jw,6.05162818329436
52,Jw,5.219347563769221
53,Jw,4.336103965259797
54,Jw,3.4734030967344283
55,Jw,2.816621079583546
56,Jw,2.406424816477445
57,Jw,2.1965826152854726
58,Jw,2.1444247252675024
59,Jw,2.188496054725308
60,Jw,2.30056387706099
61,Jw,2.4744150451002933
62,Jw,2.7124716336107073
63,Jw,3.038980579715127
64,Jw,3.46645361275921
65,Jw,3.9221962254721636
66,Jw,4.352294645105784
67,Jw,4.783725931859982
68,Jw,5.200916470121817
69,Jw,5.596306993429233
70,Jw,5.959448895154668
71,Jw,6.34468050040945
72,Jw,6.798809547225458
73,Jw,7.338026745867444
74,Jw,8.037702738960377
75,Jw,8.924300762801398
76,Jw,9.936940735545601
77,Jw,10.940946048577981
78,Jw,11.840246837069596
79,Jw,12.722878630264963
80,Jw,13.58982804331006
81,Jw,14.296626416488884
82,Jw,14.718508656230235
83,Jw,14.807843176914874
84,Jw,14.392605036173217
85,Jw,13.493258384294823
86,Jw,12.3339322509433
87,Jw,11.223258491394798
88,Jw,10.204885025313681
89,Jw,9.252500221421835
90,Jw,8.40974140732496
91,Jw,7.8726464837195875
92,Jw,7.683464225110906
93,Jw,7.913136178766586
94,Jw,8.655148690806355
95,Jw,9.900185013611353
96,Jw,11.624283242358443
97,Jw,13.783943549951976
98,Jw,16.291766664249817
99,Jw,18.927794741614395
100,Jw,21.302514341065404
101,Jw,23.157290434282555
102,Jw,24.345248599960204
103,Jw,24.911597581426918
104,Jw,25.06998583750547
105,Jw,24.970813645892488
106,Jw,24.791482501662728
107,Jw,24.717924468339127
108,Jw,24.63696658932396
109,Jw,24.177378157853518
110,Jw,23.169081002425564
111,Jw,21.627147807683592
112,Jw,19.549915189674103
113,Jw,16.974676152538258
114,Jw,14.111621373811143
115,Jw,11.225043992467075
116,Jw,8.434314439627272
117,Jw,5.948034365374281
118,Jw,4.004679185263858
119,Jw,2.7205455202745465
120,Jw,2.1439715806905593
121,Jw,2.397203370365875
122,Jw,3.599617656844903
123,Jw,5.67557313388403
124,Jw,8.387013933312813
125,Jw,11.433817336810872
126,Jw,14.523707083738184
127,Jw,17.390305430396086
128,Jw,19.792465354859125
129,Jw,21.380172099834784
130,Jw,21.9408475625849
131,Jw,21.47710969290609
132,Jw,20.301949065145898
133,Jw,18.72500026854774
134,Jw,17.020522882260472
135,Jw,15.420223374474315
136,Jw,13.900717968339862
137,Jw,12.45161098074556
138,Jw,11.104984619657227
139,Jw,9.990737642106847
140,Jw,9.152925395879802
141,Jw,8.597476837989802
142,Jw,8.313287190288536
143,Jw,8.312095663608265
144,Jw,8.510671525589785
145,Jw,8.823624529335191
146,Jw,9.214039622120806
147,Jw,9.680285941712718
148,Jw,10.174390855248003
149,Jw,10.695341075766319
150,Jw,11.175946449121477
151,Jw,11.512103712597913
152,Jw,11.561730035015003
153,Jw,11.375983333715254
154,Jw,11.131617626957613
155,Jw,10.813803603691476
156,Jw,10.446314398572122
157,Jw,10.042274757412013
158,Jw,9.631445444758638
159,Jw,9.184315775941675
160,Jw,8.79322277104649
161,Jw,8.600325051210058
162,Jw,8.691824031375567
163,Jw,8.928980734584808
164,Jw,9.150578461018158
165,Jw,9.374096665766881
166,Jw,9.650626452805946
167,Jw,9.935659854203305
168,Jw,10.175321693760148
