replicate_id,replicate_kind,replicate_label,point_id,point_day,month_day,matched_peak_day,matched_peak_score,matched_peak_prominence,offset_days,abs_offset_days,match_type
12,bootstrap,12,RP004,135,08-14,126,4.82682373097982,0.8640112331806451,-9,9,no_match
12,bootstrap,12,RP005,160,09-08,161,8.50677561964386,3.094192266341569,1,1,strict
13,bootstrap,13,RP001,45,05-16,45,6.3639803235421635,3.9620511264666867,0,0,strict
13,bootstrap,13,RP002,81,06-21,78,16.30105872986766,14.03244288367133,-3,3,matched
13,bootstrap,13,RP003,113,07-23,113,12.302378025488263,7.818715946971111,0,0,strict
13,bootstrap,13,RP004,135,08-14,128,5.95696584625195,1.6572655111897934,-7,7,near
13,bootstrap,13,RP005,160,09-08,162,7.837286634378769,2.7553736806900817,2,2,strict
14,bootstrap,14,RP001,45,05-16,45,8.27100791199613,5.936967093830049,0,0,strict
14,bootstrap,14,RP002,81,06-21,84,9.014302651759126,6.209802495969649,3,3,matched
14,bootstrap,14,RP003,113,07-23,114,9.00483115214529,3.7197279098141074,1,1,strict
14,bootstrap,14,RP004,135,08-14,135,3.604885650628369,0.0010504376620690259,0,0,strict
14,bootstrap,14,RP005,160,09-08,155,6.005018745561021,2.4317845121003234,-5,5,near
15,bootstrap,15,RP001,45,05-16,45,6.900827007445527,0.3507576841434519,0,0,strict
15,bootstrap,15,RP002,81,06-21,77,9.153976146067516,4.728802758084725,-4,4,matched
15,bootstrap,15,RP003,113,07-23,114,10.338682683212557,7.07828488970353,1,1,strict
15,bootstrap,15,RP004,135,08-14,137,5.179781288547896,0.07714033074212168,2,2,strict
15,bootstrap,15,RP005,160,09-08,160,7.402777686324677,1.545536773911448,0,0,strict
16,bootstrap,16,RP001,45,05-16,45,6.656919021826694,4.167134154099214,0,0,strict
16,bootstrap,16,RP002,81,06-21,76,6.830231167908407,1.1945159055551944,-5,5,near
16,bootstrap,16,RP003,113,07-23,114,10.55214333776548,8.19072292390111,1,1,strict
16,bootstrap,16,RP004,135,08-14,129,5.618899949199735,2.0649260099990343,-6,6,near
16,bootstrap,16,RP005,160,09-08,163,7.33566273691756,0.23968598154448362,3,3,matched
17,bootstrap,17,RP001,45,05-16,44,7.79959120047895,5.601986067011681,-1,1,strict
17,bootstrap,17,RP002,81,06-21,80,11.435142798547998,9.392819773943376,-1,1,strict
17,bootstrap,17,RP003,113,07-23,112,10.219588885337552,4.7271538928188,-1,1,strict
17,bootstrap,17,RP004,135,08-14,137,5.091393398935558,2.028836757217123,2,2,strict
17,bootstrap,17,RP005,160,09-08,157,5.746330132478665,0.05362483744237334,-3,3,matched
18,bootstrap,18,RP001,45,05-16,46,6.418581511070558,4.565953796587911,1,1,strict
18,bootstrap,18,RP002,81,06-21,79,10.558676800436874,7.396084385386534,-2,2,strict
18,bootstrap,18,RP003,113,07-23,117,8.648248962867962,2.38969379204992,4,4,matched
18,bootstrap,18,RP004,135,08-14,135,7.167778404626468,2.8069903563100436,0,0,strict
18,bootstrap,18,RP005,160,09-08,161,8.430009343540458,1.65043336494126,1,1,strict
19,bootstrap,19,RP001,45,05-16,45,7.537847830752198,5.393690562404714,0,0,strict
19,bootstrap,19,RP002,81,06-21,83,11.95539898734254,7.940393237854838,2,2,strict
19,bootstrap,19,RP003,113,07-23,115,10.804308206075872,5.787252308214848,2,2,strict
19,bootstrap,19,RP004,135,08-14,136,5.12520822214365,0.7903853486682264,1,1,strict
19,bootstrap,19,RP005,160,09-08,159,9.848945334737166,4.7066948792964425,-1,1,strict
20,bootstrap,20,RP001,45,05-16,44,7.102494208349587,4.305211360364149,-1,1,strict
20,bootstrap,20,RP002,81,06-21,78,10.294388045790821,5.43019621066507,-3,3,matched
20,bootstrap,20,RP003,113,07-23,110,14.724118594853206,12.869854756883178,-3,3,matched
20,bootstrap,20,RP004,135,08-14,134,4.807151516094959,0.2773121285949527,-1,1,strict
20,bootstrap,20,RP005,160,09-08,159,9.020859428968565,2.8883538757337828,-1,1,strict
21,bootstrap,21,RP001,45,05-16,45,8.28713884280668,5.192793030508376,0,0,strict
21,bootstrap,21,RP002,81,06-21,82,12.5413137471797,9.924740194215444,1,1,strict
21,bootstrap,21,RP003,113,07-23,110,11.764811006191795,8.909645895516572,-3,3,matched
21,bootstrap,21,RP004,135,08-14,132,4.100023489711299,1.9400585008501792,-3,3,matched
21,bootstrap,21,RP005,160,09-08,162,6.286321003918454,1.4841198535576456,2,2,strict
22,bootstrap,22,RP001,45,05-16,44,8.152189429674085,6.169479931724567,-1,1,strict
22,bootstrap,22,RP002,81,06-21,80,12.870464524177345,10.29222369644383,-1,1,strict
22,bootstrap,22,RP003,113,07-23,114,8.694312669630577,5.698724426713432,1,1,strict
22,bootstrap,22,RP004,135,08-14,132,5.754495610301424,1.9234009005513055,-3,3,matched
22,bootstrap,22,RP005,160,09-08,160,8.381130495487282,3.0344713058056634,0,0,strict
23,bootstrap,23,RP001,45,05-16,43,6.922374863107116,4.791383040290115,-2,2,strict
23,bootstrap,23,RP002,81,06-21,78,10.805778529995388,8.096560419144174,-3,3,matched
23,bootstrap,23,RP003,113,07-23,115,14.594948752489167,11.34787534588001,2,2,strict
23,bootstrap,23,RP004,135,08-14,135,4.8072982262844075,0.10753961648397414,0,0,strict
23,bootstrap,23,RP005,160,09-08,162,9.558049327987735,2.771037248047728,2,2,strict
24,bootstrap,24,RP001,45,05-16,45,6.3296365715781535,3.2828193132315144,0,0,strict
24,bootstrap,24,RP002,81,06-21,77,8.753459438384604,4.670793233457432,-4,4,matched
24,bootstrap,24,RP003,113,07-23,114,9.956460283188974,7.859745264199333,1,1,strict
24,bootstrap,24,RP004,135,08-14,132,5.028061129300332,1.2221271652847472,-3,3,matched
24,bootstrap,24,RP005,160,09-08,161,9.011034349418994,3.4619562252384846,1,1,strict
25,bootstrap,25,RP001,45,05-16,43,6.49023307589105,4.485352155007563,-2,2,strict
25,bootstrap,25,RP002,81,06-21,80,12.695154944728083,10.924054995287092,-1,1,strict
25,bootstrap,25,RP003,113,07-23,112,9.224553561109625,4.417517375607435,-1,1,strict
25,bootstrap,25,RP004,135,08-14,138,3.5017688553958277,0.6391373207387825,3,3,matched
25,bootstrap,25,RP005,160,09-08,156,7.423433063019842,3.2876100477772328,-4,4,matched
26,bootstrap,26,RP001,45,05-16,45,4.212039353875841,1.9601241359111623,0,0,strict
26,bootstrap,26,RP002,81,06-21,77,11.529846099719068,8.583594145106408,-4,4,matched
26,bootstrap,26,RP003,113,07-23,112,9.933593578831685,6.2523981039057945,-1,1,strict
26,bootstrap,26,RP004,135,08-14,137,3.832060794840312,0.6019593387960436,2,2,strict
26,bootstrap,26,RP005,160,09-08,161,7.373660133360948,2.960344240106001,1,1,strict
27,bootstrap,27,RP001,45,05-16,45,5.8705065339639555,2.6797898030380463,0,0,strict
27,bootstrap,27,RP002,81,06-21,82,13.44679970568114,10.899545894163145,1,1,strict
27,bootstrap,27,RP003,113,07-23,114,10.527086188240917,7.478504715174073,1,1,strict
27,bootstrap,27,RP004,135,08-14,135,4.814216552958086,1.1844501406805792,0,0,strict
27,bootstrap,27,RP005,160,09-08,162,7.69903032274687,1.4341988551382787,2,2,strict
28,bootstrap,28,RP001,45,05-16,44,8.372370714683045,6.401626244982607,-1,1,strict
28,bootstrap,28,RP002,81,06-21,79,8.17639654246016,3.2109574947405264,-2,2,strict
28,bootstrap,28,RP003,113,07-23,114,11.37539567393496,9.35250711236922,1,1,strict
28,bootstrap,28,RP004,135,08-14,129,7.688019976221813,4.678035294269264,-6,6,near
28,bootstrap,28,RP005,160,09-08,162,8.357562213188942,3.6524452698804826,2,2,strict
29,bootstrap,29,RP001,45,05-16,49,7.321150035508045,4.87854957387399,4,4,matched
29,bootstrap,29,RP002,81,06-21,85,12.135506126533006,9.884873994727926,4,4,matched
29,bootstrap,29,RP003,113,07-23,108,10.470676647804954,3.7023960741566864,-5,5,near
29,bootstrap,29,RP004,135,08-14,137,4.1749834138091035,0.9207001665089241,2,2,strict
29,bootstrap,29,RP005,160,09-08,159,7.660691189598446,1.5774510996177318,-1,1,strict
30,bootstrap,30,RP001,45,05-16,47,4.237079702765984,1.6934395624167324,2,2,strict
30,bootstrap,30,RP002,81,06-21,82,12.45236637289602,8.447148608852748,1,1,strict
30,bootstrap,30,RP003,113,07-23,113,13.864600380625085,11.111745180802643,0,0,strict
30,bootstrap,30,RP004,135,08-14,138,4.139227767458735,0.20090967559949302,3,3,matched
30,bootstrap,30,RP005,160,09-08,161,8.375046113244428,1.949537815992473,1,1,strict
31,bootstrap,31,RP001,45,05-16,46,5.601560720911099,3.3032092220385927,1,1,strict
31,bootstrap,31,RP002,81,06-21,83,9.503943453466086,4.5425934523335165,2,2,strict
31,bootstrap,31,RP003,113,07-23,109,10.872008633739858,8.440492075894655,-4,4,matched
31,bootstrap,31,RP004,135,08-14,131,4.294542228430729,1.7333971502604593,-4,4,matched
31,bootstrap,31,RP005,160,09-08,161,6.171384366483927,1.599662535464451,1,1,strict
32,bootstrap,32,RP001,45,05-16,44,8.515704977152744,5.41531653668055,-1,1,strict
32,bootstrap,32,RP002,81,06-21,80,8.52631815055754,3.361662220919918,-1,1,strict
32,bootstrap,32,RP003,113,07-23,110,13.519903633439482,10.852669658403101,-3,3,matched
32,bootstrap,32,RP004,135,08-14,129,5.582243254954778,2.8941358927157212,-6,6,near
32,bootstrap,32,RP005,160,09-08,162,8.816391516445861,2.3742343764967,2,2,strict
33,bootstrap,33,RP001,45,05-16,44,9.860473396226512,7.525587700343962,-1,1,strict
33,bootstrap,33,RP002,81,06-21,80,9.138034370510924,4.049883214955859,-1,1,strict
33,bootstrap,33,RP003,113,07-23,111,10.554348762735222,8.391864677851204,-2,2,strict
33,bootstrap,33,RP004,135,08-14,135,4.551569906792056,2.0963598222120488,0,0,strict
33,bootstrap,33,RP005,160,09-08,160,8.682370107438798,4.280300538157951,0,0,strict
34,bootstrap,34,RP001,45,05-16,45,6.1689961355757195,3.7379284998327553,0,0,strict
34,bootstrap,34,RP002,81,06-21,80,8.98003593490447,5.149147690370247,-1,1,strict
34,bootstrap,34,RP003,113,07-23,114,12.388637623639118,10.066651042565201,1,1,strict
34,bootstrap,34,RP004,135,08-14,138,6.366499188775907,2.603188800983748,3,3,matched
34,bootstrap,34,RP005,160,09-08,161,7.66166923024834,1.639910744717568,1,1,strict
35,bootstrap,35,RP001,45,05-16,46,7.532676235006264,5.45855053139625,1,1,strict
35,bootstrap,35,RP002,81,06-21,83,9.463183727278352,5.486443364539206,2,2,strict
35,bootstrap,35,RP003,113,07-23,114,12.46411568421787,9.96063447367509,1,1,strict
35,bootstrap,35,RP004,135,08-14,129,5.751404007529736,1.966697392632923,-6,6,near
35,bootstrap,35,RP005,160,09-08,158,9.638726782954674,3.8307823417372813,-2,2,strict
36,bootstrap,36,RP001,45,05-16,45,6.36563302383478,4.098668108684858,0,0,strict
36,bootstrap,36,RP002,81,06-21,81,14.012120146944616,11.57006088110789,0,0,strict
36,bootstrap,36,RP003,113,07-23,113,9.582445783562653,5.355158294399909,0,0,strict
36,bootstrap,36,RP004,135,08-14,141,5.74531622759119,2.127178515880441,6,6,near
36,bootstrap,36,RP005,160,09-08,159,8.992269542374874,4.456613904421221,-1,1,strict
37,bootstrap,37,RP001,45,05-16,44,7.379222468665885,5.069246280442197,-1,1,strict
37,bootstrap,37,RP002,81,06-21,77,6.9994043144163065,2.4215671869531876,-4,4,matched
37,bootstrap,37,RP003,113,07-23,114,11.342421693697512,8.53530205168707,1,1,strict
37,bootstrap,37,RP004,135,08-14,137,3.8973719313881774,0.15289018423986755,2,2,strict
37,bootstrap,37,RP005,160,09-08,163,7.86473429276384,0.17504203176742106,3,3,matched
38,bootstrap,38,RP001,45,05-16,45,5.000675683415068,2.741943380730153,0,0,strict
38,bootstrap,38,RP002,81,06-21,86,13.45210981900102,11.422643568811267,5,5,near
38,bootstrap,38,RP003,113,07-23,112,11.102283709501522,5.416252894656912,-1,1,strict
38,bootstrap,38,RP004,135,08-14,133,5.59046367606648,1.6854044136257813,-2,2,strict
38,bootstrap,38,RP005,160,09-08,161,7.737287887151782,2.4431678309572495,1,1,strict
39,bootstrap,39,RP001,45,05-16,43,5.724750262195813,3.579710675163158,-2,2,strict
39,bootstrap,39,RP002,81,06-21,82,11.448397907533806,9.333607743242814,1,1,strict
39,bootstrap,39,RP003,113,07-23,111,9.251637498655517,3.8791677737709858,-2,2,strict
39,bootstrap,39,RP004,135,08-14,142,3.9734504777961512,0.2544474707617037,7,7,near
39,bootstrap,39,RP005,160,09-08,157,10.520735629303603,6.571974769280306,-3,3,matched
40,bootstrap,40,RP001,45,05-16,45,6.5500926278156495,4.205339314603931,0,0,strict
40,bootstrap,40,RP002,81,06-21,81,11.279513851120313,9.1853922800522,0,0,strict
40,bootstrap,40,RP003,113,07-23,112,8.44891867185425,1.8872402472215901,-1,1,strict
40,bootstrap,40,RP004,135,08-14,134,6.1470472916797565,3.420833869104357,-1,1,strict
40,bootstrap,40,RP005,160,09-08,161,8.967735484873604,3.6500660613438587,1,1,strict
41,bootstrap,41,RP001,45,05-16,43,6.986158920552803,4.7650777408829015,-2,2,strict
41,bootstrap,41,RP002,81,06-21,81,8.784313532386697,3.40981777802023,0,0,strict
41,bootstrap,41,RP003,113,07-23,113,11.11461272184919,8.023717250340292,0,0,strict
41,bootstrap,41,RP004,135,08-14,136,4.9290028292752766,1.12567685159173,1,1,strict
41,bootstrap,41,RP005,160,09-08,162,12.218430657250082,5.7567219434746875,2,2,strict
42,bootstrap,42,RP001,45,05-16,45,7.09081499360044,4.851008627222118,0,0,strict
42,bootstrap,42,RP002,81,06-21,78,9.913582265631089,5.293627964081259,-3,3,matched
42,bootstrap,42,RP003,113,07-23,112,11.745083513658795,8.767035583121615,-1,1,strict
42,bootstrap,42,RP004,135,08-14,133,5.06154017469353,1.7568068447155447,-2,2,strict
42,bootstrap,42,RP005,160,09-08,161,8.09145460082022,1.2808074134231227,1,1,strict
43,bootstrap,43,RP001,45,05-16,45,8.760276705992254,6.6723517825014325,0,0,strict
43,bootstrap,43,RP002,81,06-21,78,14.777888460209846,11.926028868377347,-3,3,matched
43,bootstrap,43,RP003,113,07-23,114,14.645209125538443,11.486444154105252,1,1,strict
43,bootstrap,43,RP004,135,08-14,131,4.976804912667309,1.6738840244472173,-4,4,matched
43,bootstrap,43,RP005,160,09-08,162,9.258230011264942,2.612742056538285,2,2,strict
44,bootstrap,44,RP001,45,05-16,45,4.732784062964532,1.2550445924930473,0,0,strict
44,bootstrap,44,RP002,81,06-21,87,11.376305399319023,7.5937183615734725,6,6,near
44,bootstrap,44,RP003,113,07-23,112,11.026918615282082,4.823512239239296,-1,1,strict
44,bootstrap,44,RP004,135,08-14,138,5.256240590476357,1.3235655287978858,3,3,matched
44,bootstrap,44,RP005,160,09-08,163,9.03350451979115,3.488309117462613,3,3,matched
45,bootstrap,45,RP001,45,05-16,40,4.396968182695533,2.3484379907804884,-5,5,near
45,bootstrap,45,RP002,81,06-21,83,10.040080944432678,6.077563143496026,2,2,strict
45,bootstrap,45,RP003,113,07-23,110,13.76263297637288,12.238124925792206,-3,3,matched
45,bootstrap,45,RP004,135,08-14,138,5.440792661272029,0.2211592577623156,3,3,matched
45,bootstrap,45,RP005,160,09-08,163,10.967888436712059,2.0289169137126066,3,3,matched
46,bootstrap,46,RP001,45,05-16,46,9.09814189869093,7.1640561542394705,1,1,strict
46,bootstrap,46,RP002,81,06-21,86,10.146068599231697,4.392809615824327,5,5,near
46,bootstrap,46,RP003,113,07-23,112,8.370925217252836,2.3958626018156295,-1,1,strict
46,bootstrap,46,RP004,135,08-14,135,5.477408744881984,3.0104400062552834,0,0,strict
46,bootstrap,46,RP005,160,09-08,161,10.096371541027068,4.121171817107046,1,1,strict
47,bootstrap,47,RP001,45,05-16,46,7.096723473293099,4.7440476538489635,1,1,strict
47,bootstrap,47,RP002,81,06-21,81,13.027715559040319,10.741443103468736,0,0,strict
47,bootstrap,47,RP003,113,07-23,112,9.424977884547154,4.004312744394014,-1,1,strict
47,bootstrap,47,RP004,135,08-14,128,5.86525844344875,3.0757429643263134,-7,7,near
47,bootstrap,47,RP005,160,09-08,165,5.4563691164856865,0.25935323075607464,5,5,near
48,bootstrap,48,RP001,45,05-16,45,7.2313602237304915,4.8183488282876406,0,0,strict
48,bootstrap,48,RP002,81,06-21,82,7.001277616979815,2.6126696906207707,1,1,strict
48,bootstrap,48,RP003,113,07-23,112,12.950616718244786,10.660009219877283,-1,1,strict
48,bootstrap,48,RP004,135,08-14,137,4.891846817474773,0.5235580382815943,2,2,strict
48,bootstrap,48,RP005,160,09-08,160,8.556002796288231,5.4895167010113575,0,0,strict
49,bootstrap,49,RP001,45,05-16,46,6.368042140021959,4.492498204227168,1,1,strict
49,bootstrap,49,RP002,81,06-21,76,5.692739096268093,0.05091263377575039,-5,5,near
49,bootstrap,49,RP003,113,07-23,112,10.652711431972776,7.92310965923134,-1,1,strict
49,bootstrap,49,RP004,135,08-14,128,5.34442976972735,2.5836929425219983,-7,7,near
49,bootstrap,49,RP005,160,09-08,162,8.316553884223648,2.691277027189325,2,2,strict
50,bootstrap,50,RP001,45,05-16,46,7.584478138929061,5.604495824035133,1,1,strict
50,bootstrap,50,RP002,81,06-21,78,8.957132549326067,4.489158829003825,-3,3,matched
50,bootstrap,50,RP003,113,07-23,115,8.420234656581682,3.731239781970376,2,2,strict
50,bootstrap,50,RP004,135,08-14,132,6.1506849077024945,2.0150159016635527,-3,3,matched
50,bootstrap,50,RP005,160,09-08,161,6.526147626503217,0.4009447863857929,1,1,strict
51,bootstrap,51,RP001,45,05-16,46,6.577059205747304,4.598281759759254,1,1,strict
51,bootstrap,51,RP002,81,06-21,82,10.812918952824312,7.8737539885976755,1,1,strict
51,bootstrap,51,RP003,113,07-23,112,9.258392690963264,5.351135848678802,-1,1,strict
51,bootstrap,51,RP004,135,08-14,132,5.477812879492504,1.1615789700421804,-3,3,matched
51,bootstrap,51,RP005,160,09-08,161,9.42060523421219,2.673099395114612,1,1,strict
52,bootstrap,52,RP001,45,05-16,45,5.34267757451704,3.050119524068648,0,0,strict
52,bootstrap,52,RP002,81,06-21,86,11.654249482829886,6.738724390858641,5,5,near
52,bootstrap,52,RP003,113,07-23,113,15.554575685632775,12.20351648747695,0,0,strict
52,bootstrap,52,RP004,135,08-14,136,4.384173686979513,0.07990724235925306,1,1,strict
52,bootstrap,52,RP005,160,09-08,162,8.889269195422594,3.765274635763391,2,2,strict
53,bootstrap,53,RP001,45,05-16,44,7.153340040952435,5.1142762006853815,-1,1,strict
53,bootstrap,53,RP002,81,06-21,80,11.60056975102385,6.42748640228819,-1,1,strict
53,bootstrap,53,RP003,113,07-23,112,13.85173453149931,11.30116824339739,-1,1,strict
53,bootstrap,53,RP004,135,08-14,131,5.037524132442728,1.5467746893314454,-4,4,matched
53,bootstrap,53,RP005,160,09-08,161,9.462857965936166,4.793925799947459,1,1,strict
54,bootstrap,54,RP001,45,05-16,45,6.905293009584467,4.973652937869712,0,0,strict
54,bootstrap,54,RP002,81,06-21,79,14.055477507678734,11.414589211357402,-2,2,strict
54,bootstrap,54,RP003,113,07-23,113,9.836026402291825,5.5002172689140085,0,0,strict
54,bootstrap,54,RP004,135,08-14,137,7.433926779783878,3.623379946669214,2,2,strict
54,bootstrap,54,RP005,160,09-08,160,10.829938114585076,4.856057245415735,0,0,strict
55,bootstrap,55,RP001,45,05-16,45,7.578303441827216,5.106952090851979,0,0,strict
55,bootstrap,55,RP002,81,06-21,81,11.57322032384036,9.561763702027855,0,0,strict
55,bootstrap,55,RP003,113,07-23,114,10.438407442293,6.4085226984683,1,1,strict
55,bootstrap,55,RP004,135,08-14,131,4.753185900231397,2.594230057504957,-4,4,matched
55,bootstrap,55,RP005,160,09-08,162,10.225324249303828,3.961916870003696,2,2,strict
56,bootstrap,56,RP001,45,05-16,45,7.97949695899224,4.4627911147511625,0,0,strict
56,bootstrap,56,RP002,81,06-21,83,10.01407140030717,8.29326013058122,2,2,strict
56,bootstrap,56,RP003,113,07-23,113,8.497291417476527,4.599550307062186,0,0,strict
56,bootstrap,56,RP004,135,08-14,132,5.330662018706995,2.5109480958225676,-3,3,matched
56,bootstrap,56,RP005,160,09-08,155,6.860441664945412,2.236738789825244,-5,5,near
57,bootstrap,57,RP001,45,05-16,45,7.133037616018461,4.3461281264521325,0,0,strict
57,bootstrap,57,RP002,81,06-21,77,8.129560364981998,3.1793038475384616,-4,4,matched
57,bootstrap,57,RP003,113,07-23,114,14.095532496702326,10.945236346918758,1,1,strict
57,bootstrap,57,RP004,135,08-14,135,5.042818177826675,1.4810228691875018,0,0,strict
57,bootstrap,57,RP005,160,09-08,163,5.5856068600341455,0.32895030650162926,3,3,matched
58,bootstrap,58,RP001,45,05-16,46,6.303452369207965,3.6193418882660504,1,1,strict
58,bootstrap,58,RP002,81,06-21,78,8.39131192354473,2.434445287528596,-3,3,matched
58,bootstrap,58,RP003,113,07-23,110,11.759826232330186,9.198858380587843,-3,3,matched
58,bootstrap,58,RP004,135,08-14,131,5.774467389543552,2.0917208767315625,-4,4,matched
58,bootstrap,58,RP005,160,09-08,164,5.576099052449905,0.3639380625351487,4,4,matched
59,bootstrap,59,RP001,45,05-16,44,6.655334605551222,4.404371135382446,-1,1,strict
59,bootstrap,59,RP002,81,06-21,82,9.828687439777148,7.669667557866993,1,1,strict
59,bootstrap,59,RP003,113,07-23,115,7.248928092762514,3.3644392127424334,2,2,strict
59,bootstrap,59,RP004,135,08-14,137,4.640329624477406,1.4072877809832658,2,2,strict
59,bootstrap,59,RP005,160,09-08,156,8.663098152439899,4.99876216445449,-4,4,matched
60,bootstrap,60,RP001,45,05-16,46,5.250696768242765,2.494518173307786,1,1,strict
60,bootstrap,60,RP002,81,06-21,83,9.016072767644122,1.3013875740973573,2,2,strict
