replicate_id,status,n_valid_days,sampled_year_indices
40,success,175,"[2, 21, 20, 11, 5, 2, 0, 21, 4, 43, 11, 29, 30, 22, 39, 4, 10, 11, 6, 13, 14, 34, 13, 39, 34, 40, 4, 44, 27, 44, 15, 42, 26, 3, 18, 6, 42, 13, 10, 24, 19, 4, 36, 38, 33]"
41,success,175,"[27, 18, 24, 23, 7, 3, 11, 20, 7, 4, 38, 16, 26, 23, 33, 33, 13, 38, 16, 37, 18, 4, 34, 1, 34, 1, 9, 27, 42, 18, 5, 10, 40, 32, 4, 17, 11, 8, 38, 27, 8, 29, 18, 2, 20]"
42,success,175,"[8, 11, 39, 31, 6, 38, 25, 39, 33, 15, 24, 23, 32, 11, 14, 11, 13, 7, 1, 42, 3, 39, 0, 34, 14, 23, 12, 22, 20, 23, 17, 24, 37, 19, 16, 5, 16, 5, 8, 42, 4, 21, 37, 42, 6]"
43,success,175,"[7, 16, 24, 43, 9, 7, 11, 39, 1, 17, 5, 7, 41, 0, 14, 41, 27, 3, 20, 43, 18, 23, 23, 29, 8, 37, 44, 6, 36, 36, 33, 16, 21, 37, 6, 37, 41, 30, 15, 25, 2, 41, 15, 2, 35]"
44,success,175,"[29, 28, 2, 33, 28, 35, 37, 9, 9, 41, 23, 19, 12, 28, 33, 0, 24, 44, 12, 12, 39, 2, 17, 20, 35, 5, 19, 6, 35, 28, 22, 17, 6, 41, 29, 14, 18, 32, 32, 20, 13, 29, 29, 26, 3]"
45,success,175,"[21, 27, 42, 23, 15, 25, 7, 4, 30, 44, 38, 26, 1, 44, 20, 13, 40, 33, 33, 12, 44, 20, 23, 33, 29, 7, 13, 16, 42, 32, 16, 33, 33, 17, 18, 40, 25, 6, 32, 26, 22, 32, 40, 14, 18]"
46,success,175,"[8, 29, 18, 15, 31, 18, 20, 19, 11, 5, 37, 4, 14, 30, 5, 29, 32, 29, 13, 0, 39, 14, 36, 8, 7, 35, 42, 38, 33, 11, 41, 30, 7, 5, 39, 12, 34, 6, 12, 12, 12, 30, 41, 40, 33]"
47,success,175,"[9, 43, 24, 24, 31, 34, 42, 26, 27, 33, 11, 13, 28, 2, 14, 32, 43, 23, 17, 19, 30, 24, 1, 24, 18, 31, 39, 43, 27, 16, 19, 7, 42, 38, 38, 14, 14, 38, 24, 31, 22, 19, 28, 36, 15]"
48,success,175,"[36, 10, 18, 41, 42, 41, 14, 37, 42, 44, 0, 33, 44, 34, 10, 34, 4, 21, 28, 20, 31, 10, 27, 29, 28, 13, 13, 11, 20, 26, 16, 18, 12, 9, 29, 36, 13, 38, 25, 7, 16, 0, 1, 15, 20]"
49,success,175,"[35, 6, 37, 10, 6, 31, 34, 27, 5, 5, 17, 20, 44, 12, 8, 42, 6, 1, 19, 18, 27, 39, 41, 13, 44, 28, 3, 42, 6, 26, 35, 11, 12, 21, 39, 10, 29, 20, 5, 31, 37, 25, 7, 7, 19]"
50,success,175,"[22, 24, 10, 22, 13, 30, 35, 29, 0, 44, 1, 44, 1, 23, 4, 4, 30, 32, 5, 43, 14, 14, 13, 20, 8, 19, 9, 2, 16, 30, 34, 15, 14, 35, 30, 37, 40, 36, 42, 18, 17, 14, 10, 33, 32]"
51,success,175,"[36, 7, 22, 9, 40, 12, 6, 25, 39, 41, 4, 14, 6, 13, 24, 12, 3, 22, 2, 10, 0, 3, 19, 38, 34, 4, 1, 15, 29, 33, 37, 15, 7, 1, 6, 2, 38, 12, 37, 24, 24, 20, 36, 1, 4]"
52,success,175,"[19, 17, 24, 33, 26, 11, 14, 33, 9, 22, 24, 33, 32, 20, 13, 16, 18, 9, 28, 9, 29, 33, 43, 5, 34, 3, 15, 7, 7, 7, 1, 37, 2, 17, 31, 44, 38, 6, 44, 29, 8, 20, 41, 17, 8]"
53,success,175,"[39, 42, 43, 43, 39, 20, 8, 27, 9, 21, 29, 42, 13, 11, 33, 0, 25, 33, 24, 17, 37, 16, 31, 20, 1, 23, 2, 41, 27, 16, 21, 27, 11, 12, 18, 11, 34, 4, 37, 15, 25, 7, 17, 33, 12]"
54,success,175,"[5, 23, 7, 14, 20, 25, 28, 30, 37, 2, 16, 0, 0, 9, 26, 40, 34, 29, 35, 7, 37, 40, 4, 21, 37, 21, 37, 42, 21, 2, 15, 9, 21, 26, 20, 8, 13, 30, 1, 9, 40, 4, 18, 9, 4]"
55,success,175,"[19, 23, 7, 3, 6, 29, 38, 8, 14, 15, 16, 10, 2, 23, 16, 15, 11, 41, 27, 18, 9, 36, 39, 1, 41, 31, 4, 33, 4, 2, 5, 20, 27, 18, 5, 8, 38, 43, 33, 4, 36, 31, 23, 6, 44]"
56,success,175,"[19, 1, 9, 18, 2, 14, 21, 42, 3, 25, 41, 36, 41, 7, 36, 44, 14, 22, 23, 22, 13, 43, 43, 17, 36, 17, 35, 26, 21, 5, 29, 14, 9, 8, 44, 4, 35, 38, 1, 26, 25, 16, 30, 18, 19]"
57,success,175,"[19, 36, 28, 17, 41, 36, 41, 32, 17, 34, 14, 12, 20, 43, 25, 17, 20, 13, 29, 15, 24, 16, 14, 43, 15, 3, 17, 23, 4, 13, 7, 22, 32, 43, 17, 38, 9, 35, 25, 34, 33, 23, 11, 23, 37]"
58,success,175,"[43, 41, 8, 26, 4, 30, 44, 2, 29, 42, 38, 17, 4, 41, 41, 26, 44, 0, 27, 1, 42, 30, 41, 25, 3, 1, 15, 33, 6, 38, 10, 22, 9, 20, 20, 0, 25, 35, 42, 14, 39, 39, 44, 16, 38]"
59,success,175,"[25, 2, 12, 30, 7, 19, 34, 6, 22, 9, 24, 10, 43, 3, 43, 35, 38, 38, 8, 41, 26, 43, 39, 26, 16, 5, 4, 17, 36, 22, 21, 11, 25, 28, 44, 32, 27, 40, 19, 42, 16, 5, 18, 5, 5]"
60,success,175,"[39, 35, 9, 37, 3, 12, 31, 13, 32, 39, 2, 1, 42, 23, 22, 20, 19, 31, 26, 7, 28, 30, 5, 16, 35, 27, 6, 1, 26, 20, 43, 23, 41, 9, 20, 6, 25, 8, 22, 15, 8, 4, 23, 42, 8]"
61,success,175,"[18, 10, 36, 18, 43, 11, 3, 26, 29, 44, 39, 39, 28, 16, 19, 6, 19, 16, 1, 9, 24, 16, 44, 21, 43, 29, 1, 9, 31, 24, 13, 23, 40, 17, 2, 13, 42, 34, 37, 41, 5, 12, 2, 0, 37]"
62,success,175,"[42, 7, 32, 24, 3, 41, 39, 25, 31, 17, 35, 20, 44, 2, 7, 43, 12, 13, 35, 8, 23, 12, 8, 43, 8, 4, 30, 39, 5, 31, 24, 37, 5, 43, 27, 37, 16, 42, 28, 5, 41, 35, 13, 24, 17]"
63,success,175,"[24, 43, 40, 9, 43, 19, 31, 34, 21, 20, 20, 38, 17, 12, 16, 8, 17, 5, 4, 32, 3, 25, 35, 32, 20, 8, 41, 37, 27, 3, 1, 14, 7, 38, 9, 12, 43, 36, 9, 17, 23, 29, 42, 39, 43]"
64,success,175,"[1, 10, 25, 2, 15, 6, 41, 2, 6, 8, 6, 25, 16, 41, 11, 24, 29, 28, 35, 9, 22, 36, 38, 27, 29, 38, 28, 42, 5, 15, 5, 4, 21, 10, 18, 19, 27, 42, 38, 17, 14, 34, 5, 24, 19]"
65,success,175,"[8, 27, 14, 8, 29, 7, 30, 7, 19, 36, 10, 34, 32, 40, 7, 32, 42, 34, 8, 36, 4, 26, 22, 23, 23, 1, 22, 42, 19, 12, 44, 4, 21, 23, 21, 41, 18, 43, 3, 33, 26, 10, 10, 32, 28]"
66,success,175,"[27, 2, 26, 44, 0, 21, 22, 40, 12, 21, 32, 2, 36, 36, 32, 29, 33, 35, 40, 19, 20, 28, 8, 38, 34, 28, 13, 15, 19, 29, 35, 30, 41, 43, 31, 16, 26, 19, 28, 36, 16, 22, 2, 33, 22]"
67,success,175,"[20, 23, 9, 26, 33, 15, 5, 17, 8, 16, 28, 5, 33, 10, 40, 32, 12, 25, 4, 4, 43, 36, 6, 12, 8, 17, 13, 14, 23, 8, 39, 32, 34, 7, 31, 37, 7, 33, 16, 35, 21, 36, 6, 17, 12]"
68,success,175,"[11, 13, 17, 5, 31, 24, 37, 31, 6, 3, 19, 21, 10, 35, 26, 33, 4, 36, 9, 20, 19, 36, 12, 10, 15, 16, 8, 7, 10, 21, 15, 17, 32, 10, 40, 33, 7, 14, 8, 12, 16, 5, 0, 19, 31]"
69,success,175,"[13, 38, 16, 40, 10, 24, 34, 2, 41, 16, 22, 28, 28, 1, 39, 28, 44, 21, 27, 19, 40, 37, 40, 22, 35, 16, 20, 34, 3, 31, 0, 26, 21, 21, 22, 22, 18, 20, 25, 34, 24, 28, 37, 44, 4]"
70,success,175,"[32, 10, 8, 35, 3, 38, 34, 44, 30, 39, 5, 40, 7, 14, 5, 18, 33, 12, 36, 27, 28, 42, 19, 15, 44, 25, 27, 13, 9, 7, 10, 8, 33, 2, 28, 42, 34, 18, 2, 37, 0, 30, 30, 8, 33]"
71,success,175,"[7, 10, 36, 44, 11, 41, 41, 34, 6, 13, 30, 44, 36, 18, 10, 43, 12, 15, 43, 25, 11, 0, 19, 44, 19, 31, 11, 34, 34, 27, 34, 26, 17, 33, 37, 37, 9, 30, 0, 25, 25, 16, 44, 39, 1]"
72,success,175,"[9, 9, 40, 23, 32, 36, 34, 4, 6, 17, 15, 33, 7, 16, 10, 8, 7, 8, 25, 18, 19, 21, 33, 38, 23, 28, 33, 31, 6, 44, 7, 18, 29, 18, 10, 41, 3, 11, 44, 32, 3, 33, 43, 4, 18]"
73,success,175,"[21, 5, 9, 7, 8, 18, 20, 10, 13, 8, 35, 9, 40, 24, 36, 28, 11, 27, 12, 5, 11, 12, 6, 1, 42, 23, 18, 41, 10, 18, 38, 28, 17, 11, 1, 3, 7, 35, 28, 19, 35, 7, 9, 17, 41]"
74,success,175,"[27, 38, 11, 38, 3, 10, 23, 2, 38, 39, 24, 13, 4, 27, 24, 34, 27, 5, 5, 35, 7, 42, 4, 32, 43, 19, 2, 39, 8, 23, 44, 33, 2, 36, 7, 33, 27, 12, 19, 5, 44, 10, 13, 22, 30]"
75,success,175,"[22, 22, 26, 38, 17, 37, 35, 43, 41, 35, 11, 34, 33, 13, 30, 11, 23, 35, 8, 15, 35, 20, 43, 0, 32, 36, 41, 7, 44, 17, 15, 15, 28, 29, 21, 3, 44, 9, 4, 26, 18, 27, 39, 4, 12]"
76,success,175,"[23, 35, 27, 17, 27, 44, 21, 39, 35, 13, 11, 34, 9, 15, 10, 27, 13, 29, 42, 37, 42, 1, 20, 9, 41, 32, 14, 25, 27, 22, 21, 2, 20, 15, 36, 38, 33, 1, 37, 17, 18, 42, 39, 2, 16]"
77,success,175,"[33, 24, 11, 23, 38, 10, 33, 33, 39, 13, 9, 24, 23, 18, 35, 35, 11, 35, 10, 18, 1, 15, 43, 19, 31, 4, 28, 16, 33, 41, 23, 4, 21, 5, 20, 2, 28, 13, 9, 0, 39, 37, 36, 2, 15]"
78,success,175,"[43, 26, 5, 6, 11, 43, 7, 40, 30, 41, 37, 14, 37, 7, 13, 9, 5, 4, 8, 5, 17, 3, 2, 44, 3, 3, 1, 5, 23, 37, 33, 26, 3, 34, 1, 28, 18, 39, 13, 28, 19, 23, 42, 32, 18]"
79,success,175,"[20, 31, 15, 7, 21, 3, 7, 18, 35, 35, 11, 18, 6, 33, 11, 35, 37, 31, 14, 42, 30, 29, 38, 39, 3, 39, 34, 9, 13, 33, 9, 20, 31, 29, 40, 5, 13, 44, 25, 11, 13, 15, 24, 12, 27]"
80,success,175,"[20, 27, 6, 28, 41, 6, 14, 31, 27, 30, 25, 30, 27, 3, 33, 20, 2, 18, 19, 3, 44, 10, 14, 19, 37, 33, 34, 10, 38, 37, 20, 24, 1, 34, 43, 21, 24, 22, 3, 27, 32, 41, 41, 22, 43]"
81,success,175,"[23, 28, 27, 44, 33, 5, 3, 18, 23, 30, 21, 23, 41, 15, 22, 25, 21, 43, 43, 23, 20, 26, 8, 19, 9, 6, 4, 26, 0, 29, 19, 16, 34, 24, 33, 31, 1, 9, 25, 43, 6, 4, 42, 43, 7]"
82,success,175,"[18, 28, 8, 14, 17, 28, 13, 18, 13, 34, 6, 10, 11, 40, 42, 22, 7, 34, 22, 38, 16, 44, 36, 10, 32, 12, 15, 11, 30, 11, 28, 26, 33, 44, 0, 44, 4, 23, 15, 28, 32, 38, 18, 41, 14]"
83,success,175,"[9, 17, 23, 30, 37, 10, 13, 42, 19, 10, 44, 20, 44, 41, 40, 26, 35, 43, 12, 1, 14, 28, 24, 3, 25, 7, 22, 25, 28, 18, 18, 30, 33, 36, 15, 19, 14, 23, 5, 19, 8, 23, 38, 44, 20]"
84,success,175,"[2, 10, 4, 34, 44, 24, 7, 0, 43, 14, 5, 7, 11, 29, 40, 12, 30, 2, 0, 2, 41, 26, 36, 0, 1, 38, 4, 6, 23, 27, 10, 20, 30, 19, 17, 3, 20, 36, 28, 40, 5, 0, 24, 8, 26]"
85,success,175,"[40, 15, 24, 30, 6, 40, 9, 36, 29, 6, 32, 8, 26, 43, 42, 39, 22, 25, 13, 41, 21, 34, 16, 33, 10, 33, 2, 4, 15, 21, 32, 16, 0, 14, 19, 24, 28, 11, 27, 28, 34, 23, 36, 9, 32]"
86,success,175,"[2, 4, 38, 21, 27, 27, 31, 11, 8, 1, 38, 10, 25, 20, 7, 18, 3, 7, 6, 37, 25, 41, 19, 9, 27, 41, 23, 0, 13, 41, 23, 42, 22, 0, 39, 34, 32, 43, 8, 40, 10, 43, 8, 24, 35]"
87,success,175,"[3, 3, 38, 2, 27, 42, 27, 21, 18, 28, 25, 22, 6, 29, 33, 31, 3, 31, 32, 8, 38, 23, 21, 32, 22, 24, 14, 41, 43, 5, 32, 1, 16, 43, 7, 16, 9, 32, 20, 26, 42, 23, 33, 4, 9]"
88,success,175,"[42, 38, 29, 17, 8, 38, 35, 10, 26, 27, 21, 41, 5, 11, 4, 31, 28, 44, 24, 6, 20, 3, 30, 30, 38, 15, 13, 3, 18, 21, 33, 33, 6, 12, 23, 15, 1, 38, 32, 23, 14, 37, 1, 20, 36]"
89,success,175,"[42, 11, 29, 8, 5, 15, 39, 31, 22, 12, 6, 12, 6, 8, 30, 5, 2, 24, 12, 20, 6, 9, 19, 31, 18, 24, 23, 12, 12, 19, 1, 30, 27, 13, 16, 14, 29, 34, 4, 18, 0, 20, 11, 15, 20]"
90,success,175,"[14, 17, 34, 36, 0, 17, 38, 23, 9, 26, 6, 0, 28, 23, 34, 15, 38, 18, 33, 4, 4, 35, 37, 42, 14, 1, 44, 27, 11, 34, 40, 12, 34, 35, 22, 28, 12, 41, 44, 44, 33, 1, 16, 20, 43]"
91,success,175,"[24, 24, 6, 35, 15, 4, 44, 8, 0, 3, 20, 4, 37, 23, 14, 0, 21, 6, 44, 13, 21, 0, 5, 9, 2, 32, 42, 44, 11, 35, 22, 2, 4, 24, 19, 0, 41, 32, 22, 44, 43, 43, 11, 39, 22]"
92,success,175,"[32, 38, 7, 20, 5, 12, 18, 38, 38, 17, 14, 23, 41, 43, 10, 8, 31, 13, 8, 1, 18, 17, 25, 9, 32, 30, 20, 8, 22, 30, 16, 11, 22, 15, 18, 15, 13, 32, 20, 20, 29, 16, 4, 38, 2]"
93,success,175,"[25, 11, 9, 1, 40, 19, 15, 33, 1, 25, 22, 24, 5, 42, 10, 30, 33, 15, 5, 13, 36, 40, 42, 10, 27, 6, 31, 18, 32, 30, 44, 21, 15, 23, 7, 5, 23, 37, 23, 35, 8, 20, 27, 15, 0]"
94,success,175,"[3, 41, 27, 11, 11, 1, 42, 4, 34, 10, 15, 12, 37, 1, 15, 12, 12, 8, 41, 17, 18, 17, 44, 15, 15, 14, 14, 4, 27, 1, 10, 9, 13, 34, 26, 44, 15, 41, 2, 22, 35, 23, 41, 14, 1]"
95,success,175,"[34, 3, 34, 33, 37, 21, 40, 7, 19, 5, 34, 32, 36, 34, 13, 3, 41, 22, 4, 41, 44, 20, 34, 1, 4, 12, 29, 6, 1, 30, 34, 33, 35, 36, 27, 23, 38, 15, 4, 33, 12, 44, 18, 38, 1]"
