window,family,n_indices,n_strong,n_moderate,n_weak_but_usable,n_high_risk,n_not_supported,n_usable,best_index,best_index_score,best_index_tier,family_collapse_risk,recommended_use,guardrail_interpretation
T4,P,7,7,0,0,0,0,7,P_main_band_share,0.9357670953991526,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T4,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T4,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T4,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
T4,Jw,3,2,1,0,0,0,3,Jw_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S5,P,7,6,1,0,0,0,7,P_total_centroid_lat_10_50,0.9266825676133006,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S5,V,3,3,0,0,0,0,3,V_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S5,H,4,3,1,0,0,0,4,H_strength,1.0,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S5,Je,3,2,1,0,0,0,3,Je_strength,0.895,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
S5,Jw,3,2,1,0,0,0,3,Jw_axis_lat,0.910645455267197,strong,low,family_has_usable_indices_no_whole_family_collapse_supported,No evidence of whole-family index collapse.
