task,window,index_name,seconds
index_metrics,S2,P_spread_lat,0.606761
index_metrics,S2,P_north_band_share_35_45,0.634696
index_metrics,S2,P_north_minus_main_35_45,0.643049
index_metrics,S2,P_total_centroid_lat_10_50,0.612475
index_metrics,S2,V_strength,1.801832
index_metrics,S2,V_pos_centroid_lat,2.045548
index_metrics,S2,V_NS_diff,0.345589
index_metrics,S2,H_strength,5.465749
index_metrics,S2,H_centroid_lat,0.674901
index_metrics,S2,H_west_extent_lon,0.704747
index_metrics,S2,H_zonal_width,0.712753
index_metrics,S2,Je_strength,5.064677
index_metrics,S2,Je_axis_lat,0.674347
index_metrics,S2,Je_meridional_width,0.836779
index_metrics,S2,Jw_strength,5.940297
index_metrics,S2,Jw_axis_lat,0.67255
index_metrics,S2,Jw_meridional_width,0.82896
window_metrics_total,S2,__all__,34.398866
index_metrics,T2,P_main_band_share,0.774538
index_metrics,T2,P_south_band_share_18_24,0.36536
index_metrics,T2,P_main_minus_south,0.373117
index_metrics,T2,P_spread_lat,0.400688
index_metrics,T2,P_north_band_share_35_45,0.382982
index_metrics,T2,P_north_minus_main_35_45,0.375798
index_metrics,T2,P_total_centroid_lat_10_50,0.373157
index_metrics,T2,V_strength,0.534458
index_metrics,T2,V_pos_centroid_lat,0.217005
index_metrics,T2,V_NS_diff,0.209245
index_metrics,T2,H_strength,0.77362
index_metrics,T2,H_centroid_lat,0.393496
index_metrics,T2,H_west_extent_lon,0.430803
index_metrics,T2,H_zonal_width,0.43966
index_metrics,T2,Je_strength,0.953059
index_metrics,T2,Je_axis_lat,0.494094
index_metrics,T2,Je_meridional_width,0.534761
index_metrics,T2,Jw_strength,0.857829
index_metrics,T2,Jw_axis_lat,0.476557
index_metrics,T2,Jw_meridional_width,0.577984
window_metrics_total,T2,__all__,9.938963
index_metrics,S3,P_main_band_share,2.497304
index_metrics,S3,P_south_band_share_18_24,0.520903
index_metrics,S3,P_main_minus_south,0.509598
index_metrics,S3,P_spread_lat,0.541504
index_metrics,S3,P_north_band_share_35_45,0.528137
index_metrics,S3,P_north_minus_main_35_45,0.528473
index_metrics,S3,P_total_centroid_lat_10_50,0.517839
index_metrics,S3,V_strength,0.876731
index_metrics,S3,V_pos_centroid_lat,0.347457
index_metrics,S3,V_NS_diff,0.297768
index_metrics,S3,H_strength,3.414956
index_metrics,S3,H_centroid_lat,0.600098
index_metrics,S3,H_west_extent_lon,0.613725
index_metrics,S3,H_zonal_width,0.707832
index_metrics,S3,Je_strength,3.040399
index_metrics,S3,Je_axis_lat,0.549349
index_metrics,S3,Je_meridional_width,0.754622
index_metrics,S3,Jw_strength,2.826618
index_metrics,S3,Jw_axis_lat,0.562933
index_metrics,S3,Jw_meridional_width,0.722234
window_metrics_total,S3,__all__,20.959559
index_metrics,T3,P_main_band_share,0.702363
index_metrics,T3,P_south_band_share_18_24,0.340617
index_metrics,T3,P_main_minus_south,0.322332
index_metrics,T3,P_spread_lat,0.359826
index_metrics,T3,P_north_band_share_35_45,0.339223
index_metrics,T3,P_north_minus_main_35_45,0.316654
index_metrics,T3,P_total_centroid_lat_10_50,0.347734
index_metrics,T3,V_strength,0.435444
index_metrics,T3,V_pos_centroid_lat,0.199059
index_metrics,T3,V_NS_diff,0.209445
index_metrics,T3,H_strength,0.801108
index_metrics,T3,H_centroid_lat,0.38598
index_metrics,T3,H_west_extent_lon,0.376385
index_metrics,T3,H_zonal_width,0.421678
index_metrics,T3,Je_strength,0.818099
index_metrics,T3,Je_axis_lat,0.366527
index_metrics,T3,Je_meridional_width,0.518396
index_metrics,T3,Jw_strength,0.82982
index_metrics,T3,Jw_axis_lat,0.388925
index_metrics,T3,Jw_meridional_width,0.544564
window_metrics_total,T3,__all__,9.025024
index_metrics,S4,P_main_band_share,8.032111
index_metrics,S4,P_south_band_share_18_24,0.791069
index_metrics,S4,P_main_minus_south,0.873371
index_metrics,S4,P_spread_lat,0.828123
index_metrics,S4,P_north_band_share_35_45,0.813819
index_metrics,S4,P_north_minus_main_35_45,0.82272
index_metrics,S4,P_total_centroid_lat_10_50,0.832638
index_metrics,S4,V_strength,2.442444
index_metrics,S4,V_pos_centroid_lat,3.20144
index_metrics,S4,V_NS_diff,0.459534
index_metrics,S4,H_strength,10.983024
index_metrics,S4,H_centroid_lat,0.994902
index_metrics,S4,H_west_extent_lon,1.024043
index_metrics,S4,H_zonal_width,1.017831
index_metrics,S4,Je_strength,10.04095
index_metrics,S4,Je_axis_lat,1.014577
index_metrics,S4,Je_meridional_width,1.202524
index_metrics,S4,Jw_strength,9.461216
index_metrics,S4,Jw_axis_lat,0.875471
index_metrics,S4,Jw_meridional_width,1.11241
window_metrics_total,S4,__all__,56.825213
index_metrics,T4,P_main_band_share,0.615618
index_metrics,T4,P_south_band_share_18_24,0.345577
index_metrics,T4,P_main_minus_south,0.350093
index_metrics,T4,P_spread_lat,0.333405
index_metrics,T4,P_north_band_share_35_45,0.341141
index_metrics,T4,P_north_minus_main_35_45,0.326939
index_metrics,T4,P_total_centroid_lat_10_50,0.327507
index_metrics,T4,V_strength,0.412583
index_metrics,T4,V_pos_centroid_lat,0.40327
index_metrics,T4,V_NS_diff,0.179559
index_metrics,T4,H_strength,0.677398
index_metrics,T4,H_centroid_lat,0.337271
index_metrics,T4,H_west_extent_lon,0.352642
index_metrics,T4,H_zonal_width,0.40016
index_metrics,T4,Je_strength,0.674967
index_metrics,T4,Je_axis_lat,0.329598
index_metrics,T4,Je_meridional_width,0.486358
index_metrics,T4,Jw_strength,0.679718
index_metrics,T4,Jw_axis_lat,0.37446
index_metrics,T4,Jw_meridional_width,0.488647
window_metrics_total,T4,__all__,8.437676
index_metrics,S5,P_main_band_share,1.792708
index_metrics,S5,P_south_band_share_18_24,0.493886
index_metrics,S5,P_main_minus_south,0.474488
index_metrics,S5,P_spread_lat,0.464479
index_metrics,S5,P_north_band_share_35_45,0.479108
index_metrics,S5,P_north_minus_main_35_45,0.480998
index_metrics,S5,P_total_centroid_lat_10_50,0.471921
index_metrics,S5,V_strength,0.759307
index_metrics,S5,V_pos_centroid_lat,0.724092
index_metrics,S5,V_NS_diff,0.264579
index_metrics,S5,H_strength,2.144669
index_metrics,S5,H_centroid_lat,0.505383
index_metrics,S5,H_west_extent_lon,0.54884
index_metrics,S5,H_zonal_width,0.558331
index_metrics,S5,Je_strength,2.152197
index_metrics,S5,Je_axis_lat,0.50776
index_metrics,S5,Je_meridional_width,0.661321
index_metrics,S5,Jw_strength,2.219676
index_metrics,S5,Jw_axis_lat,0.490173
index_metrics,S5,Jw_meridional_width,0.663621
window_metrics_total,S5,__all__,16.858348
cache_stats,__all__,subfield_cache_entries,5.0
cache_stats,__all__,sample_cache_entries,411.0
cache_stats,__all__,eof_cache_entries,51.0
family_joint_coverage,S1,P,35.738484
family_joint_coverage,S1,V,10.409055
family_joint_coverage,S1,H,32.799495
family_joint_coverage,S1,Je,28.233987
family_joint_coverage,S1,Jw,28.321871
family_joint_coverage,T1,P,4.271305
family_joint_coverage,T1,V,1.747797
family_joint_coverage,T1,H,4.555608
family_joint_coverage,T1,Je,4.319899
family_joint_coverage,T1,Jw,4.344913
family_joint_coverage,S2,P,15.286746
family_joint_coverage,S2,V,6.365166
family_joint_coverage,S2,H,16.558925
family_joint_coverage,S2,Je,16.019882
family_joint_coverage,S2,Jw,16.129097
family_joint_coverage,T2,P,5.401913
family_joint_coverage,T2,V,2.294363
family_joint_coverage,T2,H,5.712687
family_joint_coverage,T2,Je,5.633772
family_joint_coverage,T2,Jw,5.473441
family_joint_coverage,S3,P,11.064961
family_joint_coverage,S3,V,4.21916
family_joint_coverage,S3,H,11.492525
family_joint_coverage,S3,Je,10.844907
family_joint_coverage,S3,Jw,10.891346
family_joint_coverage,T3,P,5.367726
family_joint_coverage,T3,V,2.290886
family_joint_coverage,T3,H,5.63644
family_joint_coverage,T3,Je,5.451715
family_joint_coverage,T3,Jw,5.518035
family_joint_coverage,S4,P,25.90096
family_joint_coverage,S4,V,9.906961
family_joint_coverage,S4,H,27.520222
family_joint_coverage,S4,Je,26.766976
family_joint_coverage,S4,Jw,26.656242
family_joint_coverage,T4,P,4.474955
family_joint_coverage,T4,V,1.925051
family_joint_coverage,T4,H,4.860507
family_joint_coverage,T4,Je,4.593917
family_joint_coverage,T4,Jw,4.660343
family_joint_coverage,S5,P,8.911223
family_joint_coverage,S5,V,3.195547
family_joint_coverage,S5,H,9.604341
family_joint_coverage,S5,Je,9.316355
family_joint_coverage,S5,Jw,9.399275
