window,family,n_indices,indices,n_samples,joint_field_R2_in_sample,joint_field_R2_year_cv,joint_eof_coverage_top5_in_sample,joint_eof_coverage_top5_year_cv,joint_eof_coverage_top3_in_sample,joint_eof_coverage_top3_year_cv,best_single_index_R2,mean_single_index_R2,joint_gain_over_best_single,coverage_tier,collapse_risk_update,n_valid_gridpoints,n_cv_year_folds,eof_coverage_status,interpretation_guardrail
S2,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,1170,0.343710107086595,0.3139203878731234,0.362597261546097,0.3333394241095076,0.3641351435489802,0.3343316023774177,0.3621171340785508,0.14785477665757904,-0.04819674620542741,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S2,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,1170,0.4066959013288802,0.383701289809953,0.4577876919842193,0.43577619740192125,0.5335282578387026,0.5127173275375261,0.21342058585645063,0.12828819028392238,0.17028070395350237,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S2,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,1170,0.34450200775953865,0.3176163191435011,0.39610683738101193,0.3694466711289344,0.450519141885404,0.42407605114540775,0.20272295295491138,0.1172211280218518,0.1148933661885897,moderate_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T2,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,540,0.37865851050575394,0.31138533594603135,0.6659131867943533,0.6257906746240044,0.7828438444457426,0.7563464590812718,0.1083414151373074,0.09128455947871474,0.20304392080872397,very_high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T2,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,540,0.44362322089245365,0.40132370316250654,0.5410934225138857,0.5054753709188872,0.6205402741104477,0.58960160161287,0.2456367992969024,0.2141313246741312,0.15568690386560413,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T2,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,540,0.4726526754904441,0.4189881926147795,0.5099134087199505,0.45908502055581857,0.553364438321245,0.5081097302987005,0.3310633097544868,0.1438503610834296,0.08792488286029271,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T2,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,540,0.440921878215935,0.407033512794882,0.5219676686546669,0.49201665666648614,0.6089347836236839,0.5844136452848381,0.2680255378957113,0.1308866222191103,0.13900797489917066,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T2,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,540,0.4721407196254255,0.4138837693311075,0.5437531028751598,0.4950340965014442,0.6228260981531408,0.5832889115224553,0.2962332244443952,0.16751510561449437,0.11765054488671228,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S3,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,900,0.32757437652490606,0.2777236040852741,0.6368253392559029,0.6055079912376128,0.76308017723103,0.7433602527186136,0.09550893174154064,0.08257507721856136,0.18221467234373345,very_high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S3,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,900,0.4762835439173162,0.44957908541500846,0.5777696191340201,0.5557485159283391,0.6481960836374485,0.6278700710809925,0.27230484243801656,0.23791196722375077,0.1772742429769919,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S3,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,900,0.5231736184493181,0.49100414604323805,0.5725680433621703,0.542496967488912,0.6206377895180367,0.5928514930882616,0.2799490406362375,0.12812549490212266,0.21105510540700056,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S3,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,900,0.4596917875286499,0.4305143303763934,0.540331655281944,0.5127449057240069,0.6079760756471088,0.5823231715788022,0.2449702951463258,0.13386110325708694,0.18554403523006763,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S3,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,900,0.47598239504805884,0.4498233877924772,0.5442637166972626,0.5211261201591446,0.6131883969171639,0.5919910401972266,0.22268032400157103,0.14444229654198354,0.22714306379090618,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T3,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,495,0.3090242076464209,0.23512461747548452,0.5974132362098488,0.5582227633157968,0.6566322920059984,0.6254152155563566,0.1068676318368186,0.08184368295256687,0.12825698563866592,high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T3,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,495,0.4556627756516056,0.41294317364695987,0.5670960218859654,0.5337056537980382,0.6434489416739906,0.618544907255259,0.23085654362706778,0.20577088845739275,0.1820866300198921,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T3,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,495,0.5126740577634519,0.46849056496010066,0.5670310377602884,0.5266939657552371,0.6345427728831472,0.6005191597286672,0.26600328895571657,0.1127588219556463,0.2024872760043841,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T3,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,495,0.41939908704369766,0.36774495944080443,0.4939901462255042,0.44492660989515753,0.5501189898785858,0.5023056080037006,0.21821390717267805,0.13499116403438077,0.14953105226812638,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T3,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,495,0.4910257681151049,0.43408655628521986,0.5496847908333199,0.49590917726563605,0.6144044107403485,0.5692347406087991,0.22358217304697386,0.15437237708686055,0.210504383238246,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S4,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,1665,0.26183648083371935,0.23579066955716388,0.5174193517607676,0.5001375477519504,0.59731320970496,0.5827313796062079,0.07123291758459417,0.059434285662239635,0.16455775197256972,high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S4,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,1664,0.48435512924536994,0.4734432218035328,0.5925421526259537,0.5840357078090629,0.677772165580173,0.6709002096912985,0.26368347237161416,0.23068392556876138,0.20975974943191866,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S4,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,1665,0.4642511235939156,0.4469311282106484,0.5247688701522583,0.5085585453870007,0.5934129512412962,0.5799861481337338,0.23395779725262142,0.10516423126859317,0.21297333095802698,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S4,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,1665,0.42720323780262337,0.4127272847427531,0.5164964708957761,0.5035064772606629,0.6010839960326146,0.590198261163914,0.19372604516634231,0.11757780941039196,0.2190012395764108,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S4,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,1665,0.5209207055108949,0.5063396211899196,0.5842024488674106,0.5712712486273375,0.6552235065334296,0.6444323899319759,0.2526655573755958,0.15018604236569014,0.2536740638143238,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T4,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,450,0.2744516052427389,0.19010940569562085,0.4832419133952045,0.42512173341392384,0.5607852834184242,0.5107925048512224,0.08204522054381701,0.06920928679936432,0.10806418515180384,high_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T4,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,448,0.46107874773192237,0.42354853858077346,0.5653143439428597,0.5346004010449462,0.638917469852925,0.6154706071699134,0.25442805738342666,0.22562726253534937,0.1691204811973468,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T4,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,450,0.44579785805869987,0.38359029101840847,0.49085137802917433,0.43099480703220694,0.5447789472473916,0.49142946661067327,0.2766852622870791,0.12137209355027831,0.10690502873132934,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T4,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,450,0.44554143883803343,0.3739730700529351,0.5233235757186535,0.45583773460419724,0.6257458381652462,0.5649141231064049,0.19986422954670116,0.12885944806418007,0.17410884050623396,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
T4,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,450,0.5292656603325516,0.4905291871941345,0.586419130330111,0.5513093086221575,0.6455947846243282,0.6140610440311471,0.24456697580680606,0.1636920426021349,0.24596221138732846,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S5,P,7,P_main_band_share;P_south_band_share_18_24;P_main_minus_south;P_spread_lat;P_north_band_share_35_45;P_north_minus_main_35_45;P_total_centroid_lat_10_50,765,0.22996255977879776,0.170941223661919,0.394420873260964,0.3480486367805677,0.4569098878148433,0.4146881991614918,0.07600954056798036,0.05835764623546937,0.09493168309393864,moderate_joint_coverage,no_family_collapse_update_supported,13041,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S5,V,3,V_strength;V_pos_centroid_lat;V_NS_diff,708,0.4219281538343682,0.39621204961805034,0.5216135834197388,0.5004316568368605,0.5771650430454848,0.5581953683863846,0.26713915376169656,0.23402892680838958,0.1290728958563538,high_joint_coverage,no_family_collapse_update_supported,6561,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S5,H,4,H_strength;H_centroid_lat;H_west_extent_lon;H_zonal_width,765,0.5038711384133595,0.4655208099083078,0.5574987608606617,0.5218061028044083,0.6140979712249272,0.582471833444049,0.25980563774161974,0.12398725146904181,0.20571517216668805,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S5,Je,3,Je_strength;Je_axis_lat;Je_meridional_width,765,0.4807361679351514,0.45061019770905064,0.5534232109436995,0.5263155653073022,0.6298946705706653,0.606782132329707,0.22447719944461889,0.14404304175778251,0.22613299826443176,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
S5,Jw,3,Jw_strength;Jw_axis_lat;Jw_meridional_width,765,0.5038991446163668,0.4739711661699394,0.5628401384424001,0.5350175386304024,0.6412029421329805,0.6157449132997076,0.2562389556711676,0.16477499611674398,0.21773221049877178,high_joint_coverage,no_family_collapse_update_supported,14641,45,ok,"Joint coverage measures mixed family-level index indication of the same field; it is not lead-lag, pathway, or causal evidence."
