window,index_name,reason,figure_path,cartopy_used
S5,Jw_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S5__Jw_axis_lat__composite_map.png,True
S5,P_total_centroid_lat_10_50,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S5__P_total_centroid_lat_10_50__composite_map.png,True
S5,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\S5__V_strength__composite_map.png,True
T1,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T1__H_strength__composite_map.png,True
T1,Je_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T1__Je_axis_lat__composite_map.png,True
T1,Jw_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T1__Jw_axis_lat__composite_map.png,True
T1,P_main_band_share,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T1__P_main_band_share__composite_map.png,True
T1,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T1__V_strength__composite_map.png,True
T2,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T2__H_strength__composite_map.png,True
T2,Je_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T2__Je_strength__composite_map.png,True
T2,Jw_axis_lat,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T2__Jw_axis_lat__composite_map.png,True
T2,P_main_band_share,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T2__P_main_band_share__composite_map.png,True
T2,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T2__V_strength__composite_map.png,True
T4,H_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T4__H_strength__composite_map.png,True
T4,Je_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T4__Je_strength__composite_map.png,True
T4,Jw_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T4__Jw_strength__composite_map.png,True
T4,P_main_band_share,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T4__P_main_band_share__composite_map.png,True
T4,V_strength,window_family_best_index,D:\easm_project01\index_validity\V1_b_window_family_guardrail\outputs\window_family_guardrail_v1_b_smoothed_a\figures\selected_composite_maps\T4__V_strength__composite_map.png,True
