window,target_variable,n_pairs,n_stable_lag_dominant,n_tau0_coupled,n_audit_sensitive,n_failed_or_not_candidate,mean_T_pos,mean_T_0,mean_T_neg,mean_D_pos_0,mean_D_pos_neg,mean_margin_pos
S2,P_main_minus_south,3,2,1,0,0,0.6249328565663279,0.5830347764037528,0.48122171739196506,0.027347411456667997,0.14640775168093492,0.43827889917766694
S2,P_north_band_share_35_45,3,0,1,0,2,0.32148629794988054,0.3178762560947218,0.2779611257841831,-0.007601336499344567,0.04079892354611333,0.14443901818599936
S2,P_north_minus_main_35_45,3,2,1,0,0,0.5204481853284554,0.4665699746056216,0.36974620212600656,0.03910710098142217,0.14929407898775618,0.3428023397830959
S2,P_south_band_share_18_24,3,0,2,0,1,0.3854219938921988,0.37341656369335285,0.31942689923930173,-0.0008842679616228999,0.06456679466374084,0.1947496566946629
S2,P_spread_lat,3,0,1,0,2,0.3289509107631434,0.34562461548545814,0.3116434441348197,-0.029083113728702134,0.019185514317664302,0.14890315581181654
S2,P_total_centroid_lat_10_50,3,2,1,0,0,0.6449010081814651,0.604527319488457,0.5033911060201882,0.028610231017285468,0.14008706203028376,0.4536444526718535
T2,P_main_band_share,3,2,1,0,0,0.550989365842291,0.45775446877276577,0.3502080713355502,0.07923973165079247,0.20541321725463427,0.30572248178617945
T2,P_main_minus_south,3,3,0,0,0,0.6350877793680149,0.51114399273134,0.37778235844292135,0.10870923092085973,0.2560648701406543,0.38256671307930074
T2,P_north_band_share_35_45,3,0,0,0,3,0.33635798382504484,0.3269970620719558,0.2698295961274961,-0.008315020251113199,0.06537661170624683,0.0990906533961808
T2,P_north_minus_main_35_45,3,2,0,0,1,0.36767780869567684,0.27455047515462117,0.20321265848862435,0.07161659398677966,0.15686724723540021,0.11262111041587353
T2,P_south_band_share_18_24,3,3,0,0,0,0.5794910946901887,0.441373313025617,0.30915903429879077,0.11997053158510523,0.27271592592602173,0.33523225859891786
T2,P_spread_lat,3,1,1,0,1,0.4381896236065612,0.398523267874457,0.3078934072158595,0.02261196371308333,0.13113426382360352,0.19191541426746164
T2,P_total_centroid_lat_10_50,3,2,0,0,1,0.5495413591794053,0.4873538647548304,0.38028161050052783,0.04681749295977244,0.17298930046346314,0.30371428932033395
S3,P_main_band_share,3,0,1,0,2,0.21330705693909013,0.22221740932228137,0.2337410476651348,-0.025616803977430828,-0.022875649288633768,-0.006938183707218502
S3,P_main_minus_south,3,1,1,0,1,0.34489515563229617,0.3200514160498736,0.2890624337245022,0.011609661911472365,0.0576937036617551,0.1244819943295818
S3,P_north_band_share_35_45,3,2,0,0,1,0.3733374050888944,0.31024137240473276,0.25069023586729805,0.048820784950467634,0.12468819167503653,0.16023523079341284
S3,P_north_minus_main_35_45,3,0,0,0,3,0.08309987834652896,0.09384416251660914,0.09975245992207872,-0.0223296226738918,-0.013318262448884366,-0.12630963983169627
S3,P_south_band_share_18_24,3,2,0,0,1,0.4706287816979778,0.38052268211197404,0.3171654590343958,0.08076836797866166,0.15483131299906533,0.24813547728018795
S3,P_spread_lat,3,2,1,0,0,0.48781323436732454,0.36663860681227484,0.2861835452654992,0.11356975989694996,0.20568768500278753,0.27315581323731003
S3,P_total_centroid_lat_10_50,3,1,1,0,1,0.42662727288361163,0.3917072685892653,0.34240220406591454,0.021929862699138335,0.08690630184025633,0.2168071310427626
T3,P_main_band_share,3,0,0,0,3,0.1774470488642914,0.11353964261107445,0.13461193435365862,0.04896349700469757,0.0435893323163907,-0.07883956872667233
T3,P_main_minus_south,3,0,0,0,3,0.23209522345254227,0.18256352220576488,0.17872724364287626,0.0286866648497844,0.046135951033743905,-0.025147355048489067
T3,P_north_band_share_35_45,3,0,0,0,3,0.31710335578022875,0.29341344331638425,0.260442194670725,-0.0007799749039733326,0.04590133754975164,0.07155450314485386
T3,P_north_minus_main_35_45,3,0,0,0,3,0.13649508204096042,0.06519308962713953,0.08027839637130564,0.046721256632307466,0.05061627716570897,-0.11703392113302968
T3,P_south_band_share_18_24,3,1,0,0,2,0.3494043860890028,0.23368049033074592,0.20008812097932124,0.1001452634832359,0.14756104066997466,0.0926055344534213
T3,P_spread_lat,3,1,1,0,1,0.4033576278769862,0.3153949288488154,0.2480128170326986,0.07053810040991317,0.15593814056440855,0.15566314400276915
T3,P_total_centroid_lat_10_50,3,0,1,0,2,0.2847741213002787,0.2663834404824833,0.25236129231950016,-0.0015184820684640363,0.030063366738118564,0.025761672598148905
S4,P_main_band_share,3,0,0,0,3,0.16708215098114243,0.13991262424415446,0.11940841238099749,0.0198212362777806,0.04980293527639717,-0.016069825021554133
S4,P_main_minus_south,3,1,1,0,1,0.24274469876884064,0.1669995934152222,0.16373844857342576,0.06492674096767541,0.07802582618698341,0.0647247624328157
S4,P_north_band_share_35_45,3,0,1,0,2,0.2379920359485287,0.2138159601335563,0.1740384687240857,0.012149703715536536,0.06051014324162616,0.07469865099410315
S4,P_north_minus_main_35_45,3,0,0,0,3,0.050580991245465425,0.03382032181844317,0.039331121150886265,0.010735986675873402,0.015956043445027532,-0.12067359532952093
S4,P_south_band_share_18_24,3,2,0,0,1,0.24959103631309573,0.20304548766035144,0.18297323434533755,0.03522400530897146,0.0640884130117892,0.07712935370877073
S4,P_spread_lat,3,2,0,0,1,0.2789715342955689,0.2109366240042523,0.1814979826499676,0.0583979997083783,0.0970446301725576,0.11157103401549003
S4,P_total_centroid_lat_10_50,3,1,1,0,1,0.29996657050391273,0.27593326169475174,0.2389703269660457,0.014434815281884802,0.06260239395268864,0.12434583970300993
T4,P_main_band_share,3,1,1,0,1,0.41324459080443804,0.3644437652040433,0.31177451566689957,0.026606650895084464,0.09798963216954924,0.15680696680144626
T4,P_main_minus_south,3,1,0,0,2,0.4175442605407678,0.3251444008253157,0.2746138465061058,0.0718897523810572,0.14096251178122773,0.15897502919650153
T4,P_north_band_share_35_45,3,0,2,0,1,0.4628849557167307,0.4462739430321108,0.38960057893880395,-0.007160194297515466,0.0697605759292431,0.21807549618163424
T4,P_north_minus_main_35_45,3,0,0,0,3,0.19785050953178066,0.11924113562763757,0.16250417312672796,0.05772424702181964,0.031952201076443566,-0.05697143780408318
T4,P_south_band_share_18_24,3,0,0,0,3,0.2488812917986388,0.14371134777293104,0.1423028839944658,0.08946343630153707,0.1024432825822581,-0.010202707617106926
T4,P_spread_lat,3,0,3,0,0,0.4159740426312049,0.369856914650059,0.284326458154249,0.027341290365796498,0.13214606877925267,0.16183193187301578
T4,P_total_centroid_lat_10_50,3,1,0,0,2,0.5679931336601309,0.550266610027838,0.4934760755968243,0.0006013624985731653,0.079702961840755,0.31039315638675086
S5,P_main_band_share,3,2,1,0,0,0.4057529795130948,0.3219474986594693,0.2559873240162921,0.07081690663978969,0.1672077752576762,0.18032221547127283
S5,P_main_minus_south,3,1,1,0,1,0.32685775373784626,0.23248773317474,0.2010461954479421,0.07771785521196177,0.14016585205998003,0.10662499726929102
S5,P_north_band_share_35_45,3,0,2,1,0,0.3463750541152228,0.30643563921590183,0.26015279774039896,0.026202698409877833,0.1028996984655674,0.12920318617583515
S5,P_north_minus_main_35_45,3,0,0,0,3,0.19210485113067,0.13331037292580325,0.14332561754998283,0.042262934149999064,0.0627016566015846,-0.02433093327556567
S5,P_south_band_share_18_24,3,0,0,0,3,0.13385281013512956,0.10814659938164205,0.0858875713892936,0.010888820145226,0.06353502589338914,-0.08605168773858259
S5,P_spread_lat,3,1,1,1,0,0.3766791079276719,0.29882607795067123,0.22272635452535292,0.06274059534330607,0.1685857411362088,0.15959475597118952
S5,P_total_centroid_lat_10_50,3,2,0,0,1,0.4943684908808716,0.436935310954882,0.3771505300052391,0.04217060914300033,0.12736814284059475,0.2613591145523461
