window,object,mode,explained_variance_ratio,singular_value,quality_flag_pc1_object,n_train_samples,n_valid_gridpoints,n_total_gridpoints,missing_fraction,notes
S2,Jw,5,0.049834807355319234,6152.092211445629,pc1_good,1170,14641,14641,0.0,
T2,P,1,0.20702214807365027,7912.651497563422,pc1_moderate,540,13041,13041,0.0,
T2,P,2,0.13299136110083445,6341.987013122909,pc1_moderate,540,13041,13041,0.0,
T2,P,3,0.08223325766766366,4986.97717538943,pc1_moderate,540,13041,13041,0.0,
T2,P,4,0.05491486154210706,4075.290568594649,pc1_moderate,540,13041,13041,0.0,
T2,P,5,0.03927101426148384,3446.2731143712517,pc1_moderate,540,13041,13041,0.0,
T2,V,1,0.3444856356102404,2829.5133633455175,pc1_moderate,540,6561,6561,0.0,
T2,V,2,0.21311444093697698,2225.525784277686,pc1_moderate,540,6561,6561,0.0,
T2,V,3,0.1082381531364485,1586.0481852244068,pc1_moderate,540,6561,6561,0.0,
T2,V,4,0.07584339982962936,1327.6545467992848,pc1_moderate,540,6561,6561,0.0,
T2,V,5,0.05443121609090199,1124.734998563914,pc1_moderate,540,6561,6561,0.0,
T2,H,1,0.38506677816522766,37902.21599861822,pc1_good,540,14641,14641,0.0,
T2,H,2,0.28840867216896643,32802.0309582669,pc1_good,540,14641,14641,0.0,
T2,H,3,0.13001888215302873,22024.182167103987,pc1_good,540,14641,14641,0.0,
T2,H,4,0.06786501593506565,15911.808901402943,pc1_good,540,14641,14641,0.0,
T2,H,5,0.04490030058671107,12942.590214016496,pc1_good,540,14641,14641,0.0,
T2,Je,1,0.39640797024607005,13701.047499743645,pc1_good,540,14641,14641,0.0,
T2,Je,2,0.19068620632465055,9502.595049644826,pc1_good,540,14641,14641,0.0,
T2,Je,3,0.1338150617969303,7960.4035097702435,pc1_good,540,14641,14641,0.0,
T2,Je,4,0.06745023017104071,5651.637537947088,pc1_good,540,14641,14641,0.0,
T2,Je,5,0.05198532919657787,4961.614090658405,pc1_good,540,14641,14641,0.0,
T2,Jw,1,0.4434262705731543,12275.708030307807,pc1_good,540,14641,14641,0.0,
T2,Jw,2,0.17420530182864338,7694.2541082782245,pc1_good,540,14641,14641,0.0,
T2,Jw,3,0.13280051563182654,6717.933825885079,pc1_good,540,14641,14641,0.0,
T2,Jw,4,0.069105297110941,4846.090387488628,pc1_good,540,14641,14641,0.0,
T2,Jw,5,0.04088504908966509,3727.5038671241796,pc1_good,540,14641,14641,0.0,
S3,P,1,0.17007080500252209,9231.095946413456,pc1_low_variance,900,13041,13041,0.0,
S3,P,2,0.1071293564127598,7326.433790550996,pc1_low_variance,900,13041,13041,0.0,
S3,P,3,0.07789807895981087,6247.435126944497,pc1_low_variance,900,13041,13041,0.0,
S3,P,4,0.0571993964295314,5353.454357836259,pc1_low_variance,900,13041,13041,0.0,
S3,P,5,0.04466553195454674,4730.6915987271495,pc1_low_variance,900,13041,13041,0.0,
S3,V,1,0.35734558480259815,3739.183107812721,pc1_good,900,6561,6561,0.0,
S3,V,2,0.20912782272549998,2860.4768067986765,pc1_good,900,6561,6561,0.0,
S3,V,3,0.10449483651766135,2021.9943524272599,pc1_good,900,6561,6561,0.0,
S3,V,4,0.07974716146660063,1766.404407286989,pc1_good,900,6561,6561,0.0,
S3,V,5,0.04894375069562976,1383.8249181437582,pc1_good,900,6561,6561,0.0,
S3,H,1,0.41930511320095715,51266.70070645743,pc1_good,900,14641,14641,0.0,
S3,H,2,0.27669390415573536,41645.69225600815,pc1_good,900,14641,14641,0.0,
S3,H,3,0.10654815234271502,25843.0192684117,pc1_good,900,14641,14641,0.0,
S3,H,4,0.062061560824276295,19723.39338063065,pc1_good,900,14641,14641,0.0,
S3,H,5,0.035804909128591925,14981.02669222659,pc1_good,900,14641,14641,0.0,
S3,Je,1,0.3620393604495233,17824.82421274816,pc1_good,900,14641,14641,0.0,
S3,Je,2,0.2615736724163209,15151.107372053242,pc1_good,900,14641,14641,0.0,
S3,Je,3,0.11710693047935919,10137.681902042572,pc1_good,900,14641,14641,0.0,
S3,Je,4,0.05708768517651869,7078.1306992400105,pc1_good,900,14641,14641,0.0,
S3,Je,5,0.043736099344188185,6195.371944311358,pc1_good,900,14641,14641,0.0,
S3,Jw,1,0.4217967780634689,15651.54166937035,pc1_good,900,14641,14641,0.0,
S3,Jw,2,0.25620685336793164,12198.343650985771,pc1_good,900,14641,14641,0.0,
S3,Jw,3,0.0954450100131346,7445.298368951063,pc1_good,900,14641,14641,0.0,
S3,Jw,4,0.05190152567293742,5490.293416324978,pc1_good,900,14641,14641,0.0,
S3,Jw,5,0.04307133781409083,5001.493093763777,pc1_good,900,14641,14641,0.0,
T3,P,1,0.20200443644651617,7687.215079343486,pc1_moderate,495,13041,13041,0.0,
T3,P,2,0.08923446089006615,5109.223259378706,pc1_moderate,495,13041,13041,0.0,
T3,P,3,0.06388647779422106,4323.0777972582955,pc1_moderate,495,13041,13041,0.0,
T3,P,4,0.050220420949898245,3832.9111567657246,pc1_moderate,495,13041,13041,0.0,
T3,P,5,0.045618242565941956,3653.068816938578,pc1_moderate,495,13041,13041,0.0,
T3,V,1,0.27816721873004546,2433.9803806825735,pc1_moderate,495,6561,6561,0.0,
T3,V,2,0.25028775242261525,2308.7871590771824,pc1_moderate,495,6561,6561,0.0,
T3,V,3,0.1133433376657042,1553.6818694134508,pc1_moderate,495,6561,6561,0.0,
T3,V,4,0.08747523758185413,1364.9183248758254,pc1_moderate,495,6561,6561,0.0,
T3,V,5,0.055881810246932236,1090.936148013271,pc1_moderate,495,6561,6561,0.0,
T3,H,1,0.4102965319849802,38987.580285861004,pc1_good,495,14641,14641,0.0,
T3,H,2,0.27709472092902176,32039.92457040343,pc1_good,495,14641,14641,0.0,
T3,H,3,0.10372891757671587,19603.21404896276,pc1_good,495,14641,14641,0.0,
T3,H,4,0.0709421110359296,16211.731894662482,pc1_good,495,14641,14641,0.0,
T3,H,5,0.03612380328699147,11568.421218392265,pc1_good,495,14641,14641,0.0,
T3,Je,1,0.39964406682959874,13856.42651681451,pc1_good,495,14641,14641,0.0,
T3,Je,2,0.24124062347521,10765.638169511662,pc1_good,495,14641,14641,0.0,
T3,Je,3,0.1023632995639504,7012.723186261204,pc1_good,495,14641,14641,0.0,
T3,Je,4,0.04992700328646961,4897.588673944368,pc1_good,495,14641,14641,0.0,
T3,Je,5,0.0475295939484631,4778.555232457965,pc1_good,495,14641,14641,0.0,
T3,Jw,1,0.40664501337561293,12820.77827579704,pc1_good,495,14641,14641,0.0,
T3,Jw,2,0.32426087934537295,11448.641127700366,pc1_good,495,14641,14641,0.0,
T3,Jw,3,0.05999249613757279,4924.420494856897,pc1_good,495,14641,14641,0.0,
T3,Jw,4,0.054648862688536665,4699.993183801807,pc1_good,495,14641,14641,0.0,
T3,Jw,5,0.042586802303368636,4149.007117254466,pc1_good,495,14641,14641,0.0,
S4,P,1,0.15642910594049633,12165.48394140204,pc1_low_variance,1665,13041,13041,0.0,
S4,P,2,0.11654402452559214,10500.636234523885,pc1_low_variance,1665,13041,13041,0.0,
S4,P,3,0.06538476697860328,7865.184204916752,pc1_low_variance,1665,13041,13041,0.0,
S4,P,4,0.04354059644288434,6418.267227687925,pc1_low_variance,1665,13041,13041,0.0,
S4,P,5,0.036898895118794066,5908.500671980638,pc1_low_variance,1665,13041,13041,0.0,
S4,V,1,0.32001364568208546,5312.717114900453,pc1_moderate,1665,6561,6561,0.0,
S4,V,2,0.2599190281540553,4787.970658045564,pc1_moderate,1665,6561,6561,0.0,
S4,V,3,0.1002375682141655,2973.3614335099082,pc1_moderate,1665,6561,6561,0.0,
S4,V,4,0.07038974376902232,2491.6505615802275,pc1_moderate,1665,6561,6561,0.0,
S4,V,5,0.0511826069400301,2124.6805599488493,pc1_moderate,1665,6561,6561,0.0,
S4,H,1,0.3681673059900933,70449.96580099387,pc1_good,1665,14641,14641,0.0,
S4,H,2,0.2881001700567193,62320.35723032825,pc1_good,1665,14641,14641,0.0,
S4,H,3,0.10859177606163892,38261.028918123055,pc1_good,1665,14641,14641,0.0,
S4,H,4,0.07224391101668844,31207.487218804046,pc1_good,1665,14641,14641,0.0,
S4,H,5,0.04023672464652534,23289.999934113843,pc1_good,1665,14641,14641,0.0,
S4,Je,1,0.32598500012409143,22046.273023181755,pc1_moderate,1665,14641,14641,0.0,
S4,Je,2,0.2594840673117418,19669.427584647605,pc1_moderate,1665,14641,14641,0.0,
S4,Je,3,0.10211803159307199,12339.216674342384,pc1_moderate,1665,14641,14641,0.0,
S4,Je,4,0.07566787158444412,10621.653557011781,pc1_moderate,1665,14641,14641,0.0,
S4,Je,5,0.0507260882540566,8696.651349804077,pc1_moderate,1665,14641,14641,0.0,
S4,Jw,1,0.448064222274174,24414.05865645299,pc1_good,1665,14641,14641,0.0,
S4,Jw,2,0.2747495512434439,19117.819019155988,pc1_good,1665,14641,14641,0.0,
S4,Jw,3,0.07192256209899685,9781.431661730936,pc1_good,1665,14641,14641,0.0,
S4,Jw,4,0.04728660332272849,7931.200147403697,pc1_good,1665,14641,14641,0.0,
S4,Jw,5,0.04350320239412914,7607.2986103441945,pc1_good,1665,14641,14641,0.0,
T4,P,1,0.15577663551215148,5753.248509697361,pc1_low_variance,450,13041,13041,0.0,
T4,P,2,0.14348292430978465,5521.563658179896,pc1_low_variance,450,13041,13041,0.0,
T4,P,3,0.07830859332851259,4079.1219118708314,pc1_low_variance,450,13041,13041,0.0,
T4,P,4,0.05721591564162045,3486.746712099306,pc1_low_variance,450,13041,13041,0.0,
T4,P,5,0.04323562972983148,3030.9785873347673,pc1_low_variance,450,13041,13041,0.0,
T4,V,1,0.3131270126277282,2605.931944669677,pc1_moderate,450,6561,6561,0.0,
T4,V,2,0.24938896700515545,2325.63428101371,pc1_moderate,450,6561,6561,0.0,
T4,V,3,0.10698860994405753,1523.2513610314566,pc1_moderate,450,6561,6561,0.0,
T4,V,4,0.08255699048313757,1338.0727576031004,pc1_moderate,450,6561,6561,0.0,
T4,V,5,0.049199793122512395,1032.9622269872123,pc1_moderate,450,6561,6561,0.0,
T4,H,1,0.3915909915617282,36240.02530569332,pc1_good,450,14641,14641,0.0,
T4,H,2,0.24124863431972907,28444.910905411372,pc1_good,450,14641,14641,0.0,
T4,H,3,0.14914960178018405,22365.736043830926,pc1_good,450,14641,14641,0.0,
T4,H,4,0.07752376155730935,16124.62282006163,pc1_good,450,14641,14641,0.0,
T4,H,5,0.039337316252826195,11486.15069245104,pc1_good,450,14641,14641,0.0,
T4,Je,1,0.3260982037813249,11380.782393625313,pc1_moderate,450,14641,14641,0.0,
T4,Je,2,0.24983616811478981,9961.519083829744,pc1_moderate,450,14641,14641,0.0,
T4,Je,3,0.13034454830285022,7195.224547376175,pc1_moderate,450,14641,14641,0.0,
T4,Je,4,0.07956637182324805,5621.635637149779,pc1_moderate,450,14641,14641,0.0,
T4,Je,5,0.0596874174488511,4868.994795357326,pc1_moderate,450,14641,14641,0.0,
T4,Jw,1,0.5025799259818532,13456.315616329766,pc1_good,450,14641,14641,0.0,
T4,Jw,2,0.23846667748976516,9269.09741107807,pc1_good,450,14641,14641,0.0,
T4,Jw,3,0.07927864615240136,5344.4338794342175,pc1_good,450,14641,14641,0.0,
T4,Jw,4,0.043565205894127754,3961.8085173455597,pc1_good,450,14641,14641,0.0,
T4,Jw,5,0.036501085567068915,3626.4065152610774,pc1_good,450,14641,14641,0.0,
S5,P,1,0.16794694205724015,8041.032915246975,pc1_low_variance,855,13041,13041,0.10526315789473684,
S5,P,2,0.12017322879793607,6801.890786311383,pc1_low_variance,855,13041,13041,0.10526315789473684,
S5,P,3,0.0826228668070685,5639.958643690928,pc1_low_variance,855,13041,13041,0.10526315789473684,
S5,P,4,0.05841866770677091,4742.437473279714,pc1_low_variance,855,13041,13041,0.10526315789473684,
S5,P,5,0.04260328071118815,4049.928083996423,pc1_low_variance,855,13041,13041,0.10526315789473684,
S5,V,1,0.31613402362360277,3649.464077331438,pc1_moderate,855,6561,6561,0.10526315789473684,
S5,V,2,0.244835053014233,3211.665241839514,pc1_moderate,855,6561,6561,0.10526315789473684,
S5,V,3,0.12199650910829823,2267.081721966819,pc1_moderate,855,6561,6561,0.10526315789473684,
S5,V,4,0.06267175270861125,1624.9103088599918,pc1_moderate,855,6561,6561,0.10526315789473684,
S5,V,5,0.051541368092400654,1473.5722851066737,pc1_moderate,855,6561,6561,0.10526315789473684,
S5,H,1,0.5034785659330451,58814.41790044027,pc1_good,855,14641,14641,0.10526315789473684,
S5,H,2,0.16794088361295959,33968.12122626619,pc1_good,855,14641,14641,0.10526315789473684,
S5,H,3,0.11677727005498613,28325.166343247485,pc1_good,855,14641,14641,0.10526315789473684,
S5,H,4,0.06782725225592943,21587.155587998055,pc1_good,855,14641,14641,0.10526315789473684,
S5,H,5,0.04125265516731102,16835.238103613825,pc1_good,855,14641,14641,0.10526315789473684,
S5,Je,1,0.37907655275790103,16849.47937434545,pc1_good,855,14641,14641,0.10526315789473684,
S5,Je,2,0.25684524279531395,13869.435594106702,pc1_good,855,14641,14641,0.10526315789473684,
S5,Je,3,0.12484948193545349,9669.775633212288,pc1_good,855,14641,14641,0.10526315789473684,
S5,Je,4,0.050968399994442234,6178.364482481089,pc1_good,855,14641,14641,0.10526315789473684,
S5,Je,5,0.049593550895963213,6094.465563882308,pc1_good,855,14641,14641,0.10526315789473684,
S5,Jw,1,0.47858748982741334,15855.962140501628,pc1_good,855,14641,14641,0.10526315789473684,
S5,Jw,2,0.21483133227405932,10623.331651617293,pc1_good,855,14641,14641,0.10526315789473684,
S5,Jw,3,0.09980637605589555,7240.875370857339,pc1_good,855,14641,14641,0.10526315789473684,
S5,Jw,4,0.058862340047842875,5560.71568859803,pc1_good,855,14641,14641,0.10526315789473684,
S5,Jw,5,0.03670546360800749,4391.140023962633,pc1_good,855,14641,14641,0.10526315789473684,
