window_id,field,metric,n_valid_samples,onset_median,onset_q025,onset_q975,center_median,center_q025,center_q975,center_iqr,center_modal_rounded_day,support_center_within_2d_of_modal,support_center_within_3d_of_modal,end_median,end_q025,end_q975,duration_median,duration_iqr,support_near_boundary,support_multiple_active_segments
W003,V,prepost_contrast,45,75.0,73.0,83.0,76.91992009254709,75.53433708852627,84.52539754549473,7.960398248109783,76.0,0.5555555555555556,0.5555555555555556,79.0,77.1,86.0,5.0,1.0,0.011111111111111112,0.9777777777777777
W005,V,prepost_contrast,45,109.0,109.0,110.0,112.57560944904425,112.43599599519932,113.40908234002704,0.43233166312367644,113.0,1.0,1.0,116.0,116.0,117.0,8.0,0.0,0.0,0.2222222222222222
W007,V,prepost_contrast,45,158.0,157.0,158.0,160.9850791485696,160.52159054426045,161.48914248454838,0.4342680936237002,161.0,1.0,1.0,164.0,163.1,165.0,8.0,1.0,0.0,0.4888888888888889
W002,H,detector_score,45,31.0,30.0,31.0,34.471553500371186,33.541955636554576,34.59995396065498,0.9184150599013705,34.0,1.0,1.0,38.0,37.0,38.0,8.0,0.0,0.5,0.0
W003,H,detector_score,45,92.0,74.0,94.0,94.20046148556122,76.49801146665212,95.0303534241719,17.51963546850618,95.0,0.6,0.6,96.0,79.0,96.0,5.0,1.0,0.3,0.9777777777777777
W005,H,detector_score,45,111.0,110.0,111.0,114.4899509073893,113.63292896695442,114.6152863425104,0.08796346372656672,114.0,1.0,1.0,118.0,117.0,118.0,8.0,0.0,0.0,0.0
W007,H,detector_score,45,152.0,151.0,152.9,154.51357791509736,153.64255704248416,155.28077561991094,0.07911495114765899,155.0,1.0,1.0,157.0,156.0,157.9,6.0,0.0,0.0,0.0
W002,H,prepost_contrast,45,32.0,31.0,32.0,35.529726352292535,34.63731435052914,35.651332149468935,0.8646420281582081,36.0,1.0,1.0,39.0,38.0,39.0,8.0,0.0,0.15555555555555556,0.0
W003,H,prepost_contrast,45,92.0,92.0,93.0,94.07825387922878,93.59967817842386,94.54211761813299,0.07958824828548927,94.0,0.9777777777777777,0.9777777777777777,96.0,95.1,96.0,5.0,0.0,0.4888888888888889,0.9555555555555556
W005,H,prepost_contrast,45,110.0,110.0,111.0,113.57022481869255,113.43323332848452,114.41104729305077,0.08159599117837502,114.0,1.0,1.0,117.0,117.0,118.0,8.0,0.0,0.0,0.0
W007,H,prepost_contrast,45,152.0,152.0,152.0,154.60904994515192,154.43041786652876,155.04630959527282,0.37966959636418096,155.0,1.0,1.0,157.0,157.0,158.0,6.0,1.0,0.0,0.7111111111111111
W002,Je,detector_score,45,43.0,43.0,43.9,46.01730406893133,45.8702155858767,46.80795299171351,0.4063061298912203,46.0,1.0,1.0,49.0,49.0,50.0,7.0,1.0,0.0,0.0
W003,Je,detector_score,45,89.0,89.0,91.0,92.78680126409961,92.54279258628404,93.67694787720468,0.1817697547791255,93.0,1.0,1.0,96.0,96.0,96.0,8.0,0.0,0.5,0.1111111111111111
W005,Je,detector_score,45,107.0,106.0,108.0,110.50701621886147,109.50287279999111,111.48701547830211,0.0742622749382349,111.0,1.0,1.0,114.0,113.0,115.0,8.0,0.0,0.0,0.0
W007,Je,detector_score,45,159.0,159.0,160.0,161.53857343795218,161.46721451243647,162.43989707367845,0.05870254854249879,162.0,1.0,1.0,164.0,164.0,165.0,6.0,0.0,0.0,0.0
W002,Je,prepost_contrast,45,42.0,42.0,42.0,44.56522532632844,44.410756691782225,45.00077081477067,0.3846374665314727,45.0,1.0,1.0,47.0,47.0,48.0,6.0,1.0,0.0,0.8222222222222222
W003,Je,prepost_contrast,45,92.0,77.0,93.9,94.08656500630029,77.59673348828717,95.02937386124813,0.5154341269538776,94.0,0.9111111111111111,0.9111111111111111,96.0,78.1,96.0,5.0,2.0,0.45555555555555555,1.0
W005,Je,prepost_contrast,45,107.0,105.1,108.0,110.40524853422815,108.55791884714725,111.46720270742229,0.9966637128063383,110.0,1.0,1.0,114.0,112.1,115.0,8.0,0.0,0.0,0.0
W007,Je,prepost_contrast,45,158.0,157.0,158.0,161.33526501590865,160.48424042161463,161.52822652839515,0.8285283421833753,161.0,1.0,1.0,165.0,164.0,165.0,8.0,0.0,0.0,0.0
W002,Jw,detector_score,45,39.0,38.0,40.0,42.40863734291826,41.33894000735637,43.50451775234991,0.9224278096294753,42.0,1.0,1.0,46.0,45.0,47.0,8.0,0.0,0.0,0.0
W003,Jw,detector_score,45,79.0,78.0,80.0,82.46489424454683,81.04966643155397,83.51664101196883,0.9759049523103016,82.0,1.0,1.0,86.0,84.0,87.0,8.0,0.0,0.0,0.24444444444444444
W005,Jw,detector_score,45,102.0,101.0,103.0,105.48283190482543,104.43154314673187,106.55696931582197,0.0878553329565932,105.0,1.0,1.0,109.0,108.0,110.0,8.0,0.0,0.0,0.022222222222222223
W007,Jw,detector_score,45,150.0,148.0,166.0,152.35883257653043,150.52371459833606,167.14715928500232,1.9914172668719345,151.0,0.6888888888888889,0.8222222222222222,155.0,153.0,168.0,6.0,1.0,0.0,0.24444444444444444
W002,Jw,prepost_contrast,45,38.0,37.0,40.0,41.00352981742021,40.46062789441966,41.87766124197358,0.4527256499518728,41.0,1.0,1.0,44.0,43.0,45.0,7.0,1.0,0.0,0.7555555555555555
W003,Jw,prepost_contrast,45,79.0,77.1,80.0,82.10532917413494,80.71092313839338,83.01805782974823,0.8451729729120956,82.0,1.0,1.0,85.0,84.0,86.0,8.0,1.0,0.0,0.022222222222222223
W005,Jw,prepost_contrast,45,101.0,100.0,124.19999999999997,102.4864271261557,101.98284530940408,125.2490831908957,0.9425838504483011,102.0,0.8444444444444444,0.8444444444444444,104.0,103.0,126.29999999999998,5.0,1.0,0.022222222222222223,1.0
W007,Jw,prepost_contrast,45,149.0,147.0,173.0,151.42894973671056,149.5156364049863,173.9061248922902,15.01671621925479,150.0,0.6,0.6,154.0,151.1,175.0,5.0,2.0,0.1111111111111111,0.9777777777777777
