day_index,score_raw,score_smooth,local_scale
43,8.655215960312775e-08,7.465511836788414e-08,1.4755939612694293e-14
44,8.51133255884549e-08,8.100071334103081e-08,1.434462162325117e-14
45,7.133665483150977e-08,6.908730003001417e-08,1.4129745619969011e-14
46,5.081191967007782e-08,5.139824924293112e-08,1.3316602119771691e-14
47,3.204617322720577e-08,4.594907934056627e-08,1.2770465863491256e-14
48,5.4989145124415224e-08,4.9966065383291445e-08,1.316816063985757e-14
49,6.286287779825334e-08,5.5407163453480215e-08,1.3966514564892988e-14
50,4.8369467437772086e-08,5.6559401519500046e-08,1.3806888219777257e-14
51,5.844585932247473e-08,6.270052934723777e-08,1.4120611483410233e-14
52,8.128626128146648e-08,7.262923442401071e-08,1.488892022234982e-14
53,7.815558266809092e-08,7.932000898215809e-08,1.4286788767181082e-14
54,7.851818299691684e-08,7.468979972615887e-08,1.4039013473331686e-14
55,6.739563351346884e-08,7.409836681250583e-08,1.3882797952896329e-14
56,7.63812839271318e-08,7.198680055105623e-08,1.478210573058443e-14
57,7.218348421256808e-08,7.745221848509866e-08,1.4980187098546547e-14
58,8.379188731559611e-08,7.628654930122864e-08,1.5670753234725885e-14
59,7.288427637552171e-08,8.342062529050512e-08,1.5046361559253364e-14
60,9.358571218039756e-08,7.55180853056686e-08,1.6380144431388956e-14
61,6.008426736108653e-08,6.855844741230903e-08,1.5695379170446984e-14
62,5.200536269544302e-08,6.937473493386961e-08,1.4924104753313716e-14
63,9.60345747450793e-08,8.969970555897686e-08,1.568166725363155e-14
64,1.2105917923640826e-07,1.0619033997664103e-07,1.6618167095382997e-14
65,1.0147726594843553e-07,1.0289395650319924e-07,1.5682675733629803e-14
66,8.614542432475394e-08,8.405879293162274e-08,1.6165713688489823e-14
67,6.455368852167878e-08,7.870276606697536e-08,1.6289242098286566e-14
68,8.540918535449335e-08,8.523665931983088e-08,1.4872853103250417e-14
69,1.0574710408332051e-07,9.83774744209603e-08,1.47703128505081e-14
70,1.03976133825067e-07,9.58847008356097e-08,1.4064421786897878e-14
71,7.79308645984416e-08,7.847129359406654e-08,1.3625701249827678e-14
72,5.3506882358691036e-08,6.227052713727853e-08,1.2972653633697453e-14
73,5.537383445470297e-08,6.021296003792233e-08,1.2980637641491733e-14
74,7.175816330037295e-08,6.459859944157646e-08,1.340797132743994e-14
75,6.666380056965346e-08,7.095790256848327e-08,1.4186936472043415e-14
76,7.445174383542339e-08,7.174584900570443e-08,1.3546247215512041e-14
77,7.412200261203643e-08,7.684435774025868e-08,1.3312660875358741e-14
78,8.19593267733162e-08,7.31032046986142e-08,1.3764463950074205e-14
79,6.322828471048997e-08,6.835085817639841e-08,1.2342211725316962e-14
80,5.986496304538907e-08,5.7423443617013385e-08,1.3740501270769382e-14
81,4.917708309516113e-08,5.361353250931593e-08,1.4993244340883045e-14
82,5.1798551387397584e-08,6.254536086252818e-08,1.572501539307294e-14
83,8.666044810502579e-08,7.535151054798694e-08,1.5407406173848375e-14
84,8.759553215153743e-08,8.581314815496825e-08,1.6087016503023538e-14
85,8.318346420834153e-08,8.852462448600168e-08,1.4171787950410116e-14
86,9.479487709812608e-08,9.210473277833639e-08,1.4352495957966454e-14
87,9.833585702854155e-08,9.736854521683658e-08,1.521548179634695e-14
88,9.897490152384212e-08,1.0069459716632983e-07,1.541812569701953e-14
89,1.0477303294660583e-07,9.520938535875743e-08,1.5266058759501305e-14
90,8.188022160582432e-08,8.666360553012162e-08,1.543370300196452e-14
91,7.333756203793468e-08,8.753067518247589e-08,1.4744680155970084e-14
92,1.0737424190366863e-07,1.0185305663927768e-07,1.4519575909492848e-14
93,1.248473659762297e-07,1.2196814162201293e-07,1.45946961585827e-14
94,1.336828169861405e-07,1.2316631023024896e-07,1.4340173072919878e-14
95,1.1096874772837666e-07,1.1473733467578847e-07,1.396701094318323e-14
96,9.956043931284825e-08,8.797214505697294e-08,1.3796518862467608e-14
97,5.3387248129693946e-08,7.336946906909422e-08,1.4465889946583703e-14
98,6.716071976474044e-08,6.870728467306173e-08,1.4530902782104852e-14
99,8.55738861247508e-08,8.470321321264223e-08,1.467980166666957e-14
100,1.013750337484354e-07,1.0546260555453064e-07,1.5742133138066135e-14
101,1.2943889679040572e-07,1.1527329499367306e-07,1.6369352180400758e-14
102,1.1500595444217806e-07,1.1254191912249154e-07,1.5165292830958245e-14
103,9.318090613489085e-08,1.024858347149903e-07,1.559462428343135e-14
104,9.927064356790202e-08,8.350358454198657e-08,1.584839524368681e-14
105,5.8059203923166815e-08,6.626987269019704e-08,1.5558671723940147e-14
106,4.1479770579522285e-08,5.325641800859181e-08,1.556419354605679e-14
107,6.02302795230863e-08,5.488806982446889e-08,1.549571076774032e-14
108,6.295415937079809e-08,6.936419938582322e-08,1.4451346808389872e-14
109,8.490815926358529e-08,7.580225602531969e-08,1.4662798681993854e-14
110,7.954444944157572e-08,7.341066436262242e-08,1.512662813868933e-14
111,5.577938438270625e-08,6.674013337935226e-08,1.498667282369926e-14
112,6.489656631377481e-08,6.465307060136771e-08,1.4873495390994587e-14
113,7.328326110762208e-08,6.99774612954984e-08,1.5354186502829738e-14
114,7.175255646509832e-08,8.012443218569035e-08,1.4905793989409226e-14
115,9.533747898435064e-08,8.131364715587954e-08,1.45931711620151e-14
116,7.685090601818963e-08,7.980306246096604e-08,1.4682116986504058e-14
117,6.722080238035788e-08,7.90418725225044e-08,1.4256076121574213e-14
118,9.305390916896564e-08,8.38745433757475e-08,1.5015910779807843e-14
119,9.134891857791903e-08,9.336992160385335e-08,1.6366534620755905e-14
120,9.570693706467537e-08,9.254487695974918e-08,1.6176802734262127e-14
121,9.057877523665315e-08,9.052620497462841e-08,1.5832794533187415e-14
122,8.529290262255672e-08,8.810880772011929e-08,1.5030685962344747e-14
123,8.845474530114799e-08,8.708821124026814e-08,1.4674735254721247e-14
124,8.751698579709973e-08,8.16463006400208e-08,1.3852618457317815e-14
125,6.89671708218147e-08,7.303264251427997e-08,1.4643212034205192e-14
126,6.261377092392545e-08,6.86422531947154e-08,1.4123683364726863e-14
127,7.434581783840603e-08,7.686237520536368e-08,1.5296601330123214e-14
128,9.362753685375956e-08,8.675259082856671e-08,1.5595511617219595e-14
129,9.22844177935345e-08,9.307737468683723e-08,1.5185370235237363e-14
130,9.332016941321765e-08,9.37286825870803e-08,1.4632772949740292e-14
131,9.558146055448875e-08,8.511806546191166e-08,1.4547030584831297e-14
132,6.645256641802858e-08,7.7576210791577e-08,1.3419778545914582e-14
133,7.069460540221366e-08,7.408758826604214e-08,1.362298282406018e-14
134,8.511559297788419e-08,7.978864248524772e-08,1.4108887313859875e-14
135,8.355572907564533e-08,8.576587524316307e-08,1.3737221980438086e-14
136,8.862630367595968e-08,8.678062744947001e-08,1.4861842218972763e-14
137,8.815984959680499e-08,8.090290976618838e-08,1.5483959578676273e-14
138,6.592257602580052e-08,7.693829439553183e-08,1.5009424613178786e-14
139,7.673245756399e-08,7.61621976038999e-08,1.5173112250045593e-14
140,8.58315592219092e-08,7.986972870966699e-08,1.5118226360917666e-14
141,7.70451693431018e-08,7.391044821992794e-08,1.3799612361167655e-14
142,5.885461609477282e-08,6.442136948385642e-08,1.4771528338112422e-14
143,5.7364323013694654e-08,5.155558050834566e-08,1.5996216793390587e-14
144,3.84478024165695e-08,4.544441136933086e-08,1.5687979770881552e-14
145,4.052110867772843e-08,4.432270352418256e-08,1.6176723214053636e-14
146,5.399919947824978e-08,6.131116727040538e-08,1.5873732578328507e-14
147,8.941319365523792e-08,7.145965182622432e-08,1.519271481483493e-14
148,7.096656234518528e-08,7.306892601943982e-08,1.459066857076251e-14
149,5.882702205789625e-08,6.653053740426266e-08,1.5240821398190533e-14
150,6.979802780970646e-08,6.606359028024773e-08,1.5007058811847586e-14
151,6.956572097314049e-08,6.30164440550511e-08,1.5344116926513228e-14
152,4.968558338230634e-08,6.119651633643894e-08,1.4365681832365967e-14
153,6.433824465386998e-08,5.797284315906845e-08,1.466319931303971e-14
154,5.989470144102905e-08,6.256773112853039e-08,1.4430341282222486e-14
155,6.347024729069217e-08,6.747805724295437e-08,1.4215618374755522e-14
156,7.906922299714188e-08,6.977260918645694e-08,1.4540274391090767e-14
157,6.677835727153676e-08,7.1590630789925e-08,1.4779978626867503e-14
158,6.892431210109633e-08,7.491855923752164e-08,1.3716223615111524e-14
159,8.905300833993186e-08,8.524433528244822e-08,1.588011904313526e-14
160,9.775568540631649e-08,9.958781153217542e-08,1.6225475179912472e-14
161,1.1195474085027793e-07,1.1110725219346543e-07,1.534064426476853e-14
162,1.236113303238019e-07,1.1869479673989799e-07,1.658039539410634e-14
163,1.205183190456142e-07,1.195062851164199e-07,1.6372110866947475e-14
164,1.1438920597984366e-07,1.1109930688847736e-07,1.6195725572338188e-14
165,9.839039563997426e-08,1.0467838666912043e-07,1.6821865266777227e-14
166,1.012555583875434e-07,9.841813462178682e-08,1.661072326813096e-14
167,9.560844983784276e-08,9.517576264978145e-08,1.4903727517223865e-14
168,8.86632797239582e-08,9.142067610120113e-08,1.5205917411756346e-14
169,8.99902987418024e-08,8.455040893069158e-08,1.3852774768202802e-14
170,7.499764832631418e-08,8.475940337994242e-08,1.4145022147459892e-14
171,8.929026307171068e-08,8.704244285288586e-08,1.5769624861456013e-14
172,9.683941716063275e-08,8.571986499453722e-08,1.5968990088791977e-14
173,7.102991475126826e-08,8.792714091506756e-08,1.542622039543656e-14
174,9.591209083330166e-08,8.683611783414926e-08,1.5029802130521115e-14
175,9.356634791787785e-08,9.039271978675519e-08,1.4193475690710361e-14
176,8.169972060908609e-08,1.05601184667676e-07,1.2142109615022567e-14
177,1.4153748547606406e-07,1.1161860304257508e-07,1.4424770204760898e-14
178,,1.4153748547606406e-07,
179,,,
180,,,
181,,,
182,,,
