year,mode,cluster_id,object,window_day_min,window_day_max,strength_raw,note,strength_z
1979,local_background_removed,E1,P,12,23,3.1652636114423487,,-0.21725579736092454
1980,local_background_removed,E1,P,12,23,2.306098087293744,,-0.9462431507536228
1981,local_background_removed,E1,P,12,23,2.883401064530736,,-0.45641138067793185
1982,local_background_removed,E1,P,12,23,2.266123279889316,,-0.9801610958213262
1983,local_background_removed,E1,P,12,23,2.397777383581439,,-0.8684548251246349
1984,local_background_removed,E1,P,12,23,2.028429209966907,,-1.1818404766619213
1985,local_background_removed,E1,P,12,23,2.9544252960127433,,-0.3961485266881533
1986,local_background_removed,E1,P,12,23,3.359294019901836,,-0.05262429159752423
1987,local_background_removed,E1,P,12,23,2.465780440136699,,-0.8107553867423068
1988,local_background_removed,E1,P,12,23,2.494779943530368,,-0.7861498007004294
1989,local_background_removed,E1,P,12,23,2.5398305172339253,,-0.7479251541452464
1990,local_background_removed,E1,P,12,23,3.965069468206093,,0.4613658865432999
1991,local_background_removed,E1,P,12,23,2.356448374189022,,-0.9035217875765746
1992,local_background_removed,E1,P,12,23,2.2809158250954686,,-0.9676098724811426
1993,local_background_removed,E1,P,12,23,2.0073248705323503,,-1.199747150192315
1994,local_background_removed,E1,P,12,23,2.9367086615369358,,-0.4111807901048484
1995,local_background_removed,E1,P,12,23,2.1094335500453485,,-1.1131096700509109
1996,local_background_removed,E1,P,12,23,3.210053331294692,,-0.17925248086761442
1997,local_background_removed,E1,P,12,23,4.087210859125539,,0.5650007820359982
1998,local_background_removed,E1,P,12,23,2.9882546720416565,,-0.367444875755835
1999,local_background_removed,E1,P,12,23,4.931011294701866,,1.2809511187676188
2000,local_background_removed,E1,P,12,23,2.273283524585194,,-0.974085749821305
2001,local_background_removed,E1,P,12,23,2.349447683176875,,-0.90946175498614
2002,local_background_removed,E1,P,12,23,2.1120417275384438,,-1.11089667575071
2003,local_background_removed,E1,P,12,23,3.63186786133077,,0.17864998289604966
2004,local_background_removed,E1,P,12,23,1.57815602184546,,-1.5638896284102077
2005,local_background_removed,E1,P,12,23,1.7185841108294533,,-1.4447387802289098
2006,local_background_removed,E1,P,12,23,2.123751770855894,,-1.1009609029034915
2007,local_background_removed,E1,P,12,23,2.398588850031096,,-0.8677663096257285
2008,local_background_removed,E1,P,12,23,3.4077581031815796,,-0.011503340149066368
2009,local_background_removed,E1,P,12,23,4.622172233771476,,1.0189064215306862
2010,local_background_removed,E1,P,12,23,3.608076588434491,,0.1584634919638296
2011,local_background_removed,E1,P,12,23,1.8035051885728657,,-1.3726846882391592
2012,local_background_removed,E1,P,12,23,2.0983049209140843,,-1.1225521228370936
2013,local_background_removed,E1,P,12,23,2.161889830366908,,-1.0686014072242183
2014,local_background_removed,E1,P,12,23,2.308724828391656,,-0.9440144055500579
2015,local_background_removed,E1,P,12,23,1.996217381044288,,-1.2091716663503205
2016,local_background_removed,E1,P,12,23,1.7529972152819848,,-1.4155398456444044
2017,local_background_removed,E1,P,12,23,2.21948215635586,,-1.0197352968899844
2018,local_background_removed,E1,P,12,23,2.1166307751745506,,-1.1070029467813667
2019,local_background_removed,E1,P,12,23,2.7848911110300385,,-0.5399954029261177
2020,local_background_removed,E1,P,12,23,1.9259935076465051,,-1.2687554301005746
2021,local_background_removed,E1,P,12,23,5.608629386955105,,1.8558985599748359
2022,local_background_removed,E1,P,12,23,1.8367386199032572,,-1.3444866862607772
2023,local_background_removed,E1,P,12,23,3.0110896013795183,,-0.3480698260884115
1979,local_background_removed,E2,P,27,38,3.993616246358021,,0.4855873429075836
1980,local_background_removed,E2,P,27,38,4.382436410466176,,0.8154946476260778
1981,local_background_removed,E2,P,27,38,3.520436399843657,,0.0841022806070543
1982,local_background_removed,E2,P,27,38,3.643867195409572,,0.18883121404036124
1983,local_background_removed,E2,P,27,38,3.2117241797042086,,-0.17783479437329075
1984,local_background_removed,E2,P,27,38,3.4068539449427777,,-0.012270503056592861
1985,local_background_removed,E2,P,27,38,3.0433239410661077,,-0.32071953639915296
1986,local_background_removed,E2,P,27,38,3.1608276006120426,,-0.22101967720004023
1987,local_background_removed,E2,P,27,38,2.1217323308366893,,-1.1026743634574334
1988,local_background_removed,E2,P,27,38,3.15326058142538,,-0.2274401644459914
1989,local_background_removed,E2,P,27,38,2.8387597363388095,,-0.4942887893679697
1990,local_background_removed,E2,P,27,38,3.1954495781514702,,-0.1916435173492367
1991,local_background_removed,E2,P,27,38,3.300516088750826,,-0.10249636777298994
1992,local_background_removed,E2,P,27,38,2.363840300353199,,-0.8972498637860599
1993,local_background_removed,E2,P,27,38,3.3977392394306176,,-0.020004175860617254
1994,local_background_removed,E2,P,27,38,4.193218125598528,,0.6549461469912757
1995,local_background_removed,E2,P,27,38,3.1508151217340115,,-0.22951509545536322
1996,local_background_removed,E2,P,27,38,5.529395393846068,,1.7886698626961242
1997,local_background_removed,E2,P,27,38,3.095484707717409,,-0.276462011902058
1998,local_background_removed,E2,P,27,38,2.6133248100887254,,-0.6855664950372934
1999,local_background_removed,E2,P,27,38,5.042121921330986,,1.3752265981293303
2000,local_background_removed,E2,P,27,38,3.904054157495121,,0.40959543181549646
2001,local_background_removed,E2,P,27,38,2.9305438152696173,,-0.41641155744614605
2002,local_background_removed,E2,P,27,38,2.965428283849564,,-0.38681267840615374
2003,local_background_removed,E2,P,27,38,3.196063791125596,,-0.19112236807375693
2004,local_background_removed,E2,P,27,38,2.4966982512375218,,-0.7845221491954221
2005,local_background_removed,E2,P,27,38,2.728540969735796,,-0.5878075406467294
2006,local_background_removed,E2,P,27,38,3.956927197498896,,0.4544573081534392
2007,local_background_removed,E2,P,27,38,2.4529490085009438,,-0.8216426385296245
2008,local_background_removed,E2,P,27,38,3.528265508781705,,0.09074514655518047
2009,local_background_removed,E2,P,27,38,5.166332766941865,,1.4806173907758038
2010,local_background_removed,E2,P,27,38,4.436968437751249,,0.8617641464925243
2011,local_background_removed,E2,P,27,38,3.7589243058496113,,0.2864552178803808
2012,local_background_removed,E2,P,27,38,3.0219095004317076,,-0.3388893255302125
2013,local_background_removed,E2,P,27,38,3.3169198682645797,,-0.08857803949134846
2014,local_background_removed,E2,P,27,38,3.141643340961754,,-0.23729719564809565
2015,local_background_removed,E2,P,27,38,2.2138260489156734,,-1.0245344079779348
2016,local_background_removed,E2,P,27,38,2.3006144087949827,,-0.9508959588136645
2017,local_background_removed,E2,P,27,38,3.160384121037399,,-0.22139596208614948
2018,local_background_removed,E2,P,27,38,2.10284712865178,,-1.118698136725926
2019,local_background_removed,E2,P,27,38,3.8109138177025152,,0.33056743558998186
