mode,year,source_cluster,target_cluster,X_E2,Y_M,n_valid_source,n_valid_target,missing_objects
raw,2003,E2,M,"[-0.7754714163030637, 0.13352380235774405, 0.6867059024201612, -1.0886507553046727, -0.026739424473230574]","[0.8597382311103753, -0.3869244493064137, 0.8215306155663594, -0.30584828277751547, 2.0935537632921903]",5,5,
raw,2004,E2,M,"[-0.5188994196709904, 0.6383624597942515, 0.4965972000692474, -1.035459227157468, 0.12098132152018018]","[1.5382776855888969, 2.383811191364258, 0.6912108773763816, 0.15808492763460472, 0.8984094853607355]",5,5,
raw,2005,E2,M,"[0.14583858739652558, 1.201121389743354, -0.446141805706253, -0.20337690258954358, -1.5087447515542702]","[0.3025946148951043, 1.0415753881109489, 0.5382728516188721, 0.2094440817513698, 0.20410744074024156]",5,5,
raw,2006,E2,M,"[-0.6256278636830891, 0.1521044962857536, 0.9399760128276733, -1.0210583687885801, -0.32668428826590484]","[1.961379431995609, 1.1997011103919792, 1.2597868695419105, 0.6628958654962919, -1.1541429526322513]",5,5,
raw,2007,E2,M,"[-0.8610504343452235, -1.7366229493199796, -0.4514871209701249, 0.2838908138300262, -1.8045679109822985]","[-1.3688336971540342, -1.3032994490460181, 0.40477426994741433, -0.11396189166888124, -0.7644484128745533]",5,5,
raw,2008,E2,M,"[0.03864896154163569, -0.42137123868209686, -0.9187020007551786, -1.1082705500392915, 0.1928156957301349]","[3.69914421299532, 1.7492474451919333, -1.2353885382768068, 0.42985115144668173, -1.0707135707698492]",5,5,
raw,2009,E2,M,"[0.5766091466389669, -0.6206180438352389, -0.9454470017624417, -1.3113008412915923, -0.8243983904199071]","[-1.4265412653103524, -0.7387579912206418, 1.1453684878647221, 0.25004154691510694, -0.7829227840012064]",5,5,
raw,2010,E2,M,"[0.12060504654693897, -0.05078558955732357, -0.17305467839538644, 0.4558448912475404, -0.4922170247267669]","[0.2583645571819139, 0.26172561946514233, 0.8821632280899494, -1.0882339365770617, 0.5242294856900952]",5,5,
raw,2011,E2,M,"[0.0014535586450942068, 1.7261528488490636, 0.24645980783234495, 0.6260544156236719, -0.35713893819662457]","[0.43039391081679707, 0.48700344674459195, 0.6892654990489295, 0.17594734740777362, -0.5409756322825134]",5,5,
raw,2012,E2,M,"[-0.22561059868167013, -0.47908829917491363, -0.6172998610584963, -0.4657934624419557, -0.1738127101888037]","[1.1671181079958899, 0.10774066504950765, 0.07911069333265769, -0.24156638353714982, 0.6137133933464605]",5,5,
raw,2013,E2,M,"[-0.629459538836717, -0.767414064619139, -0.6776614830446676, 0.5426453050572742, -0.8963616744794285]","[1.7781268860229429, 1.0485836951157574, 0.6795678340791602, -0.48103705592812745, 0.5348537966253263]",5,5,
raw,2014,E2,M,"[-0.12481638888435723, -1.1385747072452739, 0.021657941152245216, 0.18373608020761611, -0.4912033432034993]","[1.169137057353302, 1.3238532379963686, 0.676942704480888, 0.28176987098443357, 1.8029811381464895]",5,5,
raw,2015,E2,M,"[-0.6957626358832205, -0.5571823769117503, 0.25529272552498117, -0.6735748902534582, 0.11225404315036391]","[1.098032022234627, 1.2572021446753743, 1.7422534648502739, 1.1585408282214191, -1.0798417542739074]",5,5,
raw,2016,E2,M,"[0.0941140559936484, 1.137433970952784, 0.9966442823943971, -1.3540513388398776, -0.1621684160267596]","[0.05013154157665624, 0.14717344190380136, 1.7393498167713297, -2.8043466786036437, -0.4261926748696619]",5,5,
raw,2017,E2,M,"[-1.0800229730539748, -0.6194166194060222, 0.7947394794878648, -0.6438084504552228, -0.6639108540170445]","[0.9496254598209282, 0.14418597016878085, 0.5762498742228245, -0.577277242571594, -0.5250635289420396]",5,5,
raw,2018,E2,M,"[-0.9136844942224612, -0.6086727998335802, 1.534836114142183, -1.3196661345263045, -0.5796987744114201]","[-1.999119908331635, 0.4603568165261592, 2.0101215456333263, -2.174706685374831, -0.6272471145308607]",5,5,
raw,2019,E2,M,"[0.276372782850326, -0.5357487349517895, -0.2105598403193095, 0.5248328167008285, 1.9750741672308234]","[0.03940118584941831, -0.6998828414242698, 1.0778071331453267, 0.08263187667752796, 0.5070334142947126]",5,5,
raw,2020,E2,M,"[-1.2274597253924702, -0.19679037228414809, 1.4424899568855585, -1.6770254867356582, -0.43557574177404995]","[0.5146439103495316, 1.3028880821201616, 1.234606904372631, 0.7025980317740362, -0.40597057463472397]",5,5,
raw,2021,E2,M,"[-1.0087685422388712, -0.38525353695570214, 0.6011785454509456, -0.010774013413393038, -1.2347635778150585]","[1.1377671205658788, 2.9834252636964957, 2.139032594317772, -1.022448522465212, -0.3909344926692082]",5,5,
raw,2022,E2,M,"[0.4031056776011668, -0.6349143046985046, 0.6954993166124203, -0.1721214905058142, -1.2111576598108729]","[2.400807873717665, 1.3909620189576477, 0.7598715930719765, -0.009180457086394263, 0.8567222817505129]",5,5,
raw,2023,E2,M,"[-0.6841296594307553, 0.04202253201157314, 0.7115914620382111, -1.6464290033020494, 1.2096332361872009]","[-0.5649225153592946, -1.3430008025153157, 0.6815281834128931, -0.3490077257803108, 0.9907783352978256]",5,5,
