baseline_config,field,branch,event_name,observed_day,event_status,invalid_reason,bootstrap_median,q05,q95,q025,q975,valid_bootstrap_count,total_bootstrap_count,valid_fraction
C1_buffered_stage,Jw,pattern,growth_onset_day,36.0,valid,,37.0,36.0,45.0,36.0,47.0,655,1000,0.655
C1_buffered_stage,Jw,pattern,growth_peak_day,38.0,valid,,39.0,37.0,49.0,37.0,49.0,987,1000,0.987
C1_buffered_stage,Jw,pattern,growth_window_center,46.53434164868127,valid,,44.72343540328539,37.93586480686039,48.96414280865292,37.514852688599426,49.57546127976789,738,1000,0.738
C1_buffered_stage,Jw,pattern,growth_window_end,50.0,valid,,49.5,39.0,53.0,38.0,53.0,738,1000,0.738
C1_buffered_stage,Jw,pattern,growth_window_start,43.0,valid,,41.0,36.0,47.0,36.0,48.0,738,1000,0.738
C2_immediate_pre,H,distance,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,37.0,36.0,51.0,36.0,51.27499999999999,110,1000,0.11
C2_immediate_pre,H,distance,growth_peak_day,36.0,valid,,37.0,36.0,51.0,36.0,51.0,666,1000,0.666
C2_immediate_pre,H,distance,growth_window_center,35.993731130273034,left_censored,positive_growth_window_active_before_search_start,37.058131233682296,35.0,51.009359010061694,35.0,51.484277041246195,277,1000,0.277
C2_immediate_pre,H,distance,growth_window_end,37.0,left_censored,positive_growth_window_active_before_search_start,39.0,35.0,52.0,35.0,53.0,277,1000,0.277
C2_immediate_pre,H,distance,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,36.0,35.0,50.0,35.0,51.0,277,1000,0.277
C2_immediate_pre,H,pattern,growth_onset_day,,left_censored,growth_run_already_active_before_search_start,37.0,36.0,39.0,36.0,43.474999999999994,182,1000,0.182
C2_immediate_pre,H,pattern,growth_peak_day,38.0,valid,,39.0,36.0,50.0,36.0,51.0,933,1000,0.933
C2_immediate_pre,H,pattern,growth_window_center,39.244070556489035,left_censored,positive_growth_window_active_before_search_start,41.026402181606116,38.62844498247828,48.32383854306711,38.35070542884206,49.21765497343092,204,1000,0.204
C2_immediate_pre,H,pattern,growth_window_end,44.0,left_censored,positive_growth_window_active_before_search_start,46.0,41.0,53.0,40.0,53.0,204,1000,0.204
C2_immediate_pre,H,pattern,growth_window_start,35.0,left_censored,positive_growth_window_active_before_search_start,37.0,35.0,44.0,35.0,45.0,204,1000,0.204
C2_immediate_pre,Jw,distance,growth_onset_day,37.0,valid,,38.0,36.0,49.0,36.0,49.0,864,1000,0.864
C2_immediate_pre,Jw,distance,growth_peak_day,50.0,valid,,50.0,38.0,52.0,38.0,52.0,983,1000,0.983
C2_immediate_pre,Jw,distance,growth_window_center,48.257263995800066,valid,,47.9869742167767,38.50543531413675,50.973344528091786,38.010877635469214,51.03790687298757,576,1000,0.576
C2_immediate_pre,Jw,distance,growth_window_end,53.0,valid,,52.0,41.0,53.0,39.0,53.0,576,1000,0.576
C2_immediate_pre,Jw,distance,growth_window_start,43.0,valid,,44.0,36.0,49.0,35.375,50.0,576,1000,0.576
C2_immediate_pre,Jw,pattern,growth_onset_day,37.0,valid,,37.0,36.0,45.0,36.0,46.25,711,1000,0.711
C2_immediate_pre,Jw,pattern,growth_peak_day,38.0,valid,,39.0,37.0,49.0,37.0,49.0,992,1000,0.992
C2_immediate_pre,Jw,pattern,growth_window_center,46.45334266604996,valid,,43.02504138456473,37.49878509965995,48.35520793874494,37.07373753273872,48.9998793138923,762,1000,0.762
C2_immediate_pre,Jw,pattern,growth_window_end,49.0,valid,,48.0,38.0,52.0,38.0,53.0,762,1000,0.762
C2_immediate_pre,Jw,pattern,growth_window_start,44.0,valid,,37.0,36.0,46.0,35.0,48.0,762,1000,0.762
