bootstrap_id,field,baseline_config,branch,event_name,event_family,event_day,event_status
6,H,C0_full_stage,distance,S75_day,state,52.0,valid
6,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
6,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
6,H,C0_full_stage,pattern,S25_day,state,36.0,valid
6,H,C0_full_stage,pattern,S50_day,state,42.0,valid
6,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
6,H,C0_full_stage,pattern,durable_S50_day,state,44.0,valid
6,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
7,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
7,H,C0_full_stage,distance,S50_day,state,35.0,valid
7,H,C0_full_stage,distance,S75_day,state,44.0,valid
7,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
7,H,C0_full_stage,distance,durable_S75_day,state,44.0,valid
7,H,C0_full_stage,pattern,S25_day,state,40.0,valid
7,H,C0_full_stage,pattern,S50_day,state,44.0,valid
7,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
7,H,C0_full_stage,pattern,durable_S50_day,state,44.0,valid
7,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
8,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
8,H,C0_full_stage,distance,S50_day,state,38.0,valid
8,H,C0_full_stage,distance,S75_day,state,51.0,valid
8,H,C0_full_stage,distance,durable_S50_day,state,38.0,valid
8,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
8,H,C0_full_stage,pattern,S25_day,state,39.0,valid
8,H,C0_full_stage,pattern,S50_day,state,46.0,valid
8,H,C0_full_stage,pattern,S75_day,state,55.0,right_censored
8,H,C0_full_stage,pattern,durable_S50_day,state,46.0,valid
8,H,C0_full_stage,pattern,durable_S75_day,state,55.0,right_censored
9,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
9,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
9,H,C0_full_stage,distance,S75_day,state,48.0,valid
9,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
9,H,C0_full_stage,distance,durable_S75_day,state,48.0,valid
9,H,C0_full_stage,pattern,S25_day,state,38.0,valid
9,H,C0_full_stage,pattern,S50_day,state,51.0,valid
9,H,C0_full_stage,pattern,S75_day,state,57.0,right_censored
9,H,C0_full_stage,pattern,durable_S50_day,state,51.0,valid
9,H,C0_full_stage,pattern,durable_S75_day,state,57.0,right_censored
10,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
10,H,C0_full_stage,distance,S50_day,state,35.0,valid
10,H,C0_full_stage,distance,S75_day,state,53.0,valid
10,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
10,H,C0_full_stage,distance,durable_S75_day,state,53.0,not_durable
10,H,C0_full_stage,pattern,S25_day,state,39.0,valid
10,H,C0_full_stage,pattern,S50_day,state,51.0,valid
10,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
10,H,C0_full_stage,pattern,durable_S50_day,state,51.0,valid
10,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
11,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
11,H,C0_full_stage,distance,S50_day,state,36.0,valid
11,H,C0_full_stage,distance,S75_day,state,52.0,valid
11,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
11,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
11,H,C0_full_stage,pattern,S25_day,state,39.0,valid
11,H,C0_full_stage,pattern,S50_day,state,44.0,valid
11,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
11,H,C0_full_stage,pattern,durable_S50_day,state,44.0,valid
11,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
12,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
12,H,C0_full_stage,distance,S50_day,state,35.0,valid
12,H,C0_full_stage,distance,S75_day,state,50.0,valid
12,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
12,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
12,H,C0_full_stage,pattern,S25_day,state,37.0,valid
12,H,C0_full_stage,pattern,S50_day,state,39.0,valid
12,H,C0_full_stage,pattern,S75_day,state,44.0,valid
12,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
12,H,C0_full_stage,pattern,durable_S75_day,state,44.0,not_durable
13,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
13,H,C0_full_stage,distance,S50_day,state,33.0,left_censored
13,H,C0_full_stage,distance,S75_day,state,52.0,valid
13,H,C0_full_stage,distance,durable_S50_day,state,33.0,left_censored
13,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
13,H,C0_full_stage,pattern,S25_day,state,35.0,valid
13,H,C0_full_stage,pattern,S50_day,state,39.0,valid
13,H,C0_full_stage,pattern,S75_day,state,60.0,right_censored
13,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
13,H,C0_full_stage,pattern,durable_S75_day,state,60.0,right_censored
14,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
14,H,C0_full_stage,distance,S50_day,state,35.0,valid
14,H,C0_full_stage,distance,S75_day,state,50.0,valid
14,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
14,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
14,H,C0_full_stage,pattern,S25_day,state,38.0,valid
14,H,C0_full_stage,pattern,S50_day,state,40.0,valid
14,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
14,H,C0_full_stage,pattern,durable_S50_day,state,40.0,valid
14,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
15,H,C0_full_stage,distance,S25_day,state,30.0,left_censored
15,H,C0_full_stage,distance,S50_day,state,35.0,valid
15,H,C0_full_stage,distance,S75_day,state,50.0,valid
15,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
15,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
15,H,C0_full_stage,pattern,S25_day,state,37.0,valid
15,H,C0_full_stage,pattern,S50_day,state,41.0,valid
15,H,C0_full_stage,pattern,S75_day,state,52.0,valid
15,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
15,H,C0_full_stage,pattern,durable_S75_day,state,52.0,not_durable
16,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
16,H,C0_full_stage,distance,S50_day,state,35.0,valid
16,H,C0_full_stage,distance,S75_day,state,56.0,right_censored
16,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
16,H,C0_full_stage,distance,durable_S75_day,state,56.0,right_censored
16,H,C0_full_stage,pattern,S25_day,state,37.0,valid
16,H,C0_full_stage,pattern,S50_day,state,43.0,valid
16,H,C0_full_stage,pattern,S75_day,state,50.0,valid
16,H,C0_full_stage,pattern,durable_S50_day,state,43.0,valid
16,H,C0_full_stage,pattern,durable_S75_day,state,50.0,valid
17,H,C0_full_stage,distance,S25_day,state,28.0,left_censored
17,H,C0_full_stage,distance,S50_day,state,37.0,valid
17,H,C0_full_stage,distance,S75_day,state,51.0,valid
17,H,C0_full_stage,distance,durable_S50_day,state,37.0,valid
17,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
17,H,C0_full_stage,pattern,S25_day,state,36.0,valid
17,H,C0_full_stage,pattern,S50_day,state,38.0,valid
17,H,C0_full_stage,pattern,S75_day,state,42.0,valid
17,H,C0_full_stage,pattern,durable_S50_day,state,38.0,valid
17,H,C0_full_stage,pattern,durable_S75_day,state,42.0,valid
18,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
18,H,C0_full_stage,distance,S50_day,state,36.0,valid
18,H,C0_full_stage,distance,S75_day,state,51.0,valid
18,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
18,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
18,H,C0_full_stage,pattern,S25_day,state,38.0,valid
18,H,C0_full_stage,pattern,S50_day,state,42.0,valid
18,H,C0_full_stage,pattern,S75_day,state,51.0,valid
18,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
18,H,C0_full_stage,pattern,durable_S75_day,state,51.0,not_durable
19,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
19,H,C0_full_stage,distance,S50_day,state,35.0,valid
19,H,C0_full_stage,distance,S75_day,state,50.0,valid
19,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
19,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
19,H,C0_full_stage,pattern,S25_day,state,37.0,valid
19,H,C0_full_stage,pattern,S50_day,state,40.0,valid
19,H,C0_full_stage,pattern,S75_day,state,61.0,right_censored
19,H,C0_full_stage,pattern,durable_S50_day,state,40.0,valid
19,H,C0_full_stage,pattern,durable_S75_day,state,61.0,right_censored
20,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
20,H,C0_full_stage,distance,S50_day,state,37.0,valid
20,H,C0_full_stage,distance,S75_day,state,50.0,valid
20,H,C0_full_stage,distance,durable_S50_day,state,37.0,valid
20,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
20,H,C0_full_stage,pattern,S25_day,state,40.0,valid
20,H,C0_full_stage,pattern,S50_day,state,43.0,valid
20,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
20,H,C0_full_stage,pattern,durable_S50_day,state,43.0,valid
20,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
21,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
21,H,C0_full_stage,distance,S50_day,state,35.0,valid
21,H,C0_full_stage,distance,S75_day,state,51.0,valid
21,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
21,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
21,H,C0_full_stage,pattern,S25_day,state,36.0,valid
21,H,C0_full_stage,pattern,S50_day,state,41.0,valid
21,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
21,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
21,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
22,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
22,H,C0_full_stage,distance,S50_day,state,35.0,valid
22,H,C0_full_stage,distance,S75_day,state,56.0,right_censored
22,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
22,H,C0_full_stage,distance,durable_S75_day,state,56.0,right_censored
22,H,C0_full_stage,pattern,S25_day,state,39.0,valid
22,H,C0_full_stage,pattern,S50_day,state,45.0,valid
22,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
22,H,C0_full_stage,pattern,durable_S50_day,state,45.0,valid
22,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
23,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
23,H,C0_full_stage,distance,S50_day,state,36.0,valid
23,H,C0_full_stage,distance,S75_day,state,54.0,right_censored
23,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
23,H,C0_full_stage,distance,durable_S75_day,state,54.0,right_censored
23,H,C0_full_stage,pattern,S25_day,state,41.0,valid
23,H,C0_full_stage,pattern,S50_day,state,47.0,valid
23,H,C0_full_stage,pattern,S75_day,state,53.0,valid
23,H,C0_full_stage,pattern,durable_S50_day,state,47.0,valid
23,H,C0_full_stage,pattern,durable_S75_day,state,53.0,not_durable
24,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
24,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
24,H,C0_full_stage,distance,S75_day,state,43.0,valid
24,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
24,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
24,H,C0_full_stage,pattern,S25_day,state,37.0,valid
24,H,C0_full_stage,pattern,S50_day,state,40.0,valid
24,H,C0_full_stage,pattern,S75_day,state,44.0,valid
24,H,C0_full_stage,pattern,durable_S50_day,state,40.0,valid
24,H,C0_full_stage,pattern,durable_S75_day,state,44.0,valid
25,H,C0_full_stage,distance,S25_day,state,10.0,left_censored
25,H,C0_full_stage,distance,S50_day,state,36.0,valid
25,H,C0_full_stage,distance,S75_day,state,52.0,valid
25,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
25,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
25,H,C0_full_stage,pattern,S25_day,state,36.0,valid
25,H,C0_full_stage,pattern,S50_day,state,42.0,valid
25,H,C0_full_stage,pattern,S75_day,state,62.0,right_censored
25,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
25,H,C0_full_stage,pattern,durable_S75_day,state,62.0,right_censored
26,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
26,H,C0_full_stage,distance,S50_day,state,33.0,left_censored
26,H,C0_full_stage,distance,S75_day,state,39.0,valid
26,H,C0_full_stage,distance,durable_S50_day,state,33.0,left_censored
26,H,C0_full_stage,distance,durable_S75_day,state,39.0,valid
26,H,C0_full_stage,pattern,S25_day,state,37.0,valid
26,H,C0_full_stage,pattern,S50_day,state,41.0,valid
26,H,C0_full_stage,pattern,S75_day,state,44.0,valid
26,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
26,H,C0_full_stage,pattern,durable_S75_day,state,44.0,valid
27,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
27,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
27,H,C0_full_stage,distance,S75_day,state,40.0,valid
27,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
27,H,C0_full_stage,distance,durable_S75_day,state,40.0,not_durable
27,H,C0_full_stage,pattern,S25_day,state,38.0,valid
27,H,C0_full_stage,pattern,S50_day,state,43.0,valid
27,H,C0_full_stage,pattern,S75_day,state,57.0,right_censored
27,H,C0_full_stage,pattern,durable_S50_day,state,43.0,valid
27,H,C0_full_stage,pattern,durable_S75_day,state,57.0,right_censored
28,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
28,H,C0_full_stage,distance,S50_day,state,35.0,valid
28,H,C0_full_stage,distance,S75_day,state,53.0,valid
28,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
28,H,C0_full_stage,distance,durable_S75_day,state,53.0,not_durable
28,H,C0_full_stage,pattern,S25_day,state,36.0,valid
28,H,C0_full_stage,pattern,S50_day,state,39.0,valid
28,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
28,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
28,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
29,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
29,H,C0_full_stage,distance,S50_day,state,35.0,valid
29,H,C0_full_stage,distance,S75_day,state,53.0,valid
29,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
29,H,C0_full_stage,distance,durable_S75_day,state,53.0,not_durable
29,H,C0_full_stage,pattern,S25_day,state,38.0,valid
29,H,C0_full_stage,pattern,S50_day,state,41.0,valid
29,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
29,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
29,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
30,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
30,H,C0_full_stage,distance,S50_day,state,36.0,valid
30,H,C0_full_stage,distance,S75_day,state,50.0,valid
30,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
30,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
30,H,C0_full_stage,pattern,S25_day,state,37.0,valid
30,H,C0_full_stage,pattern,S50_day,state,42.0,valid
30,H,C0_full_stage,pattern,S75_day,state,57.0,right_censored
30,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
30,H,C0_full_stage,pattern,durable_S75_day,state,57.0,right_censored
31,H,C0_full_stage,distance,S25_day,state,31.0,left_censored
31,H,C0_full_stage,distance,S50_day,state,35.0,valid
31,H,C0_full_stage,distance,S75_day,state,51.0,valid
31,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
31,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
31,H,C0_full_stage,pattern,S25_day,state,36.0,valid
31,H,C0_full_stage,pattern,S50_day,state,39.0,valid
31,H,C0_full_stage,pattern,S75_day,state,41.0,valid
31,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
31,H,C0_full_stage,pattern,durable_S75_day,state,41.0,valid
32,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
32,H,C0_full_stage,distance,S50_day,state,35.0,valid
32,H,C0_full_stage,distance,S75_day,state,53.0,valid
32,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
32,H,C0_full_stage,distance,durable_S75_day,state,53.0,not_durable
32,H,C0_full_stage,pattern,S25_day,state,37.0,valid
32,H,C0_full_stage,pattern,S50_day,state,41.0,valid
32,H,C0_full_stage,pattern,S75_day,state,56.0,right_censored
32,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
32,H,C0_full_stage,pattern,durable_S75_day,state,56.0,right_censored
33,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
33,H,C0_full_stage,distance,S50_day,state,33.0,left_censored
33,H,C0_full_stage,distance,S75_day,state,47.0,valid
33,H,C0_full_stage,distance,durable_S50_day,state,33.0,left_censored
33,H,C0_full_stage,distance,durable_S75_day,state,47.0,valid
33,H,C0_full_stage,pattern,S25_day,state,37.0,valid
33,H,C0_full_stage,pattern,S50_day,state,42.0,valid
33,H,C0_full_stage,pattern,S75_day,state,59.0,right_censored
33,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
33,H,C0_full_stage,pattern,durable_S75_day,state,59.0,right_censored
34,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
34,H,C0_full_stage,distance,S50_day,state,33.0,left_censored
34,H,C0_full_stage,distance,S75_day,state,52.0,valid
34,H,C0_full_stage,distance,durable_S50_day,state,33.0,left_censored
34,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
34,H,C0_full_stage,pattern,S25_day,state,38.0,valid
34,H,C0_full_stage,pattern,S50_day,state,41.0,valid
34,H,C0_full_stage,pattern,S75_day,state,44.0,valid
34,H,C0_full_stage,pattern,durable_S50_day,state,41.0,valid
34,H,C0_full_stage,pattern,durable_S75_day,state,44.0,not_durable
35,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
35,H,C0_full_stage,distance,S50_day,state,39.0,valid
35,H,C0_full_stage,distance,S75_day,state,50.0,valid
35,H,C0_full_stage,distance,durable_S50_day,state,39.0,valid
35,H,C0_full_stage,distance,durable_S75_day,state,50.0,valid
35,H,C0_full_stage,pattern,S25_day,state,42.0,valid
35,H,C0_full_stage,pattern,S50_day,state,51.0,valid
35,H,C0_full_stage,pattern,S75_day,state,55.0,right_censored
35,H,C0_full_stage,pattern,durable_S50_day,state,51.0,valid
35,H,C0_full_stage,pattern,durable_S75_day,state,55.0,right_censored
36,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
36,H,C0_full_stage,distance,S50_day,state,38.0,valid
36,H,C0_full_stage,distance,S75_day,state,52.0,valid
36,H,C0_full_stage,distance,durable_S50_day,state,38.0,valid
36,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
36,H,C0_full_stage,pattern,S25_day,state,37.0,valid
36,H,C0_full_stage,pattern,S50_day,state,40.0,valid
36,H,C0_full_stage,pattern,S75_day,state,42.0,valid
36,H,C0_full_stage,pattern,durable_S50_day,state,40.0,valid
36,H,C0_full_stage,pattern,durable_S75_day,state,42.0,valid
37,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
37,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
37,H,C0_full_stage,distance,S75_day,state,53.0,valid
37,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
37,H,C0_full_stage,distance,durable_S75_day,state,53.0,not_durable
37,H,C0_full_stage,pattern,S25_day,state,36.0,valid
37,H,C0_full_stage,pattern,S50_day,state,39.0,valid
37,H,C0_full_stage,pattern,S75_day,state,60.0,right_censored
37,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
37,H,C0_full_stage,pattern,durable_S75_day,state,60.0,right_censored
38,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
38,H,C0_full_stage,distance,S50_day,state,36.0,valid
38,H,C0_full_stage,distance,S75_day,state,40.0,valid
38,H,C0_full_stage,distance,durable_S50_day,state,36.0,valid
38,H,C0_full_stage,distance,durable_S75_day,state,40.0,valid
38,H,C0_full_stage,pattern,S25_day,state,37.0,valid
38,H,C0_full_stage,pattern,S50_day,state,39.0,valid
38,H,C0_full_stage,pattern,S75_day,state,41.0,valid
38,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
38,H,C0_full_stage,pattern,durable_S75_day,state,41.0,valid
39,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
39,H,C0_full_stage,distance,S50_day,state,35.0,valid
39,H,C0_full_stage,distance,S75_day,state,52.0,valid
39,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
39,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
39,H,C0_full_stage,pattern,S25_day,state,38.0,valid
39,H,C0_full_stage,pattern,S50_day,state,42.0,valid
39,H,C0_full_stage,pattern,S75_day,state,58.0,right_censored
39,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
39,H,C0_full_stage,pattern,durable_S75_day,state,58.0,right_censored
40,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
40,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
40,H,C0_full_stage,distance,S75_day,state,43.0,valid
40,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
40,H,C0_full_stage,distance,durable_S75_day,state,43.0,valid
40,H,C0_full_stage,pattern,S25_day,state,38.0,valid
40,H,C0_full_stage,pattern,S50_day,state,43.0,valid
40,H,C0_full_stage,pattern,S75_day,state,52.0,valid
40,H,C0_full_stage,pattern,durable_S50_day,state,43.0,valid
40,H,C0_full_stage,pattern,durable_S75_day,state,52.0,not_durable
41,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
41,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
41,H,C0_full_stage,distance,S75_day,state,38.0,valid
41,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
41,H,C0_full_stage,distance,durable_S75_day,state,38.0,valid
41,H,C0_full_stage,pattern,S25_day,state,37.0,valid
41,H,C0_full_stage,pattern,S50_day,state,39.0,valid
41,H,C0_full_stage,pattern,S75_day,state,41.0,valid
41,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
41,H,C0_full_stage,pattern,durable_S75_day,state,41.0,valid
42,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
42,H,C0_full_stage,distance,S50_day,state,37.0,valid
42,H,C0_full_stage,distance,S75_day,state,52.0,valid
42,H,C0_full_stage,distance,durable_S50_day,state,37.0,valid
42,H,C0_full_stage,distance,durable_S75_day,state,52.0,not_durable
42,H,C0_full_stage,pattern,S25_day,state,39.0,valid
42,H,C0_full_stage,pattern,S50_day,state,42.0,valid
42,H,C0_full_stage,pattern,S75_day,state,62.0,right_censored
42,H,C0_full_stage,pattern,durable_S50_day,state,42.0,valid
42,H,C0_full_stage,pattern,durable_S75_day,state,62.0,right_censored
43,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
43,H,C0_full_stage,distance,S50_day,state,35.0,valid
43,H,C0_full_stage,distance,S75_day,state,51.0,valid
43,H,C0_full_stage,distance,durable_S50_day,state,35.0,valid
43,H,C0_full_stage,distance,durable_S75_day,state,51.0,valid
43,H,C0_full_stage,pattern,S25_day,state,37.0,valid
43,H,C0_full_stage,pattern,S50_day,state,39.0,valid
43,H,C0_full_stage,pattern,S75_day,state,42.0,valid
43,H,C0_full_stage,pattern,durable_S50_day,state,39.0,valid
43,H,C0_full_stage,pattern,durable_S75_day,state,42.0,valid
44,H,C0_full_stage,distance,S25_day,state,4.0,left_censored
44,H,C0_full_stage,distance,S50_day,state,34.0,left_censored
44,H,C0_full_stage,distance,S75_day,state,50.0,valid
44,H,C0_full_stage,distance,durable_S50_day,state,34.0,left_censored
