baseline_config,field,branch,event_name,observed_day,event_status,invalid_reason,bootstrap_median,q05,q95,q025,q975,valid_bootstrap_count,total_bootstrap_count,valid_fraction
C1_buffered_stage,H,pattern,durable_S50_day,40.0,valid,,41.0,37.0,47.0,37.0,49.0,989,1000,0.989
C1_buffered_stage,H,pattern,durable_S75_day,55.0,right_censored,threshold_reached_after_search_end,43.0,40.0,51.0,40.0,51.0,484,1000,0.484
C1_buffered_stage,Jw,distance,S25_day,30.0,left_censored,threshold_already_reached_before_search_start,36.5,35.0,38.0,35.0,38.0,12,1000,0.012
C1_buffered_stage,Jw,distance,S50_day,45.0,valid,,45.0,42.0,47.0,41.0,47.0,1000,1000,1.0
C1_buffered_stage,Jw,distance,S75_day,52.0,valid,,52.0,50.0,53.0,50.0,53.0,927,1000,0.927
C1_buffered_stage,Jw,distance,durable_S50_day,45.0,valid,,45.0,42.0,47.0,41.0,47.0,1000,1000,1.0
C1_buffered_stage,Jw,distance,durable_S75_day,52.0,not_durable,first_passage_not_sustained_3d,51.0,50.0,51.0,50.0,51.0,291,1000,0.291
C1_buffered_stage,Jw,pattern,S25_day,36.0,valid,,37.0,35.0,39.0,35.0,39.924999999999955,564,1000,0.564
C1_buffered_stage,Jw,pattern,S50_day,41.0,valid,,41.0,38.0,45.0,37.0,45.0,995,1000,0.995
C1_buffered_stage,Jw,pattern,S75_day,48.0,valid,,48.0,45.0,50.0,44.0,51.0,1000,1000,1.0
C1_buffered_stage,Jw,pattern,durable_S50_day,41.0,valid,,41.0,38.0,45.0,37.0,45.0,995,1000,0.995
C1_buffered_stage,Jw,pattern,durable_S75_day,48.0,valid,,48.0,45.0,50.0,44.0,50.0,995,1000,0.995
C2_immediate_pre,H,distance,S25_day,4.0,left_censored,threshold_already_reached_before_search_start,,,,,,0,1000,0.0
C2_immediate_pre,H,distance,S50_day,39.0,valid,,39.0,36.0,50.0,36.0,51.0,999,1000,0.999
C2_immediate_pre,H,distance,S75_day,54.0,right_censored,threshold_reached_after_search_end,52.0,50.0,53.0,45.15,53.0,407,1000,0.407
C2_immediate_pre,H,distance,durable_S50_day,39.0,valid,,39.0,36.0,50.0,36.0,50.0,992,1000,0.992
C2_immediate_pre,H,distance,durable_S75_day,54.0,right_censored,threshold_reached_after_search_end,51.0,47.5,51.0,42.0,51.0,151,1000,0.151
C2_immediate_pre,H,pattern,S25_day,38.0,valid,,38.0,36.0,42.0,35.0,43.0,985,1000,0.985
C2_immediate_pre,H,pattern,S50_day,42.0,valid,,42.0,38.0,49.0,38.0,51.0,998,1000,0.998
C2_immediate_pre,H,pattern,S75_day,54.0,right_censored,threshold_reached_after_search_end,49.0,41.0,53.0,40.0,53.0,603,1000,0.603
C2_immediate_pre,H,pattern,durable_S50_day,42.0,valid,,42.0,38.0,49.0,38.0,50.0,985,1000,0.985
C2_immediate_pre,H,pattern,durable_S75_day,54.0,right_censored,threshold_reached_after_search_end,46.0,41.0,51.0,40.0,51.0,423,1000,0.423
C2_immediate_pre,Jw,distance,S25_day,4.0,left_censored,threshold_already_reached_before_search_start,37.5,37.05,37.95,37.025,37.975,2,1000,0.002
C2_immediate_pre,Jw,distance,S50_day,47.0,valid,,47.0,45.0,49.049999999999955,44.0,50.0,1000,1000,1.0
C2_immediate_pre,Jw,distance,S75_day,53.0,valid,,53.0,51.0,53.0,51.0,53.0,578,1000,0.578
C2_immediate_pre,Jw,distance,durable_S50_day,47.0,valid,,47.0,45.0,49.0,44.0,50.0,999,1000,0.999
C2_immediate_pre,Jw,distance,durable_S75_day,53.0,not_durable,first_passage_not_sustained_3d,51.0,49.8,51.0,49.0,51.0,57,1000,0.057
C2_immediate_pre,Jw,pattern,S25_day,38.0,valid,,38.0,35.0,41.0,35.0,42.0,947,1000,0.947
C2_immediate_pre,Jw,pattern,S50_day,43.0,valid,,43.0,39.0,46.0,38.0,46.049999999999955,999,1000,0.999
C2_immediate_pre,Jw,pattern,S75_day,48.0,valid,,48.0,45.0,51.0,45.0,51.0,1000,1000,1.0
C2_immediate_pre,Jw,pattern,durable_S50_day,43.0,valid,,43.0,39.0,46.0,38.0,46.049999999999955,999,1000,0.999
C2_immediate_pre,Jw,pattern,durable_S75_day,48.0,valid,,48.0,45.0,50.0,45.0,51.0,980,1000,0.98
