rep_id,pattern_corr_with_full,sign_flipped,fit_status,window_id,target_name
119,0.9826862757624302,False,ok,W113,W113_P_vs_V_delta_peak
120,0.9766256609131001,False,ok,W113,W113_P_vs_V_delta_peak
121,0.9754458350477342,False,ok,W113,W113_P_vs_V_delta_peak
122,0.9727531519883252,False,ok,W113,W113_P_vs_V_delta_peak
123,0.9624151325172547,False,ok,W113,W113_P_vs_V_delta_peak
124,0.9750066618652544,False,ok,W113,W113_P_vs_V_delta_peak
125,0.982218169036661,False,ok,W113,W113_P_vs_V_delta_peak
126,0.9770031989541239,False,ok,W113,W113_P_vs_V_delta_peak
127,0.983403734948472,False,ok,W113,W113_P_vs_V_delta_peak
128,0.9723074922701233,False,ok,W113,W113_P_vs_V_delta_peak
129,0.9638962661095848,False,ok,W113,W113_P_vs_V_delta_peak
130,0.983899335120933,False,ok,W113,W113_P_vs_V_delta_peak
131,0.9654406886519034,False,ok,W113,W113_P_vs_V_delta_peak
132,0.9811702315052101,False,ok,W113,W113_P_vs_V_delta_peak
133,0.9742294489195314,False,ok,W113,W113_P_vs_V_delta_peak
134,0.9721944389736756,False,ok,W113,W113_P_vs_V_delta_peak
135,0.9829866846106847,False,ok,W113,W113_P_vs_V_delta_peak
136,0.9770330236260181,False,ok,W113,W113_P_vs_V_delta_peak
137,0.9845355925241042,False,ok,W113,W113_P_vs_V_delta_peak
138,0.9842063737084636,False,ok,W113,W113_P_vs_V_delta_peak
139,0.9905503068045138,False,ok,W113,W113_P_vs_V_delta_peak
140,0.9770887669101458,False,ok,W113,W113_P_vs_V_delta_peak
141,0.9813481576765715,False,ok,W113,W113_P_vs_V_delta_peak
142,0.9601648120485929,False,ok,W113,W113_P_vs_V_delta_peak
143,0.9775300964820901,False,ok,W113,W113_P_vs_V_delta_peak
144,0.9821301449582522,False,ok,W113,W113_P_vs_V_delta_peak
145,0.9765894358829161,False,ok,W113,W113_P_vs_V_delta_peak
146,0.9861836018186829,False,ok,W113,W113_P_vs_V_delta_peak
147,0.9640296477950455,False,ok,W113,W113_P_vs_V_delta_peak
148,0.9833791807817276,False,ok,W113,W113_P_vs_V_delta_peak
149,0.982409938687328,False,ok,W113,W113_P_vs_V_delta_peak
150,0.9779987965220227,False,ok,W113,W113_P_vs_V_delta_peak
151,0.981545095387276,False,ok,W113,W113_P_vs_V_delta_peak
152,0.9826528917876681,False,ok,W113,W113_P_vs_V_delta_peak
153,0.9827578551564333,False,ok,W113,W113_P_vs_V_delta_peak
154,0.9798254542377657,False,ok,W113,W113_P_vs_V_delta_peak
155,0.9737246678488288,False,ok,W113,W113_P_vs_V_delta_peak
156,0.9751185606577434,False,ok,W113,W113_P_vs_V_delta_peak
157,0.9846224121835346,False,ok,W113,W113_P_vs_V_delta_peak
158,0.975264074403143,False,ok,W113,W113_P_vs_V_delta_peak
159,0.9681747225375708,False,ok,W113,W113_P_vs_V_delta_peak
160,0.9772853609756954,False,ok,W113,W113_P_vs_V_delta_peak
161,0.9775137213241795,False,ok,W113,W113_P_vs_V_delta_peak
162,0.9822260337812984,False,ok,W113,W113_P_vs_V_delta_peak
163,0.9623979226843257,False,ok,W113,W113_P_vs_V_delta_peak
164,0.9758424704208082,False,ok,W113,W113_P_vs_V_delta_peak
165,0.9720528027905019,False,ok,W113,W113_P_vs_V_delta_peak
166,0.9876592152432865,False,ok,W113,W113_P_vs_V_delta_peak
167,0.9880855035893541,False,ok,W113,W113_P_vs_V_delta_peak
168,0.9759775039638208,False,ok,W113,W113_P_vs_V_delta_peak
169,0.9904602396702005,False,ok,W113,W113_P_vs_V_delta_peak
170,0.9662817802884144,False,ok,W113,W113_P_vs_V_delta_peak
171,0.9870793653865546,False,ok,W113,W113_P_vs_V_delta_peak
172,0.9697133460847133,False,ok,W113,W113_P_vs_V_delta_peak
173,0.9678768812427775,False,ok,W113,W113_P_vs_V_delta_peak
174,0.9857099359488453,False,ok,W113,W113_P_vs_V_delta_peak
175,0.9801282451899346,False,ok,W113,W113_P_vs_V_delta_peak
176,0.979340120811114,False,ok,W113,W113_P_vs_V_delta_peak
177,0.9787430333021473,False,ok,W113,W113_P_vs_V_delta_peak
178,0.9633471938666467,False,ok,W113,W113_P_vs_V_delta_peak
179,0.9831744318326807,False,ok,W113,W113_P_vs_V_delta_peak
180,0.9771112850161027,False,ok,W113,W113_P_vs_V_delta_peak
181,0.9757877694993059,False,ok,W113,W113_P_vs_V_delta_peak
182,0.9803257594401513,False,ok,W113,W113_P_vs_V_delta_peak
183,0.9870920081764685,False,ok,W113,W113_P_vs_V_delta_peak
184,0.9750610966710397,False,ok,W113,W113_P_vs_V_delta_peak
185,0.9756570319984156,False,ok,W113,W113_P_vs_V_delta_peak
186,0.9834827666245608,False,ok,W113,W113_P_vs_V_delta_peak
