window_id,target_name,year,mean_count_high,mean_count_low,count_difference_high_minus_low,present_prob_high,present_prob_low,present_prob_difference,abs_count_difference,year_leverage_rank
W113,W113_P_vs_V_delta_peak,2002,0.6017964071856288,1.3093093093093093,-0.7075129021236806,0.4820359281437126,0.7357357357357357,-0.2536998075920231,0.7075129021236806,2.0
W113,W113_P_vs_V_delta_peak,2003,1.1167664670658684,1.012012012012012,0.10475445505385639,0.6976047904191617,0.6336336336336337,0.063971156785528,0.10475445505385639,33.0
W113,W113_P_vs_V_delta_peak,2004,1.401197604790419,0.7267267267267268,0.6744708780636923,0.7784431137724551,0.5105105105105106,0.26793260326194457,0.6744708780636923,3.0
W113,W113_P_vs_V_delta_peak,2005,1.0149700598802396,1.009009009009009,0.0059610508712306665,0.6497005988023952,0.6516516516516516,-0.0019510528492564516,0.0059610508712306665,45.0
W113,W113_P_vs_V_delta_peak,2006,0.9820359281437125,0.996996996996997,-0.01496106885328441,0.6347305389221557,0.6426426426426426,-0.007912103720486896,0.01496106885328441,44.0
W113,W113_P_vs_V_delta_peak,2007,0.7664670658682635,1.072072072072072,-0.3056050062038085,0.5598802395209581,0.6846846846846847,-0.12480444516372657,0.3056050062038085,16.0
W113,W113_P_vs_V_delta_peak,2008,0.8622754491017964,1.2162162162162162,-0.3539407671144198,0.5868263473053892,0.6966966966966966,-0.10987034939130746,0.3539407671144198,13.0
W113,W113_P_vs_V_delta_peak,2009,0.8802395209580839,1.021021021021021,-0.14078150006293721,0.5898203592814372,0.6306306306306306,-0.04081027134919346,0.14078150006293721,28.0
W113,W113_P_vs_V_delta_peak,2010,1.2395209580838322,0.9459459459459459,0.2935750121378863,0.7215568862275449,0.6036036036036037,0.11795328262394122,0.2935750121378863,17.0
W113,W113_P_vs_V_delta_peak,2011,1.0449101796407185,0.9459459459459459,0.09896423369477259,0.6616766467065869,0.5765765765765766,0.08510007013001031,0.09896423369477259,34.0
W113,W113_P_vs_V_delta_peak,2012,1.1497005988023952,0.9039039039039038,0.24579669489849132,0.688622754491018,0.6216216216216216,0.06700113286939635,0.24579669489849132,21.0
